pclass,survived,sex,age,sibsp,parch
1st,died,male,38.0,0,0
1st,survived,male,,0,0
1st,died,male,22.0,0,0
1st,died,male,,0,0
1st,survived,female,43.0,0,1
1st,died,male,31.0,0,0
1st,survived,male,45.0,0,0
1st,died,male,,0,0
1st,survived,female,33.0,0,0
1st,died,male,46.0,0,0
1st,died,male,36.0,0,0
1st,survived,female,33.0,0,0
1st,died,male,55.0,1,0
1st,survived,female,54.0,1,0
1st,died,male,33.0,0,0
1st,survived,male,13.0,2,2
1st,survived,female,18.0,2,2
1st,survived,female,21.0,2,2
1st,died,male,61.0,1,3
1st,survived,female,48.0,1,3
1st,survived,male,,0,0
1st,survived,female,24.0,0,0
1st,survived,male,,0,0
1st,survived,female,35.0,1,0
1st,survived,female,30.0,0,0
1st,survived,male,34.0,0,0
1st,survived,female,40.0,0,0
1st,survived,male,35.0,0,0
1st,died,male,50.0,1,0
1st,survived,female,39.0,1,0
1st,survived,male,56.0,0,0
1st,survived,male,28.0,0,0
1st,died,male,56.0,0,0
1st,died,male,56.0,0,0
1st,died,male,24.0,1,0
1st,died,male,,0,0
1st,survived,female,18.0,1,0
1st,survived,male,24.0,1,0
1st,survived,female,23.0,1,0
1st,survived,male,6.0,0,2
1st,survived,male,45.0,1,1
1st,survived,female,40.0,1,1
1st,died,male,57.0,1,0
1st,survived,female,,1,0
1st,survived,male,32.0,0,0
1st,died,male,62.0,0,0
1st,survived,male,54.0,1,0
1st,survived,female,43.0,1,0
1st,survived,female,52.0,1,0
1st,died,male,,0,0
1st,survived,female,62.0,0,0
1st,died,male,67.0,1,0
1st,died,female,63.0,1,0
1st,died,male,61.0,0,0
1st,survived,female,48.0,0,0
1st,survived,female,18.0,0,2
1st,died,male,52.0,1,1
1st,survived,female,39.0,1,1
1st,survived,male,48.0,1,0
1st,survived,female,,1,0
1st,died,male,49.0,1,1
1st,survived,male,17.0,0,2
1st,survived,female,39.0,1,1
1st,survived,female,,0,0
1st,survived,male,31.0,0,0
1st,died,male,40.0,0,0
1st,died,male,61.0,0,0
1st,died,male,47.0,0,0
1st,survived,female,35.0,0,0
1st,died,male,64.0,1,0
1st,survived,female,60.0,1,0
1st,died,male,60.0,0,0
1st,died,male,54.0,0,1
1st,died,male,21.0,0,1
1st,survived,female,55.0,0,0
1st,survived,female,31.0,0,2
1st,died,male,57.0,1,1
1st,survived,female,45.0,1,1
1st,died,male,50.0,1,1
1st,died,male,27.0,0,2
1st,survived,female,50.0,1,1
1st,survived,female,21.0,0,0
1st,died,male,51.0,0,1
1st,survived,male,21.0,0,1
1st,died,male,,0,0
1st,survived,female,31.0,0,0
1st,survived,male,,0,0
1st,died,male,62.0,0,0
1st,survived,female,36.0,0,0
2nd,died,male,30.0,1,0
2nd,survived,female,28.0,1,0
2nd,died,male,30.0,0,0
2nd,died,male,18.0,0,0
2nd,died,male,25.0,0,0
2nd,died,male,34.0,1,0
2nd,survived,female,36.0,1,0
2nd,died,male,57.0,0,0
2nd,died,male,18.0,0,0
2nd,died,male,23.0,0,0
2nd,survived,female,36.0,0,0
2nd,died,male,28.0,0,0
2nd,died,male,51.0,0,0
2nd,survived,male,32.0,1,0
2nd,survived,female,19.0,1,0
2nd,died,male,28.0,0,0
2nd,survived,male,1.0,2,1
2nd,survived,female,4.0,2,1
2nd,survived,female,12.0,2,1
2nd,survived,female,36.0,0,3
2nd,survived,male,34.0,0,0
2nd,survived,female,19.0,0,0
2nd,died,male,23.0,0,0
2nd,died,male,26.0,0,0
2nd,died,male,42.0,0,0
2nd,died,male,27.0,0,0
2nd,survived,female,24.0,0,0
2nd,survived,female,15.0,0,2
2nd,died,male,60.0,1,1
2nd,survived,female,40.0,1,1
2nd,survived,female,20.0,1,0
2nd,died,male,25.0,1,0
2nd,survived,female,36.0,0,0
2nd,died,male,25.0,0,0
2nd,died,male,42.0,0,0
2nd,survived,female,42.0,0,0
2nd,survived,male,0.833299994,0,2
2nd,survived,male,26.0,1,1
2nd,survived,female,22.0,1,1
2nd,survived,female,35.0,0,0
2nd,died,male,,0,0
2nd,died,male,19.0,0,0
2nd,died,female,44.0,1,0
2nd,died,male,54.0,1,0
2nd,died,male,52.0,0,0
2nd,died,male,37.0,1,0
2nd,died,female,29.0,1,0
2nd,survived,female,25.0,1,1
2nd,survived,female,45.0,0,2
2nd,died,male,29.0,1,0
2nd,survived,female,28.0,1,0
2nd,died,male,29.0,0,0
2nd,died,male,28.0,0,0
2nd,survived,male,24.0,0,0
2nd,survived,female,8.0,0,2
2nd,died,male,31.0,1,1
2nd,survived,female,31.0,1,1
2nd,survived,female,22.0,0,0
2nd,died,female,30.0,0,0
2nd,died,female,,0,0
2nd,died,male,21.0,0,0
2nd,died,male,,0,0
2nd,survived,male,8.0,1,1
2nd,died,male,18.0,0,0
2nd,survived,female,48.0,0,2
2nd,survived,female,28.0,0,0
2nd,died,male,32.0,0,0
2nd,died,male,17.0,0,0
2nd,died,male,29.0,1,0
2nd,survived,female,24.0,1,0
2nd,died,male,25.0,0,0
2nd,died,male,18.0,0,0
2nd,survived,female,18.0,0,1
2nd,survived,female,34.0,0,1
2nd,died,male,54.0,0,0
2nd,survived,male,8.0,0,2
2nd,died,male,42.0,1,1
2nd,survived,female,34.0,1,1
2nd,survived,female,27.0,1,0
2nd,survived,female,30.0,1,0
2nd,died,male,23.0,0,0
2nd,died,male,21.0,0,0
2nd,died,male,18.0,0,0
2nd,died,male,40.0,1,0
2nd,survived,female,29.0,1,0
2nd,died,male,18.0,0,0
2nd,died,male,36.0,0,0
2nd,died,male,,0,0
2nd,died,female,38.0,0,0
2nd,died,male,35.0,0,0
2nd,died,male,38.0,1,0
2nd,died,male,34.0,1,0
2nd,survived,female,34.0,0,0
2nd,died,male,16.0,0,0
2nd,died,male,26.0,0,0
2nd,died,male,47.0,0,0
2nd,died,male,21.0,1,0
2nd,died,male,21.0,1,0
2nd,died,male,24.0,0,0
2nd,died,male,24.0,0,0
2nd,died,male,34.0,0,0
2nd,died,male,30.0,0,0
2nd,died,male,52.0,0,0
2nd,died,male,30.0,0,0
2nd,survived,male,0.666700006,1,1
2nd,survived,female,24.0,0,2
2nd,died,male,44.0,0,0
2nd,survived,female,6.0,0,1
2nd,died,male,28.0,0,1
2nd,survived,male,62.0,0,0
2nd,died,male,30.0,0,0
2nd,survived,female,7.0,0,2
2nd,died,male,43.0,1,1
2nd,survived,female,45.0,1,1
2nd,survived,female,24.0,1,2
2nd,survived,female,24.0,1,2
2nd,died,male,49.0,1,2
2nd,survived,female,48.0,1,2
2nd,survived,female,55.0,0,0
2nd,died,male,24.0,2,0
2nd,died,male,32.0,2,0
2nd,died,male,21.0,2,0
2nd,died,female,18.0,1,1
2nd,survived,female,20.0,2,1
2nd,died,male,23.0,2,1
2nd,died,male,36.0,0,0
2nd,survived,female,54.0,1,3
2nd,died,male,50.0,0,0
2nd,died,male,44.0,1,0
2nd,survived,female,29.0,1,0
2nd,died,male,21.0,0,0
2nd,survived,male,42.0,0,0
2nd,died,male,63.0,1,0
2nd,died,female,60.0,1,0
2nd,died,male,33.0,0,0
2nd,survived,female,17.0,0,0
2nd,died,male,42.0,1,0
2nd,survived,female,24.0,2,1
2nd,died,male,47.0,0,0
2nd,died,male,24.0,2,0
2nd,died,male,22.0,2,0
2nd,died,male,32.0,0,0
2nd,survived,female,23.0,0,0
2nd,died,male,34.0,1,0
2nd,survived,female,24.0,1,0
2nd,died,female,22.0,0,0
2nd,survived,female,,0,0
2nd,died,male,35.0,0,0
2nd,survived,female,45.0,0,0
2nd,died,male,57.0,0,0
2nd,died,male,,0,0
2nd,died,male,31.0,0,0
2nd,died,female,26.0,1,1
2nd,died,male,30.0,1,1
2nd,died,male,,0,0
2nd,survived,female,1.0,1,2
2nd,survived,female,3.0,1,2
2nd,died,male,25.0,1,2
2nd,survived,female,22.0,1,2
2nd,survived,female,17.0,0,0
2nd,survived,female,,0,0
2nd,survived,female,34.0,0,0
2nd,died,male,36.0,0,0
2nd,died,male,24.0,0,0
2nd,died,male,61.0,0,0
2nd,died,male,50.0,1,0
2nd,survived,female,42.0,1,0
2nd,died,female,57.0,0,0
2nd,died,male,,0,0
2nd,survived,male,1.0,0,2
2nd,died,male,31.0,1,1
2nd,survived,female,24.0,1,1
2nd,died,male,,0,0
2nd,died,male,30.0,0,0
2nd,died,male,40.0,0,0
2nd,died,male,32.0,0,0
2nd,died,male,30.0,0,0
2nd,died,male,46.0,0,0
2nd,survived,female,13.0,0,1
2nd,survived,female,41.0,0,1
2nd,survived,male,19.0,0,0
2nd,died,male,39.0,0,0
2nd,died,male,48.0,0,0
2nd,died,male,70.0,0,0
2nd,died,male,27.0,0,0
2nd,died,male,54.0,0,0
2nd,died,male,39.0,0,0
2nd,died,male,16.0,0,0
2nd,died,male,62.0,0,0
2nd,died,male,32.5,1,0
2nd,survived,female,14.0,1,0
2nd,survived,male,2.0,1,1
2nd,survived,male,3.0,1,1
2nd,died,male,36.5,0,2
2nd,died,male,26.0,0,0
2nd,died,male,19.0,1,1
2nd,died,male,28.0,0,0
2nd,survived,male,20.0,0,0
2nd,survived,female,29.0,0,0
2nd,died,male,39.0,0,0
2nd,survived,male,22.0,0,0
2nd,survived,male,,0,0
2nd,died,male,23.0,0,0
2nd,survived,male,29.0,0,0
2nd,died,male,28.0,0,0
2nd,died,male,,0,0
2nd,survived,female,50.0,0,1
2nd,died,male,19.0,0,0
2nd,died,male,,0,0
2nd,died,male,41.0,0,0
2nd,survived,female,21.0,0,1
2nd,survived,female,19.0,0,0
2nd,died,male,43.0,0,1
2nd,survived,female,32.0,0,0
2nd,died,male,34.0,0,0
2nd,survived,male,30.0,0,0
2nd,died,male,27.0,0,0
2nd,survived,female,2.0,1,1
2nd,survived,female,8.0,1,1
2nd,survived,female,33.0,0,2
2nd,died,male,36.0,0,0
2nd,died,male,34.0,1,0
2nd,survived,female,30.0,3,0
2nd,survived,female,28.0,0,0
2nd,died,male,23.0,0,0
2nd,survived,male,0.833299994,1,1
2nd,survived,male,3.0,1,1
2nd,survived,female,24.0,2,3
2nd,survived,female,50.0,0,0
2nd,died,male,19.0,0,0
2nd,survived,female,21.0,0,0
2nd,died,male,26.0,0,0
2nd,died,male,25.0,0,0
2nd,died,male,27.0,0,0
2nd,survived,female,25.0,0,1
2nd,survived,female,18.0,0,2
2nd,survived,female,20.0,0,0
2nd,survived,female,30.0,0,0
2nd,died,male,59.0,0,0
2nd,survived,female,30.0,0,0
2nd,died,male,35.0,0,0
2nd,survived,female,40.0,0,0
2nd,died,male,25.0,0,0
2nd,died,male,41.0,0,0
2nd,died,male,25.0,0,0
2nd,died,male,18.5,0,0
2nd,died,male,14.0,0,0
2nd,survived,female,50.0,0,0
2nd,died,male,23.0,0,0
2nd,survived,female,28.0,0,0
2nd,survived,female,27.0,0,0
2nd,died,male,29.0,1,0
2nd,died,female,27.0,1,0
2nd,died,male,40.0,0,0
2nd,survived,female,31.0,0,0
2nd,died,male,30.0,1,0
2nd,died,male,23.0,1,0
2nd,survived,female,31.0,0,0
2nd,died,male,,0,0
2nd,survived,female,12.0,0,0
2nd,survived,female,40.0,0,0
2nd,survived,female,32.5,0,0
2nd,died,male,27.0,1,0
2nd,survived,female,29.0,1,0
2nd,survived,male,2.0,1,1
2nd,survived,female,4.0,1,1
2nd,survived,female,29.0,0,2
2nd,survived,female,0.916700006,1,2
2nd,survived,female,5.0,1,2
2nd,died,male,36.0,1,2
2nd,survived,female,33.0,1,2
2nd,died,male,66.0,0,0
2nd,died,male,,0,0
2nd,survived,male,31.0,0,0
2nd,survived,male,,0,0
2nd,survived,female,26.0,0,0
2nd,died,female,24.0,0,0
3rd,died,male,42.0,0,0
3rd,died,male,13.0,0,2
3rd,died,male,16.0,1,1
3rd,survived,female,35.0,1,1
3rd,survived,female,16.0,0,0
3rd,survived,male,25.0,0,0
3rd,survived,male,20.0,0,0
3rd,survived,female,18.0,0,0
3rd,died,male,30.0,0,0
3rd,died,male,26.0,0,0
3rd,died,female,40.0,1,0
3rd,survived,male,0.833299994,0,1
3rd,survived,female,18.0,0,1
3rd,survived,male,26.0,0,0
3rd,died,male,26.0,0,0
3rd,died,male,20.0,0,0
3rd,died,male,24.0,0,0
3rd,died,male,25.0,0,0
3rd,died,male,35.0,0,0
3rd,died,male,18.0,0,0
3rd,died,male,32.0,0,0
3rd,survived,female,19.0,1,0
3rd,died,male,4.0,4,2
3rd,died,female,6.0,4,2
3rd,died,female,2.0,4,2
3rd,survived,female,17.0,4,2
3rd,died,female,38.0,4,2
3rd,died,female,9.0,4,2
3rd,died,female,11.0,4,2
3rd,died,male,39.0,1,5
3rd,survived,male,27.0,0,0
3rd,died,male,26.0,0,0
3rd,died,female,39.0,1,5
3rd,died,male,20.0,0,0
3rd,died,male,26.0,0,0
3rd,died,male,25.0,1,0
3rd,died,female,18.0,1,0
3rd,died,male,24.0,0,0
3rd,died,male,35.0,0,0
3rd,died,male,5.0,4,2
3rd,died,male,9.0,4,2
3rd,survived,male,3.0,4,2
3rd,died,male,13.0,4,2
3rd,survived,female,5.0,4,2
3rd,died,male,40.0,1,5
3rd,survived,male,23.0,0,0
3rd,survived,female,38.0,1,5
3rd,survived,female,45.0,0,0
3rd,died,male,21.0,0,0
3rd,died,male,23.0,0,0
3rd,died,female,17.0,0,0
3rd,died,male,30.0,0,0
3rd,died,male,23.0,0,0
3rd,survived,female,13.0,0,0
3rd,died,male,20.0,0,0
3rd,died,male,32.0,1,0
3rd,survived,female,33.0,3,0
3rd,survived,female,0.75,2,1
3rd,survived,female,0.75,2,1
3rd,survived,female,5.0,2,1
3rd,survived,female,24.0,0,3
3rd,survived,female,18.0,0,0
3rd,died,male,40.0,0,0
3rd,died,male,26.0,0,0
3rd,survived,male,20.0,0,0
3rd,died,female,18.0,0,1
3rd,died,female,45.0,0,1
3rd,died,female,27.0,0,0
3rd,died,male,22.0,0,0
3rd,died,male,19.0,0,0
3rd,died,male,26.0,0,0
3rd,died,male,22.0,0,0
3rd,died,male,,0,0
3rd,died,male,20.0,0,0
3rd,survived,male,32.0,0,0
3rd,died,male,21.0,0,0
3rd,died,male,18.0,0,0
3rd,died,male,26.0,0,0
3rd,died,male,6.0,1,1
3rd,died,female,9.0,1,1
3rd,died,male,,0,0
3rd,died,female,,0,2
3rd,died,female,,0,2
3rd,died,male,40.0,1,1
3rd,died,female,32.0,1,1
3rd,died,male,21.0,0,0
3rd,survived,female,22.0,0,0
3rd,died,female,20.0,0,0
3rd,died,male,29.0,1,0
3rd,died,male,22.0,1,0
3rd,died,male,22.0,0,0
3rd,died,male,35.0,0,0
3rd,died,female,18.5,0,0
3rd,survived,male,21.0,0,0
3rd,died,male,19.0,0,0
3rd,died,female,18.0,0,0
3rd,died,female,21.0,0,0
3rd,died,female,30.0,0,0
3rd,died,male,18.0,0,0
3rd,died,male,38.0,0,0
3rd,died,male,17.0,0,0
3rd,died,male,17.0,0,0
3rd,died,female,21.0,0,0
3rd,died,male,21.0,0,0
3rd,died,male,21.0,0,0
3rd,died,male,,1,0
3rd,died,female,,1,0
3rd,died,male,28.0,0,0
3rd,died,male,24.0,0,0
3rd,survived,female,16.0,0,0
3rd,died,female,37.0,0,0
3rd,died,male,28.0,0,0
3rd,died,male,24.0,0,0
3rd,died,male,21.0,0,0
3rd,survived,male,32.0,0,0
3rd,died,male,29.0,0,0
3rd,died,male,26.0,1,0
3rd,died,male,18.0,1,0
3rd,died,male,20.0,0,0
3rd,survived,male,18.0,0,0
3rd,died,male,24.0,0,0
3rd,died,male,36.0,0,0
3rd,died,male,24.0,0,0
3rd,died,male,31.0,0,0
3rd,died,male,31.0,0,0
3rd,survived,female,22.0,0,0
3rd,died,female,30.0,0,0
3rd,died,male,70.5,0,0
3rd,died,male,43.0,0,0
3rd,died,male,35.0,0,0
3rd,died,male,27.0,0,0
3rd,died,male,19.0,0,0
3rd,died,male,30.0,0,0
3rd,survived,male,9.0,1,1
3rd,survived,male,3.0,1,1
3rd,survived,female,36.0,0,2
3rd,died,male,59.0,0,0
3rd,died,male,19.0,0,0
3rd,survived,female,17.0,0,1
3rd,died,male,44.0,0,1
3rd,died,male,17.0,0,0
3rd,died,male,22.5,0,0
3rd,survived,male,45.0,0,0
3rd,died,female,22.0,0,0
3rd,died,male,19.0,0,0
3rd,survived,female,30.0,0,0
3rd,survived,male,29.0,0,0
3rd,died,male,0.333299994,0,2
3rd,died,male,34.0,1,1
3rd,died,female,28.0,1,1
3rd,died,male,27.0,0,0
3rd,died,male,25.0,0,0
3rd,died,male,24.0,2,0
3rd,died,male,22.0,0,0
3rd,died,male,21.0,2,0
3rd,died,male,17.0,2,0
3rd,died,male,,1,0
3rd,survived,female,,1,0
3rd,survived,male,36.5,1,0
3rd,survived,female,36.0,1,0
3rd,survived,male,30.0,0,0
3rd,died,male,16.0,0,0
3rd,survived,male,1.0,1,2
3rd,survived,female,0.166700006,1,2
3rd,died,male,26.0,1,2
3rd,survived,female,33.0,1,2
3rd,died,male,25.0,0,0
3rd,died,male,,0,0
3rd,died,male,,0,0
3rd,died,male,22.0,0,0
3rd,died,male,36.0,0,0
3rd,survived,female,19.0,0,0
3rd,died,male,17.0,0,0
3rd,died,male,42.0,0,0
3rd,died,male,43.0,0,0
3rd,died,male,,0,0
3rd,died,male,32.0,0,0
3rd,survived,male,19.0,0,0
3rd,survived,female,30.0,0,0
3rd,died,female,24.0,0,0
3rd,survived,female,23.0,0,0
3rd,died,male,33.0,0,0
3rd,died,male,65.0,0,0
3rd,survived,male,24.0,0,0
3rd,died,male,23.0,1,0
3rd,survived,female,22.0,1,0
3rd,died,male,18.0,0,0
3rd,died,male,16.0,0,0
3rd,died,male,45.0,0,0
3rd,died,male,,0,0
3rd,died,male,39.0,0,2
3rd,died,male,17.0,1,1
3rd,died,male,15.0,1,1
3rd,died,male,47.0,0,0
3rd,survived,female,5.0,0,0
3rd,died,male,,0,0
3rd,died,male,40.5,0,0
3rd,died,male,40.5,0,0
3rd,survived,male,,0,0
3rd,died,male,18.0,0,0
3rd,died,female,,0,0
3rd,died,male,,0,0
3rd,died,male,,0,0
3rd,died,male,26.0,0,0
3rd,died,male,,0,0
3rd,survived,male,,0,0
3rd,died,female,21.0,2,2
3rd,died,female,9.0,2,2
3rd,died,male,,0,0
3rd,died,male,18.0,2,2
3rd,died,male,16.0,1,3
3rd,died,female,48.0,1,3
3rd,died,male,,0,0
3rd,died,male,,0,0
3rd,died,male,25.0,0,0
3rd,died,male,,0,0
3rd,died,male,,0,0
3rd,died,male,22.0,0,0
3rd,survived,female,16.0,0,0
3rd,survived,female,,0,0
3rd,survived,male,9.0,0,2
3rd,died,male,33.0,1,1
3rd,died,male,41.0,0,0
3rd,survived,female,31.0,1,1
3rd,died,male,38.0,0,0
3rd,died,male,9.0,5,2
3rd,died,male,1.0,5,2
3rd,died,male,11.0,5,2
3rd,died,female,10.0,5,2
3rd,died,female,16.0,5,2
3rd,died,male,14.0,5,2
3rd,died,male,40.0,1,6
3rd,died,female,43.0,1,6
3rd,died,male,51.0,0,0
3rd,died,male,32.0,0,0
3rd,died,male,,0,0
3rd,died,male,20.0,0,0
3rd,died,male,37.0,2,0
3rd,died,male,28.0,2,0
3rd,died,male,19.0,0,0
3rd,died,female,24.0,0,0
3rd,died,female,17.0,0,0
3rd,died,male,,1,0
3rd,died,male,,1,0
3rd,died,male,28.0,1,0
3rd,survived,female,24.0,1,0
3rd,died,male,20.0,0,0
3rd,died,male,23.5,0,0
3rd,died,male,41.0,2,0
3rd,died,male,26.0,1,0
3rd,died,male,21.0,0,0
3rd,survived,female,45.0,1,0
3rd,died,female,,0,0
3rd,died,male,25.0,0,0
3rd,died,male,,0,0
3rd,died,male,11.0,0,0
3rd,survived,female,,0,0
3rd,survived,male,27.0,0,0
3rd,survived,male,,0,0
3rd,died,female,18.0,0,0
3rd,survived,female,26.0,0,0
3rd,died,female,23.0,0,0
3rd,survived,female,22.0,0,0
3rd,died,male,28.0,0,0
3rd,died,female,28.0,0,0
3rd,died,female,,0,0
3rd,survived,female,2.0,0,1
3rd,survived,female,22.0,1,1
3rd,died,male,43.0,0,0
3rd,died,male,28.0,0,0
3rd,survived,female,27.0,0,0
3rd,died,male,,0,0
3rd,survived,female,,0,0
3rd,died,male,42.0,0,0
3rd,survived,male,,0,0
3rd,died,male,30.0,0,0
3rd,died,male,,0,0
3rd,died,female,27.0,1,0
3rd,died,female,25.0,1,0
3rd,died,male,,0,0
3rd,survived,male,29.0,0,0
3rd,survived,male,21.0,0,0
3rd,died,male,,0,0
3rd,died,male,20.0,0,0
