avg_price_per_room,lead_time,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,agent,company,days_in_waiting_list,customer_type,required_car_parking_spaces,total_of_special_requests,arrival_date,arrival_date_num,near_christmas,near_new_years,historical_adr
94.94,171,2,5,2,0,0,breakfast_and_one_other_meal,gbr,online_travel_agent,ta_to,0,0,0,d,d,0,charles_najera,not_applicable,0,transient,0,3,2016-07-02,2016.5,0,0,104.981119112664
96.94,171,2,5,1,0,0,breakfast_and_one_other_meal,gbr,online_travel_agent,ta_to,0,0,0,d,d,1,charles_najera,not_applicable,0,transient,0,3,2016-07-02,2016.5,0,0,104.981119112664
103.77,226,2,5,3,0,0,bed_and_breakfast,gbr,offline_travel_agent,ta_to,0,0,0,d,d,1,lia_nauth,not_applicable,0,transient,0,1,2016-07-02,2016.5,0,0,104.981119112664
75.6,143,2,5,2,0,0,bed_and_breakfast,aut,offline_travel_agent,ta_to,0,0,0,d,d,0,orlando_abeyta,not_applicable,0,transient,0,0,2016-07-02,2016.5,0,0,104.981119112664
79.9,208,2,5,2,0,0,breakfast_and_one_other_meal,gbr,offline_travel_agent,ta_to,0,0,0,a,a,1,jawhara_al_azad,not_applicable,0,transient,0,0,2016-07-02,2016.5,0,0,104.981119112664
57.8,228,2,5,2,0,0,bed_and_breakfast,gbr,offline_travel_agent,ta_to,0,0,0,a,a,0,jawhara_al_azad,not_applicable,0,transient,0,0,2016-07-02,2016.5,0,0,104.981119112664
79.9,173,4,6,2,0,0,breakfast_and_one_other_meal,gbr,offline_travel_agent,ta_to,0,0,0,a,a,1,jawhara_al_azad,not_applicable,0,transient,0,2,2016-07-02,2016.5,0,0,104.981119112664
81.9,166,4,6,2,0,0,breakfast_and_one_other_meal,gbr,offline_travel_agent,ta_to,0,0,0,a,c,2,jawhara_al_azad,not_applicable,0,contract,0,0,2016-07-02,2016.5,0,0,104.981119112664
59.8,165,4,6,2,0,0,bed_and_breakfast,gbr,offline_travel_agent,ta_to,0,0,0,a,a,0,jawhara_al_azad,not_applicable,0,contract,0,0,2016-07-02,2016.5,0,0,104.981119112664
87.8,173,4,6,2,0,0,breakfast_and_one_other_meal,gbr,offline_travel_agent,ta_to,0,0,0,a,a,1,cynthia_worsley,not_applicable,0,contract,0,1,2016-07-02,2016.5,0,0,104.981119112664
66.7,173,4,6,1,0,0,breakfast_and_one_other_meal,gbr,offline_travel_agent,ta_to,0,0,0,a,a,1,cynthia_worsley,not_applicable,0,contract,0,0,2016-07-02,2016.5,0,0,104.981119112664
120.1,169,4,10,2,0,0,breakfast_and_one_other_meal,gbr,offline_travel_agent,ta_to,0,0,0,a,a,0,cynthia_worsley,not_applicable,0,contract,0,0,2016-07-02,2016.5,0,0,104.981119112664
119.7,171,4,10,2,0,0,bed_and_breakfast,nor,offline_travel_agent,ta_to,0,0,0,e,e,0,daniel_molina,not_applicable,0,transient,0,0,2016-07-02,2016.5,0,0,104.981119112664
104.55,169,4,10,2,0,0,bed_and_breakfast,gbr,offline_travel_agent,ta_to,0,0,0,d,d,0,cynthia_worsley,not_applicable,0,contract,0,0,2016-07-02,2016.5,0,0,104.981119112664
90.1,171,4,10,2,0,0,bed_and_breakfast,gbr,offline_travel_agent,ta_to,0,0,0,a,a,0,cynthia_worsley,not_applicable,0,transient,0,0,2016-07-02,2016.5,0,0,104.981119112664
73.86,285,4,10,2,0,0,bed_and_breakfast,gbr,offline_travel_agent,ta_to,0,0,0,a,a,0,lia_nauth,not_applicable,0,transient,0,0,2016-07-02,2016.5,0,0,104.981119112664
111.3,349,4,7,2,0,0,breakfast_and_one_other_meal,gbr,offline_travel_agent,ta_to,0,0,0,e,e,0,cynthia_worsley,not_applicable,0,contract,0,0,2016-07-03,2016.5027322404371,0,0,106.64675852210551
95.64,0,1,0,2,0,0,bed_and_breakfast,usa,online_travel_agent,ta_to,0,0,0,a,a,0,faalih_al_taheri,not_applicable,0,transient,1,0,2016-07-03,2016.5027322404371,0,0,106.64675852210551
98.1,2,1,0,2,0,0,bed_and_breakfast,prt,direct,direct,0,0,0,a,a,0,alexander_drake,not_applicable,0,transient,0,0,2016-07-03,2016.5027322404371,0,0,106.64675852210551
131.0,131,1,0,2,0,0,bed_and_breakfast,bra,online_travel_agent,ta_to,0,0,0,a,a,0,devin_rivera_borrego,not_applicable,0,transient,0,1,2016-07-03,2016.5027322404371,0,0,106.64675852210551
131.0,25,1,0,2,0,0,bed_and_breakfast,usa,online_travel_agent,ta_to,0,0,0,a,a,0,devin_rivera_borrego,not_applicable,0,transient,1,1,2016-07-03,2016.5027322404371,0,0,106.64675852210551
100.0,0,1,0,1,0,0,bed_and_breakfast,prt,direct,direct,0,0,0,a,a,0,alexander_drake,not_applicable,0,transient_party,0,0,2016-07-03,2016.5027322404371,0,0,106.64675852210551
109.0,0,1,0,2,0,0,bed_and_breakfast,fra,online_travel_agent,ta_to,0,0,0,a,a,0,devin_rivera_borrego,not_applicable,0,transient,0,2,2016-07-03,2016.5027322404371,0,0,106.64675852210551
150.5,85,2,2,2,1,0,breakfast_lunch_and_dinner,prt,offline_travel_agent,ta_to,0,0,0,a,a,2,tulaiha_al_ghattas,not_applicable,0,transient_party,1,0,2016-07-03,2016.5027322404371,0,0,106.64675852210551
188.75,17,2,2,2,1,0,breakfast_and_one_other_meal,fra,direct,direct,0,0,0,a,a,0,not_applicable,not_applicable,0,transient,0,1,2016-07-03,2016.5027322404371,0,0,106.64675852210551
168.48,85,2,3,3,0,0,breakfast_lunch_and_dinner,prt,offline_travel_agent,ta_to,0,0,0,a,c,1,tulaiha_al_ghattas,not_applicable,0,transient_party,1,0,2016-07-03,2016.5027322404371,0,0,106.64675852210551
74.8,89,2,4,2,0,0,bed_and_breakfast,prt,offline_travel_agent,ta_to,0,0,0,a,a,0,casady_sober,not_applicable,0,transient_party,1,1,2016-07-03,2016.5027322404371,0,0,106.64675852210551
64.8,89,2,4,2,0,0,bed_and_breakfast,prt,offline_travel_agent,ta_to,0,0,0,a,a,0,casady_sober,not_applicable,0,transient_party,0,1,2016-07-03,2016.5027322404371,0,0,106.64675852210551
196.33,10,2,4,2,0,0,breakfast_and_one_other_meal,esp,online_travel_agent,ta_to,0,0,0,a,a,0,devin_rivera_borrego,not_applicable,0,transient,1,1,2016-07-03,2016.5027322404371,0,0,106.64675852210551
186.0,13,2,4,2,0,1,breakfast_and_one_other_meal,prt,online_travel_agent,ta_to,0,0,0,a,a,1,devin_rivera_borrego,not_applicable,0,transient,0,1,2016-07-03,2016.5027322404371,0,0,106.64675852210551
168.0,9,2,4,2,2,0,bed_and_breakfast,prt,direct,direct,0,0,0,c,c,0,not_applicable,not_applicable,0,transient,0,0,2016-07-03,2016.5027322404371,0,0,106.64675852210551
92.1,114,2,5,2,0,0,breakfast_and_one_other_meal,gbr,offline_travel_agent,ta_to,0,0,0,d,e,0,lance_hitchcock,not_applicable,0,contract,0,0,2016-07-03,2016.5027322404371,0,0,106.64675852210551
97.0,180,3,5,2,0,0,bed_and_breakfast,prt,direct,direct,0,0,0,d,d,1,alexander_drake,not_applicable,0,transient,1,1,2016-07-03,2016.5027322404371,0,0,106.64675852210551
85.0,180,3,5,2,0,0,bed_and_breakfast,prt,direct,direct,0,0,0,d,d,1,alexander_drake,not_applicable,0,transient,0,0,2016-07-03,2016.5027322404371,0,0,106.64675852210551
181.3,165,4,6,2,2,0,breakfast_and_one_other_meal,prt,online_travel_agent,ta_to,0,0,0,c,c,2,jawaad_el_shahid,not_applicable,0,transient,0,1,2016-07-03,2016.5027322404371,0,0,106.64675852210551
59.8,167,4,7,2,0,0,bed_and_breakfast,gbr,offline_travel_agent,ta_to,0,0,0,a,a,0,cynthia_worsley,not_applicable,0,contract,0,0,2016-07-03,2016.5027322404371,0,0,106.64675852210551
104.55,165,4,10,2,0,0,bed_and_breakfast,gbr,offline_travel_agent,ta_to,0,0,0,d,d,0,jawhara_al_azad,not_applicable,0,transient,0,2,2016-07-03,2016.5027322404371,0,0,106.64675852210551
104.55,165,4,10,2,0,0,bed_and_breakfast,gbr,offline_travel_agent,ta_to,0,0,0,d,d,0,jawhara_al_azad,not_applicable,0,transient,0,2,2016-07-03,2016.5027322404371,0,0,106.64675852210551
93.0,256,1,4,2,0,0,bed_and_breakfast,prt,online_travel_agent,ta_to,0,0,0,a,a,0,devin_rivera_borrego,not_applicable,0,transient,1,1,2016-07-04,2016.5054644808743,0,0,108.48103443245755
163.2,317,1,3,2,2,0,breakfast_and_one_other_meal,prt,online_travel_agent,ta_to,0,0,0,c,c,1,jawaad_el_shahid,not_applicable,0,transient,1,1,2016-07-04,2016.5054644808743,0,0,108.48103443245755
72.9,317,1,5,2,0,0,bed_and_breakfast,esp,online_travel_agent,ta_to,0,0,0,a,a,0,devin_rivera_borrego,not_applicable,0,transient,0,2,2016-07-04,2016.5054644808743,0,0,108.48103443245755
83.8,166,3,7,2,0,0,breakfast_and_one_other_meal,pol,offline_travel_agent,ta_to,0,0,0,a,a,0,betzy_rodriguez,not_applicable,0,transient,0,0,2016-07-04,2016.5054644808743,0,0,108.48103443245755
83.8,166,3,7,2,0,0,breakfast_and_one_other_meal,pol,offline_travel_agent,ta_to,0,0,0,a,a,0,betzy_rodriguez,not_applicable,0,transient,0,0,2016-07-04,2016.5054644808743,0,0,108.48103443245755
128.35,198,4,10,2,0,0,breakfast_and_one_other_meal,pol,offline_travel_agent,ta_to,0,0,0,d,d,0,karli_vasquez,not_applicable,0,transient,0,1,2016-07-04,2016.5054644808743,0,0,108.48103443245755
105.2,255,4,10,2,0,0,breakfast_and_one_other_meal,gbr,offline_travel_agent,ta_to,0,0,0,d,d,0,lia_nauth,not_applicable,0,transient,0,0,2016-07-04,2016.5054644808743,0,0,108.48103443245755
128.35,198,4,10,2,0,0,breakfast_and_one_other_meal,pol,offline_travel_agent,ta_to,0,0,0,d,d,0,karli_vasquez,not_applicable,0,transient,0,1,2016-07-04,2016.5054644808743,0,0,108.48103443245755
189.0,9,1,0,2,0,0,bed_and_breakfast,gbr,online_travel_agent,ta_to,0,0,0,e,f,0,devin_rivera_borrego,metzger_and_company,0,transient_party,0,0,2016-07-04,2016.5054644808743,0,0,108.48103443245755
159.0,9,1,0,2,0,0,bed_and_breakfast,gbr,online_travel_agent,ta_to,0,0,0,a,a,0,devin_rivera_borrego,not_applicable,0,transient_party,0,0,2016-07-04,2016.5054644808743,0,0,108.48103443245755
189.0,9,1,0,2,0,0,bed_and_breakfast,gbr,online_travel_agent,ta_to,0,0,0,e,f,0,devin_rivera_borrego,not_applicable,0,transient_party,0,0,2016-07-04,2016.5054644808743,0,0,108.48103443245755
171.0,9,1,0,2,0,0,bed_and_breakfast,gbr,online_travel_agent,ta_to,0,0,0,a,a,0,devin_rivera_borrego,not_applicable,0,transient_party,0,0,2016-07-04,2016.5054644808743,0,0,108.48103443245755
141.0,0,1,0,2,0,0,bed_and_breakfast,prt,direct,direct,0,0,0,e,e,0,not_applicable,not_applicable,0,transient,1,0,2016-07-04,2016.5054644808743,0,0,108.48103443245755
159.0,0,1,0,3,0,0,bed_and_breakfast,prt,direct,direct,0,0,0,e,e,1,not_applicable,not_applicable,0,transient,0,1,2016-07-04,2016.5054644808743,0,0,108.48103443245755
66.0,6,1,1,1,0,0,bed_and_breakfast,prt,corporate,corporate,0,0,0,a,a,0,not_applicable,lindauer_llc,0,transient,0,0,2016-07-04,2016.5054644808743,0,0,108.48103443245755
236.0,1,1,2,3,1,0,bed_and_breakfast,and,online_travel_agent,ta_to,0,0,0,h,h,0,devin_rivera_borrego,not_applicable,0,transient,1,0,2016-07-04,2016.5054644808743,0,0,108.48103443245755
179.1,17,1,2,2,0,0,bed_and_breakfast,prt,direct,direct,0,0,0,f,f,0,alexander_drake,not_applicable,0,transient,0,0,2016-07-04,2016.5054644808743,0,0,108.48103443245755
182.25,181,1,3,2,0,0,no_meal_package,esp,direct,direct,0,0,0,f,f,1,alexander_drake,not_applicable,0,transient,1,0,2016-07-04,2016.5054644808743,0,0,108.48103443245755
108.0,181,1,3,2,0,0,bed_and_breakfast,dnk,online_travel_agent,ta_to,0,0,0,e,e,0,devin_rivera_borrego,not_applicable,0,transient,0,1,2016-07-04,2016.5054644808743,0,0,108.48103443245755
155.65,172,1,5,2,1,1,bed_and_breakfast,bra,direct,direct,0,0,0,g,g,0,alexander_drake,not_applicable,0,transient,1,2,2016-07-04,2016.5054644808743,0,0,108.48103443245755
59.51,319,2,5,2,0,0,bed_and_breakfast,gbr,offline_travel_agent,ta_to,0,0,0,a,a,0,carlos_bryant,not_applicable,0,contract,0,0,2016-07-04,2016.5054644808743,0,0,108.48103443245755
135.3,220,2,5,2,0,0,breakfast_lunch_and_dinner,pol,offline_travel_agent,ta_to,0,0,0,e,e,1,betzy_rodriguez,not_applicable,0,transient,0,0,2016-07-04,2016.5054644808743,0,0,108.48103443245755
101.47,230,2,5,2,0,0,bed_and_breakfast,pol,online_travel_agent,ta_to,0,0,0,a,h,0,devin_rivera_borrego,not_applicable,0,transient,0,1,2016-07-04,2016.5054644808743,0,0,108.48103443245755
108.0,308,2,5,2,0,0,breakfast_and_one_other_meal,prt,online_travel_agent,ta_to,0,0,0,a,a,1,not_applicable,not_applicable,0,transient,0,0,2016-07-04,2016.5054644808743,0,0,108.48103443245755
137.96,192,2,5,3,0,0,bed_and_breakfast,irl,direct,direct,0,0,0,f,f,0,alexander_drake,not_applicable,0,transient,0,0,2016-07-04,2016.5054644808743,0,0,108.48103443245755
88.11,171,2,5,2,0,0,bed_and_breakfast,irl,offline_travel_agent,ta_to,0,0,0,e,e,0,javkhlan_khan,not_applicable,0,transient_party,0,1,2016-07-04,2016.5054644808743,0,0,108.48103443245755
86.4,171,2,5,2,0,0,bed_and_breakfast,irl,offline_travel_agent,ta_to,0,0,0,e,e,0,javkhlan_khan,not_applicable,0,transient_party,0,1,2016-07-04,2016.5054644808743,0,0,108.48103443245755
94.0,166,2,5,2,0,0,breakfast_and_one_other_meal,pol,offline_travel_agent,ta_to,0,0,0,d,d,0,betzy_rodriguez,not_applicable,0,transient,0,1,2016-07-04,2016.5054644808743,0,0,108.48103443245755
82.71,223,2,5,2,0,0,bed_and_breakfast,rou,online_travel_agent,ta_to,0,0,0,a,a,0,devin_rivera_borrego,not_applicable,0,transient,0,2,2016-07-04,2016.5054644808743,0,0,108.48103443245755
211.8,177,3,5,1,2,0,breakfast_and_one_other_meal,prt,online_travel_agent,ta_to,0,0,0,g,g,1,jawaad_el_shahid,not_applicable,0,transient,1,1,2016-07-04,2016.5054644808743,0,0,108.48103443245755
85.67,205,3,6,2,1,0,bed_and_breakfast,rou,offline_travel_agent,ta_to,0,0,0,d,d,0,karli_vasquez,not_applicable,0,transient,0,1,2016-07-04,2016.5054644808743,0,0,108.48103443245755
100.0,66,3,6,2,0,0,breakfast_and_one_other_meal,prt,offline_travel_agent,ta_to,0,0,0,a,a,1,orlando_abeyta,not_applicable,0,transient,0,0,2016-07-04,2016.5054644808743,0,0,108.48103443245755
110.0,165,3,6,2,0,0,breakfast_lunch_and_dinner,bel,offline_travel_agent,ta_to,0,0,0,d,e,0,diana_medina,not_applicable,0,transient,0,0,2016-07-04,2016.5054644808743,0,0,108.48103443245755
87.8,180,3,7,2,0,0,breakfast_and_one_other_meal,gbr,offline_travel_agent,ta_to,0,0,0,a,a,0,cynthia_worsley,not_applicable,0,contract,0,0,2016-07-04,2016.5054644808743,0,0,108.48103443245755
100.89,179,3,7,2,0,0,breakfast_lunch_and_dinner,gbr,offline_travel_agent,ta_to,0,0,0,a,a,0,dareyan_manning,not_applicable,0,transient,0,0,2016-07-04,2016.5054644808743,0,0,108.48103443245755
70.0,220,3,7,2,0,0,bed_and_breakfast,pol,offline_travel_agent,ta_to,0,0,0,d,d,0,betzy_rodriguez,not_applicable,0,transient,0,0,2016-07-04,2016.5054644808743,0,0,108.48103443245755
70.0,180,3,8,2,0,0,bed_and_breakfast,gbr,offline_travel_agent,ta_to,0,0,0,d,d,0,cynthia_worsley,not_applicable,0,contract,0,0,2016-07-04,2016.5054644808743,0,0,108.48103443245755
70.0,180,3,8,2,0,0,bed_and_breakfast,gbr,offline_travel_agent,ta_to,0,0,0,d,d,0,cynthia_worsley,not_applicable,0,contract,0,0,2016-07-04,2016.5054644808743,0,0,108.48103443245755
130.5,258,3,8,2,0,0,bed_and_breakfast,dnk,online_travel_agent,ta_to,0,0,0,g,g,0,jawaad_el_shahid,not_applicable,0,transient,0,0,2016-07-04,2016.5054644808743,0,0,108.48103443245755
123.25,322,3,8,2,2,0,bed_and_breakfast,dnk,direct,direct,0,0,0,g,g,0,alexander_drake,not_applicable,0,transient,0,0,2016-07-04,2016.5054644808743,0,0,108.48103443245755
122.85,173,3,8,2,1,0,no_meal_package,prt,offline_travel_agent,ta_to,0,0,0,a,a,0,skye_fernandez,not_applicable,0,transient,0,2,2016-07-04,2016.5054644808743,0,0,108.48103443245755
134.85,173,3,8,2,1,0,no_meal_package,prt,offline_travel_agent,ta_to,0,0,0,a,a,0,skye_fernandez,not_applicable,0,transient,1,2,2016-07-04,2016.5054644808743,0,0,108.48103443245755
90.1,168,4,10,2,0,0,bed_and_breakfast,gbr,offline_travel_agent,ta_to,0,0,0,a,a,0,lance_hitchcock,not_applicable,0,contract,0,1,2016-07-04,2016.5054644808743,0,0,108.48103443245755
91.96,168,4,10,2,0,0,bed_and_breakfast,gbr,offline_travel_agent,ta_to,0,0,0,a,a,0,lance_hitchcock,not_applicable,0,contract,0,1,2016-07-04,2016.5054644808743,0,0,108.48103443245755
113.3,272,2,5,2,0,0,breakfast_and_one_other_meal,gbr,offline_travel_agent,ta_to,0,0,0,e,e,0,carlos_bryant,not_applicable,0,contract,0,3,2016-07-05,2016.5081967213114,0,0,110.40440423568941
55.65,272,2,5,1,0,0,breakfast_and_one_other_meal,gbr,offline_travel_agent,ta_to,0,0,0,a,a,0,carlos_bryant,not_applicable,0,contract,0,3,2016-07-05,2016.5081967213114,0,0,110.40440423568941
111.3,272,2,5,2,0,0,breakfast_and_one_other_meal,gbr,offline_travel_agent,ta_to,0,0,0,e,e,0,carlos_bryant,not_applicable,0,contract,0,3,2016-07-05,2016.5081967213114,0,0,110.40440423568941
91.81,273,2,5,2,0,0,breakfast_and_one_other_meal,gbr,offline_travel_agent,ta_to,0,0,0,d,d,0,jawhara_al_azad,not_applicable,0,contract,0,0,2016-07-05,2016.5081967213114,0,0,110.40440423568941
117.0,283,2,8,2,0,0,breakfast_lunch_and_dinner,gbr,offline_travel_agent,ta_to,0,0,0,d,d,0,kayce_brown,not_applicable,0,transient,0,0,2016-07-05,2016.5081967213114,0,0,110.40440423568941
110.0,126,19,50,1,0,0,breakfast_and_one_other_meal,null,direct,direct,0,0,1,e,e,2,not_applicable,not_applicable,0,transient,0,3,2016-07-05,2016.5081967213114,0,0,110.40440423568941
236.0,7,0,2,3,0,0,bed_and_breakfast,prt,online_travel_agent,ta_to,1,0,1,e,e,1,devin_rivera_borrego,not_applicable,0,transient,1,2,2016-07-05,2016.5081967213114,0,0,110.40440423568941
129.0,0,0,1,2,0,0,bed_and_breakfast,esp,online_travel_agent,ta_to,0,0,0,a,a,0,devin_rivera_borrego,not_applicable,0,transient,0,0,2016-07-05,2016.5081967213114,0,0,110.40440423568941
150.92,29,0,1,2,0,0,bed_and_breakfast,usa,online_travel_agent,ta_to,0,0,0,c,c,0,charles_najera,not_applicable,0,transient,0,1,2016-07-05,2016.5081967213114,0,0,110.40440423568941
129.0,0,0,1,2,0,0,bed_and_breakfast,prt,online_travel_agent,ta_to,0,0,0,a,a,0,devin_rivera_borrego,not_applicable,0,transient,1,1,2016-07-05,2016.5081967213114,0,0,110.40440423568941
122.43,0,0,1,2,0,0,bed_and_breakfast,prt,online_travel_agent,ta_to,0,0,0,f,f,0,charles_najera,not_applicable,0,transient,1,1,2016-07-05,2016.5081967213114,0,0,110.40440423568941
219.0,8,0,2,3,1,0,bed_and_breakfast,usa,online_travel_agent,ta_to,0,0,0,g,g,0,devin_rivera_borrego,not_applicable,0,transient_party,0,0,2016-07-05,2016.5081967213114,0,0,110.40440423568941
224.0,8,0,2,2,2,0,bed_and_breakfast,usa,online_travel_agent,ta_to,0,0,0,h,h,0,devin_rivera_borrego,not_applicable,0,transient_party,0,0,2016-07-05,2016.5081967213114,0,0,110.40440423568941
190.0,61,0,2,2,2,0,bed_and_breakfast,usa,direct,direct,0,0,0,c,c,0,not_applicable,not_applicable,0,transient,0,1,2016-07-05,2016.5081967213114,0,0,110.40440423568941
192.0,61,0,2,2,0,0,bed_and_breakfast,usa,direct,direct,0,0,0,f,f,1,not_applicable,not_applicable,0,transient,1,1,2016-07-05,2016.5081967213114,0,0,110.40440423568941
222.0,61,0,2,3,0,0,bed_and_breakfast,prt,direct,direct,0,0,0,f,f,0,not_applicable,not_applicable,0,transient,1,2,2016-07-05,2016.5081967213114,0,0,110.40440423568941
159.0,10,0,3,2,0,0,bed_and_breakfast,bel,online_travel_agent,ta_to,0,0,0,a,a,0,devin_rivera_borrego,not_applicable,0,transient,0,1,2016-07-05,2016.5081967213114,0,0,110.40440423568941
159.07,9,0,3,2,0,0,breakfast_and_one_other_meal,esp,online_travel_agent,ta_to,0,0,0,a,a,0,charles_najera,not_applicable,0,transient,1,1,2016-07-05,2016.5081967213114,0,0,110.40440423568941
135.3,293,0,4,2,0,0,breakfast_and_one_other_meal,fra,online_travel_agent,ta_to,0,0,0,d,d,0,jawaad_el_shahid,not_applicable,0,transient,1,1,2016-07-05,2016.5081967213114,0,0,110.40440423568941
86.0,6,0,4,2,0,0,bed_and_breakfast,cn,offline_travel_agent,ta_to,0,0,0,d,d,0,isaac_matsuyama,not_applicable,0,transient,0,0,2016-07-05,2016.5081967213114,0,0,110.40440423568941
146.7,12,0,5,2,0,0,bed_and_breakfast,irl,direct,direct,0,0,0,a,a,0,alexander_drake,not_applicable,0,transient,0,1,2016-07-05,2016.5081967213114,0,0,110.40440423568941
160.5,120,0,5,2,0,0,bed_and_breakfast,prt,direct,direct,0,0,0,e,e,0,not_applicable,not_applicable,0,transient,1,0,2016-07-05,2016.5081967213114,0,0,110.40440423568941
196.0,11,1,5,2,0,0,breakfast_and_one_other_meal,esp,online_travel_agent,ta_to,0,0,0,a,a,0,devin_rivera_borrego,not_applicable,0,transient,0,0,2016-07-05,2016.5081967213114,0,0,110.40440423568941
99.46,182,2,5,2,0,0,bed_and_breakfast,gbr,direct,direct,0,0,0,e,e,1,alexander_drake,not_applicable,0,transient,0,2,2016-07-05,2016.5081967213114,0,0,110.40440423568941
97.75,182,2,5,2,0,0,bed_and_breakfast,gbr,direct,direct,0,0,0,e,e,1,alexander_drake,not_applicable,0,transient,0,1,2016-07-05,2016.5081967213114,0,0,110.40440423568941
70.0,181,2,5,2,0,0,bed_and_breakfast,gbr,offline_travel_agent,ta_to,0,0,0,d,e,0,carlos_bryant,not_applicable,0,contract,0,0,2016-07-05,2016.5081967213114,0,0,110.40440423568941
97.75,182,2,5,2,0,0,bed_and_breakfast,gbr,direct,direct,0,0,0,e,e,1,alexander_drake,not_applicable,0,transient,0,1,2016-07-05,2016.5081967213114,0,0,110.40440423568941
77.4,168,2,5,2,0,0,bed_and_breakfast,gbr,offline_travel_agent,ta_to,0,0,0,d,d,0,skye_fernandez,not_applicable,0,transient,0,0,2016-07-05,2016.5081967213114,0,0,110.40440423568941
