business_name,inspection_score,Year,NumberofLocations,Weekend
WESTMARK - SOLSTICE CAFE,84,2005,47,false
PEANUT FARM - RESTAURANT,97,2019,92,false
MOMMA O'S SEAFOOD,95,2016,26,false
ORIENTAL GARDEN,82,2016,23,false
DIMOND CENTER CINEMAS,99,2007,40,false
RAY'S PLACE LLC,79,2006,109,false
WENDY'S #9,100,2008,46,false
MUFFIN MAN,91,2008,43,false
CABIN TAVERN,100,2000,23,false
DON JOSE'S MEXICAN RESTAURANT,79,2015,140,false
RAY'S PLACE LLC,79,2006,109,false
BARTLETT HIGH POOL/P & R,100,2000,21,false
YES INTERNATIONAL BISTRO,100,2015,40,false
HILTON GARDEN INN - POOL,100,2016,16,false
MCDONALD'S,96,2009,646,false
GRANNY B'S CAFE,96,2005,61,false
TAKU SCHOOL,100,2009,38,false
HOLIDAY INN EXPRESS - SPA,100,2008,40,false
MOCHA BEANS,100,2016,20,false
T.G.I. FRIDAYS,100,2004,68,false
DIMOND HIGH SCHOOL,100,2016,34,false
SHRIMP GUYS SEAFOOD #2,95,2016,8,true
CARRS #1812 - BAKERY,98,2017,8,false
HOLIDAY STATION STORE #620,98,2007,23,false
CARRS #1817 - DELI,93,2002,72,false
HOLIDAY STATIONSTORE #632 SNACK,95,2001,34,false
TACO BELL #19953,100,2000,46,false
HOLIDAY INN EXPRESS,100,2002,26,false
HAMBURGER HAVEN,84,2007,129,false
SICILY'S PIZZA,93,2005,323,false
SORRENTO'S,90,2016,52,false
NAPOLI'S PIZZA,95,2007,77,false
CAPTAIN COOK - FLETCHER'S BAR,96,2008,24,false
VILLAGE INN #3,89,2006,79,false
CHUCK E CHEESE PIZZA,95,2007,91,false
HACIENDA MEXICAN REST./BAR,97,2009,22,false
CAMP FIRE - GOVERNMENT HILL,100,2004,32,false
CAMP FIRE - CHUGACH,100,2002,31,false
BENSON SECONDARY SCHOOL,100,2004,43,false
MIDNIGHT SUN BREWING COMPANY,85,2015,34,false
INLET VIEW ELEMENTARY SCHOOL,98,2003,38,false
CAROUSEL CHILD CARE CENTER,95,2016,58,false
CAMP FIRE - ABBOTT LOOP,98,2009,32,false
CHUCK E CHEESE PIZZA,73,2000,91,false
COLD STONE CREAMERY,100,2003,92,false
CHINA TOWN RESTAURANT,71,2017,28,false
SAMURAI SUSHI,84,2008,119,false
HUMPY'S GREAT ALASKAN ALEHOUSE,93,2005,78,false
SIMON & SEAFORTS,81,2018,74,false
HILTON GARDEN INN - POOL,100,2016,16,false
BEAR TOOTH GRILL,91,2009,75,false
KALADI BROTHERS COFFEE,97,2017,99,false
"MOTHER LODE, LLC, THE",82,2017,17,false
HOLIDAY STATIONSTORE #607 SNACK,100,2007,39,false
CHUCK E CHEESE PIZZA,90,2004,91,false
CAPRI PIZZA,94,2009,28,false
JITTERS - WHERE COFFEE IS AN ART,99,2000,28,false
KOBE TEPPAYAKI HOUSE,84,2019,151,false
SORRENTO'S,98,2009,52,false
ROSCOE'S SOUL FOOD,90,2017,24,false
SUBWAY OF ALASKA #4803,97,2009,53,false
MORNING STAR CHRISTIAN SCHOOL,100,2005,35,false
RAVENWOOD ELEMENTARY CAFETERIA,100,2003,37,false
H2OASIS ACTIVITY POOL,100,2003,56,false
ANCH HILTON - BANQUET ROOM,100,2003,29,false
TACO BELL #5649,88,2017,55,false
MCDONALD'S,100,2003,646,false
KOBE TEPPAYAKI HOUSE,84,2019,151,false
CARRS #1805 - DELI,95,2016,86,false
MCDONALD'S,98,2009,646,false
WEST HIGH SCHOOL,100,2008,36,false
PLAYER'S CHOICE BINGO,92,2016,36,false
POLAR BAR,87,2005,28,false
CAPTAIN COOK - MAIN KITCHEN,97,2007,40,false
REGAL CINEMAS TOTEM 8,93,2005,47,false
GALLO'S MEXICAN RESTAURANT-BAR,91,2003,35,false
CAMP FIRE - SCENIC PARK,100,2005,38,false
STARBUCKS COFFEE CO #19819,100,2015,12,false
HILAND MOUNTAIN CORRECTIONAL CTR,91,2017,51,false
HILAND MOUNTAIN CORRECTIONAL CTR,96,2004,51,false
FRED MEYER - STARBUCKS,92,2009,82,false
YES INTERNATIONAL BISTRO,100,2015,40,false
ANCHORAGE COMMUNITY YMCA EAGLE RVR,95,2016,18,false
CARRS #1807 - SERVICE MEAT,100,2009,27,false
DARWINS THEORY BAR,91,2002,15,false
TIPS BAR,97,2017,27,false
CHINA LIGHTS ORIENTAL CUISINE LLC,85,2007,178,false
SUBWAY STORE#27668,92,2006,25,false
MCDONALD'S,87,2008,646,false
CHUGIAK/EAGLE RIVER FOOD PANTRY,95,2002,15,false
SUBWAY OF ALASKA #10986,90,2005,50,false
SOUTH ANCHORAGE AREA HIGH SCHOOL,100,2017,35,false
FRED MEYER - RETAIL FISH,100,2016,86,false
SAMURAI SUSHI,86,2017,119,false
BENIHANA RESTAURANT,95,2008,83,false
FRED MEYER - DELI,94,2015,189,false
CAPTAIN COOK - POOL,100,2002,26,false
UAA - CUDDY COFFEE HOUSE,100,2015,13,false
CARRS #520 - MEAT,98,2003,24,false
TACO KING IV,100,2015,41,false
CARRS #1817 - ORIENT EXPRESS,95,2005,53,false
CAMP FIRE - GLADYS WOOD,100,2007,32,false
SARA'S SANDWICHES,95,2009,48,false
KINLEY'S RESTAURANT & BAR INC,85,2005,71,false
BEGICH MIDDLE SCHOOL -MULDOON,100,2009,27,false
KINCAID GRILL,94,2006,49,false
LUCKY GROCERY & DELI,96,2015,13,false
HILLTOP SKI AREA,99,2002,55,false
GWENNIES RESTAURANT,90,2016,126,false
CAMP FIRE - SPRING HILL,95,2002,28,false
HOLIDAY STATION STORE #629,100,2003,23,false
LITTLE ITALY,92,2008,66,false
SAMURAI SUSHI,85,2008,119,false
THE SMOKE HOUSE #3,88,2017,13,false
"NEW CENTRAL MARKET PROCESSING, THE",81,2004,98,false
FRED MEYER - RETAIL STORE,95,2015,49,false
CREEKSIDE ELEMENTARY SCHOOL,100,2007,39,false
SERVICE HIGH SCHOOL,100,2008,42,false
5TH AVENUE DELI,90,2005,70,false
TUDOR ELEMENTARY SCHOOL,100,2017,39,false
KOBE TEPPAYAKI HOUSE,84,2019,151,false
KOBE TEPPAYAKI HOUSE,84,2019,151,false
FRED MEYER - BAKERY,100,2004,88,false
BENNY'S FOOD WAGON,85,2009,77,false
FRED MEYER  DELI #668,95,2017,52,false
FRIED RICE EXPRESS,89,2017,24,false
HOLIDAY STATIONSTORE #631,99,2006,31,false
L'AROMA BAKERY & DELI - RESTAURANT,92,2000,161,false
UNCLE JOE'S PIZZERIA #4,92,2017,40,false
DRAGON RESTAURANT,88,2009,191,false
SILVERTIP GRILL,95,2017,62,false
FLO'S PANCAKE HOUSE,98,2015,29,false
WENDY'S #5,97,2006,44,false
SHELL - EAGLE RIVER A & W,100,2006,33,false
KODIAK KUP ESPRESSO,100,2008,27,false
SIS'S DELI & ESPRESSO BAR,100,2000,47,false
THAI SIAM RESTAURANT,87,2016,56,false
FRED MEYER - STARBUCKS,100,2015,82,false
WENDY'S #1,94,2003,63,false
LUIGI'S PIZZA,70,2005,117,false
"ALASKA CLUB HOT TUB, THE",100,2005,50,false
GWENNIES RESTAURANT,85,2007,126,false
CLUB PARIS,86,2009,50,false
KIDS' CORP - EAST,100,2008,28,false
MRS FIELDS COOKIES,100,2017,6,false
LAHN PAD-THAI RESTAURANT,84,2009,102,false
FRED MEYER - RETAIL FISH,100,2004,86,false
COLD STONE CREAMERY,93,2009,92,false
LITTLE BEARS PLAYHOUSE,100,2008,32,false
MEKONG RESTAURANT,90,2009,86,false
CAPTAIN COOK - THE CAFE,86,2005,54,false
SUBWAY OF ALASKA #10986,100,2016,50,false
FIRE LAKE ELEMENTARY CAFETERIA,100,2017,38,false
GOLDEN CORRAL,90,2016,114,false
ASIAN KITCHEN - NORTHWOOD,97,2015,51,false
BISTRO IT LOUNGE,97,2016,8,false
JUDY'S CAFE,93,2002,55,false
BEAR TOOTH GRILL,96,2003,75,false
O'MALLEY ON THE GREEN - RESTAURANT,83,2002,50,false
CLARK MIDDLE SCHOOL,94,2002,40,false
HANSHEW MIDDLE SCHOOL,100,2016,40,false
SUBWAY OF GIRDWOOD INCORPORATED,98,2016,12,false
CAMP FIRE - CHESTER VALLEY,100,2018,20,false
YES INTERNATIONAL BISTRO,100,2015,40,false
PIZZA MAN #1,89,2004,83,false
UNCLE JOE'S PIZZERIA #2,99,2001,36,false
CHAIR 5,98,2004,72,false
SOUTHSIDE BISTRO,91,2007,59,false
SAMURAI SUSHI,73,2009,119,false
GWENNIES RESTAURANT,90,2007,126,false
CARRS #520 -  DELI,89,2004,80,false
FRIED RICE EXPRESS,89,2017,24,false
FAIRVIEW ELEMENTARY SCHOOL,98,2000,38,false
DING HOW RESTAURANT,89,2004,196,false
FAIRFIELD INN & SUITES - HOT TUB,100,2017,28,false
KINCAID ELEMENTARY,100,2007,38,false
WENDLER MIDDLE SCHOOL,100,2006,43,false
ROCHELLE'S ICE CREAM - S,98,2017,17,false
URBAN SUSHI SPOT,93,2016,36,false
LUIGI'S PIZZA,70,2005,117,false
CAMP FIRE - TRAILSIDE,100,2016,30,false
FAITH DAY CARE & LEARNING CENTER,100,2003,43,false
CARRS #520 -  DELI,92,2008,80,false
BRIGHT BEGINNINGS EARLY LEARNING,90,2006,134,false
NEW PHO SAIGON RESTAURANT,79,2015,112,false
JALAPENOS MEXICAN RESTAURANT,96,2004,104,false
SWEET BASIL CAFE,90,2017,96,false
PEKING WOK,94,2016,271,false
OUTBACK STEAKHOUSE REST.,84,2016,124,false
MIDNIGHT MOOSE,100,2016,5,false
SLEEPY COYOTE CAFE,96,2002,22,false
RAE RAE'S II,89,2015,71,false
TACO GRANDE #1,90,2009,32,false
ARCTIC CHOICE,100,2015,8,true
BLAINES KITCHEN & SNACK BAR,89,2016,18,false
MIDDLE WAY CAFE,86,2009,62,false
BAYSHORE CLUBHOUSE - SPA,100,2017,35,false
PROVIDENCE HOSPITAL - CAFE SOLANGE,98,2005,33,false
H2OASIS SLOW RIVER,100,2015,57,false
BURGER JIM #1,92,2017,101,false
SARA'S SANDWICHES,100,2006,48,false
WONDER PARK SCHOOL,100,2005,37,false
PEANUT FARM SPORTS BAR & GRILL,95,2019,50,false
BAHAY KUBO RESTAURANT,91,2016,19,false
CARRS #1812 - ORIENT EXPRESS,100,2007,34,false
"OLIVE GARDEN ITALIAN RESTAURANT, THE #4412",89,2016,37,false
KOBE TEPPAYAKI HOUSE,84,2019,151,false
CARRS #2628 - STARBUCKS,100,2005,20,false
"ALASKA CLUB SOUTH, THE (SNACK BAR)",91,2016,36,false
KALADI BROS. COFFEE,98,2015,48,false
SPRING HILL ELEM CAFETERIA,96,2006,37,false
HOLIDAY INN EXPRESS - POOL,100,2006,37,false
ROGERS PARK ELEMENTARY SCHOOL,100,2007,38,false
BURGER JIM #1,87,2009,101,false
VILLA PIZZA,82,2004,68,false
JUDY'S CAFE,99,2015,55,false
HOLY SPIRIT CENTER,90,2009,24,false
UNCLE JOE'S PIZZERIA #4,92,2003,40,false
HOLIDAY STATIONSTORE #628 SNACKBAR,94,2009,57,false
VIP DBA YOUNG BIN RESTAURANT,93,2004,115,false
EDDIES SPORTS BAR-,97,2017,8,false
GROUND THEORY/GRANT HALL COFFEE SHOP,98,2017,15,false
H2OASIS ALASKA TUB,100,2017,58,false
NEW SAGAYA CITY MARKET - GROCERY,90,2005,43,false
CHINA TOWN RESTAURANT,92,2016,28,false
KOBE TEPPAYAKI HOUSE,84,2019,151,false
GLACIER BREWHOUSE,82,2007,70,false
KIDS' CORP - EAST,100,2004,28,false
KOBE TEPPAYAKI HOUSE,84,2019,151,false
ANCHORAGE SENIOR CENTER,90,2015,95,false
"BARRY'S BARANOF LOUNGE, INC",86,2017,8,false
HOLIDAY STATIONSTORE SNACKBAR #625,89,2017,36,false
FRED MEYER 00656 - RETAIL FISH,100,2008,19,false
ANCHORAGE CORRECTIONAL FACILITY WEST,96,2016,58,false
SUBWAY,98,2017,99,false
DON JOSE'S MEXICAN RESTAURANT,87,2007,140,false
MT VIEW RED APPLE GROCERY,93,2007,42,false
CACHE STORE 2 - SNACK,90,2016,8,false
HOLIDAY STATION STORE #638,100,2016,30,false
BRANDIES,94,2016,34,false
FRED MEYER - BAKERY,98,2003,88,false
DING HOW RESTAURANT,90,2005,196,false
LOS ARCOS RESTAURANT,82,2006,79,false
ESSENTIAL 1 POWER STOP,94,2009,44,false
FAIRFIELD INN & SUITES -  POOL,100,2005,22,false
GLACIER BREWHOUSE,91,2005,70,false
FRED MEYER  DELI #668,95,2017,52,false
SULLIVAN ARENA - S E PORT,100,2007,17,false
JAVA THE HUT,88,2007,79,false
MORNING STAR CHRISTIAN SCHOOL,100,2015,35,false
IMAGINATION STATION,96,2016,19,false
CARRS #1813 GASOLINE STATION,97,2017,12,false
GINGER,92,2015,58,false
CHUGIAK ELEMENTARY SCHOOL,100,2008,41,false
KALADI BROTHERS COFFEE - DOWNSTAIRS,100,2000,30,false
BOBBY'S CAFE,95,2017,55,false
SPARE ROOM (HAROLD'S),89,2007,30,false
CAPTAIN COOK - MAIN KITCHEN,100,2001,40,false
BASKIN ROBBINS #8046,100,2001,54,false
GALLO'S LOUNGE,95,2009,32,false
CROW CREEK MERCANTILE #1839,100,2007,53,false
BROTHER FRANCIS SHELTER,95,2017,12,false
GALLO'S LOUNGE,100,2002,32,false
DRAGON RESTAURANT,73,2004,191,false
STARBUCKS COFFEE CO #11426,100,2016,17,false
MEARS MIDDLE SCHOOL,100,2017,39,false
KOREAN RICE CAKE CO,82,2008,49,false
SUBWAY OF ALASKA #14372,83,2004,62,false
AIRPORT HEIGHTS SCHOOL,100,2006,37,false
ANCHORAGE CHRISTIAN PRESCHOOL,93,2002,48,false
ORGANIC OASIS HEALTH FOODS,89,2007,96,false
MCGINLEY'S IRISH PUB - FOOD,100,2006,17,false
WAFFLE RUSH,96,2017,15,false
CARRS #1817 - DELI,93,2002,72,false
KOBE TEPPAYAKI HOUSE,84,2019,151,false
TEXAS ROADHOUSE OLD SEWARD - REST,82,2018,18,true
UAA - BEAR NECESSITIES,100,2007,13,false
FRED MEYER - DELI,92,2005,189,false
ALPENGLOW ELEMENTARY,100,2006,39,false
SAND LAKE ELEMENTARY SCHOOL,100,2018,19,false
CAMP FIRE - RAVENWOOD,100,2015,32,false
CAFE LOCO 2,95,2007,66,false
BIRCHWOOD SALOON,96,2017,35,false
CHILDREN'S WORLD,100,2016,58,false
SUBWAY OF ALASKA #7527,98,2006,53,false
ANCHORAGE MARRIOTT DOWNTOWN,85,2008,43,false
SICILY'S PIZZA,92,2000,323,false
DRAGON RESTAURANT,82,2005,191,false
BLUES CENTRAL BAR,88,2016,9,false
"HOT SPOT, THE",94,2007,36,false
PEANUT FARM - BAR,97,2019,32,false
FLO'S PANCAKE HOUSE,88,2016,29,false
CARRS #1813 - RETAIL FISH,99,2006,26,false
JJ'S SPORTS LOUNGE,91,2015,24,false
"BARRY'S BARANOF LOUNGE, INC",86,2017,8,false
AFC SUSHI #668 @ FRED MEYER,100,2005,26,false
MCDONALD'S,99,2000,646,false
NORTHERN LIGHTS ESPRESSO CAFE,95,2007,27,false
MUFFIN MAN,95,2006,43,false
VILLA PIZZA,94,2008,68,false
PHO LENA,99,2017,23,false
FRED MEYER - DELI,93,2006,189,false
TRAILSIDE ELEMENTARY SCHOOL,99,2002,38,false
HULA HANDS RESTAURANT,100,2000,181,false
LITTLE BEARS PLAYHOUSE,100,2017,32,false
ANCHORAGE CORRECTIONAL COMPLEX EAST,93,2005,67,false
CACHE STORE 2,100,2018,7,false
WALGREENS #12680,90,2015,16,false
KOBE TEPPAYAKI HOUSE,84,2019,151,false
SOUTHSIDE BISTRO,91,2005,59,false
EAGLE RIVER ELEMENTARY SCHOOL,94,2001,35,false
TACO BELL #15248,96,2005,36,false
MIDDLE WAY CAFE,86,2016,62,false
SWEET PINK PEPPER,91,2006,154,false
CROSTINI CAFE,85,2004,53,false
TWIN DRAGON,76,2007,127,false
CAFE LOCO 2,100,2015,66,false
BEAR VALLEY ELEMENTARY,100,2003,38,false
LUCKY MARKET,96,2016,31,false
HOLIDAY STATION STORE #601,96,2000,42,false
CARRS #1813 - DELI,100,2004,68,false
KIDS' CORP - MULDOON,100,2009,51,false
BEAR MOUNTAIN GRILL,92,2008,81,false
SUBWAY OF ALASKA #15777,92,2016,70,false
CARRS #1805 - SALAD BAR,94,2008,40,false
UAA - CREEKSIDE COMMONS,100,2003,63,false
CARRS #1817 - RETAIL MEAT,99,2002,18,false
RUSSIAN JACK ELEMENTARY SCHOOL,100,2016,38,false
PANCHO'S VILLA,99,2001,62,false
ORSO,88,2018,39,false
"ALASKA MINT, LLC",100,2016,15,false
SPENARD ROAD HOUSE,92,2009,53,false
PHO LENA,91,2016,23,false
O'MALLEY ON THE GREEN - SNACK BAR,90,2004,25,false
UAA - SPIRIT EXPRESS,90,2017,12,false
ANCHORAGE RESCUE MISSION,85,2005,59,false
ESPRESSO ESPRESSIONS CAFE & EATERY,93,2016,110,false
BOBBY'S CAFE,92,2015,55,false
COMFORT SUITES/KITCHEN,97,2015,37,false
CARRS #1805 - DELI,88,2009,86,false
RISE & SHINE BAKERY,100,2016,10,false
CENTURY THEATRE,100,2006,31,false
H2OASIS ACTIVITY POOL,100,2004,56,false
LALO'S PIZZA,95,2008,41,false
PIZZA PLAZA,100,2004,90,false
CHEPO'S-BAR,89,2016,26,false
"BARNES & NOBLE BOOKSELLERS, INC",94,2007,36,false
HUMPY'S SUB-ZERO,100,2002,38,false
MCDONALD'S,100,2015,646,false
KALADI BROTHERS COFFEE,89,2006,99,false
SOUTHSIDE CHEVRON - GROCERY,100,2015,6,false
BENIHANA RESTAURANT - BAR,100,2000,20,false
I.H.O.P.,93,2016,208,false
DOWNTOWN CHEVRON - SNACK BAR,95,2001,33,false
MCDONALD'S,100,2015,646,false
MILLENIUM HOTEL - FLYING MACHINE,91,2008,123,false
VILLA PIZZA,94,2016,68,false
FAIRFIELD INN & SUITES - SNACKS,100,2017,4,false
PEPPERCINI'S DELI HOUSE,83,2017,25,false
"NEW CENTRAL MARKET, THE",93,2016,55,false
MOUNTAIN VIEW ELEM SCHOOL,100,2006,45,false
ANCH HILTON - HOOPER BAY,90,2006,76,false
BASKIN ROBBINS,88,2015,75,false
ANCHORAGE SENIOR CENTER,96,2007,95,false
JUDY'S CAFE,96,2017,55,false
HOST COMMISSARY,93,2004,48,false
SUBWAY OF ALASKA #4802,89,2003,37,false
ROMANO'S,94,2008,54,false
GALLO'S LOUNGE,96,2016,32,false
PIPER'S LOUNGE,89,2002,27,false
MEKONG MARKET,100,2007,30,false
CROSTINI CAFE,95,2015,53,false
FRED MEYER - DELI,93,2007,189,false
HAMBURGER HAVEN,76,2016,129,false
AK ALCHEMIST,91,2015,30,false
ALASKA SAUSAGE CO INC.,99,2003,20,false
TACO KING III,82,2006,47,false
OUTBACK STEAKHOUSE - BAR,98,2005,36,false
AK FRESH SEAFOOD & SPICE,95,2016,13,false
FRUITLAND FRESH #2,100,2004,37,false
SAMURAI SUSHI,88,2009,119,false
ANCHORAGE COMFORT INN - POOL,100,2004,40,false
CARRS #1807 - GROCERY,97,2006,36,false
HOLIDAY STATIONSTORE #632 SNACK,98,2016,34,false
MILLENIUM HOTEL - FANCY MOOSE BAR,93,2006,47,false
NAPOLI'S PIZZA,95,2007,77,false
