caste,treat,time,Iz,Iy,trtime
Worker,CAP,12.5,0.67,0.33,CAP12
Worker,CAP,12.5,0.33,0.67,CAP12
Worker,CAP,12.5,0.33,1.0,CAP12
Worker,CAP,12.5,0.83,0.33,CAP12
Worker,CAP,12.5,0.83,0.5,CAP12
Worker,CAP,12.5,0.67,0.33,CAP12
Worker,MAL,12.5,0.0,1.0,MAL12
Worker,MAL,12.5,0.67,0.67,MAL12
Worker,MAL,12.5,0.33,1.83,MAL12
Worker,MAL,12.5,0.67,0.5,MAL12
Worker,MAL,12.5,0.0,1.33,MAL12
Worker,MAL,12.5,0.17,1.5,MAL12
Worker,MAL,12.5,0.0,1.0,MAL12
Worker,MAL,12.5,0.33,1.0,MAL12
Worker,MAL,12.5,0.33,1.0,MAL12
Worker,MAL,12.5,0.0,1.0,MAL12
Worker,CAP,15.0,0.67,0.33,CAP15
Worker,CAP,15.0,0.33,0.67,CAP15
Worker,CAP,15.0,0.5,1.0,CAP15
Worker,CAP,15.0,0.67,0.5,CAP15
Worker,CAP,15.0,0.0,1.0,CAP15
Worker,CAP,15.0,0.5,0.67,CAP15
Worker,CAP,15.0,0.5,0.5,CAP15
Worker,CAP,15.0,0.67,0.5,CAP15
Worker,CAP,15.0,0.0,1.0,CAP15
Worker,CAP,15.0,0.0,1.0,CAP15
Worker,MAL,15.0,0.0,1.33,MAL15
Worker,MAL,15.0,0.0,1.17,MAL15
Worker,MAL,15.0,0.17,0.83,MAL15
Worker,MAL,15.0,0.0,1.33,MAL15
Worker,MAL,15.0,0.0,1.0,MAL15
Worker,MAL,15.0,0.0,1.17,MAL15
Worker,MAL,15.0,0.0,1.0,MAL15
Worker,MAL,15.0,0.17,0.83,MAL15
Worker,MAL,15.0,0.0,1.33,MAL15
Worker,MAL,15.0,0.17,0.83,MAL15
