dbh,wood,bark,root,rootsk,branch,species,fac26
8,29,,,,,E. pilularis,2
5,14,,2.0,2.4,,Acacia mabellae,z
5,10,,,,,Acacia mabellae,z
8,31,,,,,Acacia mabellae,z
10,59,,,,,Acacia mabellae,z
8,30,,6.0,1.0,4,Acacia mabellae,z
63,5094,,,,,E. pilularis,2
47,2147,456,,,99,E. pilularis,2
37,1728,229,,,87,E. pilularis,2
45,1979,397,,,87,E. pilularis,2
50,2706,,,,105,E. pilularis,2
50,2638,401,,,112,E. pilularis,2
8,35,,,,9,E. pilularis,2
9,42,,,,10,E. pilularis,2
9,42,,,,,E. pilularis,2
9,42,,,,9,E. pilularis,2
22,320,,51.0,17.0,30,Acacia mabellae,z
9,20,,6.0,1.0,13,Acacia mabellae,z
10,29,,,,10,Acacia mabellae,z
10,35,,9.0,2.0,17,Acacia mabellae,z
19,203,,16.0,11.0,46,Acacia mabellae,z
35,1090,,66.0,24.0,92,Acacia mabellae,z
18,,,100.0,9.0,,E. botryoides,z
6,10,,,,11,C. fraseri,z
4,7,,,,6,C. fraseri,z
4,3,,,,5,C. fraseri,
6,13,,,,5,C. fraseri,z
5,9,,,,8,C. fraseri,z
8,20,,,,9,C. fraseri,
6,16,,,,6,C. fraseri,
5,7,,,,8,C. fraseri,z
7,29,,,,14,C. fraseri,z
5,12,,,,8,C. fraseri,
7,25,,,,16,C. fraseri,z
6,10,,,,9,C. fraseri,z
25,506,,,,45,Acmena smithii,6
24,508,,,,65,Acmena smithii,6
31,817,,,,95,Acmena smithii,6
21,274,,,,31,Acmena smithii,6
16,162,,,,25,Acmena smithii,6
27,540,,,,55,Acmena smithii,6
19,272,,,,52,Acmena smithii,6
21,293,,,,,Acmena smithii,6
10,77,,,,,Acmena smithii,6
23,408,,,,,Acmena smithii,6
27,550,105,44.0,9.0,59,B. myrtifolia,z
26,414,78,38.0,13.0,44,B. myrtifolia,z
9,42,8,5.0,1.3,7,B. myrtifolia,z
12,85,13,17.0,2.2,16,B. myrtifolia,z
9,35,,,,9,B. myrtifolia,z
11,60,,,,13,B. myrtifolia,z
10,60,,,,12,B. myrtifolia,z
37,1250,,,,76,B. myrtifolia,z
37,990,,,,90,B. myrtifolia,z
20,290,,,,36,B. myrtifolia,z
56,1500,,,,,B. myrtifolia,z
9,40,,,,,Acmena smithii,6
17,216,,,,40,Acmena smithii,6
17,208,,,,,Acmena smithii,6
10,50,,,,,Acmena smithii,6
6,18,,,,,Acmena smithii,6
22,382,,,,,Acmena smithii,6
15,161,,,,,Acmena smithii,6
15,140,,,,,Acmena smithii,6
19,280,,,,,Acmena smithii,6
11,84,,,,,Acmena smithii,6
9,50,,,,,Acmena smithii,6
25,510,,,,45,Acmena smithii,6
22,400,,,,35,Acmena smithii,6
10,70,,,,,Acmena smithii,6
12,115,,,,,Acmena smithii,6
48,1530,,,,120,Acmena smithii,6
43,1540,,,,60,Other,z
35,720,,,,60,Other,z
29,560,,,,42,Other,z
