player,team,position,salary
Brian Roberts,Baltimore Orioles,Second Baseman,10000.0
Julio Lugo,Baltimore Orioles,Shortstop,9250.0
Nick Markakis,Baltimore Orioles,Outfielder,7100.0
Mike Gonzalez,Baltimore Orioles,Pitcher,6000.0
Miguel Tejada,Baltimore Orioles,Third Baseman,6000.0
Koji Uehara,Baltimore Orioles,Pitcher,5000.0
Luke Scott,Baltimore Orioles,Outfielder,4050.0
Garrett Atkins,Baltimore Orioles,First Baseman,4000.0
Ty Wigginton,Baltimore Orioles,Third Baseman,3500.0
Jeremy Guthrie,Baltimore Orioles,Pitcher,3000.0
Cesar Izturis,Baltimore Orioles,Shortstop,2600.0
Will Ohman,Baltimore Orioles,Pitcher,1350.0
Brian Matusz,Baltimore Orioles,Pitcher,1300.0
Mark Hendrickson,Baltimore Orioles,Pitcher,1200.0
Cla Meredith,Baltimore Orioles,Pitcher,850.0
Matt Albers,Baltimore Orioles,Pitcher,680.0
Adam Jones,Baltimore Orioles,Outfielder,465.0
Jim Johnson,Baltimore Orioles,Pitcher,440.0
Felix Pie,Baltimore Orioles,Outfielder,420.0
Brad Bergesen,Baltimore Orioles,Pitcher,405.0
David J. Hernandez,Baltimore Orioles,Pitcher,402.5
Jason Berken,Baltimore Orioles,Pitcher,400.0
Nolan Reimold,Baltimore Orioles,Outfielder,400.0
Craig Tatum,Baltimore Orioles,Catcher,400.0
Matt Wieters,Baltimore Orioles,Catcher,400.0
John Lackey,Boston Red Sox,Pitcher,18700.0
J.D. Drew,Boston Red Sox,Outfielder,14000.0
David Ortiz,Boston Red Sox,Designated Hitter,13000.0
Mike Lowell,Boston Red Sox,Third Baseman,12500.0
Josh Beckett,Boston Red Sox,Pitcher,12100.0
Kevin Youkilis,Boston Red Sox,First Baseman,9375.0
Jonathan Papelbon,Boston Red Sox,Pitcher,9350.0
Adrian Beltre,Boston Red Sox,Third Baseman,9000.0
Bill Hall,Boston Red Sox,Third Baseman,8525.0
Daisuke Matsuzaka,Boston Red Sox,Pitcher,8333.333
Mike Cameron,Boston Red Sox,Outfielder,7750.0
Victor Martinez,Boston Red Sox,Catcher,7700.0
Marco Scutaro,Boston Red Sox,Shortstop,5500.0
Jonathan Lester,Boston Red Sox,Pitcher,3750.0
Dustin Pedroia,Boston Red Sox,Second Baseman,3750.0
Tim Wakefield,Boston Red Sox,Pitcher,3500.0
Jeremy Hermida,Boston Red Sox,Outfielder,3345.0
Jason Varitek,Boston Red Sox,Catcher,3000.0
Hideki Okajima,Boston Red Sox,Pitcher,2750.0
Ramon S. Ramirez,Boston Red Sox,Pitcher,1155.0
Junichi Tazawa,Boston Red Sox,Pitcher,1100.0
Manny Delcarmen,Boston Red Sox,Pitcher,905.0
Boof Bonser,Boston Red Sox,Pitcher,650.0
Scott Schoeneweis,Boston Red Sox,Pitcher,500.0
Jacoby Ellsbury,Boston Red Sox,Outfielder,496.5
Clay Buchholz,Boston Red Sox,Pitcher,443.0
Jed Lowrie,Boston Red Sox,Shortstop,434.0
Scott Atchison,Boston Red Sox,Pitcher,420.0
Daniel Bard,Boston Red Sox,Pitcher,415.5
Alfonso Soriano,Chicago Cubs,Outfielder,19000.0
Carlos Zambrano,Chicago Cubs,Pitcher,18875.0
Aramis Ramirez,Chicago Cubs,Third Baseman,16750.0
Kosuke Fukudome,Chicago Cubs,Outfielder,14000.0
Ryan Dempster,Chicago Cubs,Pitcher,13500.0
Derrek Lee,Chicago Cubs,First Baseman,13250.0
Ted Lilly,Chicago Cubs,Pitcher,13000.0
Carlos Silva,Chicago Cubs,Pitcher,12750.0
Xavier Nady,Chicago Cubs,Outfielder,3300.0
Marlon Byrd,Chicago Cubs,Outfielder,3000.0
Jeff Samardzija,Chicago Cubs,Pitcher,3000.0
John Grabow,Chicago Cubs,Pitcher,2700.0
Ryan Theriot,Chicago Cubs,Shortstop,2600.0
Carlos Marmol,Chicago Cubs,Pitcher,2125.0
Mike Fontenot,Chicago Cubs,Second Baseman,1000.0
Jeff Baker,Chicago Cubs,Second Baseman,975.0
Sean Marshall,Chicago Cubs,Pitcher,950.0
Chad Tracy,Chicago Cubs,Third Baseman,900.0
Angel Guzman,Chicago Cubs,Pitcher,825.0
Tom Gorzelanny,Chicago Cubs,Pitcher,800.0
Koyie Hill,Chicago Cubs,Catcher,700.0
Geovany Soto,Chicago Cubs,Catcher,575.0
Randy Wells,Chicago Cubs,Pitcher,427.0
Justin Berg,Chicago Cubs,Pitcher,403.0
Esmailin Caridad,Chicago Cubs,Pitcher,403.0
Tyler Colvin,Chicago Cubs,Outfielder,401.0
James Russell,Chicago Cubs,Pitcher,400.0
Jake Peavy,Chicago White Sox,Pitcher,15000.0
Mark Buehrle,Chicago White Sox,Pitcher,14000.0
Paul Konerko,Chicago White Sox,First Baseman,12000.0
Alex Rios,Chicago White Sox,Outfielder,10200.0
Bobby Jenks,Chicago White Sox,Pitcher,7500.0
Juan Pierre,Chicago White Sox,Outfielder,7000.0
A.J. Pierzynski,Chicago White Sox,Catcher,6750.0
Scott Linebrink,Chicago White Sox,Pitcher,5000.0
Mark Teahen,Chicago White Sox,Outfielder,3750.0
John Danks,Chicago White Sox,Pitcher,3450.0
Carlos Quentin,Chicago White Sox,Outfielder,3200.0
J.J. Putz,Chicago White Sox,Pitcher,3000.0
Gavin Floyd,Chicago White Sox,Pitcher,2750.0
Matt Thornton,Chicago White Sox,Pitcher,2250.0
Mark Kotsay,Chicago White Sox,Outfielder,1500.0
Omar Vizquel,Chicago White Sox,Shortstop,1375.0
Alexei Ramirez,Chicago White Sox,Second Baseman,1225.0
Ramon Pena,Chicago White Sox,Pitcher,1200.0
Freddy Garcia,Chicago White Sox,Pitcher,1000.0
Ramon Castro,Chicago White Sox,Catcher,800.0
Andruw Jones,Chicago White Sox,Designated Hitter,500.0
Gordon Beckham,Chicago White Sox,Second Baseman,445.0
Jayson Nix,Chicago White Sox,Second Baseman,420.0
Randall Williams,Chicago White Sox,Pitcher,415.0
Donny Lucy,Chicago White Sox,Catcher,400.0
Sergio Santos,Chicago White Sox,Pitcher,400.0
Aaron Harang,Cincinnati Reds,Pitcher,12500.0
Francisco Cordero,Cincinnati Reds,Pitcher,12125.0
Bronson Arroyo,Cincinnati Reds,Pitcher,11625.0
Scott Rolen,Cincinnati Reds,Third Baseman,7666.666
Brandon Phillips,Cincinnati Reds,Second Baseman,6937.5
Ramon Hernandez,Cincinnati Reds,Catcher,3868.376
Aaron Miles,Cincinnati Reds,Second Baseman,2700.0
Mike Lincoln,Cincinnati Reds,Pitcher,2500.0
Orlando Cabrera,Cincinnati Reds,Shortstop,2020.0
Arthur Rhodes,Cincinnati Reds,Pitcher,2000.0
Nick Masset,Cincinnati Reds,Pitcher,1035.0
Jonny Gomes,Cincinnati Reds,Outfielder,800.0
Joey Votto,Cincinnati Reds,First Baseman,525.0
Johnny Cueto,Cincinnati Reds,Pitcher,445.0
Edison Volquez,Cincinnati Reds,Pitcher,445.0
Jay Bruce,Cincinnati Reds,Outfielder,440.0
Micah Owings,Cincinnati Reds,Pitcher,440.0
Homer Bailey,Cincinnati Reds,Outfielder,418.0
Wladimir Balentien,Cincinnati Reds,Outfielder,416.0
Chris Dickerson,Cincinnati Reds,Outfielder,415.0
Ryan Hanigan,Cincinnati Reds,Catcher,415.0
Daniel Herrera,Cincinnati Reds,Pitcher,412.5
Paul Janish,Cincinnati Reds,Shortstop,412.5
Juan Francisco,Cincinnati Reds,Third Baseman,400.0
Logan Ondrusek,Cincinnati Reds,Pitcher,400.0
Drew Stubbs,Cincinnati Reds,Outfielder,400.0
Travis Hafner,Cleveland Indians,Designated Hitter,11500.0
Jake Westbrook,Cleveland Indians,Pitcher,11000.0
Kerry Wood,Cleveland Indians,Pitcher,10500.0
Grady Sizemore,Cleveland Indians,Outfielder,5766.666
Fausto Carmona,Cleveland Indians,Pitcher,5087.5
Jhonny Peralta,Cleveland Indians,Third Baseman,4850.0
Russell Branyan,Cleveland Indians,First Baseman,1500.0
Jamey Wright,Cleveland Indians,Pitcher,900.0
Mike Redmond,Cleveland Indians,Catcher,850.0
Rafael Perez,Cleveland Indians,Pitcher,795.0
Austin Kearns,Cleveland Indians,Outfielder,750.0
Mark Grudzielanek,Cleveland Indians,Second Baseman,600.0
Shin-Soo Choo,Cleveland Indians,Outfielder,461.1
Asdrubal Cabrera,Cleveland Indians,Shortstop,444.6
Joe Smith,Cleveland Indians,Pitcher,427.5
Justin Masterson,Cleveland Indians,Pitcher,427.0
Anthony Reyes,Cleveland Indians,Pitcher,425.0
Chris Perez,Cleveland Indians,Pitcher,423.8
Jensen Lewis,Cleveland Indians,Pitcher,422.4
Aaron Laffey,Cleveland Indians,Pitcher,421.9
Luis Valbuena,Cleveland Indians,Infielder,414.7
Andy Marte,Cleveland Indians,First Baseman,413.4
David Huff,Cleveland Indians,Pitcher,410.7
Tony Sipp,Cleveland Indians,Pitcher,407.3
Matt LaPorta,Cleveland Indians,Outfielder,402.7
Lou Marson,Cleveland Indians,Catcher,401.2
Michael Brantley,Cleveland Indians,Outfielder,400.8
Mitch Talbot,Cleveland Indians,Pitcher,400.7
Hector Ambriz,Cleveland Indians,Pitcher,400.0
Todd Helton,Colorado Rockies,First Baseman,17775.0
Aaron Cook,Colorado Rockies,Pitcher,9625.0
Brad Hawpe,Colorado Rockies,Outfielder,7500.0
Huston Street,Colorado Rockies,Pitcher,7200.0
Jeff Francis,Colorado Rockies,Pitcher,5750.0
Jorge De La Rosa,Colorado Rockies,Pitcher,5600.0
Rafael Betancourt,Colorado Rockies,Pitcher,3775.0
Troy Tulowitzkii,Colorado Rockies,Shortstop,3500.0
Clint Barmes,Colorado Rockies,Second Baseman,3325.0
Manuel Corpas,Colorado Rockies,Pitcher,2750.0
Miguel Olivo,Colorado Rockies,Catcher,2000.0
Jason Hammel,Colorado Rockies,Pitcher,1900.0
Jason Giambi,Colorado Rockies,First Baseman,1750.0
Chris Iannetta,Colorado Rockies,Catcher,1750.0
Ryan Spilborghs,Colorado Rockies,Outfielder,1300.0
Melvin Mora,Colorado Rockies,Third Baseman,1275.0
Ubaldo Jimenez,Colorado Rockies,Pitcher,1250.0
Taylor Buchholz,Colorado Rockies,Pitcher,1055.0
Matt Belisle,Colorado Rockies,Pitcher,850.0
Randy Flores,Colorado Rockies,Pitcher,650.0
Ian Stewart,Colorado Rockies,Third Baseman,408.0
Seth Smith,Colorado Rockies,Outfielder,407.0
Dexter Fowler,Colorado Rockies,Outfielder,406.0
Carlos Gonzalez,Colorado Rockies,Outfielder,406.0
Franklin Morales,Colorado Rockies,Pitcher,406.0
Matt Daley,Colorado Rockies,Pitcher,404.0
Greg Reynolds,Colorado Rockies,Pitcher,403.0
Esmil Rogers,Colorado Rockies,Pitcher,401.0
Miguel Cabrera,Detroit Tigers,First Baseman,20000.0
Magglio Ordonez,Detroit Tigers,Outfielder,17825.976
Carlos Guillen,Detroit Tigers,Outfielder,13000.0
Jeremy Bonderman,Detroit Tigers,Pitcher,12500.0
Dontrelle Willis,Detroit Tigers,Pitcher,12000.0
Johnny Damon,Detroit Tigers,Outfielder,8000.0
Jose Valverde,Detroit Tigers,Pitcher,6886.052
Justin Verlander,Detroit Tigers,Pitcher,6850.0
Brandon Inge,Detroit Tigers,Third Baseman,6600.0
Gerald Laird,Detroit Tigers,Catcher,3950.0
Bobby Seay,Detroit Tigers,Pitcher,2475.0
Rick Porcello,Detroit Tigers,Pitcher,1920.0
Adam Everett,Detroit Tigers,Shortstop,1550.0
Max Scherzer,Detroit Tigers,Pitcher,1500.0
Ramon Santiago,Detroit Tigers,Shortstop,1250.0
Brad Thomas,Detroit Tigers,Pitcher,1000.0
Zach Miner,Detroit Tigers,Pitcher,950.0
Joel Zumaya,Detroit Tigers,Pitcher,915.0
Ryan Raburn,Detroit Tigers,Outfielder,438.0
Phil Coke,Detroit Tigers,Pitcher,425.0
Ryan Perry,Detroit Tigers,Pitcher,408.5
Fu-Te Ni,Detroit Tigers,Pitcher,407.5
Don Kelly,Detroit Tigers,Outfielder,405.0
Alex Avila,Detroit Tigers,Catcher,404.9
Eddie Bonine,Detroit Tigers,Pitcher,404.0
Austin Jackson,Detroit Tigers,Outfielder,400.0
Scott Sizemore,Detroit Tigers,Second Baseman,400.0
Nate Robertson,Florida Marlins,Pitcher,10000.0
Dan Uggla,Florida Marlins,Second Baseman,7800.0
Hanley Ramirez,Florida Marlins,Shortstop,7000.0
Jorge Cantu,Florida Marlins,Third Baseman,6000.0
Cody Ross,Florida Marlins,Outfielder,4450.0
Ricky Nolasco,Florida Marlins,Pitcher,3800.0
Josh Johnson,Florida Marlins,Pitcher,3750.0
Leo Nunez,Florida Marlins,Pitcher,2000.0
Andrew Miller,Florida Marlins,Pitcher,1790.219
Anibal Sanchez,Florida Marlins,Pitcher,1250.0
Ronny Paulino,Florida Marlins,Catcher,1100.0
Renyel Pinto,Florida Marlins,Pitcher,1075.0
Wes Helms,Florida Marlins,Third Baseman,950.0
Jose Veras,Florida Marlins,Pitcher,550.0
Mike Lamb,Florida Marlins,Third Baseman,500.0
Chris Coghlan,Florida Marlins,Outfielder,475.0
Clay Hensley,Florida Marlins,Pitcher,425.0
Emilio Bonifacio,Florida Marlins,Second Baseman,420.0
Chris Volstad,Florida Marlins,Pitcher,420.0
John D. Baker,Florida Marlins,Catcher,415.0
Brian Barden,Florida Marlins,Third Baseman,415.0
Dan Meyer,Florida Marlins,Pitcher,415.0
Brian Sanches,Florida Marlins,Pitcher,412.5
Burke Badenhop,Florida Marlins,Pitcher,407.5
Cameron Maybin,Florida Marlins,Outfielder,405.0
Brett Carroll,Florida Marlins,Outfielder,403.5
Gaby Sanchez,Florida Marlins,First Baseman,401.0
Carlos Lee,Houston Astros,Outfielder,19000.0
Roy Oswalt,Houston Astros,Pitcher,15000.0
Lance Berkman,Houston Astros,First Baseman,14500.0
Kazuo Matsui,Houston Astros,Second Baseman,5500.0
Wandy Rodriguez,Houston Astros,Pitcher,5000.0
Pedro Feliz,Houston Astros,Third Baseman,4500.0
Brandon Lyon,Houston Astros,Pitcher,4250.0
Hunter Pence,Houston Astros,Outfielder,3500.0
Brett Myers,Houston Astros,Pitcher,3100.0
Brian Moehler,Houston Astros,Pitcher,3000.0
Michael Bourn,Houston Astros,Outfielder,2400.0
Matt Lindstrom,Houston Astros,Pitcher,1625.0
Tim Byrdak,Houston Astros,Pitcher,1600.0
Geoff Blum,Houston Astros,Second Baseman,1500.0
Jeff Keppinger,Houston Astros,Shortstop,1150.0
Chris Sampson,Houston Astros,Pitcher,815.0
Jason Michaels,Houston Astros,Outfielder,800.0
Humberto Quintero,Houston Astros,Catcher,750.0
Cory Sullivan,Houston Astros,Outfielder,700.0
Jeff Fulchino,Houston Astros,Pitcher,425.0
Alberto Arias,Houston Astros,Pitcher,415.5
Felipe Paulino,Houston Astros,Pitcher,415.0
J.R. Towles,Houston Astros,Catcher,406.5
Sam Gervacio,Houston Astros,Pitcher,402.5
Bud Norris,Houston Astros,Pitcher,401.0
Yorman Bazardo,Houston Astros,Pitcher,400.0
Chris D. Johnson,Houston Astros,Third Baseman,400.0
Tommy Manzella,Houston Astros,Shortstop,400.0
Gil Meche,Kansas City Royals,Pitcher,12400.0
Jose Guillen,Kansas City Royals,Outfielder,12000.0
Zack Greinke,Kansas City Royals,Pitcher,7250.0
David DeJesus,Kansas City Royals,Outfielder,4700.0
Kyle Farnsworth,Kansas City Royals,Pitcher,4500.0
Yuniesky Betancourt,Kansas City Royals,Shortstop,3300.0
Juan Cruz,Kansas City Royals,Pitcher,3250.0
Joakim Soria,Kansas City Royals,Pitcher,3000.0
Rick Ankiel,Kansas City Royals,Outfielder,2750.0
Brian Bannister,Kansas City Royals,Pitcher,2300.0
Jason Kendall,Kansas City Royals,Catcher,2250.0
Kyle Davies,Kansas City Royals,Pitcher,1800.0
Luke Hochevar,Kansas City Royals,Pitcher,1760.0
Willie Bloomquist,Kansas City Royals,Second Baseman,1700.0
Scott Podsednik,Kansas City Royals,Outfielder,1650.0
Alex Gordon,Kansas City Royals,Third Baseman,1150.0
Robinson Tejada,Kansas City Royals,Pitcher,950.0
Roman Colon,Kansas City Royals,Pitcher,665.0
John Parrish,Kansas City Royals,Pitcher,600.0
Billy Butler,Kansas City Royals,First Baseman,470.0
Alberto Callaspo,Kansas City Royals,Second Baseman,460.0
Mike Aviles,Kansas City Royals,Shortstop,429.0
Brayan Pena,Kansas City Royals,Catcher,428.0
Josh Fields,Kansas City Royals,Third Baseman,422.0
Chris Getz,Kansas City Royals,Second Baseman,414.5
Luis A. Mendoza,Kansas City Royals,Pitcher,406.21
Dusty Hughes,Kansas City Royals,Pitcher,400.5
Torii Hunter,Los Angeles Angeles,Outfielder,18500.0
Bobby Abreu,Los Angeles Angeles,Outfielder,9000.0
Brian Fuentes,Los Angeles Angeles,Pitcher,9000.0
Scott Kazmir,Los Angeles Angeles,Pitcher,8000.0
Joel Pineiro,Los Angeles Angeles,Pitcher,8000.0
Hideki Matsui,Los Angeles Angeles,Outfielder,6000.0
Ervin Santana,Los Angeles Angeles,Pitcher,6000.0
Fernando Rodney,Los Angeles Angeles,Pitcher,5500.0
Scot Shields,Los Angeles Angeles,Pitcher,5350.0
Jered Weaver,Los Angeles Angeles,Pitcher,4265.0
Juan Rivera,Los Angeles Angeles,Outfielder,4250.0
Joe Saunders,Los Angeles Angeles,Pitcher,3700.0
Mike Napoli,Los Angeles Angeles,Catcher,3600.0
Maicer Izturis,Los Angeles Angeles,Shortstop,2766.666
Erick Aybar,Los Angeles Angeles,Shortstop,2050.0
Howie Kendrick,Los Angeles Angeles,Second Baseman,1750.0
Jeff Mathis,Los Angeles Angeles,Catcher,1300.0
Kendry Morales,Los Angeles Angeles,First Baseman,1200.0
Reggie Willits,Los Angeles Angeles,Outfielder,625.0
Brian Stokes,Los Angeles Angeles,Pitcher,435.0
Jon Palmer,Los Angeles Angeles,Pitcher,420.0
Jason Bulger,Los Angeles Angeles,Pitcher,418.0
Kevin Jepsen,Los Angeles Angeles,Pitcher,415.0
Brandan Wood,Los Angeles Angeles,Shortstop,410.0
Terry Evans,Los Angeles Angeles,Outfielder,405.0
Ryan Budde,Los Angeles Angeles,Catcher,402.2
Robert Wilson,Los Angeles Angeles,Catcher,402.0
Anthony Ortega,Los Angeles Angeles,Pitcher,400.0
Chris Pettit,Los Angeles Angeles,Outfielder,400.0
Manny Ramirez,Los Angeles Dodgers,Outfielder,18695.006
Hiroki Kuroda,Los Angeles Dodgers,Pitcher,15433.333
Rafael Furcal,Los Angeles Dodgers,Shortstop,9500.0
Casey Blake,Los Angeles Dodgers,Third Baseman,6250.0
Andre Ethier,Los Angeles Dodgers,Outfielder,5750.0
Russell Martin,Los Angeles Dodgers,Catcher,5050.0
Vicente Padilla,Los Angeles Dodgers,Pitcher,5025.0
George Sherrill,Los Angeles Dodgers,Pitcher,4500.0
Jonathan Broxton,Los Angeles Dodgers,Pitcher,4000.0
Matt Kemp,Los Angeles Dodgers,Outfielder,4000.0
Chad Billingsley,Los Angeles Dodgers,Pitcher,3850.0
James Loney,Los Angeles Dodgers,First Baseman,3100.0
Jamey Carroll,Los Angeles Dodgers,Second Baseman,1535.677
Ramon Ortiz,Los Angeles Dodgers,Pitcher,1000.0
Hong-Chih Kuo,Los Angeles Dodgers,Pitcher,950.0
Brad Ausmus,Los Angeles Dodgers,Catcher,850.0
Ronnie Belliard,Los Angeles Dodgers,Second Baseman,825.0
Reed Johnson,Los Angeles Dodgers,Outfielder,800.0
Jeff Weaver,Los Angeles Dodgers,Pitcher,800.0
Garret Anderson,Los Angeles Dodgers,Outfielder,550.0
Clayton Kershaw,Los Angeles Dodgers,Pitcher,440.0
Ramon Troncoso,Los Angeles Dodgers,Pitcher,416.0
Ron Belisario,Los Angeles Dodgers,Pitcher,412.5
Charles Haeger,Los Angeles Dodgers,Pitcher,411.0
Blake DeWitt,Los Angeles Dodgers,Third Baseman,410.0
Cory Wade,Los Angeles Dodgers,Pitcher,404.5
Carlos Monasterios,Los Angeles Dodgers,Pitcher,400.0
Jeff Suppan,Milwaukee Brewers,Pitcher,12750.0
Prince Fielder,Milwaukee Brewers,First Baseman,11000.0
Randy Wolf,Milwaukee Brewers,Pitcher,8800.276
Trevor Hoffman,Milwaukee Brewers,Pitcher,7500.0
Corey Hart,Milwaukee Brewers,Outfielder,4800.0
David Riske,Milwaukee Brewers,Pitcher,4500.0
Doug Davis,Milwaukee Brewers,Pitcher,4250.0
David Bush,Milwaukee Brewers,Pitcher,4215.0
LaTroy Hawkins,Milwaukee Brewers,Pitcher,3250.0
Rickie Weeks,Milwaukee Brewers,Second Baseman,2750.0
Craig Counsell,Milwaukee Brewers,Third Baseman,2100.0
Todd Coffey,Milwaukee Brewers,Pitcher,2025.002
Jody Gerut,Milwaukee Brewers,Outfielder,2000.0
Gregg Zaun,Milwaukee Brewers,Catcher,1900.0
Ryan J. Braun,Milwaukee Brewers,Outfielder,1287.5
Carlos Gomez,Milwaukee Brewers,Outfielder,1100.0
Carlos Villanueva,Milwaukee Brewers,Pitcher,950.0
Claudio Vargas,Milwaukee Brewers,Pitcher,900.0
Jim Edmonds,Milwaukee Brewers,Outfielder,850.0
Yovani Gallardo,Milwaukee Brewers,Pitcher,450.0
Manny Parra,Milwaukee Brewers,Pitcher,440.0
Casey McGehee,Milwaukee Brewers,Third Baseman,427.5
Mitch Stetter,Milwaukee Brewers,Pitcher,420.0
Joe Inglett,Milwaukee Brewers,Second Baseman,416.0
George Kottaras,Milwaukee Brewers,Catcher,408.5
Mat Gamel,Milwaukee Brewers,Third Baseman,406.5
Chris Narveson,Milwaukee Brewers,Pitcher,406.5
Alcides Escobar,Milwaukee Brewers,Shortstop,405.5
Josh Butler,Milwaukee Brewers,Pitcher,400.0
Justin Morneau,Minnesota Twins,First Baseman,15000.0
Joe Mauer,Minnesota Twins,Catcher,12500.0
Joe Nathan,Minnesota Twins,Pitcher,11250.0
Michael Cuddyer,Minnesota Twins,Outfielder,9416.666
Carl Pavano,Minnesota Twins,Pitcher,7000.0
J.J. Hardy,Minnesota Twins,Shortstop,5100.0
Orlando Hudson,Minnesota Twins,Second Baseman,5000.0
Jason Kubel,Minnesota Twins,Designated Hitter,4100.0
Nick Punto,Minnesota Twins,Shortstop,4000.0
Matt Guerrier,Minnesota Twins,Pitcher,3150.0
Scott Baker,Minnesota Twins,Pitcher,3000.0
Jon Rauch,Minnesota Twins,Pitcher,2900.0
Delmon Young,Minnesota Twins,Outfielder,2600.0
Jesse Crain,Minnesota Twins,Pitcher,2000.0
Francisco Liriano,Minnesota Twins,Pitcher,1600.0
Jim Thome,Minnesota Twins,Designated Hitter,1500.0
Brendan Harris,Minnesota Twins,Shortstop,1450.0
Clay Condrey,Minnesota Twins,Pitcher,900.0
Nick Blackburn,Minnesota Twins,Pitcher,750.0
Denard Span,Minnesota Twins,Outfielder,750.0
Pat Neshek,Minnesota Twins,Pitcher,625.0
Kevin Slowey,Minnesota Twins,Pitcher,470.0
Alexi Casilla,Minnesota Twins,Second Baseman,437.5
Jose Mijares,Minnesota Twins,Pitcher,430.0
Brian Duensing,Minnesota Twins,Pitcher,417.5
Jose Morales,Minnesota Twins,Catcher,412.5
Alex Burnett,Minnesota Twins,Pitcher,400.0
Drew Butera,Minnesota Twins,Catcher,400.0
Johan Santana,New York Mets,Pitcher,20144.707
Carlos Beltran,New York Mets,Outfielder,19401.569
Francisco Rodriguez,New York Mets,Pitcher,12166.666
Oliver Perez,New York Mets,Pitcher,12000.0
Gary Matthews,New York Mets,Outfielder,11400.0
David Wright,New York Mets,Third Baseman,10250.0
Jose Reyes,New York Mets,Shortstop,9375.0
Jason Bay,New York Mets,Outfielder,8625.0
Luis A. Castillo,New York Mets,Second Baseman,6250.0
Jeff Francoeur,New York Mets,Outfielder,5000.0
John Maine,New York Mets,Pitcher,3300.0
Pedro Feliciano,New York Mets,Pitcher,2900.0
Alex Cora,New York Mets,Infielder,1850.0
Angel Pagan,New York Mets,Outfielder,1500.0
Kelvim Escobar,New York Mets,Pitcher,1250.0
Ryota Igarashi,New York Mets,Pitcher,1250.0
Hisanori Takahashi,New York Mets,Pitcher,1000.0
Sean Green,New York Mets,Pitcher,975.0
Mike Jacobs,New York Mets,First Baseman,900.0
Fernando Tatis,New York Mets,Outfielder,850.0
Henry Blanco,New York Mets,Catcher,750.0
Frank Catalanotto,New York Mets,Outfielder,650.0
Rod Barajas,New York Mets,Catcher,500.0
Mike Pelfrey,New York Mets,Pitcher,500.0
