fpox,measles,all,fpox2all,measles2all
1579,559,19379,81.99,28.48
1202,438,19582,61.38,22.36
622,619,17034,36.5,36.33
1685,523,17565,95.92,29.77
1158,530,17938,64.55,29.54
1297,452,18334,70.74,24.56
1169,1386,19954,58.58,69.45
1163,106,16680,69.72,6.35
1198,1031,19893,60.22,51.82
751,235,17043,44.06,13.78
1287,427,18295,70.34,23.33
898,550,17322,51.89,31.75
638,817,19283,33.08,42.36
725,711,19560,37.06,36.34
653,1106,20316,32.14,54.43
1051,725,19968,52.63,36.3
421,728,19705,21.36,36.94
712,695,19228,37.02,36.14
792,720,19348,40.93,37.21
508,547,18451,27.53,29.64
604,712,18865,32.01,37.74
774,573,20587,37.59,27.83
725,966,20237,35.82,17.73
1299,743,21026,61.78,35.33
503,774,20758,24.23,37.28
616,525,22292,27.63,23.55
598,736,21709,27.54,33.9
736,578,23524,31.28,24.57
627,479,21645,28.97,22.12
563,750,25337,22.22,29.6
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
1053,973,45507,23.11,21.38
360,1293,45400,7.92,28.48
438,1442,48718,8.99,29.6
1804,1182,51110,35.29,23.12
909,2318,48318,18.81,47.97
257,747,49450,5.1,15.1
955,1778,59131,16.15,30.06
1620,1144,57771,28.04,19.8
521,1154,68755,7.57,16.78
499,980,48950,10.19,20.02
1062,1297,55488,19.13,23.37
1159,595,54638,21.21,10.88
211,978,60069,3.51,16.28
694,1409,73697,9.41,19.11
1039,878,61942,16.77,14.17
531,1479,57274,9.27,25.82
156,1341,59103,2.63,22.68
242,2369,64093,3.77,36.96
1158,1330,61860,18.55,21.5
898,2090,62309,14.41,33.54
217,1062,65251,3.32,16.27
366,2334,67371,5.43,34.64
1996,1634,71060,28.08,22.99
547,2788,78238,6.99,35.63
640,1290,73531,8.7,17.53
1391,2220,80453,17.28,27.59
1345,1143,70924,18.96,16.11
597,1962,73798,8.09,26.59
275,1456,78082,3.52,18.65
973,1449,77634,12.53,18.66
7912,1427,80430,98.37,17.74
1786,1680,71355,25.02,23.54
113,2149,75459,1.49,28.47
57,1680,76813,0.74,21.87
46,1408,81964,0.56,17.17
736,1720,77671,9.47,22.14
2551,2387,77449,32.93,30.82
1417,1500,84188,16.83,17.81
450,2475,83805,5.36,29.53
475,1501,81128,5.85,18.5
2371,2533,81071,29.24,31.25
