latitude,month,tst,sza
20,nov,600,
20,nov,630,87.8
20,nov,700,81.3
20,nov,730,74.5
20,nov,800,68.3
20,nov,830,61.8
20,nov,900,56.0
20,nov,930,50.2
20,nov,1000,45.3
20,nov,1030,40.7
20,nov,1100,37.4
20,nov,1130,35.1
20,nov,1200,34.4
20,dec,400,
20,dec,430,
20,dec,500,
20,dec,530,
20,dec,600,
20,dec,630,
20,dec,700,84.3
20,dec,730,78.0
20,dec,800,71.8
20,dec,830,66.1
20,dec,900,60.5
20,dec,930,55.6
20,dec,1000,50.9
20,dec,1030,47.2
20,dec,1100,44.2
20,dec,1130,42.4
20,dec,1200,41.8
30,jan,400,
30,jan,430,
30,jan,500,
30,jan,530,
30,jan,600,
30,jan,630,
30,jan,700,89.4
30,jan,730,83.7
30,jan,800,78.3
30,jan,830,73.2
30,jan,900,68.4
30,jan,930,64.1
30,jan,1000,60.4
30,jan,1030,57.3
30,jan,1100,55.0
30,jan,1130,53.5
30,jan,1200,53.0
30,feb,400,
30,feb,430,
30,feb,500,
30,feb,530,
30,feb,600,
30,feb,630,
30,feb,700,86.2
30,feb,730,80.3
30,feb,800,74.6
30,feb,830,69.1
30,feb,900,64.1
30,feb,930,59.4
30,feb,1000,55.3
30,feb,1030,51.9
30,feb,1100,49.3
30,feb,1130,47.7
30,feb,1200,47.2
30,mar,400,
30,mar,430,
30,mar,500,
30,mar,530,
30,mar,600,
30,mar,630,87.5
30,mar,700,81.1
30,mar,730,74.9
30,mar,800,68.8
30,mar,830,62.9
30,mar,900,57.4
30,mar,930,52.2
30,mar,1000,47.5
30,mar,1030,43.5
30,mar,1100,40.3
30,mar,1130,38.4
30,mar,1200,37.7
30,apr,400,
30,apr,430,
30,apr,500,
30,apr,530,
30,apr,600,87.2
30,apr,630,81.4
30,apr,700,74.9
30,apr,730,68.5
30,apr,800,62.1
30,apr,830,55.8
30,apr,900,49.6
30,apr,930,43.8
30,apr,1000,38.2
30,apr,1030,33.3
30,apr,1100,29.3
30,apr,1130,26.5
30,apr,1200,25.5
30,may,400,
30,may,430,
30,may,500,
30,may,530,88.9
30,may,600,82.7
30,may,630,76.3
30,may,700,69.9
30,may,730,63.4
30,may,800,56.9
30,may,830,50.4
30,may,900,44.0
30,may,930,37.6
30,may,1000,31.4
30,may,1030,25.6
30,may,1100,20.4
30,may,1130,16.5
30,may,1200,15.0
30,jun,400,
30,jun,430,
30,jun,500,
30,jun,530,85.3
30,jun,600,79.2
30,jun,630,73.1
30,jun,700,66.8
30,jun,730,60.4
30,jun,800,54.0
30,jun,830,47.5
30,jun,900,41.0
30,jun,930,34.5
30,jun,1000,28.1
30,jun,1030,21.7
30,jun,1100,15.7
30,jun,1130,10.5
30,jun,1200,8.0
30,jul,400,
30,jul,430,
30,jul,500,
30,jul,530,84.7
30,jul,600,78.7
30,jul,630,72.5
30,jul,700,66.3
30,jul,730,60.0
30,jul,800,53.5
30,jul,830,47.1
30,jul,900,40.6
30,jul,930,34.1
30,jul,1000,27.7
30,jul,1030,21.2
30,jul,1100,15.1
30,jul,1130,9.6
30,jul,1200,6.9
30,aug,400,
30,aug,430,
30,aug,500,
30,aug,530,87.2
30,aug,600,81.0
30,aug,630,74.7
30,aug,700,68.3
30,aug,730,61.9
30,aug,800,55.4
30,aug,830,48.9
30,aug,900,42.4
30,aug,930,36.0
30,aug,1000,29.7
30,aug,1030,23.6
30,aug,1100,18.1
30,aug,1130,13.7
30,aug,1200,11.9
30,sep,400,
30,sep,430,
30,sep,500,
30,sep,530,
30,sep,600,85.9
30,sep,630,79.4
30,sep,700,72.9
30,sep,730,66.4
30,sep,800,60.0
30,sep,830,53.6
30,sep,900,47.3
30,sep,930,41.2
30,sep,1000,35.5
30,sep,1030,30.2
30,sep,1100,25.8
30,sep,1130,22.8
30,sep,1200,21.6
30,oct,400,
30,oct,430,
30,oct,500,
30,oct,530,
30,oct,600,
30,oct,630,85.1
30,oct,700,78.7
30,oct,730,72.4
30,oct,800,66.2
30,oct,830,60.1
30,oct,900,54.4
30,oct,930,48.8
30,oct,1000,43.8
30,oct,1030,39.5
30,oct,1100,36.1
30,oct,1130,33.9
30,oct,1200,33.1
30,nov,400,
30,nov,430,
30,nov,500,
30,nov,530,
30,nov,600,
30,nov,630,
30,nov,700,84.6
30,nov,730,78.4
30,nov,800,72.8
30,nov,830,67.1
30,nov,900,62.0
30,nov,930,57.0
30,nov,1000,53.0
30,nov,1030,49.3
30,nov,1100,46.7
30,nov,1130,44.9
30,nov,1200,44.4
30,dec,400,
30,dec,430,
30,dec,500,
30,dec,530,
30,dec,600,
30,dec,630,
30,dec,700,88.7
30,dec,730,82.8
30,dec,800,77.3
30,dec,830,72.2
30,dec,900,67.3
30,dec,930,63.0
30,dec,1000,59.2
30,dec,1030,56.0
30,dec,1100,53.7
30,dec,1130,52.2
30,dec,1200,51.8
40,jan,400,
40,jan,430,
40,jan,500,
40,jan,530,
40,jan,600,
40,jan,630,
40,jan,700,
40,jan,730,89.0
40,jan,800,84.2
40,jan,830,79.8
40,jan,900,75.7
40,jan,930,72.1
40,jan,1000,69.0
40,jan,1030,66.4
40,jan,1100,64.6
40,jan,1130,63.4
40,jan,1200,63.0
40,feb,400,
40,feb,430,
40,feb,500,
40,feb,530,
40,feb,600,
40,feb,630,
40,feb,700,
40,feb,730,84.8
40,feb,800,79.8
40,feb,830,75.2
40,feb,900,70.7
40,feb,930,67.0
40,feb,1000,63.5
40,feb,1030,60.9
40,feb,1100,58.8
40,feb,1130,57.6
40,feb,1200,57.2
40,mar,400,
40,mar,430,
40,mar,500,
40,mar,530,
40,mar,600,
40,mar,630,89.1
40,mar,700,83.7
40,mar,730,78.1
40,mar,800,72.8
40,mar,830,67.8
40,mar,900,63.1
40,mar,930,58.8
40,mar,1000,55.1
40,mar,1030,51.9
40,mar,1100,49.6
40,mar,1130,48.1
40,mar,1200,47.7
40,apr,400,
40,apr,430,
40,apr,500,
40,apr,530,
40,apr,600,87.1
40,apr,630,81.4
40,apr,700,75.6
40,apr,730,70.0
40,apr,800,64.4
40,apr,830,59.0
40,apr,900,53.8
40,apr,930,49.0
40,apr,1000,44.6
40,apr,1030,40.9
40,apr,1100,38.0
40,apr,1130,36.2
40,apr,1200,35.5
40,may,400,
40,may,430,
40,may,500,
40,may,530,85.9
40,may,600,80.5
40,may,630,74.7
40,may,700,68.9
40,may,730,63.2
40,may,800,57.5
40,may,830,51.8
40,may,900,46.3
40,may,930,41.0
40,may,1000,36.1
40,may,1030,31.7
40,may,1100,28.2
40,may,1130,25.8
40,may,1200,25.0
40,jun,400,
40,jun,430,
40,jun,500,86.8
40,jun,530,81.5
40,jun,600,76.1
40,jun,630,70.5
40,jun,700,64.9
40,jun,730,59.2
40,jun,800,53.4
40,jun,830,47.7
40,jun,900,42.0
40,jun,930,36.5
40,jun,1000,31.2
40,jun,1030,26.2
40,jun,1100,22.1
40,jun,1130,19.1
40,jun,1200,18.0
40,jul,400,
40,jul,430,
40,jul,500,86.0
40,jul,530,80.8
40,jul,600,75.4
40,jul,630,69.9
40,jul,700,64.3
40,jul,730,58.6
40,jul,800,52.8
40,jul,830,47.1
40,jul,900,41.4
40,jul,930,35.8
40,jul,1000,30.4
40,jul,1030,25.4
40,jul,1100,21.1
40,jul,1130,18.0
40,jul,1200,16.9
40,aug,400,
40,aug,430,
40,aug,500,89.3
40,aug,530,83.9
40,aug,600,78.4
40,aug,630,72.8
40,aug,700,67.1
40,aug,730,61.4
40,aug,800,55.6
40,aug,830,49.9
40,aug,900,44.4
40,aug,930,39.0
40,aug,1000,33.8
40,aug,1030,29.2
40,aug,1100,25.4
40,aug,1130,22.8
40,aug,1200,21.9
40,sep,400,
40,sep,430,
40,sep,500,
40,sep,530,
40,sep,600,84.6
40,sep,630,78.9
40,sep,700,73.2
40,sep,730,67.5
40,sep,800,61.8
40,sep,830,56.3
40,sep,900,51.0
40,sep,930,46.0
40,sep,1000,41.4
40,sep,1030,37.5
40,sep,1100,34.4
40,sep,1130,32.3
40,sep,1200,31.6
40,oct,400,
40,oct,430,
40,oct,500,
40,oct,530,
40,oct,600,
40,oct,630,86.3
40,oct,700,80.6
40,oct,730,75.1
40,oct,800,69.7
40,oct,830,64.5
40,oct,900,59.6
40,oct,930,55.1
40,oct,1000,51.2
40,oct,1030,47.8
40,oct,1100,45.3
40,oct,1130,43.6
40,oct,1200,43.1
40,nov,400,
40,nov,430,
40,nov,500,
40,nov,530,
40,nov,600,
40,nov,630,
40,nov,700,88.1
40,nov,730,82.6
40,nov,800,77.8
40,nov,830,72.8
40,nov,900,68.6
40,nov,930,64.4
40,nov,1000,61.1
40,nov,1030,58.2
40,nov,1100,56.1
40,nov,1130,54.7
40,nov,1200,54.5
40,dec,400,
40,dec,430,
40,dec,500,
40,dec,530,
40,dec,600,
40,dec,630,
40,dec,700,
40,dec,730,88.1
40,dec,800,83.3
40,dec,830,78.8
40,dec,900,74.7
40,dec,930,71.0
40,dec,1000,67.8
40,dec,1030,65.3
40,dec,1100,63.3
40,dec,1130,62.2
40,dec,1200,61.8
50,jan,400,
50,jan,430,
50,jan,500,
50,jan,530,
50,jan,600,
50,jan,630,
50,jan,700,
50,jan,730,
50,jan,800,
50,jan,830,86.5
50,jan,900,83.2
50,jan,930,80.2
50,jan,1000,77.7
50,jan,1030,75.7
50,jan,1100,74.2
50,jan,1130,73.3
50,jan,1200,73.0
50,feb,400,
50,feb,430,
50,feb,500,
50,feb,530,
50,feb,600,
50,feb,630,
50,feb,700,
50,feb,730,89.5
50,feb,800,85.3
50,feb,830,81.5
50,feb,900,78.0
50,feb,930,74.9
50,feb,1000,72.2
50,feb,1030,70.0
50,feb,1100,68.5
50,feb,1130,67.5
50,feb,1200,67.2
50,mar,400,
50,mar,430,
50,mar,500,
50,mar,530,
50,mar,600,
50,mar,630,
50,mar,700,86.3
50,mar,730,81.8
50,mar,800,77.4
50,mar,830,73.3
50,mar,900,69.6
50,mar,930,66.2
50,mar,1000,63.2
50,mar,1030,60.9
50,mar,1100,59.1
50,mar,1130,58.0
50,mar,1200,57.7
50,apr,400,
50,apr,430,
50,apr,500,
50,apr,530,
50,apr,600,86.6
50,apr,630,81.8
50,apr,700,76.9
50,apr,730,72.2
50,apr,800,67.6
50,apr,830,63.2
50,apr,900,59.1
50,apr,930,55.4
50,apr,1000,52.0
50,apr,1030,49.3
50,apr,1100,47.2
50,apr,1130,45.9
50,apr,1200,45.5
50,may,400,
50,may,430,
50,may,500,87.8
50,may,530,83.2
50,may,600,78.5
50,may,630,73.7
50,may,700,68.9
50,may,730,64.1
50,may,800,59.4
50,may,830,54.7
50,may,900,50.3
50,may,930,46.2
50,may,1000,42.5
50,may,1030,39.4
50,may,1100,37.0
50,may,1130,35.5
50,may,1200,35.0
50,jun,400,
50,jun,430,86.7
50,jun,500,82.4
50,jun,530,78.0
50,jun,600,73.3
50,jun,630,68.6
50,jun,700,63.8
50,jun,730,59.0
50,jun,800,54.2
50,jun,830,49.5
50,jun,900,44.9
50,jun,930,40.6
50,jun,1000,36.6
50,jun,1030,33.1
50,jun,1100,30.4
50,jun,1130,28.6
50,jun,1200,28.0
50,jul,400,89.7
50,jul,430,85.7
50,jul,500,81.5
50,jul,530,77.1
50,jul,600,72.5
50,jul,630,67.8
50,jul,700,63.0
50,jul,730,58.2
50,jul,800,53.4
50,jul,830,48.7
50,jul,900,44.1
50,jul,930,39.7
50,jul,1000,35.6
50,jul,1030,32.1
50,jul,1100,29.3
50,jul,1130,27.5
50,jul,1200,26.9
50,aug,400,
50,aug,430,89.7
50,aug,500,85.4
50,aug,530,80.8
50,aug,600,76.2
50,aug,630,71.4
50,aug,700,66.6
50,aug,730,61.8
50,aug,800,57.0
50,aug,830,52.4
50,aug,900,47.9
50,aug,930,43.7
50,aug,1000,39.9
50,aug,1030,36.6
50,aug,1100,34.1
50,aug,1130,32.5
50,aug,1200,31.9
50,sep,400,
50,sep,430,
50,sep,500,
50,sep,530,88.3
50,sep,600,83.6
50,sep,630,78.8
50,sep,700,74.0
50,sep,730,69.2
50,sep,800,64.6
50,sep,830,60.1
50,sep,900,55.9
50,sep,930,52.0
50,sep,1000,48.5
50,sep,1030,45.7
50,sep,1100,43.5
50,sep,1130,42.1
50,sep,1200,41.6
50,oct,400,
50,oct,430,
50,oct,500,
50,oct,530,
50,oct,600,
50,oct,630,87.6
50,oct,700,82.8
50,oct,730,78.2
50,oct,800,73.8
50,oct,830,69.6
50,oct,900,65.7
50,oct,930,62.1
50,oct,1000,59.1
50,oct,1030,56.5
50,oct,1100,54.7
50,oct,1130,53.5
50,oct,1200,53.1
50,nov,400,
50,nov,430,
50,nov,500,
50,nov,530,
50,nov,600,
50,nov,630,
50,nov,700,
50,nov,730,87.1
50,nov,800,83.0
50,nov,830,79.0
50,nov,900,75.5
50,nov,930,72.3
50,nov,1000,69.5
50,nov,1030,67.3
50,nov,1100,65.7
50,nov,1130,64.7
50,nov,1200,64.4
50,dec,400,
50,dec,430,
50,dec,500,
50,dec,530,
50,dec,600,
50,dec,630,
50,dec,700,
50,dec,730,
50,dec,800,89.2
50,dec,830,85.5
50,dec,900,82.1
50,dec,930,79.1
50,dec,1000,76.5
50,dec,1030,74.5
50,dec,1100,73.0
50,dec,1130,72.1
50,dec,1200,71.8
