Month,Animal,State,Count
1979 Sep,"Bulls, bullocks and steers",Australian Capital Territory,2000.0
1979 Oct,"Bulls, bullocks and steers",Australian Capital Territory,2100.0
1979 Nov,"Bulls, bullocks and steers",Australian Capital Territory,2600.0
1979 Dec,"Bulls, bullocks and steers",Australian Capital Territory,2100.0
1980 Jan,"Bulls, bullocks and steers",Australian Capital Territory,3200.0
1980 Feb,"Bulls, bullocks and steers",Australian Capital Territory,2700.0
1980 Mar,"Bulls, bullocks and steers",Australian Capital Territory,2900.0
1980 Apr,"Bulls, bullocks and steers",Australian Capital Territory,2200.0
1980 May,"Bulls, bullocks and steers",Australian Capital Territory,2800.0
1980 Jun,"Bulls, bullocks and steers",Australian Capital Territory,2100.0
1980 Jul,"Bulls, bullocks and steers",Australian Capital Territory,1500.0
1980 Aug,"Bulls, bullocks and steers",Australian Capital Territory,2000.0
1980 Sep,"Bulls, bullocks and steers",Australian Capital Territory,2600.0
1980 Oct,"Bulls, bullocks and steers",Australian Capital Territory,2500.0
1980 Nov,"Bulls, bullocks and steers",Australian Capital Territory,2400.0
1980 Dec,"Bulls, bullocks and steers",Australian Capital Territory,1300.0
1981 Jan,"Bulls, bullocks and steers",Australian Capital Territory,1700.0
1981 Feb,"Bulls, bullocks and steers",Australian Capital Territory,2200.0
1981 Mar,"Bulls, bullocks and steers",Australian Capital Territory,1700.0
1981 Apr,"Bulls, bullocks and steers",Australian Capital Territory,2300.0
1981 May,"Bulls, bullocks and steers",Australian Capital Territory,1900.0
1981 Jun,"Bulls, bullocks and steers",Australian Capital Territory,1800.0
1981 Jul,"Bulls, bullocks and steers",Australian Capital Territory,1800.0
1981 Aug,"Bulls, bullocks and steers",Australian Capital Territory,2100.0
1981 Sep,"Bulls, bullocks and steers",Australian Capital Territory,2800.0
1981 Oct,"Bulls, bullocks and steers",Australian Capital Territory,3400.0
1981 Nov,"Bulls, bullocks and steers",Australian Capital Territory,1600.0
1981 Dec,"Bulls, bullocks and steers",Australian Capital Territory,1700.0
1982 Jan,"Bulls, bullocks and steers",Australian Capital Territory,2900.0
1982 Feb,"Bulls, bullocks and steers",Australian Capital Territory,2900.0
1982 Mar,"Bulls, bullocks and steers",Australian Capital Territory,2700.0
1982 Apr,"Bulls, bullocks and steers",Australian Capital Territory,1800.0
1982 May,"Bulls, bullocks and steers",Australian Capital Territory,2100.0
1982 Jun,"Bulls, bullocks and steers",Australian Capital Territory,2400.0
1982 Jul,"Bulls, bullocks and steers",Australian Capital Territory,2400.0
1982 Aug,"Bulls, bullocks and steers",Australian Capital Territory,700.0
1982 Sep,"Bulls, bullocks and steers",Australian Capital Territory,0.0
1982 Oct,"Bulls, bullocks and steers",Australian Capital Territory,0.0
1982 Nov,"Bulls, bullocks and steers",Australian Capital Territory,900.0
1982 Dec,"Bulls, bullocks and steers",Australian Capital Territory,500.0
1983 Jan,"Bulls, bullocks and steers",Australian Capital Territory,1400.0
1983 Feb,"Bulls, bullocks and steers",Australian Capital Territory,1400.0
1983 Mar,"Bulls, bullocks and steers",Australian Capital Territory,1200.0
1983 Apr,"Bulls, bullocks and steers",Australian Capital Territory,1100.0
1983 May,"Bulls, bullocks and steers",Australian Capital Territory,900.0
1983 Jun,"Bulls, bullocks and steers",Australian Capital Territory,1100.0
1983 Jul,"Bulls, bullocks and steers",Australian Capital Territory,1000.0
1983 Aug,"Bulls, bullocks and steers",Australian Capital Territory,1300.0
1983 Sep,"Bulls, bullocks and steers",Australian Capital Territory,1400.0
1983 Oct,"Bulls, bullocks and steers",Australian Capital Territory,1300.0
1983 Nov,"Bulls, bullocks and steers",Australian Capital Territory,1800.0
1983 Dec,"Bulls, bullocks and steers",Australian Capital Territory,1500.0
1984 Jan,"Bulls, bullocks and steers",Australian Capital Territory,1800.0
1984 Feb,"Bulls, bullocks and steers",Australian Capital Territory,2000.0
1984 Mar,"Bulls, bullocks and steers",Australian Capital Territory,2100.0
1984 Apr,"Bulls, bullocks and steers",Australian Capital Territory,1600.0
1984 May,"Bulls, bullocks and steers",Australian Capital Territory,2300.0
1984 Jun,"Bulls, bullocks and steers",Australian Capital Territory,2000.0
1984 Jul,"Bulls, bullocks and steers",Australian Capital Territory,1900.0
1984 Aug,"Bulls, bullocks and steers",Australian Capital Territory,2200.0
1984 Sep,"Bulls, bullocks and steers",Australian Capital Territory,1500.0
1984 Oct,"Bulls, bullocks and steers",Australian Capital Territory,1900.0
1984 Nov,"Bulls, bullocks and steers",Australian Capital Territory,2000.0
1984 Dec,"Bulls, bullocks and steers",Australian Capital Territory,1300.0
1985 Jan,"Bulls, bullocks and steers",Australian Capital Territory,1800.0
1985 Feb,"Bulls, bullocks and steers",Australian Capital Territory,1400.0
1985 Mar,"Bulls, bullocks and steers",Australian Capital Territory,1600.0
1985 Apr,"Bulls, bullocks and steers",Australian Capital Territory,1400.0
1985 May,"Bulls, bullocks and steers",Australian Capital Territory,1300.0
1985 Jun,"Bulls, bullocks and steers",Australian Capital Territory,1100.0
1985 Jul,"Bulls, bullocks and steers",Australian Capital Territory,1300.0
1985 Aug,"Bulls, bullocks and steers",Australian Capital Territory,1200.0
1985 Sep,"Bulls, bullocks and steers",Australian Capital Territory,1400.0
1985 Oct,"Bulls, bullocks and steers",Australian Capital Territory,2000.0
1985 Nov,"Bulls, bullocks and steers",Australian Capital Territory,1700.0
1985 Dec,"Bulls, bullocks and steers",Australian Capital Territory,1800.0
1986 Jan,"Bulls, bullocks and steers",Australian Capital Territory,2000.0
1986 Feb,"Bulls, bullocks and steers",Australian Capital Territory,1800.0
1986 Mar,"Bulls, bullocks and steers",Australian Capital Territory,1800.0
1986 Apr,"Bulls, bullocks and steers",Australian Capital Territory,2300.0
1986 May,"Bulls, bullocks and steers",Australian Capital Territory,1800.0
1986 Jun,"Bulls, bullocks and steers",Australian Capital Territory,2200.0
1986 Jul,"Bulls, bullocks and steers",Australian Capital Territory,2300.0
1986 Aug,"Bulls, bullocks and steers",Australian Capital Territory,1600.0
1986 Sep,"Bulls, bullocks and steers",Australian Capital Territory,2000.0
1986 Oct,"Bulls, bullocks and steers",Australian Capital Territory,1600.0
1986 Nov,"Bulls, bullocks and steers",Australian Capital Territory,1500.0
1986 Dec,"Bulls, bullocks and steers",Australian Capital Territory,2200.0
1987 Jan,"Bulls, bullocks and steers",Australian Capital Territory,1800.0
1987 Feb,"Bulls, bullocks and steers",Australian Capital Territory,1800.0
1987 Mar,"Bulls, bullocks and steers",Australian Capital Territory,1700.0
1987 Apr,"Bulls, bullocks and steers",Australian Capital Territory,2200.0
1987 May,"Bulls, bullocks and steers",Australian Capital Territory,1900.0
1987 Jun,"Bulls, bullocks and steers",Australian Capital Territory,1900.0
1987 Jul,"Bulls, bullocks and steers",Australian Capital Territory,2300.0
1987 Aug,"Bulls, bullocks and steers",Australian Capital Territory,1400.0
1987 Sep,"Bulls, bullocks and steers",Australian Capital Territory,2000.0
1987 Oct,"Bulls, bullocks and steers",Australian Capital Territory,1900.0
1987 Nov,"Bulls, bullocks and steers",Australian Capital Territory,2300.0
1987 Dec,"Bulls, bullocks and steers",Australian Capital Territory,2300.0
1988 Jan,"Bulls, bullocks and steers",Australian Capital Territory,1800.0
1988 Feb,"Bulls, bullocks and steers",Australian Capital Territory,2300.0
1988 Mar,"Bulls, bullocks and steers",Australian Capital Territory,2600.0
1988 Apr,"Bulls, bullocks and steers",Australian Capital Territory,1900.0
1988 May,"Bulls, bullocks and steers",Australian Capital Territory,1800.0
1988 Jun,"Bulls, bullocks and steers",Australian Capital Territory,2200.0
1988 Jul,"Bulls, bullocks and steers",Australian Capital Territory,2300.0
1988 Aug,"Bulls, bullocks and steers",Australian Capital Territory,3100.0
1988 Sep,"Bulls, bullocks and steers",Australian Capital Territory,2400.0
1988 Oct,"Bulls, bullocks and steers",Australian Capital Territory,2300.0
1988 Nov,"Bulls, bullocks and steers",Australian Capital Territory,3100.0
1988 Dec,"Bulls, bullocks and steers",Australian Capital Territory,2300.0
1989 Jan,"Bulls, bullocks and steers",Australian Capital Territory,2300.0
1989 Feb,"Bulls, bullocks and steers",Australian Capital Territory,2700.0
1989 Mar,"Bulls, bullocks and steers",Australian Capital Territory,3400.0
1989 Apr,"Bulls, bullocks and steers",Australian Capital Territory,2700.0
1989 May,"Bulls, bullocks and steers",Australian Capital Territory,3200.0
1989 Jun,"Bulls, bullocks and steers",Australian Capital Territory,2500.0
1989 Jul,"Bulls, bullocks and steers",Australian Capital Territory,2200.0
1989 Aug,"Bulls, bullocks and steers",Australian Capital Territory,2800.0
1989 Sep,"Bulls, bullocks and steers",Australian Capital Territory,2500.0
1989 Oct,"Bulls, bullocks and steers",Australian Capital Territory,2700.0
1989 Nov,"Bulls, bullocks and steers",Australian Capital Territory,4100.0
1989 Dec,"Bulls, bullocks and steers",Australian Capital Territory,2900.0
1990 Jan,"Bulls, bullocks and steers",Australian Capital Territory,3700.0
1990 Feb,"Bulls, bullocks and steers",Australian Capital Territory,2800.0
1990 Mar,"Bulls, bullocks and steers",Australian Capital Territory,3100.0
1990 Apr,"Bulls, bullocks and steers",Australian Capital Territory,2300.0
1990 May,"Bulls, bullocks and steers",Australian Capital Territory,3000.0
1990 Jun,"Bulls, bullocks and steers",Australian Capital Territory,2500.0
1990 Jul,"Bulls, bullocks and steers",Australian Capital Territory,2900.0
1990 Aug,"Bulls, bullocks and steers",Australian Capital Territory,2800.0
1990 Sep,"Bulls, bullocks and steers",Australian Capital Territory,2500.0
1990 Oct,"Bulls, bullocks and steers",Australian Capital Territory,2900.0
1990 Nov,"Bulls, bullocks and steers",Australian Capital Territory,3000.0
1990 Dec,"Bulls, bullocks and steers",Australian Capital Territory,2700.0
1991 Jan,"Bulls, bullocks and steers",Australian Capital Territory,2200.0
1991 Feb,"Bulls, bullocks and steers",Australian Capital Territory,2600.0
1991 Mar,"Bulls, bullocks and steers",Australian Capital Territory,2200.0
1991 Apr,"Bulls, bullocks and steers",Australian Capital Territory,2600.0
1991 May,"Bulls, bullocks and steers",Australian Capital Territory,3600.0
1991 Jun,"Bulls, bullocks and steers",Australian Capital Territory,2500.0
1991 Jul,"Bulls, bullocks and steers",Australian Capital Territory,0.0
1991 Aug,"Bulls, bullocks and steers",Australian Capital Territory,0.0
1991 Sep,"Bulls, bullocks and steers",Australian Capital Territory,2500.0
1991 Oct,"Bulls, bullocks and steers",Australian Capital Territory,3000.0
1991 Nov,"Bulls, bullocks and steers",Australian Capital Territory,2400.0
1991 Dec,"Bulls, bullocks and steers",Australian Capital Territory,2300.0
1992 Jan,"Bulls, bullocks and steers",Australian Capital Territory,3100.0
1992 Feb,"Bulls, bullocks and steers",Australian Capital Territory,2500.0
1992 Mar,"Bulls, bullocks and steers",Australian Capital Territory,2400.0
1992 Apr,"Bulls, bullocks and steers",Australian Capital Territory,3000.0
1992 May,"Bulls, bullocks and steers",Australian Capital Territory,2800.0
1992 Jun,"Bulls, bullocks and steers",Australian Capital Territory,2500.0
1992 Jul,"Bulls, bullocks and steers",Australian Capital Territory,3000.0
1992 Aug,"Bulls, bullocks and steers",Australian Capital Territory,2200.0
1992 Sep,"Bulls, bullocks and steers",Australian Capital Territory,2600.0
1992 Oct,"Bulls, bullocks and steers",Australian Capital Territory,2000.0
1992 Nov,"Bulls, bullocks and steers",Australian Capital Territory,0.0
1992 Dec,"Bulls, bullocks and steers",Australian Capital Territory,2500.0
1993 Jan,"Bulls, bullocks and steers",Australian Capital Territory,2300.0
1993 Feb,"Bulls, bullocks and steers",Australian Capital Territory,2700.0
1993 Mar,"Bulls, bullocks and steers",Australian Capital Territory,3400.0
1993 Apr,"Bulls, bullocks and steers",Australian Capital Territory,2700.0
1993 May,"Bulls, bullocks and steers",Australian Capital Territory,3300.0
1993 Jun,"Bulls, bullocks and steers",Australian Capital Territory,4000.0
1993 Jul,"Bulls, bullocks and steers",Australian Capital Territory,3100.0
1993 Aug,"Bulls, bullocks and steers",Australian Capital Territory,0.0
1993 Sep,"Bulls, bullocks and steers",Australian Capital Territory,0.0
1993 Oct,"Bulls, bullocks and steers",Australian Capital Territory,0.0
1993 Nov,"Bulls, bullocks and steers",Australian Capital Territory,0.0
1993 Dec,"Bulls, bullocks and steers",Australian Capital Territory,0.0
1994 Jan,"Bulls, bullocks and steers",Australian Capital Territory,0.0
1994 Feb,"Bulls, bullocks and steers",Australian Capital Territory,0.0
1994 Mar,"Bulls, bullocks and steers",Australian Capital Territory,0.0
1994 Apr,"Bulls, bullocks and steers",Australian Capital Territory,0.0
1994 May,"Bulls, bullocks and steers",Australian Capital Territory,0.0
1994 Jun,"Bulls, bullocks and steers",Australian Capital Territory,0.0
1994 Jul,"Bulls, bullocks and steers",Australian Capital Territory,0.0
1994 Aug,"Bulls, bullocks and steers",Australian Capital Territory,0.0
1994 Sep,"Bulls, bullocks and steers",Australian Capital Territory,0.0
1994 Oct,"Bulls, bullocks and steers",Australian Capital Territory,0.0
1994 Nov,"Bulls, bullocks and steers",Australian Capital Territory,0.0
1994 Dec,"Bulls, bullocks and steers",Australian Capital Territory,0.0
1995 Jan,"Bulls, bullocks and steers",Australian Capital Territory,0.0
1995 Feb,"Bulls, bullocks and steers",Australian Capital Territory,0.0
1995 Mar,"Bulls, bullocks and steers",Australian Capital Territory,0.0
1995 Apr,"Bulls, bullocks and steers",Australian Capital Territory,0.0
1995 May,"Bulls, bullocks and steers",Australian Capital Territory,0.0
1995 Jun,"Bulls, bullocks and steers",Australian Capital Territory,0.0
1995 Jul,"Bulls, bullocks and steers",Australian Capital Territory,0.0
1995 Aug,"Bulls, bullocks and steers",Australian Capital Territory,0.0
1995 Sep,"Bulls, bullocks and steers",Australian Capital Territory,0.0
1995 Oct,"Bulls, bullocks and steers",Australian Capital Territory,0.0
1995 Nov,"Bulls, bullocks and steers",Australian Capital Territory,0.0
1995 Dec,"Bulls, bullocks and steers",Australian Capital Territory,0.0
1996 Jan,"Bulls, bullocks and steers",Australian Capital Territory,0.0
1996 Feb,"Bulls, bullocks and steers",Australian Capital Territory,0.0
1996 Mar,"Bulls, bullocks and steers",Australian Capital Territory,0.0
1996 Apr,"Bulls, bullocks and steers",Australian Capital Territory,0.0
1996 May,"Bulls, bullocks and steers",Australian Capital Territory,0.0
1996 Jun,"Bulls, bullocks and steers",Australian Capital Territory,0.0
1996 Jul,"Bulls, bullocks and steers",Australian Capital Territory,0.0
1996 Aug,"Bulls, bullocks and steers",Australian Capital Territory,0.0
1996 Sep,"Bulls, bullocks and steers",Australian Capital Territory,0.0
1996 Oct,"Bulls, bullocks and steers",Australian Capital Territory,0.0
1996 Nov,"Bulls, bullocks and steers",Australian Capital Territory,0.0
1996 Dec,"Bulls, bullocks and steers",Australian Capital Territory,0.0
1997 Jan,"Bulls, bullocks and steers",Australian Capital Territory,0.0
1997 Feb,"Bulls, bullocks and steers",Australian Capital Territory,0.0
1997 Mar,"Bulls, bullocks and steers",Australian Capital Territory,0.0
1997 Apr,"Bulls, bullocks and steers",Australian Capital Territory,0.0
1997 May,"Bulls, bullocks and steers",Australian Capital Territory,0.0
1997 Jun,"Bulls, bullocks and steers",Australian Capital Territory,0.0
1997 Jul,"Bulls, bullocks and steers",Australian Capital Territory,0.0
1997 Aug,"Bulls, bullocks and steers",Australian Capital Territory,0.0
1997 Sep,"Bulls, bullocks and steers",Australian Capital Territory,0.0
1997 Oct,"Bulls, bullocks and steers",Australian Capital Territory,0.0
1997 Nov,"Bulls, bullocks and steers",Australian Capital Territory,0.0
1997 Dec,"Bulls, bullocks and steers",Australian Capital Territory,0.0
1998 Jan,"Bulls, bullocks and steers",Australian Capital Territory,0.0
1998 Feb,"Bulls, bullocks and steers",Australian Capital Territory,0.0
1998 Mar,"Bulls, bullocks and steers",Australian Capital Territory,0.0
1998 Apr,"Bulls, bullocks and steers",Australian Capital Territory,0.0
1998 May,"Bulls, bullocks and steers",Australian Capital Territory,0.0
1998 Jun,"Bulls, bullocks and steers",Australian Capital Territory,0.0
1998 Jul,"Bulls, bullocks and steers",Australian Capital Territory,0.0
1998 Aug,"Bulls, bullocks and steers",Australian Capital Territory,0.0
1998 Sep,"Bulls, bullocks and steers",Australian Capital Territory,0.0
1998 Oct,"Bulls, bullocks and steers",Australian Capital Territory,0.0
1998 Nov,"Bulls, bullocks and steers",Australian Capital Territory,0.0
1998 Dec,"Bulls, bullocks and steers",Australian Capital Territory,0.0
1999 Jan,"Bulls, bullocks and steers",Australian Capital Territory,0.0
1999 Feb,"Bulls, bullocks and steers",Australian Capital Territory,0.0
1999 Mar,"Bulls, bullocks and steers",Australian Capital Territory,0.0
1999 Apr,"Bulls, bullocks and steers",Australian Capital Territory,0.0
1999 May,"Bulls, bullocks and steers",Australian Capital Territory,0.0
1999 Jun,"Bulls, bullocks and steers",Australian Capital Territory,0.0
1999 Jul,"Bulls, bullocks and steers",Australian Capital Territory,0.0
1999 Aug,"Bulls, bullocks and steers",Australian Capital Territory,0.0
1999 Sep,"Bulls, bullocks and steers",Australian Capital Territory,0.0
1999 Oct,"Bulls, bullocks and steers",Australian Capital Territory,0.0
1999 Nov,"Bulls, bullocks and steers",Australian Capital Territory,0.0
1999 Dec,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2000 Jan,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2000 Feb,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2000 Mar,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2000 Apr,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2000 May,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2000 Jun,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2000 Jul,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2000 Aug,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2000 Sep,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2000 Oct,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2000 Nov,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2000 Dec,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2001 Jan,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2001 Feb,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2001 Mar,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2001 Apr,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2001 May,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2001 Jun,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2001 Jul,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2001 Aug,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2001 Sep,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2001 Oct,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2001 Nov,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2001 Dec,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2002 Jan,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2002 Feb,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2002 Mar,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2002 Apr,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2002 May,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2002 Jun,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2002 Jul,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2002 Aug,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2002 Sep,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2002 Oct,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2002 Nov,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2002 Dec,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2003 Jan,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2003 Feb,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2003 Mar,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2003 Apr,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2003 May,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2003 Jun,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2003 Jul,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2003 Aug,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2003 Sep,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2003 Oct,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2003 Nov,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2003 Dec,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2004 Jan,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2004 Feb,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2004 Mar,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2004 Apr,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2004 May,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2004 Jun,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2004 Jul,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2004 Aug,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2004 Sep,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2004 Oct,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2004 Nov,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2004 Dec,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2005 Jan,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2005 Feb,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2005 Mar,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2005 Apr,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2005 May,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2005 Jun,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2005 Jul,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2005 Aug,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2005 Sep,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2005 Oct,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2005 Nov,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2005 Dec,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2006 Jan,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2006 Feb,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2006 Mar,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2006 Apr,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2006 May,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2006 Jun,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2006 Jul,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2006 Aug,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2006 Sep,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2006 Oct,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2006 Nov,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2006 Dec,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2007 Jan,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2007 Feb,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2007 Mar,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2007 Apr,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2007 May,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2007 Jun,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2007 Jul,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2007 Aug,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2007 Sep,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2007 Oct,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2007 Nov,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2007 Dec,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2008 Jan,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2008 Feb,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2008 Mar,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2008 Apr,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2008 May,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2008 Jun,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2008 Jul,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2008 Aug,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2008 Sep,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2008 Oct,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2008 Nov,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2008 Dec,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2009 Jan,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2009 Feb,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2009 Mar,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2009 Apr,"Bulls, bullocks and steers",Australian Capital Territory,0.0
2009 May,"Bulls, bullocks and steers",Australian Capital Territory,0.0
