survived,sex,age,passengerClass
no,male,35.0,3rd
no,male,5.0,3rd
no,male,9.0,3rd
yes,male,3.0,3rd
no,male,13.0,3rd
yes,female,5.0,3rd
no,male,40.0,3rd
yes,male,23.0,3rd
yes,female,38.0,3rd
yes,female,45.0,3rd
no,male,21.0,3rd
no,male,23.0,3rd
no,female,17.0,3rd
no,male,30.0,3rd
no,male,23.0,3rd
yes,female,13.0,3rd
no,male,20.0,3rd
no,male,32.0,3rd
yes,female,33.0,3rd
yes,female,0.75,3rd
yes,female,0.75,3rd
yes,female,5.0,3rd
yes,female,24.0,3rd
yes,female,18.0,3rd
no,male,40.0,3rd
no,male,26.0,3rd
yes,male,20.0,3rd
no,female,18.0,3rd
no,female,45.0,3rd
no,female,27.0,3rd
no,male,22.0,3rd
no,male,19.0,3rd
no,male,26.0,3rd
no,male,22.0,3rd
no,male,,3rd
no,male,20.0,3rd
yes,male,32.0,3rd
no,male,21.0,3rd
no,male,18.0,3rd
no,male,26.0,3rd
no,male,6.0,3rd
no,female,9.0,3rd
no,male,,3rd
no,female,,3rd
no,female,,3rd
no,male,40.0,3rd
no,female,32.0,3rd
no,male,21.0,3rd
yes,female,22.0,3rd
no,female,20.0,3rd
no,male,29.0,3rd
no,male,22.0,3rd
no,male,22.0,3rd
no,male,35.0,3rd
no,female,18.5,3rd
yes,male,21.0,3rd
no,male,19.0,3rd
no,female,18.0,3rd
no,female,21.0,3rd
no,female,30.0,3rd
no,male,18.0,3rd
no,male,38.0,3rd
no,male,17.0,3rd
no,male,17.0,3rd
no,female,21.0,3rd
no,male,21.0,3rd
no,male,21.0,3rd
no,male,,3rd
no,female,,3rd
no,male,28.0,3rd
no,male,24.0,3rd
yes,female,16.0,3rd
no,female,37.0,3rd
no,male,28.0,3rd
no,male,24.0,3rd
no,male,21.0,3rd
yes,male,32.0,3rd
no,male,29.0,3rd
no,male,26.0,3rd
no,male,18.0,3rd
no,male,20.0,3rd
yes,male,18.0,3rd
no,male,24.0,3rd
no,male,36.0,3rd
no,male,24.0,3rd
no,male,31.0,3rd
no,male,31.0,3rd
yes,female,22.0,3rd
no,female,30.0,3rd
no,male,70.5,3rd
no,male,43.0,3rd
no,male,35.0,3rd
no,male,27.0,3rd
no,male,19.0,3rd
no,male,30.0,3rd
yes,male,9.0,3rd
yes,male,3.0,3rd
yes,female,36.0,3rd
no,male,59.0,3rd
no,male,19.0,3rd
yes,female,17.0,3rd
no,male,44.0,3rd
no,male,17.0,3rd
no,male,22.5,3rd
yes,male,45.0,3rd
no,female,22.0,3rd
no,male,19.0,3rd
yes,female,30.0,3rd
yes,male,29.0,3rd
no,male,0.333299994,3rd
no,male,34.0,3rd
no,female,28.0,3rd
no,male,27.0,3rd
no,male,25.0,3rd
no,male,24.0,3rd
no,male,22.0,3rd
no,male,21.0,3rd
no,male,17.0,3rd
no,male,,3rd
yes,female,,3rd
yes,male,36.5,3rd
yes,female,36.0,3rd
yes,male,30.0,3rd
no,male,16.0,3rd
yes,male,1.0,3rd
yes,female,0.166700006,3rd
no,male,26.0,3rd
yes,female,33.0,3rd
no,male,25.0,3rd
no,male,,3rd
no,male,,3rd
no,male,22.0,3rd
no,male,36.0,3rd
yes,female,19.0,3rd
no,male,17.0,3rd
no,male,42.0,3rd
no,male,43.0,3rd
no,male,,3rd
no,male,32.0,3rd
yes,male,19.0,3rd
yes,female,30.0,3rd
no,female,24.0,3rd
yes,female,23.0,3rd
no,male,33.0,3rd
no,male,65.0,3rd
yes,male,24.0,3rd
no,male,23.0,3rd
yes,female,22.0,3rd
no,male,18.0,3rd
no,male,16.0,3rd
no,male,45.0,3rd
no,male,,3rd
no,male,39.0,3rd
no,male,17.0,3rd
no,male,15.0,3rd
no,male,47.0,3rd
yes,female,5.0,3rd
no,male,,3rd
no,male,40.5,3rd
no,male,40.5,3rd
yes,male,,3rd
no,male,18.0,3rd
no,female,,3rd
no,male,,3rd
no,male,,3rd
no,male,26.0,3rd
no,male,,3rd
yes,male,,3rd
no,female,21.0,3rd
no,female,9.0,3rd
no,male,,3rd
no,male,18.0,3rd
no,male,16.0,3rd
no,female,48.0,3rd
no,male,,3rd
no,male,,3rd
no,male,25.0,3rd
no,male,,3rd
no,male,,3rd
no,male,22.0,3rd
yes,female,16.0,3rd
yes,female,,3rd
yes,male,9.0,3rd
no,male,33.0,3rd
no,male,41.0,3rd
yes,female,31.0,3rd
no,male,38.0,3rd
no,male,9.0,3rd
no,male,1.0,3rd
no,male,11.0,3rd
no,female,10.0,3rd
no,female,16.0,3rd
no,male,14.0,3rd
no,male,40.0,3rd
no,female,43.0,3rd
no,male,51.0,3rd
no,male,32.0,3rd
no,male,,3rd
no,male,20.0,3rd
no,male,37.0,3rd
no,male,28.0,3rd
no,male,19.0,3rd
no,female,24.0,3rd
no,female,17.0,3rd
no,male,,3rd
no,male,,3rd
no,male,28.0,3rd
yes,female,24.0,3rd
no,male,20.0,3rd
no,male,23.5,3rd
no,male,41.0,3rd
no,male,26.0,3rd
no,male,21.0,3rd
yes,female,45.0,3rd
no,female,,3rd
no,male,25.0,3rd
no,male,,3rd
no,male,11.0,3rd
yes,female,,3rd
yes,male,27.0,3rd
yes,male,,3rd
no,female,18.0,3rd
yes,female,26.0,3rd
no,female,23.0,3rd
yes,female,22.0,3rd
no,male,28.0,3rd
no,female,28.0,3rd
no,female,,3rd
yes,female,2.0,3rd
yes,female,22.0,3rd
no,male,43.0,3rd
no,male,28.0,3rd
yes,female,27.0,3rd
no,male,,3rd
yes,female,,3rd
no,male,42.0,3rd
yes,male,,3rd
no,male,30.0,3rd
no,male,,3rd
no,female,27.0,3rd
no,female,25.0,3rd
no,male,,3rd
yes,male,29.0,3rd
yes,male,21.0,3rd
no,male,,3rd
no,male,20.0,3rd
no,male,48.0,3rd
no,male,17.0,3rd
yes,female,,3rd
yes,male,,3rd
no,male,34.0,3rd
yes,male,26.0,3rd
no,male,22.0,3rd
no,male,33.0,3rd
no,male,31.0,3rd
no,male,29.0,3rd
yes,male,4.0,3rd
yes,female,1.0,3rd
no,male,49.0,3rd
no,male,33.0,3rd
no,male,19.0,3rd
yes,female,27.0,3rd
no,male,,3rd
no,female,,3rd
no,male,,3rd
no,female,,3rd
no,male,23.0,3rd
yes,male,32.0,3rd
no,male,27.0,3rd
no,female,20.0,3rd
no,female,21.0,3rd
yes,male,32.0,3rd
no,male,17.0,3rd
no,male,21.0,3rd
no,male,30.0,3rd
yes,male,21.0,3rd
no,male,33.0,3rd
no,male,22.0,3rd
yes,female,4.0,3rd
yes,male,39.0,3rd
no,male,,3rd
no,male,18.5,3rd
no,male,,3rd
no,male,,3rd
yes,female,,3rd
yes,female,,3rd
no,male,34.5,3rd
no,male,44.0,3rd
yes,male,,3rd
no,male,,3rd
no,female,,3rd
no,male,,3rd
no,male,,3rd
no,male,,3rd
no,female,22.0,3rd
no,male,26.0,3rd
yes,female,4.0,3rd
yes,male,29.0,3rd
yes,female,26.0,3rd
no,female,1.0,3rd
no,male,18.0,3rd
no,female,36.0,3rd
no,male,,3rd
yes,male,25.0,3rd
no,male,,3rd
no,female,37.0,3rd
no,male,,3rd
yes,male,,3rd
no,male,,3rd
yes,female,22.0,3rd
no,male,,3rd
yes,male,26.0,3rd
no,male,29.0,3rd
no,male,29.0,3rd
no,male,22.0,3rd
yes,male,22.0,3rd
no,male,,3rd
no,female,,3rd
no,female,,3rd
no,female,,3rd
no,female,,3rd
no,male,32.0,3rd
no,male,34.5,3rd
no,female,,3rd
no,male,,3rd
no,male,36.0,3rd
no,male,39.0,3rd
no,male,24.0,3rd
no,female,25.0,3rd
no,female,45.0,3rd
no,male,36.0,3rd
no,female,30.0,3rd
yes,male,20.0,3rd
no,male,,3rd
no,male,28.0,3rd
no,male,,3rd
no,male,30.0,3rd
no,female,26.0,3rd
no,male,,3rd
no,male,20.5,3rd
yes,male,27.0,3rd
no,male,51.0,3rd
yes,female,23.0,3rd
yes,male,32.0,3rd
no,male,,3rd
no,male,,3rd
yes,female,,3rd
yes,male,24.0,3rd
no,male,22.0,3rd
no,female,,3rd
no,male,,3rd
no,male,,3rd
no,male,29.0,3rd
yes,male,,3rd
no,female,30.5,3rd
yes,female,,3rd
no,male,,3rd
no,male,35.0,3rd
no,male,33.0,3rd
yes,female,,3rd
no,male,,3rd
yes,female,,3rd
yes,male,,3rd
yes,female,,3rd
yes,female,,3rd
yes,male,,3rd
yes,female,,3rd
no,male,,3rd
yes,female,,3rd
yes,female,15.0,3rd
no,female,35.0,3rd
no,male,,3rd
no,male,24.0,3rd
no,female,19.0,3rd
no,female,,3rd
no,female,,3rd
no,female,,3rd
no,male,55.5,3rd
no,male,,3rd
yes,male,21.0,3rd
no,male,,3rd
no,male,24.0,3rd
no,male,21.0,3rd
no,male,28.0,3rd
no,male,,3rd
yes,female,,3rd
no,male,25.0,3rd
yes,male,6.0,3rd
yes,female,27.0,3rd
no,male,,3rd
yes,female,,3rd
no,male,,3rd
no,male,,3rd
no,male,34.0,3rd
no,male,,3rd
yes,male,,3rd
yes,male,,3rd
yes,male,,3rd
yes,female,,3rd
yes,female,,3rd
no,male,,3rd
yes,female,,3rd
yes,female,24.0,3rd
no,male,,3rd
yes,female,,3rd
yes,female,,3rd
yes,female,,3rd
no,male,18.0,3rd
no,male,22.0,3rd
yes,female,15.0,3rd
yes,female,1.0,3rd
yes,male,20.0,3rd
yes,female,19.0,3rd
no,male,33.0,3rd
no,male,,3rd
no,male,,3rd
no,female,,3rd
no,male,,3rd
yes,male,12.0,3rd
yes,female,14.0,3rd
no,female,29.0,3rd
no,male,28.0,3rd
yes,female,18.0,3rd
yes,female,26.0,3rd
no,male,21.0,3rd
no,male,41.0,3rd
yes,male,39.0,3rd
no,male,21.0,3rd
no,male,28.5,3rd
yes,female,22.0,3rd
no,male,61.0,3rd
no,male,,3rd
no,male,,3rd
yes,female,,3rd
no,male,,3rd
no,male,,3rd
no,male,,3rd
no,male,23.0,3rd
no,female,,3rd
yes,female,,3rd
yes,female,,3rd
yes,female,22.0,3rd
yes,male,,3rd
yes,female,,3rd
yes,male,9.0,3rd
no,male,28.0,3rd
no,male,42.0,3rd
no,male,,3rd
no,female,31.0,3rd
no,male,28.0,3rd
yes,male,32.0,3rd
no,male,20.0,3rd
no,female,23.0,3rd
no,female,20.0,3rd
no,male,20.0,3rd
no,male,16.0,3rd
yes,female,31.0,3rd
no,female,,3rd
no,male,2.0,3rd
no,male,6.0,3rd
no,female,3.0,3rd
no,female,8.0,3rd
no,female,29.0,3rd
no,male,1.0,3rd
no,male,7.0,3rd
no,male,2.0,3rd
no,male,16.0,3rd
no,male,14.0,3rd
no,female,41.0,3rd
no,male,21.0,3rd
no,male,19.0,3rd
no,male,,3rd
no,male,32.0,3rd
no,male,0.75,3rd
no,female,3.0,3rd
no,female,26.0,3rd
no,male,,3rd
no,male,,3rd
no,male,,3rd
no,male,21.0,3rd
no,male,25.0,3rd
no,male,22.0,3rd
yes,male,25.0,3rd
yes,male,,3rd
yes,female,,3rd
yes,female,,3rd
no,female,,3rd
no,male,24.0,3rd
no,female,28.0,3rd
no,male,19.0,3rd
no,male,,3rd
no,male,25.0,3rd
no,female,18.0,3rd
yes,male,32.0,3rd
no,male,,3rd
no,male,17.0,3rd
no,male,24.0,3rd
no,male,,3rd
no,female,,3rd
no,male,,3rd
no,male,,3rd
no,male,38.0,3rd
no,male,21.0,3rd
no,male,10.0,3rd
no,male,4.0,3rd
no,male,7.0,3rd
no,male,2.0,3rd
no,male,8.0,3rd
no,female,39.0,3rd
no,female,22.0,3rd
no,male,35.0,3rd
yes,female,,3rd
no,male,,3rd
no,female,,3rd
no,male,50.0,3rd
no,female,47.0,3rd
no,male,,3rd
no,male,,3rd
no,female,2.0,3rd
no,male,18.0,3rd
no,female,41.0,3rd
yes,female,,3rd
no,male,50.0,3rd
no,male,16.0,3rd
yes,male,,3rd
no,male,,3rd
no,male,,3rd
no,male,25.0,3rd
no,male,,3rd
no,male,,3rd
no,male,,3rd
no,male,38.5,3rd
no,male,,3rd
no,male,14.5,3rd
no,female,,3rd
no,female,,3rd
no,female,,3rd
no,female,,3rd
no,male,,3rd
no,male,,3rd
no,male,,3rd
no,male,,3rd
no,female,,3rd
no,male,24.0,3rd
yes,female,21.0,3rd
no,male,39.0,3rd
no,male,,3rd
no,male,,3rd
no,male,,3rd
yes,female,1.0,3rd
yes,female,24.0,3rd
yes,female,4.0,3rd
yes,male,25.0,3rd
no,male,20.0,3rd
no,male,24.5,3rd
no,male,,3rd
no,male,,3rd
no,male,,3rd
yes,male,29.0,3rd
no,male,,3rd
yes,female,,3rd
no,male,,3rd
no,male,,3rd
no,male,22.0,3rd
no,male,,3rd
no,male,40.0,3rd
no,male,21.0,3rd
yes,female,18.0,3rd
no,male,4.0,3rd
no,male,10.0,3rd
