schoolid,hispanic,college,black,otherrace,female,register,distance
1221,1,1,0,0,0,1,9.0
1221,1,1,0,0,0,1,9.0
1221,1,1,0,0,0,0,9.0
1221,1,0,0,0,0,0,9.0
1221,0,1,0,1,1,0,9.0
1224,0,0,0,0,1,0,5.0
1224,0,0,0,0,1,0,5.0
1224,0,0,0,0,0,1,5.0
1224,0,0,0,0,1,1,5.0
1224,0,0,0,0,1,0,5.0
1224,0,0,0,0,0,0,5.0
1224,0,0,0,0,1,0,5.0
1224,0,1,0,0,0,0,5.0
1224,0,0,0,0,0,1,5.0
1224,0,0,0,0,1,0,5.0
1224,0,1,0,0,0,1,5.0
1224,0,0,0,0,0,1,5.0
1224,0,1,0,0,1,0,5.0
1228,0,1,0,0,1,1,10.0
1228,0,0,0,0,0,1,10.0
1228,0,0,0,0,0,1,10.0
1228,0,1,0,0,1,1,10.0
1228,0,1,0,0,1,0,10.0
1228,0,0,0,0,1,1,10.0
1228,0,1,0,0,1,1,10.0
1228,0,0,0,0,1,0,10.0
1228,1,0,0,0,1,1,10.0
1228,0,1,0,0,0,0,10.0
1228,0,1,0,0,0,0,10.0
1228,0,1,0,0,0,0,10.0
1233,0,0,0,0,1,0,25.0
1233,0,1,0,0,1,1,25.0
1233,0,0,0,0,1,0,25.0
1233,0,0,0,0,0,1,25.0
1233,0,0,0,0,0,0,25.0
1233,0,0,0,0,0,0,25.0
1233,0,0,0,0,0,1,25.0
1233,0,0,0,0,1,1,25.0
1233,0,0,0,0,0,1,25.0
1233,0,1,0,0,0,1,25.0
1233,0,1,0,0,0,1,25.0
1233,0,1,0,0,1,1,25.0
1233,0,0,0,0,1,0,25.0
1238,0,0,0,0,1,0,2.0
1238,0,0,0,0,1,0,2.0
1238,0,1,0,0,1,1,2.0
1238,0,0,0,0,0,0,2.0
1238,0,0,0,0,1,0,2.0
1238,0,0,0,0,1,0,2.0
1238,0,1,0,0,0,1,2.0
1238,0,0,0,0,0,1,2.0
1238,0,0,0,0,0,1,2.0
1238,0,0,0,0,0,0,2.0
1238,1,1,0,0,0,1,2.0
1238,0,0,0,0,1,0,2.0
1238,0,1,0,0,1,1,2.0
1238,0,1,0,0,1,1,2.0
1238,0,0,0,0,1,1,2.0
1239,0,0,0,1,0,1,12.0
1239,0,0,0,0,1,1,12.0
1239,0,1,0,1,1,1,12.0
1239,0,1,0,0,1,0,12.0
1239,0,1,0,0,1,1,12.0
1239,0,1,0,0,0,1,12.0
1239,0,1,0,0,0,1,12.0
1239,0,1,0,0,1,1,12.0
1239,0,0,0,0,1,1,12.0
1239,0,1,0,0,0,1,12.0
1239,0,1,0,0,1,1,12.0
1239,0,0,0,0,0,1,12.0
1285,0,0,0,0,0,1,25.0
1285,0,0,0,0,1,1,25.0
1285,1,1,0,0,1,1,25.0
1285,0,0,0,1,1,1,25.0
1285,0,1,0,0,1,1,25.0
1285,0,0,0,0,1,1,25.0
1285,0,0,0,0,0,1,25.0
1285,0,1,0,0,1,1,25.0
1285,0,0,0,0,0,1,25.0
1285,0,0,0,0,1,0,25.0
1285,0,0,0,0,1,1,25.0
1285,0,0,0,0,0,1,25.0
1287,1,0,0,0,0,0,3.0
1287,0,1,1,0,0,1,3.0
1287,0,0,0,0,1,0,3.0
1287,0,0,1,0,0,1,3.0
1287,0,0,1,0,1,1,3.0
1287,0,0,0,1,0,0,3.0
1296,0,1,1,0,1,0,5.0
1296,1,0,0,0,1,0,5.0
1296,1,0,0,0,0,0,5.0
1296,1,0,0,0,0,0,5.0
1296,0,1,1,0,1,1,5.0
1296,0,1,1,0,0,1,5.0
1296,0,1,1,0,1,1,5.0
1304,0,0,1,0,0,0,3.0
1304,0,0,1,0,1,0,3.0
1304,0,1,1,0,1,1,3.0
1304,0,0,1,0,0,1,3.0
1304,0,0,1,0,0,1,3.0
1308,0,1,0,0,0,1,1.0
1308,0,1,0,0,0,1,1.0
1308,0,1,0,0,0,1,1.0
1308,1,1,0,0,0,1,1.0
1308,1,1,0,0,0,1,1.0
1308,0,0,0,0,0,1,1.0
1308,0,1,0,0,0,1,1.0
1308,1,1,0,0,0,1,1.0
1308,1,0,0,0,0,1,1.0
1308,1,1,0,0,0,1,1.0
1308,0,1,0,0,0,0,1.0
1308,0,1,0,0,0,0,1.0
1308,1,1,0,0,0,1,1.0
1308,0,1,0,0,0,1,1.0
1308,0,1,0,0,0,1,1.0
1308,0,1,0,0,0,1,1.0
1308,0,1,0,0,0,1,1.0
1308,0,1,0,0,0,1,1.0
1308,0,1,0,0,0,0,1.0
1308,0,1,1,0,0,1,1.0
1308,0,1,1,0,0,1,1.0
1308,0,0,0,0,0,1,1.0
1308,0,1,0,0,0,1,1.0
1308,0,0,1,0,0,1,1.0
1308,0,1,0,0,0,0,1.0
1308,0,1,0,0,0,0,1.0
1317,1,1,0,0,1,0,5.0
1317,1,1,0,0,1,0,5.0
1317,0,1,0,0,1,1,5.0
1317,1,1,0,0,1,1,5.0
1317,1,1,0,0,1,1,5.0
1317,0,1,1,0,1,1,5.0
1317,1,1,0,0,1,0,5.0
1317,0,1,0,0,1,0,5.0
1317,0,1,0,0,1,0,5.0
1317,1,1,0,0,1,1,5.0
1317,1,1,0,0,1,0,5.0
1317,1,1,0,0,1,1,5.0
1317,1,1,0,0,1,1,5.0
1317,0,1,0,1,1,1,5.0
1317,1,1,0,0,1,1,5.0
1317,1,1,0,0,1,1,5.0
1317,0,1,0,0,1,1,5.0
1317,1,1,0,0,1,1,5.0
1317,1,1,0,0,1,1,5.0
1317,0,1,0,0,1,1,5.0
1317,1,1,0,0,1,1,5.0
1317,1,1,0,0,1,0,5.0
1317,0,0,0,0,1,1,5.0
1317,1,1,0,0,1,1,5.0
1317,1,1,0,0,1,1,5.0
1331,0,0,0,0,0,1,15.000000953674316
1331,0,0,0,0,0,0,15.000000953674316
1331,1,0,0,0,1,1,15.000000953674316
1331,1,0,0,0,0,1,15.000000953674316
1331,0,0,1,0,1,1,15.000000953674316
1331,0,1,1,0,0,1,15.000000953674316
1331,0,0,0,0,1,0,15.000000953674316
1331,0,0,0,0,1,1,15.000000953674316
1331,0,0,1,0,1,1,15.000000953674316
1331,0,1,0,0,0,1,15.000000953674316
1331,1,0,0,0,1,1,15.000000953674316
1331,0,0,1,0,1,1,15.000000953674316
1331,0,0,0,0,0,1,15.000000953674316
1331,1,0,0,0,0,1,15.000000953674316
1331,1,1,0,0,0,1,15.000000953674316
1331,1,0,0,0,0,1,15.000000953674316
1344,0,1,0,0,0,1,9.0
1344,1,0,0,0,0,1,9.0
1344,1,1,0,0,0,1,9.0
1344,0,1,0,0,1,1,9.0
1344,0,1,1,0,1,1,9.0
1344,0,1,0,0,0,1,9.0
1344,0,1,0,0,0,1,9.0
1344,1,1,0,0,1,1,9.0
1344,1,0,0,0,0,0,9.0
1344,1,0,0,0,1,1,9.0
1347,0,0,0,0,0,0,1.0
1347,0,0,0,0,1,0,1.0
1347,0,1,0,0,1,0,1.0
1347,0,1,0,0,1,1,1.0
1347,0,0,0,1,1,1,1.0
1347,0,0,0,0,0,0,1.0
1347,0,1,0,0,0,1,1.0
1347,0,0,0,0,1,0,1.0
1347,0,0,0,0,1,1,1.0
1347,0,1,0,0,0,0,1.0
1347,0,1,1,0,0,1,1.0
1347,0,1,1,0,1,0,1.0
1347,0,0,0,0,0,1,1.0
1358,0,1,0,0,0,1,15.000000953674316
1358,0,1,0,0,1,1,15.000000953674316
1358,0,1,0,0,1,0,15.000000953674316
1358,0,1,0,0,0,1,15.000000953674316
1358,0,1,0,0,0,1,15.000000953674316
1358,1,0,0,0,0,1,15.000000953674316
1358,0,1,0,0,0,1,15.000000953674316
1358,0,0,0,0,1,0,15.000000953674316
1358,0,0,0,0,0,1,15.000000953674316
1358,0,1,0,0,1,1,15.000000953674316
1358,0,0,0,0,0,1,15.000000953674316
1358,0,0,0,0,0,1,15.000000953674316
1358,0,1,0,0,0,1,15.000000953674316
1358,1,0,0,0,1,1,15.000000953674316
1387,0,1,0,0,1,0,12.0
1387,0,1,0,0,0,1,12.0
1387,0,0,0,0,1,1,12.0
1387,0,1,0,1,0,1,12.0
1387,0,0,1,0,1,0,12.0
1387,0,0,1,0,0,0,12.0
1387,0,1,0,0,1,1,12.0
1387,0,0,0,0,0,0,12.0
1387,0,1,0,0,1,0,12.0
1387,0,0,0,0,0,0,12.0
1387,0,0,0,0,0,0,12.0
1400,0,0,0,0,0,1,10.0
1400,0,0,0,0,0,0,10.0
1400,0,1,0,0,0,1,10.0
1400,0,0,0,0,0,0,10.0
1400,0,1,0,0,0,1,10.0
1400,0,1,0,0,1,1,10.0
1400,0,0,0,0,0,1,10.0
1400,0,0,0,1,0,0,10.0
1400,0,1,0,0,1,1,10.0
1400,0,1,0,0,1,0,10.0
1400,0,0,0,0,1,1,10.0
1400,1,0,0,0,0,1,10.0
1403,0,1,1,0,0,0,12.0
1403,0,1,0,0,1,1,12.0
1403,1,0,0,0,1,1,12.0
1403,0,0,1,0,0,1,12.0
1403,0,1,0,0,1,1,12.0
1403,0,0,1,0,0,0,12.0
1403,0,1,0,0,1,1,12.0
1403,0,1,0,0,0,0,12.0
1403,0,0,1,0,0,1,12.0
1403,0,1,0,0,1,1,12.0
1403,0,0,1,0,0,0,12.0
1403,0,0,0,0,1,0,12.0
1403,0,1,0,0,1,1,12.0
1403,0,0,0,0,1,1,12.0
1403,0,0,0,0,1,0,12.0
1433,0,1,0,0,0,1,20.0
1433,0,1,0,0,0,1,20.0
1433,0,1,0,0,0,0,20.0
1433,0,1,0,0,0,1,20.0
1433,0,1,0,0,0,1,20.0
1433,0,1,0,0,0,0,20.0
1433,0,1,0,0,0,0,20.0
1433,0,1,0,0,0,1,20.0
1433,0,1,0,0,0,1,20.0
1433,0,1,0,0,0,1,20.0
1433,0,1,0,0,0,1,20.0
1433,0,0,0,0,0,1,20.0
1433,0,1,0,0,0,1,20.0
1433,0,1,0,0,0,1,20.0
1433,0,1,0,0,0,1,20.0
1433,0,1,0,0,0,1,20.0
1433,0,1,0,0,0,0,20.0
1433,0,1,0,0,0,1,20.0
1433,0,1,0,0,0,1,20.0
1433,0,1,0,0,0,1,20.0
1433,0,1,0,0,0,0,20.0
1433,0,1,0,0,0,1,20.0
1433,0,1,0,0,0,1,20.0
1433,0,1,0,0,0,1,20.0
1433,0,1,0,0,0,1,20.0
1436,0,1,0,0,0,1,30.000001907348633
1436,0,1,0,0,0,0,30.000001907348633
1436,0,1,0,0,0,0,30.000001907348633
1436,0,1,0,0,0,1,30.000001907348633
1436,0,1,0,0,0,1,30.000001907348633
1436,0,1,0,0,0,1,30.000001907348633
1436,0,1,0,0,1,1,30.000001907348633
1436,0,1,0,0,1,1,30.000001907348633
1436,0,1,0,0,0,1,30.000001907348633
1436,0,1,0,0,0,1,30.000001907348633
1436,0,1,0,0,0,1,30.000001907348633
1436,0,1,0,0,1,1,30.000001907348633
1436,0,0,0,0,1,0,30.000001907348633
1436,0,1,0,0,0,1,30.000001907348633
1436,0,1,0,0,0,1,30.000001907348633
1436,0,1,0,0,1,0,30.000001907348633
1436,0,1,0,0,0,1,30.000001907348633
1436,0,1,0,0,0,1,30.000001907348633
1436,0,1,0,0,1,1,30.000001907348633
1436,0,1,0,0,1,1,30.000001907348633
1436,0,1,0,0,1,1,30.000001907348633
1436,0,1,0,0,1,0,30.000001907348633
1436,0,1,0,0,1,1,30.000001907348633
1436,0,1,0,0,0,0,30.000001907348633
1438,0,0,0,0,1,1,15.000000953674316
1438,0,1,0,0,0,0,15.000000953674316
1438,0,0,1,0,1,1,15.000000953674316
1438,0,1,0,0,0,1,15.000000953674316
1438,0,0,0,0,1,1,15.000000953674316
1438,0,0,0,0,1,1,15.000000953674316
1445,0,1,0,0,0,1,1.0
1445,0,1,0,0,1,1,1.0
1445,0,1,0,0,1,0,1.0
1445,0,0,0,0,1,0,1.0
1445,0,0,0,0,0,1,1.0
1445,0,0,0,0,1,0,1.0
1445,1,0,0,0,1,0,1.0
1445,0,1,0,0,1,1,1.0
1445,0,1,0,0,0,1,1.0
1445,0,0,0,0,0,0,1.0
1445,0,1,0,0,1,0,1.0
1445,0,1,0,0,0,1,1.0
1445,0,1,0,0,0,1,1.0
1445,0,1,0,0,0,0,1.0
1445,0,0,0,0,1,0,1.0
1461,0,0,0,1,0,1,8.0
1461,1,1,0,0,1,0,8.0
1461,0,1,0,0,1,1,8.0
1461,0,0,0,0,0,0,8.0
1461,0,0,0,0,0,0,8.0
1461,0,0,0,0,1,0,8.0
1461,0,1,0,1,0,1,8.0
1461,0,1,0,1,1,1,8.0
1461,0,1,0,0,1,1,8.0
1461,0,0,0,0,0,0,8.0
1461,0,1,0,0,0,0,8.0
1461,0,1,0,0,0,1,8.0
1477,0,1,0,0,0,0,8.0
1477,0,1,1,0,1,1,8.0
1477,0,0,0,0,0,1,8.0
1477,0,0,0,0,0,1,8.0
1477,0,1,0,0,1,1,8.0
1477,0,1,0,0,0,1,8.0
1477,1,1,0,0,0,1,8.0
1477,0,1,0,0,1,1,8.0
1477,0,1,0,0,1,1,8.0
1477,0,0,0,0,0,0,8.0
1477,0,1,0,0,1,1,8.0
1477,0,1,0,0,0,1,8.0
1477,0,1,0,0,1,1,8.0
1477,0,1,0,0,0,0,8.0
1477,0,1,0,0,1,0,8.0
1477,0,1,0,0,1,1,8.0
1477,0,0,0,1,0,1,8.0
1477,0,1,0,0,0,0,8.0
1477,0,0,0,0,0,1,8.0
1477,0,1,0,0,1,1,8.0
1477,0,0,0,0,0,0,8.0
1477,0,1,0,0,1,1,8.0
1477,0,1,0,0,0,1,8.0
1477,0,1,0,0,0,0,8.0
1477,0,1,0,0,0,1,8.0
1477,0,1,0,0,1,1,8.0
1477,0,0,0,0,1,1,8.0
1477,0,1,0,0,1,1,8.0
1477,0,1,0,0,1,1,8.0
1477,0,0,0,0,0,0,8.0
1477,0,1,0,0,0,1,8.0
1479,1,0,0,0,1,1,5.0
1479,1,1,0,0,0,0,5.0
1479,0,0,0,0,0,1,5.0
1479,0,0,0,0,1,1,5.0
1479,0,1,1,0,1,0,5.0
1479,0,1,0,0,1,1,5.0
1479,0,1,0,0,1,0,5.0
1479,0,0,0,0,0,0,5.0
1479,0,1,1,0,1,1,5.0
1479,0,0,1,0,1,1,5.0
1479,1,1,0,0,1,0,5.0
1479,1,1,0,0,0,0,5.0
1479,0,1,0,0,0,1,5.0
1499,0,1,0,0,1,0,10.0
1499,1,1,0,0,0,0,10.0
1499,0,0,0,1,1,1,10.0
1499,0,1,0,0,0,1,10.0
1499,1,1,0,0,0,0,10.0
1499,0,1,0,0,0,1,10.0
1499,1,1,0,0,0,1,10.0
1499,1,0,0,0,1,1,10.0
1499,1,0,0,0,1,0,10.0
1499,1,1,0,0,1,0,10.0
1499,0,1,0,0,1,1,10.0
1499,0,0,0,1,1,0,10.0
1499,1,0,0,0,1,0,10.0
1499,1,1,0,0,0,0,10.0
1499,1,0,0,0,1,1,10.0
1501,0,1,0,0,1,0,11.0
1501,1,0,0,0,0,0,11.0
1501,0,1,0,0,0,1,11.0
1501,1,1,0,0,1,1,11.0
1501,0,1,1,0,1,1,11.0
1501,0,1,0,0,1,1,11.0
1501,0,0,0,0,0,0,11.0
1501,0,1,0,0,1,1,11.0
1501,0,1,0,0,1,1,11.0
1501,0,0,0,0,1,1,11.0
1501,0,1,0,0,1,1,11.0
1501,0,1,0,0,0,1,11.0
1501,0,1,0,0,0,1,11.0
1506,0,1,0,0,0,1,7.0
1506,0,0,0,0,1,1,7.0
1506,0,0,0,0,1,1,7.0
1506,0,1,0,0,1,0,7.0
1506,0,1,0,0,0,1,7.0
1506,0,1,0,0,1,1,7.0
1506,0,1,0,0,0,1,7.0
1506,0,1,0,0,0,1,7.0
1506,0,0,0,0,1,1,7.0
1506,0,1,0,0,0,1,7.0
1531,1,0,0,0,0,0,2.0
1531,1,0,0,0,0,0,2.0
1531,1,1,0,0,0,0,2.0
1531,1,0,0,0,0,0,2.0
1531,1,1,0,0,1,0,2.0
1531,1,0,0,0,1,1,2.0
1536,0,1,0,1,1,1,13.0
1536,0,0,0,0,0,1,13.0
1536,0,1,0,0,0,0,13.0
1536,0,0,0,0,0,1,13.0
1536,0,0,0,0,1,1,13.0
1536,0,1,0,0,1,1,13.0
1537,0,1,0,0,0,1,1.0
1537,0,1,0,0,1,1,1.0
1537,1,0,0,0,1,1,1.0
1537,0,1,0,0,1,0,1.0
1537,0,0,0,0,0,0,1.0
1537,0,1,0,0,1,1,1.0
1537,0,1,0,0,0,1,1.0
1537,0,0,0,0,0,0,1.0
1537,0,0,0,0,1,0,1.0
1537,1,0,0,0,1,1,1.0
1537,0,1,0,0,0,1,1.0
1537,0,0,0,0,1,1,1.0
1537,0,1,0,0,0,1,1.0
1537,0,0,0,0,0,1,1.0
1539,0,1,0,0,0,1,7.0
1539,0,1,0,0,0,1,7.0
1539,0,1,0,0,0,1,7.0
1539,0,1,0,0,0,1,7.0
1539,0,1,0,0,0,1,7.0
1539,0,1,0,0,0,1,7.0
1539,0,1,0,0,0,1,7.0
1539,0,0,0,0,0,0,7.0
1539,0,1,0,0,0,1,7.0
1539,0,1,0,0,0,1,7.0
1539,0,1,0,0,0,1,7.0
1539,0,1,0,0,0,1,7.0
1539,0,1,0,1,0,1,7.0
1539,0,1,0,0,0,1,7.0
1539,0,1,0,0,0,1,7.0
1539,0,1,0,0,0,1,7.0
1539,0,1,0,0,0,1,7.0
1539,0,0,0,0,0,1,7.0
1539,0,1,0,0,0,1,7.0
1539,0,1,0,0,0,1,7.0
1539,0,0,0,0,0,1,7.0
1539,0,1,0,0,0,1,7.0
1539,0,1,0,0,0,1,7.0
1539,0,1,0,0,0,1,7.0
1539,0,1,0,0,0,1,7.0
1539,0,1,0,0,0,1,7.0
1544,0,0,0,0,0,1,10.0
1544,0,0,0,0,1,0,10.0
1544,1,1,0,0,0,1,10.0
1544,0,1,0,0,1,1,10.0
1544,1,1,0,0,0,1,10.0
1560,0,1,0,0,1,1,6.0
1560,0,0,0,0,0,0,6.0
1560,0,1,0,0,0,1,6.0
1560,0,0,0,0,1,0,6.0
1560,0,0,0,0,1,1,6.0
1560,0,0,0,0,1,0,6.0
1560,0,0,0,0,1,0,6.0
1560,0,0,0,0,0,0,6.0
1560,0,0,0,0,0,1,6.0
1560,0,0,0,0,0,0,6.0
1560,0,1,0,0,0,1,6.0
1560,0,1,0,0,0,1,6.0
1560,0,0,0,0,0,1,6.0
1560,0,1,0,0,1,0,6.0
1560,0,0,0,0,1,0,6.0
1560,0,0,0,0,1,1,6.0
1560,0,0,0,0,1,1,6.0
1560,0,0,0,0,1,1,6.0
1582,0,1,0,0,0,1,13.0
1582,0,0,0,0,1,1,13.0
1582,1,1,0,0,0,1,13.0
1582,0,0,0,0,0,1,13.0
1582,0,0,0,0,1,0,13.0
1582,0,0,0,0,0,0,13.0
1582,0,1,0,0,1,1,13.0
1582,0,0,0,0,0,1,13.0
1582,0,0,0,0,1,1,13.0
1605,1,0,0,0,0,1,1.0
1605,1,0,0,0,0,1,1.0
1605,0,0,0,1,1,1,1.0
1605,1,1,0,0,0,1,1.0
1605,1,1,0,0,0,1,1.0
1605,1,1,0,0,0,1,1.0
1635,0,0,0,0,1,0,25.0
1635,0,1,0,1,1,1,25.0
1635,0,1,0,0,0,1,25.0
1635,0,0,0,0,1,0,25.0
1635,0,1,0,1,0,1,25.0
1635,0,0,0,0,0,0,25.0
1635,0,1,0,0,0,0,25.0
1635,0,0,0,0,0,1,25.0
1635,0,1,0,0,0,1,25.0
1635,0,0,0,0,1,0,25.0
1635,0,0,1,0,1,1,25.0
1635,0,1,0,0,1,1,25.0
1635,0,0,0,0,0,0,25.0
1637,1,0,0,0,0,0,19.0
1637,1,1,0,0,0,1,19.0
1637,1,0,0,0,1,0,19.0
1637,1,0,0,0,1,1,19.0
1669,0,0,0,0,0,0,2.0
1669,0,0,1,0,1,1,2.0
1669,0,0,1,0,1,0,2.0
1669,1,1,0,0,1,1,2.0
1686,0,0,0,0,0,1,20.0
1686,1,0,0,0,0,1,20.0
1686,0,1,0,0,0,1,20.0
1686,0,0,0,0,1,1,20.0
1686,0,0,0,0,0,1,20.0
1686,0,1,0,0,1,1,20.0
1686,1,1,0,0,1,1,20.0
1686,0,1,0,0,0,1,20.0
1686,0,0,0,0,1,0,20.0
1686,1,0,0,0,1,1,20.0
1686,0,1,0,0,1,0,20.0
1704,0,0,0,0,0,0,30.000001907348633
1704,0,0,0,0,1,1,30.000001907348633
1704,1,0,0,0,1,1,30.000001907348633
1704,1,0,0,0,0,1,30.000001907348633
1704,1,0,0,0,0,1,30.000001907348633
1704,1,0,0,0,1,0,30.000001907348633
1704,0,0,0,0,0,0,30.000001907348633
1704,0,1,0,0,1,1,30.000001907348633
1704,0,0,0,0,0,1,30.000001907348633
1704,0,0,0,0,1,1,30.000001907348633
1704,0,0,0,0,0,1,30.000001907348633
1704,0,0,0,0,1,1,30.000001907348633
1713,0,1,0,0,0,0,5.0
1713,0,1,0,0,0,0,5.0
1713,0,1,0,0,0,1,5.0
1713,0,1,0,0,0,0,5.0
1718,0,1,0,0,1,0,15.000000953674316
1718,0,0,0,0,0,1,15.000000953674316
1718,0,1,0,0,1,1,15.000000953674316
1718,0,1,0,0,0,1,15.000000953674316
1718,0,1,0,0,0,0,15.000000953674316
1718,0,0,0,0,1,0,15.000000953674316
1718,1,0,0,0,0,0,15.000000953674316
1718,0,0,0,0,1,0,15.000000953674316
