name,party,state,money_pro,money_con,years,stance,chamber
"Chu, Judy", D,CA,47300.0,8500,6,yes,house
"Cicilline, David", D,RI,45850.0,6850,2,unknown,house
"Clarke, Yvette", D,NY,9550.0,22250,6,no,house
"Clarke, Hansen", D,MI,1000.0,1750,2,unknown,house
"Clay, William", D,MO,7000.0,9300,12,unknown,house
"Cleaver II, Emanuel", D,MO,3000.0,3650,8,unknown,house
"Clyburn, James", D,SC,86600.0,62593,20,unknown,house
"Coble, Howard", R,NC,29250.0,10000,28,unknown,house
"Coffman, Mike", R,CO,24670.0,6300,4,no,house
"Cohen, Steve", D,TN,28000.0,23450,6,unknown,house
"Cole, Tom", R,OK,3000.0,8354,10,unknown,house
"Conaway, K.", R,TX,16500.0,,8,unknown,house
"Connolly, Gerald", D,VA,26334.0,96683,4,no,house
"Conyers Jr., John", D,MI,84591.0,73983,48,yes,house
"Cooper, Jim", D,TN,11050.0,8000,10,yes,house
"Costa, Jim", D,CA,13800.0,3400,8,unknown,house
"Costello, Jerry", D,IL,2000.0,,26,unknown,house
"Courtney, Joe", D,CT,14900.0,1250,6,no,house
"Cravaack, Chip", R,MN,1500.0,500,2,no,house
"Crawford, Rick", R,AR,2500.0,4650,2,leaning no,house
"Crenshaw, Ander", R,FL,5000.0,15350,12,unknown,house
"Critz, Mark", D,PA,23200.0,61800,4,unknown,house
"Crowley, Joseph", D,NY,44300.0,31449,14,unknown,house
"Cuellar, Henry", D,TX,12400.0,3000,8,leaning no,house
"Culberson, John", R,TX,5000.0,7000,12,no,house
"Cummings, Elijah", D,MD,4250.0,5500,18,unknown,house
"Davis, Danny", D,IL,1000.0,3500,16,unknown,house
"Davis, Susan", D,CA,2400.0,13700,12,unknown,house
"Davis, Geoff", R,KY,13400.0,11800,8,unknown,house
"DeFazio, Peter", D,OR,1000.0,2786,26,no,house
"DeGette, Diana", D,CO,39600.0,1250,16,leaning no,house
"DeLauro, Rosa", D,CT,13150.0,5250,22,no,house
"Denham, Jeffrey", R,CA,4100.0,4250,2,unknown,house
"Dent, Charlie", R,PA,35050.0,13400,8,leaning no,house
"DesJarlais, Scott", R,TN,5000.0,,2,no,house
"Deutch, Ted", D,FL,12500.0,13900,4,yes,house
"Diaz-Balart, Mario", R,FL,15250.0,2000,10,unknown,house
"Dicks, Norman", D,WA,2000.0,49700,36,no,house
"Dingell, John", D,MI,94500.0,14000,58,unknown,house
"Doggett, Lloyd", D,TX,13900.0,22050,18,no,house
"Dold, Robert", R,IL,11800.0,14700,2,leaning no,house
"Donnelly, Joe", D,IN,7800.0,1900,6,unknown,house
"Doyle, Mike", D,PA,26000.0,8500,18,no,house
"Dreier, David", R,CA,52100.0,33419,32,unknown,house
"Duffy, Sean", R,WI,5250.0,1250,2,unknown,house
"Duncan, Jeffrey", R,SC,1000.0,1000,2,no,house
"Duncan Jr., John", R,TN,3500.0,,26,unknown,house
"Edwards, Donna", D,MD,3062.0,3700,6,unknown,house
"Ellison, Keith", D,MN,4650.0,10060,6,no,house
"Ellmers, Renee", R,NC,,2950,2,unknown,house
"Emerson, Jo Ann", R,MO,26150.0,24900,18,unknown,house
"Engel, Eliot", D,NY,30900.0,1250,24,unknown,house
"Eshoo, Anna", D,CA,22400.0,163585,20,no,house
"Farenthold, Blake", R,TX,,,2,no,house
"Farr, Sam", D,CA,1500.0,850,20,unknown,house
"Fattah, Chaka", D,PA,27500.0,3000,18,unknown,house
"Filner, Bob", D,CA,14800.0,13800,20,unknown,house
"Fincher, Stephen", R,TN,34700.0,2000,2,unknown,house
"Fitzpatrick, Michael", R,PA,15600.0,16450,2,unknown,house
"Flake, Jeff", R,AZ,,16300,12,no,house
"Fleischmann, Chuck", R,TN,6400.0,2000,2,unknown,house
"Fleming, John", R,LA,3500.0,1000,4,unknown,house
"Flores, Bill", R,TX,1000.0,7800,2,leaning no,house
"Forbes, J.", R,VA,14250.0,7950,12,unknown,house
"Fortenberry, Jeff", R,NE,2000.0,500,8,no,house
"Foxx, Virginia", R,NC,5000.0,9910,6,unknown,house
"Frank, Barney", D,MA,32350.0,23900,32,unknown,house
"Franks, Trent", R,AZ,14300.0,23550,10,unknown,house
"Frelinghuysen, Rodney", R,NJ,11000.0,5250,18,unknown,house
"Fudge, Marcia", D,OH,2000.0,1500,6,unknown,house
"Gallegly, Elton", R,CA,19625.0,6515,26,yes,house
"Garamendi, John", D,CA,35850.0,20600,4,unknown,house
"Gardner, Cory", R,CO,15500.0,10731,2,unknown,house
"Garrett, Scott", R,NJ,13950.0,22900,10,unknown,house
"Gerlach, Jim", R,PA,30900.0,29150,10,unknown,house
"Gibbs, Bob", R,OH,3000.0,1750,2,unknown,house
"Gibson, Chris", R,NY,4900.0,7550,2,unknown,house
"Giffords, Gabrielle", D,AZ,19750.0,73915,6,unknown,house
"Gingrey, Phil", R,GA,25000.0,20933,10,unknown,house
"Gohmert, Louie", R,TX,16650.0,3000,8,unknown,house
"Gonzalez, Charlie", D,TX,57500.0,6500,14,unknown,house
"Goodlatte, Robert", R,VA,56500.0,67819,20,yes,house
"Gosar, Paul", R,AZ,250.0,11400,2,no,house
"Gowdy, Trey", R,SC,1250.0,,2,unknown,house
"Granger, Kay", R,TX,9500.0,26350,16,unknown,house
"Graves, Sam", R,MO,16000.0,16150,12,unknown,house
"Graves, Tom", R,GA,23900.0,7750,4,no,house
"Green, Gene", D,TX,37000.0,5800,20,unknown,house
"Green, Al", D,TX,1500.0,,8,unknown,house
"Griffin, Tim", R,AR,1500.0,12050,2,no,house
"Griffith, Morgan", R,VA,3500.0,4350,2,unknown,house
"Grijalva, Raul", D,AZ,10150.0,1555,10,no,house
"Grimm, Mike", R,NY,1500.0,,2,unknown,house
"Guinta, Frank", R,NH,5050.0,11500,2,leaning no,house
"Guthrie, Brett", R,KY,12500.0,3000,4,unknown,house
"Gutierrez, Luis", D,IL,8000.0,1000,20,unknown,house
"Hahn, Janice", D,CA,,,2,undecided,house
"Hall, Ralph", R,TX,11500.0,7930,32,unknown,house
"Hanabusa, Colleen", D,HI,16900.0,33650,2,unknown,house
"Hanna, Richard", R,NY,3089.0,500,2,unknown,house
"Harper, Gregg", R,MS,19000.0,4000,4,unknown,house
"Harris, Andy", R,MD,3800.0,8000,2,unknown,house
"Hartzler, Vicky", R,MO,1800.0,16250,2,unknown,house
"Hastings, Alcee", D,FL,5000.0,7700,20,unknown,house
"Hastings, Doc", R,WA,9750.0,10500,18,unknown,house
"Hayworth, Nan", R,NY,1500.0,9050,2,unknown,house
"Heck, Joe", R,NV,3200.0,8750,2,unknown,house
"Heinrich, Martin", D,NM,21450.0,23919,4,no,house
"Hensarling, Jeb", R,TX,12800.0,11950,10,unknown,house
"Herger, Wally", R,CA,3500.0,5000,26,no,house
"Herrera Beutler, Jaime", R,WA,4200.0,10150,2,unknown,house
"Higgins, Brian", D,NY,250.0,1000,6,no,house
"Himes, Jim", D,CT,42150.0,7864,4,leaning no,house
"Hinchey, Maurice", D,NY,11750.0,9000,20,unknown,house
"Hinojosa, Ruben", D,TX,3900.0,5150,16,unknown,house
"Hirono, Mazie", D,HI,250.0,9400,6,unknown,house
"Hochul, Kathy", D,NY,,,2,unknown,house
"Holden, Tim", D,PA,15500.0,9000,20,no,house
"Holt, Rush", D,NJ,22200.0,15300,14,no,house
"Honda, Michael", D,CA,3600.0,42807,12,no,house
"Hoyer, Steny", D,MD,117190.0,41150,32,unknown,house
"Huelskamp, Tim", R,KS,4125.0,7500,2,no,house
"Huizenga, Bill", R,MI,3750.0,,2,unknown,house
"Hultgren, Randy", R,IL,7400.0,2750,2,leaning no,house
"Hunter, Duncan", R,CA,5000.0,10950,4,unknown,house
"Hurt, Robert", R,VA,11650.0,21050,2,unknown,house
"Inslee, Jay", D,WA,20400.0,70515,14,undecided,house
"Israel, Steve", D,NY,41700.0,28100,12,leaning no,house
"Issa, Darrell", R,CA,33300.0,60324,12,no,house
"Jackson Jr., Jesse", D,IL,7800.0,1000,18,unknown,house
"Jackson-Lee, Sheila", D,TX,11500.0,6500,18,leaning no,house
"Jenkins, Lynn", R,KS,10500.0,11732,4,no,house
"Johnson, Eddie", D,TX,2800.0,3800,20,unknown,house
"Johnson, Sam", R,TX,4500.0,8700,22,unknown,house
"Johnson, Timothy", R,IL,2000.0,,12,no,house
"Johnson, Hank", D,GA,14900.0,5750,6,no,house
"Johnson, Bill", R,OH,12700.0,750,2,unknown,house
"Jones, Walter", R,NC,1500.0,1250,18,no,house
"Jordan, Jim", R,OH,30800.0,4300,6,unknown,house
"Kaptur, Marcy", D,OH,500.0,,30,unknown,house
"Keating, Bill", D,MA,3400.0,9800,2,unknown,house
"Kelly, Mike", R,PA,7800.0,3500,2,unknown,house
"Kildee, Dale", D,MI,3000.0,,36,unknown,house
"Kind, Ron", D,WI,19500.0,19861,16,unknown,house
"King, Peter", R,NY,12400.0,24150,20,yes,house
"King, Steve", R,IA,12500.0,4500,10,unknown,house
"Kingston, Jack", R,GA,9750.0,16650,20,unknown,house
"Kinzinger, Adam", R,IL,9100.0,1950,2,leaning no,house
"Kissell, Larry", D,NC,9000.0,4840,4,unknown,house
"Kline, John", R,MN,16600.0,16950,10,no,house
"Kucinich, Dennis", D,OH,16950.0,1500,16,unknown,house
"Labrador, Raul", R,ID,1000.0,5250,2,leaning no,house
"Lamborn, Doug", R,CO,2500.0,7400,6,unknown,house
"Lance, Leonard", R,NJ,18550.0,1500,4,leaning no,house
"Landry, Jeff", R,LA,3500.0,1000,2,unknown,house
"Langevin, Jim", D,RI,1250.0,32850,12,no,house
"Lankford, James", R,OK,1000.0,9700,2,leaning no,house
"Larsen, Rick", D,WA,15300.0,53200,12,no,house
"Larson, John", D,CT,35150.0,18644,14,yes,house
"Latham, Tom", R,IA,8000.0,,18,no,house
"LaTourette, Steven", R,OH,9000.0,3500,18,unknown,house
"Latta, Robert", R,OH,29500.0,5000,6,leaning no,house
"Lee, Barbara", D,CA,18407.0,15750,16,leaning no,house
"Levin, Sander", D,MI,26400.0,24000,30,no,house
"Lewis, Jerry", R,CA,8400.0,23050,34,undecided,house
"Lewis, John", D,GA,20000.0,7000,26,leaning no,house
"Lipinski, Daniel", D,IL,1000.0,,8,unknown,house
"Loebsack, Dave", D,IA,5000.0,1000,6,unknown,house
"Lofgren, Zoe", D,CA,17850.0,142897,18,no,house
"Long, Billy", R,MO,4350.0,3400,2,unknown,house
"Lowey, Nita", D,NY,23900.0,750,24,unknown,house
"Lucas, Frank", R,OK,3750.0,1000,20,unknown,house
"Luetkemeyer, Blaine", R,MO,11250.0,4750,4,unknown,house
"Lujan, Ben", D,NM,19300.0,12250,4,yes,house
"Lummis, Cynthia", R,WY,6000.0,2250,4,unknown,house
"Lungren, Dan", R,CA,40000.0,61935,8,unknown,house
"Lynch, Stephen", D,MA,500.0,1000,12,unknown,house
"Mack, Connie", R,FL,14200.0,4000,8,unknown,house
"Maloney, Carolyn", D,NY,44040.0,20800,20,unknown,house
"Manzullo, Donald", R,IL,6500.0,4500,20,no,house
"Marchant, Kenny", R,TX,5500.0,4750,8,no,house
"Marino, Tom", R,PA,2800.0,2250,2,yes,house
"Markey, Edward", D,MA,65750.0,45658,38,unknown,house
"Matheson, Jim", D,UT,42250.0,26850,12,no,house
"Matsui, Doris", D,CA,31000.0,15000,8,no,house
"McCarthy, Carolyn", D,NY,10850.0,2650,16,unknown,house
"McCarthy, Kevin", R,CA,48500.0,51500,6,unknown,house
"McCaul, Michael", R,TX,46200.0,76600,8,unknown,house
"McClintock, Tom", R,CA,4950.0,24900,4,unknown,house
"McCollum, Betty", D,MN,2450.0,4700,12,no,house
"McCotter, Thaddeus", R,MI,19309.0,4000,10,no,house
"McDermott, Jim", D,WA,4800.0,7700,24,no,house
"McGovern, Jim", D,MA,5400.0,17151,16,leaning no,house
"McHenry, Patrick", R,NC,12000.0,4500,8,no,house
"McIntyre, Mike", D,NC,11000.0,7000,16,unknown,house
"McKeon, Howard", R,CA,10990.0,13000,20,unknown,house
"McKinley, David", R,WV,2000.0,4900,2,unknown,house
"McMorris Rodgers, Cathy", R,WA,15000.0,25288,8,unknown,house
"McNerney, Jerry", D,CA,45100.0,86850,6,no,house
"Meehan, Pat", R,PA,20800.0,16025,2,unknown,house
"Meeks, Gregory", D,NY,7050.0,10015,16,unknown,house
"Mica, John", R,FL,5250.0,2550,20,unknown,house
"Michaud, Michael", D,ME,4500.0,5499,10,no,house
"Miller, George", D,CA,7650.0,8650,38,no,house
"Miller, Gary", R,CA,4500.0,750,14,unknown,house
"Miller, Jeff", R,FL,4500.0,34250,12,unknown,house
"Miller, Candice", R,MI,6600.0,1550,10,no,house
"Miller, Brad", D,NC,5500.0,12100,10,unknown,house
"Moore, Gwen", D,WI,2750.0,,8,unknown,house
"Moran, James", D,VA,,129150,22,no,house
"Mulvaney, Mick", R,SC,1000.0,15460,2,unknown,house
"Murphy, Tim", R,PA,26500.0,14650,10,unknown,house
"Murphy, Christopher", D,CT,69700.0,19500,6,unknown,house
"Myrick, Sue", R,NC,32250.0,12750,18,unknown,house
"Nadler, Jerrold", D,NY,36500.0,8750,22,unknown,house
"Napolitano, Grace", D,CA,3000.0,,14,unknown,house
"Neal, Richard", D,MA,7750.0,41716,24,unknown,house
"Neugebauer, Randy", R,TX,4000.0,1500,10,unknown,house
"Noem, Kristi", R,SD,3950.0,5800,2,undecided,house
"Nugent, Richard", R,FL,2750.0,500,2,no,house
"Nunes, Devin", R,CA,11000.0,11000,10,unknown,house
"Nunnelee, Alan", R,MS,1700.0,6000,2,yes,house
"Olson, Pete", R,TX,6000.0,9450,4,unknown,house
"Olver, John", D,MA,1550.0,2500,22,leaning no,house
"Owens, Bill", D,NY,35850.0,8550,4,yes,house
"Palazzo, Steven", R,MS,500.0,7250,2,unknown,house
"Pallone, Frank", D,NJ,49200.0,11500,26,unknown,house
"Pascrell Jr., Bill", D,NJ,6000.0,1500,16,no,house
"Pastor, Ed", D,AZ,3000.0,5250,22,unknown,house
"Paul, Ron", R,TX,500.0,3856,24,no,house
"Paulsen, Erik", R,MN,39300.0,19600,4,no,house
"Payne, Donald", D,NJ,6000.0,2250,24,unknown,house
"Pearce, Steve", R,NM,20400.0,7150,2,unknown,house
"Pelosi, Nancy", D,CA,76950.0,63475,24,no,house
"Pence, Mike", R,IN,33150.0,23228,12,unknown,house
"Perlmutter, Ed", D,CO,29350.0,13500,6,unknown,house
"Peters, Gary", D,MI,25450.0,24650,4,unknown,house
"Peterson, Collin", D,MN,5900.0,,22,unknown,house
"Petri, Tom", R,WI,7200.0,500,34,unknown,house
"Pingree, Chellie", D,ME,11300.0,500,4,no,house
"Pitts, Joe", R,PA,26300.0,11500,16,unknown,house
"Platts, Todd", R,PA,2000.0,200,12,unknown,house
"Poe, Ted", R,TX,15500.0,4300,8,unknown,house
"Polis, Jared", D,CO,3500.0,4500,4,no,house
"Pompeo, Mike", R,KS,7850.0,6665,2,leaning no,house
"Posey, Bill", R,FL,6500.0,6250,4,unknown,house
"Price, David", D,NC,2500.0,22950,24,leaning no,house
"Price, Tom", R,GA,11000.0,19233,8,unknown,house
"Quayle, Ben", R,AZ,35850.0,33233,2,no,house
"Quigley, Mike", D,IL,7000.0,13732,4,unknown,house
"Rahall II, Nick", D,WV,8650.0,9800,36,unknown,house
"Rangel, Charles", D,NY,36450.0,45883,42,unknown,house
"Reed, Tom", R,NY,1000.0,25350,4,unknown,house
"Rehberg, Denny", R,MT,20050.0,7900,12,undecided,house
"Reichert, Dave", R,WA,26950.0,72876,8,unknown,house
"Renacci, Jim", R,OH,19650.0,2400,2,leaning no,house
"Reyes, Silvestre", D,TX,8400.0,11900,16,no,house
"Ribble, Reid", R,WI,300.0,,2,unknown,house
"Richardson, Laura", D,CA,5250.0,10000,6,unknown,house
"Richmond, Cedric", D,LA,3500.0,6650,2,unknown,house
"Rigell, Scott", R,VA,10300.0,12700,2,unknown,house
"Rivera, David", R,FL,5500.0,17400,2,unknown,house
"Roby, Martha", R,AL,2720.0,6100,2,unknown,house
"Roe, Phil", R,TN,200.0,,4,unknown,house
"Rogers, Harold", R,KY,9000.0,35500,32,unknown,house
"Rogers, Mike", R,MI,47400.0,46000,12,leaning no,house
"Rogers, Mike", R,AL,500.0,12333,12,unknown,house
"Rohrabacher, Dana", R,CA,500.0,10200,24,unknown,house
"Rokita, Todd", R,IN,7500.0,8550,2,leaning no,house
"Rooney, Tom", R,FL,35250.0,14600,4,unknown,house
"Ros-Lehtinen, Ileana", R,FL,37200.0,13650,24,unknown,house
"Roskam, Peter", R,IL,14000.0,26750,6,leaning no,house
"Ross, Mike", D,AR,43700.0,13000,12,unknown,house
"Ross, Dennis", R,FL,8500.0,3000,2,yes,house
"Rothman, Steven", D,NJ,4500.0,9400,16,unknown,house
"Roybal-Allard, Lucille", D,CA,4400.0,1000,20,unknown,house
"Royce, Ed", R,CA,6150.0,3800,20,unknown,house
"Runyan, Jon", R,NJ,5700.0,2000,2,unknown,house
"Ruppersberger, C.A. Dutch", D,MD,23500.0,32200,10,unknown,house
"Rush, Bobby", D,IL,33000.0,15250,20,unknown,house
"Ryan, Paul", R,WI,24250.0,28850,14,no,house
"Ryan, Tim", D,OH,7000.0,7200,10,unknown,house
"Sanchez, Loretta", D,CA,56725.0,26400,16,unknown,house
"Sanchez, Linda", D,CA,24400.0,9019,10,unknown,house
"Sarbanes, John", D,MD,1000.0,3000,6,leaning no,house
"Scalise, Steve", R,LA,37250.0,20300,6,no,house
"Schakowsky, Jan", D,IL,12050.0,10700,14,no,house
"Schiff, Adam", D,CA,62700.0,6250,12,yes,house
"Schilling, Bobby", R,IL,2750.0,2300,2,leaning no,house
"Schmidt, Jean", R,OH,750.0,2400,8,unknown,house
"Schock, Aaron", R,IL,29100.0,8750,4,no,house
"Schrader, Kurt", D,OR,25600.0,30800,4,no,house
"Schwartz, Allyson", D,PA,39200.0,42550,6,no,house
"Schweikert, David", R,AZ,5000.0,14683,2,unknown,house
"Scott, Robert", D,VA,11000.0,10000,20,unknown,house
"Scott, David", D,GA,7500.0,1000,10,unknown,house
"Scott, Tim", R,SC,3750.0,4000,2,no,house
"Scott, Austin", R,GA,2750.0,9000,2,unknown,house
"Sensenbrenner, F.", R,WI,33500.0,13000,34,no,house
"Serrano, Jose", D,NY,2400.0,2250,24,unknown,house
"Sessions, Pete", R,TX,17500.0,28950,16,unknown,house
"Sewell, Terri", D,AL,14800.0,6500,2,unknown,house
"Sherman, Brad", D,CA,97500.0,18800,16,yes,house
"Shimkus, John", R,IL,50250.0,20750,16,leaning no,house
"Shuler, Heath", D,NC,14000.0,11400,6,unknown,house
"Shuster, Bill", R,PA,14500.0,4400,12,unknown,house
"Simpson, Mike", R,ID,8000.0,13210,14,unknown,house
"Sires, Albio", D,NJ,16800.0,,8,unknown,house
"Slaughter, Louise", D,NY,10000.0,11750,26,no,house
"Smith, Adam", D,WA,5000.0,36446,16,no,house
"Smith, Christopher", R,NJ,10500.0,2900,32,unknown,house
"Smith, Lamar", R,TX,90850.0,47250,26,yes,house
"Smith, Adrian", R,NE,11500.0,4800,6,unknown,house
"Southerland, Steve", R,FL,2200.0,4750,2,no,house
"Speier, Jackie", D,CA,2000.0,21950,6,no,house
"Stark, Pete", D,CA,,1000,40,no,house
"Stearns, Cliff", R,FL,66500.0,24400,24,unknown,house
"Stivers, Steve", R,OH,22551.0,6750,2,leaning no,house
"Stutzman, Marlin", R,IN,2750.0,3200,4,undecided,house
"Sullivan, John", R,OK,39000.0,2000,12,leaning no,house
"Sutton, Betty", D,OH,18100.0,2750,6,unknown,house
"Terry, Lee", R,NE,52750.0,26150,14,no,house
"Thompson, Bennie", D,MS,8450.0,44000,20,unknown,house
"Thompson, Mike", D,CA,4500.0,9127,14,no,house
"Thompson, Glenn", R,PA,12000.0,2900,4,unknown,house
"Thornberry, William", R,TX,4000.0,5150,18,no,house
"Tiberi, Pat", R,OH,27450.0,23400,12,unknown,house
"Tierney, John", D,MA,2250.0,16600,16,unknown,house
"Tipton, Scott", R,CO,13900.0,6400,2,unknown,house
"Tonko, Paul", D,NY,3500.0,12800,4,unknown,house
"Towns, Edolphus", D,NY,64350.0,46000,30,unknown,house
"Tsongas, Niki", D,MA,25950.0,25550,6,no,house
"Turner, Michael", R,OH,1000.0,33050,10,no,house
"Turner, Bob", R,NY,1000.0,,2,unknown,house
"Upton, Fred", R,MI,101350.0,38076,26,unknown,house
"Van Hollen, Chris", D,MD,18500.0,33350,10,unknown,house
"Velazquez, Nydia", D,NY,17000.0,20750,20,unknown,house
"Visclosky, Peter", D,IN,500.0,3000,28,unknown,house
"Walberg, Tim", R,MI,12600.0,2250,2,unknown,house
"Walden, Greg", R,OR,69600.0,48250,14,unknown,house
"Walsh, Joe", R,IL,2500.0,1500,2,no,house
"Walz, Tim", D,MN,13900.0,2870,6,no,house
"Wasserman Schultz, Debbie", D,FL,70600.0,23169,8,yes,house
"Waters, Maxine", D,CA,4900.0,5800,22,unknown,house
"Watt, Melvin", D,NC,25000.0,7000,20,yes,house
"Waxman, Henry", D,CA,148150.0,31547,38,unknown,house
"Webster, Daniel", R,FL,11000.0,4250,2,unknown,house
"Welch, Peter", D,VT,37400.0,13750,6,unknown,house
"West, Allen", R,FL,12690.0,17850,2,unknown,house
"Westmoreland, Lynn", R,GA,10000.0,8083,8,no,house
"Whitfield, Edward", R,KY,33750.0,13000,18,unknown,house
"Wilson, Joe", R,SC,5650.0,7400,12,unknown,house
"Wilson, Frederica", D,FL,1250.0,,2,unknown,house
"Wittman, Robert", R,VA,7250.0,8950,6,unknown,house
"Wolf, Frank", R,VA,6000.0,54500,32,unknown,house
"Womack, Steve", R,AR,18460.0,,2,unknown,house
"Woodall, Rob", R,GA,2750.0,2500,2,no,house
"Woolsey, Lynn", D,CA,6350.0,5250,20,unknown,house
"Yarmuth, John", D,KY,7050.0,6900,6,leaning no,house
"Yoder, Kevin", R,KS,3380.0,28142,2,no,house
"Young, C. W. Bill", R,FL,3000.0,6650,42,unknown,house
"Young, Don", R,AK,7200.0,5750,40,unknown,house
"Young, Todd", R,IN,2000.0,15150,2,unknown,house
"LoBiondo, Frank", R,NJ,9000.0,1500,18,leaning no,house
"Akaka, Daniel", D,HI,,1000,21,unknown,senate
"Alexander, Lamar", R,TN,1000.0,3000,9,yes,senate
"Ayotte, Kelly", R,NH,55900.0,59216,1,no,senate
"Barrasso, John", R,WY,12500.0,1000,5,unknown,senate
"Baucus, Max", D,MT,4000.0,24000,33,unknown,senate
"Begich, Mark", D,AK,5000.0,4000,3,no,senate
"Bennet, Michael", D,CO,367733.0,162575,3,yes,senate
"Bingaman, Jeff", D,NM,2000.0,1750,29,yes,senate
"Blumenthal, Richard", D,CT,154066.0,52150,1,yes,senate
"Blunt, Roy", R,MO,154166.0,64238,1,no,senate
"Boozman, John", R,AR,13150.0,9346,1,no,senate
"Boxer, Barbara", D,CA,571600.0,348691,19,yes,senate
"Brown, Scott", R,MA,36255.0,153050,3,no,senate
"Brown, Sherrod", D,OH,9150.0,21350,5,yes,senate
"Burr, Richard", R,NC,67150.0,66288,7,unknown,senate
"Cantwell, Maria", D,WA,7650.0,24838,11,no,senate
"Cardin, Benjamin", D,MD,7000.0,5500,5,yes,senate
"Carper, Thomas", D,DE,1400.0,7030,11,unknown,senate
"Casey, Bob", D,PA,75800.0,12100,5,yes,senate
"Chambliss, Saxby", R,GA,-5000.0,1250,9,yes,senate
"Coats, Daniel", R,IN,36200.0,26714,1,unknown,senate
