id,year,age,race,sex,hispaniccat,educ,partyid,relactiv,abany,abdefect,abnomore,abhlth,abpoor,abrape,absingle,pid,hispanic
72,1972,30,White,Female,,12,"Ind,Near Dem",,,1,1,1,1,1,1,2,
73,1972,68,White,Male,,8,Not Str Republican,,,0,0,1,0,1,0,5,
74,1972,63,White,Female,,11,Independent,,,1,0,1,0,1,0,3,
75,1972,19,White,Male,,12,Not Str Democrat,,,,0,1,0,1,0,1,
76,1972,23,White,Male,,16,"Ind,Near Dem",,,1,1,1,1,1,1,2,
77,1972,46,White,Female,,10,Not Str Democrat,,,1,1,1,1,1,1,1,
78,1972,55,White,Female,,8,Strong Democrat,,,1,0,1,0,1,1,0,
79,1972,22,White,Male,,14,Not Str Republican,,,,1,0,1,1,1,5,
80,1972,55,White,Female,,12,Independent,,,1,0,,,1,0,3,
81,1972,44,White,Male,,7,Not Str Democrat,,,,,1,,1,,1,
82,1972,41,White,Female,,12,"Ind,Near Rep",,,1,1,1,1,1,1,4,
83,1972,49,White,Male,,15,"Ind,Near Rep",,,1,1,1,1,1,1,4,
84,1972,28,White,Female,,15,Other Party,,,1,1,1,0,1,0,,
85,1972,21,White,Male,,14,Independent,,,1,0,1,1,1,1,3,
86,1972,26,White,Male,,17,Not Str Republican,,,1,1,1,1,1,1,5,
87,1972,31,White,Female,,20,Not Str Democrat,,,1,1,1,1,1,1,1,
88,1972,28,White,Female,,18,Other Party,,,1,1,1,1,1,1,,
89,1972,26,White,Male,,17,"Ind,Near Dem",,,1,1,1,1,1,1,2,
90,1972,20,Black,Female,,14,Not Str Democrat,,,1,1,1,0,1,0,1,
91,1972,25,White,Male,,16,Independent,,,1,1,1,1,1,1,3,
92,1972,57,White,Female,,12,Strong Democrat,,,1,1,1,1,1,1,0,
93,1972,58,White,Female,,13,Other Party,,,0,0,0,0,0,0,,
94,1972,54,White,Male,,14,Not Str Republican,,,1,1,1,1,1,1,5,
95,1972,35,White,Female,,16,Not Str Democrat,,,1,1,1,1,1,1,1,
96,1972,40,White,Male,,14,Strong Republican,,,1,1,1,1,1,1,6,
97,1972,57,White,Male,,15,Not Str Republican,,,1,1,1,1,1,1,5,
98,1972,64,White,Female,,16,Strong Republican,,,1,1,1,1,1,1,6,
99,1972,34,White,Male,,15,"Ind,Near Dem",,,1,1,1,1,1,1,2,
100,1972,25,White,Female,,12,"Ind,Near Dem",,,1,1,1,1,1,1,2,
101,1972,28,White,Male,,9,Not Str Republican,,,1,1,1,0,1,0,5,
102,1972,41,White,Male,,13,Not Str Democrat,,,1,0,1,0,0,0,1,
103,1972,36,White,Female,,12,"Ind,Near Dem",,,1,1,1,1,1,1,2,
104,1972,31,White,Male,,15,Strong Democrat,,,0,0,0,0,0,0,0,
105,1972,45,White,Male,,12,Not Str Democrat,,,1,1,1,1,1,1,1,
106,1972,74,White,Female,,8,Not Str Democrat,,,0,1,1,1,1,0,1,
107,1972,64,White,Female,,12,Strong Republican,,,1,0,1,0,1,,6,
108,1972,23,White,Female,,13,"Ind,Near Dem",,,1,1,1,1,1,1,2,
109,1972,27,White,Female,,16,Not Str Democrat,,,1,1,1,1,1,,1,
110,1972,42,White,Male,,13,Strong Democrat,,,0,0,0,0,0,0,0,
111,1972,47,Black,Male,,3,,,,1,0,1,1,1,1,,
112,1972,26,Black,Male,,12,Strong Democrat,,,0,0,1,0,1,0,0,
113,1972,34,White,Female,,10,Not Str Democrat,,,1,0,1,0,1,,1,
114,1972,52,White,Male,,14,Strong Democrat,,,1,1,1,1,1,1,0,
115,1972,24,White,Male,,12,Strong Democrat,,,1,1,1,0,1,1,0,
116,1972,36,White,Female,,14,"Ind,Near Dem",,,1,1,1,1,1,1,2,
117,1972,25,Black,Male,,8,Not Str Democrat,,,0,0,1,0,0,0,1,
118,1972,46,Black,Female,,11,Independent,,,1,1,1,1,1,0,3,
119,1972,54,Black,Female,,2,Strong Republican,,,0,0,1,0,0,0,6,
120,1972,27,Black,Female,,12,Not Str Democrat,,,1,1,1,0,1,1,1,
121,1972,20,Black,Female,,12,"Ind,Near Rep",,,0,1,0,1,1,1,4,
122,1972,53,Black,Male,,6,Strong Democrat,,,0,0,0,0,0,0,0,
123,1972,47,Black,Male,,3,Strong Democrat,,,0,0,0,0,0,0,0,
124,1972,70,Black,Male,,8,Strong Democrat,,,1,,1,1,0,0,0,
125,1972,69,White,Female,,8,Strong Democrat,,,1,0,1,1,1,1,0,
126,1972,49,White,Female,,12,Strong Democrat,,,1,1,1,1,1,1,0,
127,1972,29,White,Female,,16,Not Str Republican,,,1,1,1,1,1,1,5,
128,1972,48,White,Female,,12,"Ind,Near Dem",,,1,0,1,0,1,0,2,
129,1972,67,White,Female,,9,Not Str Democrat,,,0,0,0,0,1,0,1,
130,1972,22,White,Male,,12,Strong Democrat,,,1,1,1,1,1,1,0,
131,1972,75,White,Male,,6,"Ind,Near Dem",,,1,1,1,1,1,1,2,
132,1972,38,White,Male,,12,"Ind,Near Dem",,,1,1,1,1,1,1,2,
133,1972,46,White,Male,,15,"Ind,Near Rep",,,0,0,0,0,0,0,4,
134,1972,63,White,Female,,8,Not Str Democrat,,,0,0,,0,0,0,1,
135,1972,34,White,Female,,11,Not Str Democrat,,,1,1,1,1,1,1,1,
136,1972,57,White,Male,,4,Not Str Democrat,,,1,0,1,0,,0,1,
137,1972,22,White,Female,,13,Not Str Democrat,,,1,0,1,1,1,1,1,
138,1972,46,White,Male,,8,Other Party,,,1,0,1,0,1,0,,
139,1972,73,White,Female,,11,Not Str Republican,,,,0,1,0,1,0,5,
140,1972,73,White,Male,,12,Not Str Republican,,,1,0,1,0,1,0,5,
141,1972,53,White,Male,,12,Not Str Republican,,,1,1,1,1,1,1,5,
142,1972,84,White,Female,,12,Not Str Democrat,,,1,0,1,,1,0,1,
143,1972,27,White,Male,,14,Independent,,,1,1,1,1,1,1,3,
144,1972,69,White,Female,,10,Strong Republican,,,1,0,1,0,0,0,6,
145,1972,82,White,Female,,5,Not Str Democrat,,,0,0,0,0,0,0,1,
146,1972,67,White,Female,,16,Not Str Democrat,,,1,0,1,1,1,1,1,
147,1972,41,White,Male,,12,"Ind,Near Dem",,,1,0,1,0,1,0,2,
148,1972,72,White,Male,,2,Not Str Democrat,,,0,0,1,0,0,0,1,
149,1972,38,White,Male,,10,Not Str Democrat,,,1,1,1,0,1,1,1,
150,1972,59,White,Female,,12,Not Str Republican,,,1,,1,1,1,,5,
151,1972,42,White,Male,,12,Independent,,,1,1,1,1,1,1,3,
152,1972,48,White,Male,,12,"Ind,Near Dem",,,1,1,1,0,1,0,2,
153,1972,59,White,Female,,10,Strong Republican,,,1,1,1,1,1,1,6,
154,1972,39,White,Female,,11,Strong Democrat,,,1,0,1,0,0,0,0,
155,1972,49,White,Female,,12,"Ind,Near Dem",,,1,0,1,0,1,0,2,
156,1972,33,White,Female,,12,Not Str Democrat,,,1,1,1,1,1,1,1,
157,1972,53,White,Female,,11,Strong Democrat,,,1,1,1,1,1,1,0,
158,1972,30,White,Female,,12,Independent,,,1,1,1,1,1,1,3,
159,1972,25,White,Male,,12,"Ind,Near Dem",,,0,0,1,0,1,0,2,
160,1972,36,White,Female,,9,"Ind,Near Dem",,,1,1,1,1,1,1,2,
161,1972,30,White,Male,,12,"Ind,Near Rep",,,1,0,1,0,0,0,4,
162,1972,28,White,Male,,9,"Ind,Near Rep",,,1,0,1,0,1,0,4,
163,1972,52,White,Male,,8,Independent,,,1,0,1,0,0,0,3,
164,1972,44,White,Male,,10,Strong Democrat,,,1,0,1,0,0,0,0,
165,1972,50,White,Male,,18,"Ind,Near Dem",,,1,1,1,1,1,1,2,
166,1972,38,White,Female,,18,Independent,,,1,1,1,1,1,1,3,
167,1972,26,White,Male,,18,Independent,,,1,0,1,1,1,,3,
168,1972,28,White,Female,,12,Independent,,,1,1,1,1,1,1,3,
169,1972,81,White,Female,,14,Strong Republican,,,1,1,1,1,1,0,6,
170,1972,55,White,Female,,12,"Ind,Near Dem",,,,0,,0,0,0,2,
171,1972,76,White,Male,,12,Strong Republican,,,1,1,1,1,1,1,6,
172,1972,29,White,Male,,12,Independent,,,1,1,1,1,1,1,3,
173,1972,19,White,Male,,10,Other Party,,,1,0,1,0,,0,,
174,1972,76,White,Female,,10,Not Str Republican,,,0,0,1,0,1,0,5,
175,1972,61,White,Male,,19,Strong Republican,,,1,1,1,1,1,1,6,
176,1972,26,White,Male,,16,Not Str Republican,,,1,0,1,1,1,0,5,
177,1972,39,White,Female,,14,"Ind,Near Rep",,,1,1,1,1,1,1,4,
178,1972,19,White,Male,,9,Other Party,,,1,1,1,1,1,1,,
179,1972,26,White,Female,,16,"Ind,Near Dem",,,1,1,1,1,1,0,2,
180,1972,21,White,Female,,12,"Ind,Near Dem",,,1,0,1,1,1,0,2,
181,1972,45,Black,Female,,10,Strong Democrat,,,1,0,1,0,1,0,0,
182,1972,27,Black,Female,,12,"Ind,Near Dem",,,1,0,1,,1,,2,
183,1972,76,Black,Male,,1,Strong Democrat,,,0,0,0,0,0,0,0,
184,1972,63,Black,Female,,5,Strong Democrat,,,1,0,1,,1,,0,
185,1972,52,Black,Male,,6,Strong Democrat,,,0,0,0,0,0,0,0,
186,1972,65,Black,Male,,1,Strong Democrat,,,0,0,0,0,0,0,0,
187,1972,59,Black,Male,,2,Not Str Democrat,,,1,0,1,0,1,0,1,
188,1972,26,White,Male,,14,Not Str Democrat,,,1,1,1,1,1,1,1,
189,1972,41,White,Female,,16,"Ind,Near Rep",,,1,1,1,1,1,1,4,
190,1972,56,White,Male,,18,Independent,,,,0,0,0,1,0,3,
191,1972,62,White,Male,,15,"Ind,Near Rep",,,1,1,1,1,1,1,4,
192,1972,29,White,Male,,18,"Ind,Near Rep",,,1,0,1,0,1,0,4,
193,1972,25,White,Female,,16,"Ind,Near Dem",,,1,1,1,1,1,1,2,
194,1972,41,White,Female,,12,Strong Republican,,,,0,1,0,1,1,6,
195,1972,21,White,Female,,12,"Ind,Near Dem",,,0,0,1,0,1,0,2,
196,1972,49,White,Female,,12,Strong Democrat,,,1,1,1,1,1,1,0,
197,1972,38,White,Male,,9,Not Str Democrat,,,1,0,1,0,1,1,1,
198,1972,50,White,Male,,12,Not Str Democrat,,,1,,1,,1,,1,
199,1972,43,White,Male,,12,Not Str Democrat,,,1,1,1,1,1,1,1,
200,1972,32,White,Male,,13,Not Str Republican,,,1,0,1,0,1,0,5,
201,1972,55,White,Female,,12,Strong Republican,,,1,1,1,1,1,1,6,
202,1972,27,White,Female,,14,Other Party,,,1,1,1,1,1,1,,
203,1972,56,White,Male,,13,Independent,,,1,1,1,1,1,0,3,
204,1972,48,White,Female,,8,Not Str Democrat,,,1,,1,1,1,1,1,
205,1972,56,White,Male,,10,Strong Democrat,,,1,0,1,0,1,0,0,
206,1972,44,White,Female,,3,Strong Democrat,,,1,0,1,1,1,0,0,
207,1972,25,White,Female,,9,Not Str Democrat,,,1,0,1,0,1,0,1,
208,1972,32,White,Male,,10,Not Str Democrat,,,1,0,1,0,1,0,1,
209,1972,33,White,Female,,13,Not Str Republican,,,1,1,1,1,1,1,5,
210,1972,48,White,Male,,11,Not Str Democrat,,,0,0,0,0,0,0,1,
211,1972,45,White,Male,,12,Strong Democrat,,,1,0,1,1,1,0,0,
212,1972,45,White,Female,,10,Not Str Democrat,,,1,1,1,1,1,1,1,
213,1972,72,White,Male,,7,Strong Democrat,,,1,1,,0,0,,0,
214,1972,45,Black,Female,,9,Strong Democrat,,,1,,,0,0,0,0,
215,1972,70,Black,Female,,6,Not Str Democrat,,,1,0,1,0,,1,1,
216,1972,31,Black,Female,,14,Not Str Democrat,,,1,0,1,0,1,0,1,
217,1972,20,Black,Male,,12,Not Str Republican,,,1,1,1,1,1,0,5,
218,1972,22,Black,Female,,9,Other Party,,,,0,1,,0,0,,
219,1972,63,Black,Male,,4,Strong Democrat,,,0,0,0,0,0,0,0,
220,1972,70,Black,Male,,6,Strong Democrat,,,0,0,0,0,0,0,0,
221,1972,68,White,Male,,11,Other Party,,,1,0,1,0,,0,,
222,1972,43,White,Female,,12,Not Str Republican,,,0,0,0,0,0,0,5,
223,1972,53,White,Female,,17,Strong Republican,,,1,0,1,1,1,1,6,
224,1972,44,White,Female,,12,Not Str Republican,,,1,,1,1,1,,5,
225,1972,37,White,Female,,15,Not Str Republican,,,1,,1,1,1,,5,
226,1972,55,White,Male,,12,Not Str Republican,,,1,0,1,0,1,0,5,
227,1972,52,White,Male,,14,Strong Republican,,,1,1,1,1,1,1,6,
228,1972,64,White,Male,,10,Not Str Republican,,,1,0,1,0,1,1,5,
229,1972,,White,Male,,12,Not Str Republican,,,1,1,1,1,1,1,5,
230,1972,64,White,Male,,11,Not Str Democrat,,,1,1,1,,1,,1,
231,1972,27,White,Female,,16,"Ind,Near Dem",,,1,0,1,0,1,0,2,
232,1972,28,White,Male,,14,"Ind,Near Rep",,,1,0,1,0,0,0,4,
233,1972,22,White,Male,,15,"Ind,Near Rep",,,1,1,1,1,1,1,4,
234,1972,61,White,Female,,14,"Ind,Near Dem",,,1,0,1,0,1,0,2,
235,1972,82,White,Female,,15,Not Str Republican,,,,0,1,0,,0,5,
236,1972,22,White,Male,,12,Independent,,,0,0,0,0,0,0,3,
237,1972,30,White,Female,,10,Independent,,,1,0,1,0,1,0,3,
238,1972,29,White,Female,,12,Strong Democrat,,,,,1,1,1,1,0,
239,1972,60,White,Male,,4,Strong Democrat,,,0,0,0,0,0,0,0,
240,1972,39,White,Female,,4,Other Party,,,1,,1,,1,,,
241,1972,21,White,Female,,9,Not Str Democrat,,,1,0,1,0,0,0,1,
242,1972,56,White,Male,,7,Strong Democrat,,,0,0,1,0,1,0,0,
243,1972,72,White,Male,,5,Strong Democrat,,,0,0,0,0,0,0,0,
244,1972,61,White,Male,,8,Not Str Democrat,,,1,1,1,1,1,1,1,
245,1972,71,White,Male,,20,Not Str Democrat,,,1,1,1,1,1,1,1,
246,1972,56,White,Female,,9,"Ind,Near Dem",,,1,1,1,1,1,1,2,
247,1972,71,White,Female,,5,Not Str Republican,,,1,0,1,0,1,0,5,
248,1972,48,White,Male,,14,Not Str Democrat,,,1,0,1,1,1,1,1,
249,1972,43,White,Female,,12,"Ind,Near Rep",,,1,1,1,1,1,0,4,
250,1972,61,White,Female,,12,Strong Democrat,,,1,0,1,,1,1,0,
251,1972,70,White,Male,,12,Strong Democrat,,,1,1,1,0,1,1,0,
252,1972,48,White,Female,,11,Not Str Republican,,,1,0,1,0,0,0,5,
253,1972,34,White,Female,,12,Independent,,,1,0,1,1,1,1,3,
254,1972,19,White,Male,,12,Strong Democrat,,,1,0,1,1,1,0,0,
255,1972,52,White,Female,,8,Not Str Democrat,,,1,0,1,0,1,0,1,
256,1972,30,White,Male,,14,Strong Democrat,,,1,0,1,0,1,0,0,
257,1972,60,White,Male,,12,"Ind,Near Dem",,,1,1,1,1,1,1,2,
258,1972,50,White,Male,,16,Strong Democrat,,,1,1,1,1,1,1,0,
259,1972,47,White,Female,,14,Strong Democrat,,,0,0,1,0,1,1,0,
260,1972,50,White,Female,,5,Not Str Republican,,,1,0,1,0,,0,5,
261,1972,68,White,Female,,5,Strong Democrat,,,0,0,0,0,0,0,0,
262,1972,50,White,Male,,12,Strong Democrat,,,1,1,1,1,1,1,0,
263,1972,21,White,Male,,10,"Ind,Near Dem",,,1,1,1,1,1,1,2,
264,1972,72,White,Female,,3,Other Party,,,0,0,0,0,0,0,,
265,1972,52,White,Male,,12,Not Str Republican,,,,0,,0,,,5,
266,1972,32,White,Female,,12,Other Party,,,1,1,1,1,1,1,,
267,1972,52,White,Male,,12,Independent,,,1,0,1,0,1,0,3,
268,1972,60,White,Female,,12,Not Str Democrat,,,,0,,0,,,1,
269,1972,32,Black,Male,,12,Not Str Republican,,,1,0,1,0,0,0,5,
270,1972,60,White,Female,,9,Not Str Democrat,,,0,0,,0,1,0,1,
271,1972,80,White,Female,,7,Strong Democrat,,,1,0,1,,0,0,0,
272,1972,58,Black,Male,,8,Not Str Democrat,,,1,0,1,0,1,0,1,
273,1972,36,Black,Female,,12,Not Str Republican,,,1,0,1,0,1,0,5,
274,1972,31,Black,Female,,12,Not Str Democrat,,,1,0,1,1,1,0,1,
275,1972,30,Black,Male,,16,Not Str Democrat,,,1,0,1,0,1,0,1,
276,1972,63,White,Male,,16,Independent,,,1,1,1,1,1,1,3,
277,1972,34,Black,Male,,13,Independent,,,1,1,1,1,1,1,3,
278,1972,29,White,Female,,12,Not Str Republican,,,1,0,1,,1,,5,
279,1972,36,White,Female,,5,Not Str Democrat,,,0,0,0,0,0,0,1,
280,1972,39,White,Female,,12,Not Str Democrat,,,1,1,1,1,1,0,1,
281,1972,73,White,Male,,8,Strong Democrat,,,0,0,,0,1,1,0,
282,1972,38,White,Male,,10,Other Party,,,1,,1,0,1,0,,
283,1972,55,White,Male,,13,Not Str Republican,,,1,1,1,1,1,1,5,
284,1972,30,White,Male,,12,Other Party,,,0,0,0,0,0,0,,
285,1972,44,White,Female,,12,Not Str Democrat,,,1,0,1,,1,0,1,
286,1972,43,White,Female,,8,"Ind,Near Rep",,,1,,1,0,1,0,4,
287,1972,38,White,Male,,8,Not Str Democrat,,,1,0,1,0,0,0,1,
288,1972,44,White,Female,,12,Not Str Democrat,,,1,0,1,0,1,0,1,
289,1972,75,White,Female,,9,"Ind,Near Dem",,,0,0,0,0,0,0,2,
290,1972,43,White,Male,,18,Not Str Republican,,,1,1,1,1,1,1,5,
291,1972,43,White,Female,,9,Independent,,,1,1,1,1,1,1,3,
292,1972,27,White,Male,,12,Independent,,,1,0,1,0,0,0,3,
293,1972,58,White,Male,,10,"Ind,Near Dem",,,0,0,,0,0,0,2,
294,1972,45,White,Male,,12,"Ind,Near Dem",,,1,1,1,1,1,1,2,
295,1972,31,White,Male,,12,Independent,,,1,1,1,1,1,1,3,
296,1972,23,White,Female,,12,Strong Democrat,,,1,0,1,0,1,0,0,
297,1972,69,White,Male,,7,Not Str Democrat,,,1,1,1,1,1,0,1,
298,1972,35,White,Female,,8,Not Str Democrat,,,,0,1,0,0,0,1,
299,1972,43,White,Female,,12,Strong Democrat,,,,,,,,,0,
300,1972,56,White,Female,,7,Other Party,,,1,0,1,0,1,0,,
301,1972,36,Black,Female,,11,Strong Democrat,,,0,0,1,0,1,0,0,
302,1972,47,Black,Female,,6,Strong Democrat,,,0,0,0,0,1,0,0,
303,1972,29,Black,Male,,14,"Ind,Near Dem",,,,,,,,,2,
304,1972,60,Black,Male,,12,Strong Democrat,,,1,1,1,1,1,1,0,
305,1972,37,Black,Female,,10,Not Str Democrat,,,1,1,1,1,1,1,1,
306,1972,20,Black,Male,,12,Strong Democrat,,,0,0,1,0,1,1,0,
307,1972,55,Black,Female,,9,Not Str Democrat,,,0,0,1,0,1,0,1,
308,1972,71,Black,Female,,,Not Str Democrat,,,0,0,1,0,0,0,1,
309,1972,30,Black,Male,,11,Strong Democrat,,,0,0,0,0,0,0,0,
310,1972,59,Black,Female,,9,Strong Democrat,,,0,0,0,0,0,0,0,
311,1972,42,Black,Female,,12,Not Str Republican,,,1,0,1,1,1,1,5,
312,1972,55,Black,Female,,11,Not Str Republican,,,1,0,1,1,1,1,5,
313,1972,24,Black,Male,,12,Strong Democrat,,,1,0,1,1,1,0,0,
314,1972,30,Black,Male,,7,Not Str Democrat,,,1,1,1,1,1,1,1,
315,1972,70,Black,Male,,0,Strong Democrat,,,1,0,1,0,1,0,0,
316,1972,43,Black,Female,,7,Not Str Republican,,,0,0,1,0,1,0,5,
317,1972,45,White,Male,,11,"Ind,Near Dem",,,1,0,1,0,1,0,2,
318,1972,25,White,Male,,16,Strong Democrat,,,1,0,1,1,1,0,0,
319,1972,37,White,Female,,0,Other Party,,,1,1,1,1,1,1,,
320,1972,22,White,Male,,14,Not Str Democrat,,,1,1,1,0,0,0,1,
321,1972,27,White,Female,,8,Other Party,,,1,0,1,1,1,0,,
322,1972,28,White,Female,,18,Strong Democrat,,,1,0,1,0,1,0,0,
323,1972,42,White,Male,,12,Not Str Democrat,,,1,1,1,0,1,1,1,
324,1972,42,White,Female,,3,Other Party,,,1,1,1,1,1,1,,
325,1972,30,White,Male,,12,Not Str Democrat,,,0,0,0,0,1,0,1,
326,1972,40,White,Female,,12,"Ind,Near Dem",,,0,0,0,0,0,0,2,
327,1972,37,White,Male,,18,"Ind,Near Rep",,,1,1,1,1,1,1,4,
328,1972,24,White,Female,,16,"Ind,Near Dem",,,1,1,1,1,1,1,2,
329,1972,46,White,Male,,12,Not Str Republican,,,1,0,1,1,1,0,5,
330,1972,53,White,Female,,12,"Ind,Near Dem",,,1,1,1,1,1,1,2,
331,1972,64,White,Male,,11,"Ind,Near Dem",,,0,0,1,0,1,0,2,
332,1972,20,White,Female,,13,Not Str Democrat,,,0,0,1,0,0,0,1,
333,1972,60,White,Male,,8,Strong Republican,,,,0,1,0,,0,6,
334,1972,33,White,Male,,16,Strong Republican,,,1,1,1,1,1,1,6,
335,1972,70,White,Female,,16,Other Party,,,1,,1,,1,,,
336,1972,60,White,Male,,3,Not Str Republican,,,1,0,1,0,1,0,5,
337,1972,26,White,Female,,11,Other Party,,,1,1,1,0,1,0,,
338,1972,74,White,Female,,3,Other Party,,,1,1,0,0,0,1,,
339,1972,33,White,Female,,11,Strong Republican,,,1,0,1,1,1,0,6,
340,1972,23,Black,Female,,11,Not Str Democrat,,,1,1,0,1,1,0,1,
341,1972,19,Black,Male,,12,Not Str Democrat,,,1,0,1,0,0,0,1,
342,1972,59,Black,Female,,4,Strong Democrat,,,0,0,0,0,1,0,0,
343,1972,70,Black,Female,,9,Other Party,,,0,0,0,0,0,0,,
344,1972,52,Black,Male,,2,Not Str Democrat,,,0,0,1,0,0,0,1,
345,1972,,Black,Female,,0,Other Party,,,,0,0,0,,0,,
346,1972,75,Black,Male,,2,Not Str Democrat,,,0,0,0,0,0,0,1,
