educ,age,cigpric,income,restaurn,smoker,cigs_intervals,cigs
12.0,28,61.8969993591309,20000,1,0,,0
12.0,53,61.1679992675781,30000,1,1,3,20
12.0,57,60.8230018615723,20000,1,0,,0
18.0,42,61.5900001525879,30000,1,0,,0
15.0,49,61.0919990539551,12500,1,0,,0
18.0,31,61.7820014953613,20000,1,1,4,25
12.0,20,61.4370002746582,8500,1,0,,0
18.0,45,61.8969993591309,20000,1,1,4,40
18.0,63,60.5550003051758,30000,1,0,,0
15.0,61,61.7050018310547,30000,1,0,,0
13.5,35,61.859001159668,12500,1,1,4,30
6.0,59,61.7050018310547,12500,1,0,,0
10.0,17,62.6539993286133,8500,1,0,,0
18.0,38,62.7360000610352,30000,1,0,,0
13.5,41,61.2449989318848,30000,1,0,,0
12.0,35,61.8969993591309,30000,1,0,,0
12.0,40,61.5900001525879,30000,1,0,,0
13.5,37,62.5709991455078,30000,1,0,,0
12.0,27,62.4059982299805,5500,1,1,3,13
12.0,48,60.8619995117188,20000,1,0,,0
12.0,18,62.0890007019043,30000,1,0,,0
12.0,43,60.8619995117188,20000,1,0,,0
10.0,20,62.0120010375977,3500,1,0,,0
8.0,19,60.8230018615723,12500,1,1,1,1
13.5,22,60.7080001831055,12500,1,0,,0
16.0,60,60.7080001831055,20000,1,0,,0
13.5,47,61.7439994812012,30000,1,0,,0
10.0,77,61.6290016174316,20000,1,0,,0
13.5,26,61.3600006103516,20000,1,0,,0
12.0,37,62.6539993286133,20000,1,1,3,20
13.5,40,62.1590003967285,30000,1,1,3,15
6.0,44,61.2840003967285,8500,1,0,,0
6.0,65,62.0120010375977,2500,1,0,,0
16.0,26,60.9000015258789,30000,1,0,,0
8.0,77,60.8619995117188,20000,1,0,,0
12.0,73,61.2070007324219,12500,1,0,,0
10.0,64,60.9379997253418,30000,1,0,,0
13.5,28,61.6290016174316,30000,1,0,,0
13.5,26,60.8619995117188,30000,1,1,3,20
10.0,64,61.0919990539551,20000,1,1,3,20
12.0,29,61.6669998168945,6500,1,0,,0
12.0,55,61.9739990234375,20000,1,1,4,40
12.0,54,62.7360000610352,30000,1,0,,0
15.0,42,61.2070007324219,20000,1,1,2,10
13.5,70,62.7360000610352,12500,1,0,,0
16.0,71,61.2840003967285,20000,1,0,,0
12.0,24,61.7439994812012,30000,1,0,,0
10.0,38,61.859001159668,20000,1,1,3,20
15.0,73,61.9360008239746,6500,1,0,,0
18.0,29,60.8230018615723,30000,1,0,,0
13.5,24,60.5550003051758,20000,1,0,,0
12.0,25,61.4370002746582,8500,1,0,,0
15.0,22,62.0890007019043,20000,1,0,,0
12.0,36,61.4749984741211,12500,1,1,1,5
12.0,28,53.6240005493164,20000,0,0,,0
13.5,27,53.3129997253418,6500,0,1,4,40
13.5,28,55.185001373291,4500,0,1,2,8
12.0,53,53.3819999694824,20000,0,0,,0
13.5,23,54.984001159668,30000,0,1,3,15
12.0,19,53.9690017700195,12500,0,1,3,15
15.0,25,54.3139991760254,20000,0,0,,0
13.5,34,54.6479988098145,12500,0,1,3,20
13.5,20,54.140998840332,30000,0,0,,0
10.0,17,54.3139991760254,20000,0,0,,0
16.0,51,66.5869979858398,30000,1,1,3,20
12.0,44,65.2900009155273,30000,1,1,4,30
12.0,29,65.2900009155273,20000,1,1,5,60
8.0,65,66.0879974365234,30000,1,0,,0
12.0,53,65.2900009155273,30000,1,0,,0
8.0,46,67.9329986572266,20000,1,0,,0
18.0,51,65.2900009155273,30000,1,0,,0
18.0,66,65.5400009155273,30000,1,0,,0
8.0,42,64.9909973144531,20000,1,0,,0
16.0,32,65.140998840332,8500,1,1,4,40
13.5,53,66.4369964599609,30000,1,1,4,25
8.0,70,66.0380020141602,30000,1,0,,0
10.0,30,65.8889999389648,20000,1,1,4,30
18.0,42,65.8889999389648,30000,1,0,,0
12.0,69,66.5370025634766,30000,1,0,,0
10.0,18,66.4369964599609,5500,1,0,,0
12.0,22,68.1839981079102,12500,1,1,2,10
6.0,38,66.6869964599609,20000,1,1,4,40
10.0,52,66.4369964599609,20000,1,1,3,20
10.0,17,65.140998840332,30000,1,0,,0
12.0,46,65.0410003662109,20000,1,0,,0
16.0,46,66.5869979858398,30000,1,0,,0
12.0,35,66.0380020141602,30000,1,0,,0
12.0,22,66.3379974365234,30000,1,1,3,16
12.0,54,61.5460014343262,20000,0,1,3,20
12.0,58,61.1839981079102,12500,0,1,4,40
10.0,27,62.0120010375977,12500,0,1,3,15
18.0,47,61.1839981079102,20000,0,1,4,40
16.0,53,62.0120010375977,30000,0,1,4,40
12.0,29,65.0820007324219,8500,0,1,2,10
13.5,29,67.8199996948242,8500,0,0,,0
13.5,47,68.1999969482422,30000,0,0,,0
8.0,67,69.4020004272461,30000,0,1,2,10
18.0,31,69.4020004272461,30000,0,0,,0
12.0,27,67.1240005493164,8500,0,0,,0
12.0,34,68.2630004882812,3500,0,0,,0
10.0,25,68.515998840332,20000,0,0,,0
12.0,46,67.8199996948242,20000,0,1,4,30
16.0,50,67.8199996948242,12500,0,1,4,50
6.0,69,67.7570037841797,8500,0,0,,0
13.5,32,67.8199996948242,12500,0,0,,0
12.0,64,67.693000793457,8500,0,0,,0
15.0,30,67.9469985961914,20000,0,0,,0
8.0,78,68.072998046875,12500,0,0,,0
13.5,46,69.1490020751953,12500,0,0,,0
13.5,49,69.5289993286133,30000,0,1,5,60
12.0,30,70.0139999389648,12500,0,0,,0
10.0,23,68.8330001831055,2500,0,1,3,20
12.0,27,69.4020004272461,20000,0,1,3,15
18.0,28,68.3899993896484,30000,0,1,3,20
10.0,26,69.5920028686523,5500,0,1,4,30
6.0,44,67.693000793457,12500,0,0,,0
13.5,54,69.4020004272461,30000,0,1,4,30
12.0,54,69.8410034179688,8500,0,0,,0
12.0,66,69.8990020751953,6500,0,1,3,13
18.0,49,67.8830032348633,30000,0,0,,0
16.0,77,67.4400024414062,6500,0,0,,0
12.0,74,68.8960037231445,12500,0,0,,0
18.0,69,69.4649963378906,30000,0,0,,0
13.5,78,68.6429977416992,30000,0,0,,0
13.5,57,68.3899993896484,30000,0,1,3,20
8.0,53,70.1289978027344,8500,0,0,,0
16.0,88,67.3140029907227,30000,0,0,,0
12.0,79,67.1869964599609,20000,0,0,,0
12.0,21,57.4729995727539,8500,0,0,,0
18.0,30,58.0940017700195,8500,0,0,,0
18.0,39,57.4729995727539,30000,0,0,,0
15.0,25,59.8520011901855,500,0,1,2,9
10.0,58,59.1300010681152,20000,0,0,,0
13.5,23,59.1300010681152,30000,0,1,3,15
16.0,30,59.2330017089844,20000,0,1,4,28
10.0,31,57.9389991760254,8500,0,1,4,40
16.0,31,57.4729995727539,20000,0,0,,0
16.0,50,58.0940017700195,20000,0,0,,0
8.0,20,58.507999420166,12500,0,0,,0
13.5,24,57.1100006103516,12500,0,0,,0
12.0,33,61.9879989624023,20000,0,0,,0
16.0,39,63.5559997558594,30000,0,0,,0
13.5,19,57.4659996032715,30000,0,0,,0
12.0,31,59.4300003051758,20000,0,1,3,20
13.5,40,60.0419998168945,30000,0,1,4,50
16.0,39,59.492000579834,12500,0,0,,0
15.0,23,59.6759986877441,5500,0,1,2,7
8.0,71,58.6319999694824,8500,0,0,,0
6.0,54,58.0800018310547,6500,0,0,,0
10.0,33,58.5099983215332,12500,0,1,3,20
18.0,30,60.2210006713867,30000,0,0,,0
12.0,31,57.8349990844727,8500,0,1,3,20
18.0,46,60.5180015563965,30000,0,0,,0
12.0,75,59.9210014343262,20000,0,0,,0
8.0,40,58.2639999389648,30000,0,1,3,20
12.0,66,59.4300003051758,12500,0,0,,0
18.0,45,59.492000579834,30000,0,1,4,40
8.0,73,59.2459983825684,8500,0,0,,0
12.0,31,57.7120018005371,20000,0,1,4,30
13.5,27,58.2639999389648,30000,0,0,,0
10.0,50,58.6319999694824,20000,0,0,,0
12.0,45,57.7120018005371,30000,0,0,,0
12.0,22,58.2639999389648,30000,0,1,4,30
13.5,44,59.2459983825684,30000,0,0,,0
10.0,51,58.5099983215332,30000,0,1,1,5
6.0,59,58.8160018920898,3500,0,0,,0
10.0,59,58.4480018615723,20000,0,0,,0
12.0,66,57.6500015258789,8500,0,0,,0
13.5,35,59.2459983825684,30000,0,1,1,3
10.0,17,57.6500015258789,20000,0,1,3,15
12.0,35,59.5530014038086,20000,0,0,,0
16.0,30,59.6139984130859,30000,0,0,,0
12.0,23,59.4300003051758,30000,0,0,,0
8.0,60,58.140998840332,8500,0,0,,0
18.0,27,59.2459983825684,20000,0,0,,0
16.0,37,57.6500015258789,20000,0,0,,0
15.0,42,57.9570007324219,20000,0,0,,0
8.0,87,59.9210014343262,3500,0,0,,0
13.5,26,59.6139984130859,20000,0,1,3,20
12.0,20,57.4049987792969,12500,0,1,3,15
10.0,65,58.8779983520508,12500,0,0,,0
12.0,35,59.6139984130859,30000,0,1,3,20
18.0,38,59.0009994506836,30000,0,0,,0
10.0,64,59.185001373291,20000,0,1,3,20
10.0,62,58.2639999389648,8500,0,0,,0
12.0,47,58.6940002441406,20000,0,1,1,1
10.0,52,58.0800018310547,30000,0,1,3,20
13.5,32,58.5709991455078,12500,0,0,,0
16.0,26,58.4480018615723,20000,0,1,3,15
18.0,35,59.5530014038086,20000,0,0,,0
16.0,35,57.7120018005371,30000,0,0,,0
10.0,24,59.0620002746582,12500,0,0,,0
8.0,77,59.4300003051758,20000,0,1,1,1
13.5,24,58.140998840332,4500,0,1,3,20
8.0,63,53.3250007629395,20000,0,1,3,20
18.0,58,53.048999786377,20000,0,0,,0
10.0,69,52.8880004882812,3500,0,0,,0
13.5,62,54.3810005187988,12500,0,1,4,50
12.0,27,53.6699981689453,12500,0,0,,0
13.5,30,53.048999786377,20000,0,1,3,20
10.0,51,52.7960014343262,30000,0,0,,0
12.0,32,53.1180000305176,12500,0,0,,0
10.0,51,52.8190002441406,30000,0,1,3,20
6.0,53,53.6469993591309,20000,0,0,,0
13.5,20,53.5089988708496,20000,0,0,,0
13.5,22,53.2789993286133,12500,0,1,4,40
16.0,24,52.8190002441406,30000,0,0,,0
12.0,23,53.2560005187988,6500,0,0,,0
12.0,65,52.8190002441406,30000,0,0,,0
8.0,21,53.2330017089844,20000,0,1,3,20
8.0,19,52.9799995422363,1500,0,0,,0
10.0,24,53.5089988708496,12500,0,1,3,20
12.0,34,53.3250007629395,20000,0,1,4,30
10.0,54,52.8190002441406,8500,0,1,2,6
18.0,50,58.1419982910156,20000,0,1,3,15
13.5,65,57.9119987487793,8500,0,1,3,20
12.0,33,56.9000015258789,20000,0,1,3,20
8.0,69,57.681999206543,8500,0,0,,0
15.0,26,59.2350006103516,12500,0,1,4,30
8.0,69,57.681999206543,8500,0,0,,0
12.0,59,56.9000015258789,30000,0,1,3,20
12.0,35,57.6769981384277,12500,0,1,3,20
6.0,54,58.3779983520508,8500,0,0,,0
13.5,28,55.5960006713867,12500,0,0,,0
12.0,28,55.5960006713867,20000,0,1,3,15
10.0,77,45.2830009460449,3500,0,1,4,30
12.0,64,44.0589981079102,20000,0,0,,0
10.0,52,45.5610008239746,4500,0,1,4,40
10.0,21,45.2830009460449,1500,0,1,4,30
10.0,46,45.8390007019043,30000,0,0,,0
12.0,24,45.2270011901855,20000,0,0,,0
12.0,31,45.8390007019043,8500,0,1,4,30
12.0,26,44.0040016174316,8500,0,0,,0
10.0,79,45.7840003967285,4500,0,0,,0
12.0,53,46.5209999084473,30000,0,1,4,30
12.0,32,58.148998260498,12500,0,1,4,40
15.0,21,60.2350006103516,5500,0,0,,0
15.0,18,58.9830017089844,20000,0,0,,0
13.5,30,59.4280014038086,12500,0,0,,0
12.0,20,59.3720016479492,20000,0,1,3,15
8.0,69,56.9039993286133,12500,0,1,4,40
8.0,59,58.0530014038086,30000,0,1,3,20
12.0,56,57.0690002441406,30000,0,1,4,30
18.0,43,57.1790008544922,30000,0,0,,0
10.0,40,57.4339981079102,30000,0,1,4,40
16.0,37,58.7949981689453,30000,0,0,,0
10.0,36,58.2550010681152,12500,0,0,,0
13.5,28,58.7949981689453,30000,0,1,4,40
12.0,33,57.8709983825684,30000,0,0,,0
16.0,63,57.2879981994629,20000,0,0,,0
8.0,51,57.8349990844727,1500,0,1,3,20
12.0,33,58.7949981689453,30000,0,1,2,10
13.5,39,57.0690002441406,30000,0,0,,0
12.0,21,57.7620010375977,20000,0,1,3,20
13.5,37,58.2550010681152,30000,0,0,,0
18.0,70,58.8849983215332,30000,0,0,,0
12.0,20,57.8709983825684,30000,0,0,,0
16.0,27,57.0690002441406,12500,0,0,,0
16.0,28,58.8849983215332,20000,0,1,1,4
16.0,30,66.7610015869141,20000,0,0,,0
13.5,52,65.7669982910156,20000,0,1,3,20
18.0,24,65.1989974975586,12500,0,0,,0
12.0,71,65.7669982910156,12500,0,0,,0
12.0,39,67.1149978637695,20000,0,1,4,50
12.0,19,68.3349990844727,8500,0,1,2,10
13.5,21,66.9729995727539,20000,0,0,,0
16.0,33,67.3990020751953,3500,0,0,,0
13.5,51,66.1220016479492,20000,0,0,,0
8.0,54,65.7669982910156,30000,0,1,3,20
13.5,44,67.5410003662109,20000,0,1,4,25
12.0,43,67.1149978637695,30000,0,0,,0
6.0,68,65.7669982910156,5500,0,0,,0
12.0,22,66.7610015869141,20000,0,0,,0
10.0,54,65.8379974365234,30000,0,1,4,40
16.0,37,67.8249969482422,30000,0,1,4,30
13.5,22,66.5479965209961,30000,0,1,3,15
18.0,65,58.3810005187988,30000,1,0,,0
12.0,30,60.2239990234375,30000,1,1,4,30
12.0,19,60.2239990234375,30000,1,1,1,2
15.0,35,60.3489990234375,30000,1,0,,0
10.0,59,59.9860000610352,30000,1,0,,0
12.0,18,58.2019996643066,1500,1,0,,0
12.0,44,58.2620010375977,20000,1,1,3,20
16.0,37,58.8559989929199,20000,1,0,,0
12.0,37,60.5219993591309,12500,1,1,3,20
12.0,19,58.2019996643066,500,1,0,,0
12.0,25,58.9749984741211,20000,1,0,,0
16.0,31,58.9160003662109,12500,1,1,3,20
12.0,19,59.9860000610352,30000,1,0,,0
10.0,18,58.4990005493164,30000,1,0,,0
16.0,28,59.867000579834,20000,1,1,3,20
18.0,46,58.3810005187988,30000,1,0,,0
12.0,27,58.2620010375977,20000,1,0,,0
12.0,58,57.8450012207031,20000,1,0,,0
12.0,19,60.5219993591309,30000,1,0,,0
13.5,30,60.2830009460449,20000,1,1,1,3
13.5,58,58.7369995117188,30000,1,1,4,30
6.0,42,58.023998260498,20000,1,1,2,10
13.5,45,58.0830001831055,30000,1,0,,0
10.0,18,60.4360008239746,12500,1,1,3,14
12.0,40,60.5509986877441,30000,1,1,3,20
13.5,66,59.9860000610352,8500,1,0,,0
12.0,64,60.2239990234375,8500,1,1,3,20
12.0,43,59.9860000610352,30000,1,1,3,20
10.0,53,60.5509986877441,30000,1,0,,0
16.0,36,58.7970008850098,30000,1,1,4,30
13.5,43,60.4930000305176,20000,1,1,3,20
18.0,25,59.5699996948242,12500,1,0,,0
12.0,35,60.4640007019043,30000,1,0,,0
16.0,29,62.1020011901855,30000,1,0,,0
12.0,18,62.4650001525879,3500,1,0,,0
12.0,20,63.1990013122559,12500,1,0,,0
12.0,19,62.3440017700195,30000,1,0,,0
10.0,17,62.9480018615723,30000,1,0,,0
18.0,29,61.4980010986328,30000,1,1,3,20
8.0,65,61.4580001831055,12500,1,0,,0
12.0,42,61.4980010986328,20000,1,0,,0
16.0,32,63.2529983520508,30000,1,0,,0
18.0,36,62.9480018615723,30000,1,0,,0
16.0,57,63.2529983520508,30000,1,0,,0
12.0,31,62.4650001525879,12500,1,0,,0
10.0,17,62.2639999389648,20000,1,0,,0
10.0,17,62.9480018615723,20000,1,0,,0
8.0,45,59.3759994506836,20000,0,1,2,8
12.0,19,59.6209983825684,30000,0,1,2,10
8.0,74,54.3380012512207,5500,0,0,,0
12.0,46,53.6529998779297,30000,0,1,4,25
13.5,27,54.9249992370605,30000,0,0,,0
12.0,66,56.2939987182617,20000,0,0,,0
16.0,44,54.9249992370605,30000,0,0,,0
12.0,33,55.0219993591309,30000,0,0,,0
12.0,64,54.1419982910156,20000,0,0,,0
13.5,54,57.4850006103516,30000,0,1,1,1
10.0,27,57.5849990844727,12500,0,1,4,30
6.0,75,57.4850006103516,4500,0,0,,0
10.0,19,53.2620010375977,8500,0,0,,0
6.0,69,56.9790000915527,2500,0,1,3,20
12.0,30,55.7070007324219,8500,0,0,,0
12.0,64,56.0979995727539,12500,0,0,,0
13.5,37,57.3359985351562,30000,0,0,,0
12.0,31,54.4360008239746,30000,0,0,,0
12.0,30,57.5849990844727,20000,0,1,1,2
6.0,38,55.0149993896484,30000,1,0,,0
12.0,20,59.6529998779297,30000,1,0,,0
12.0,21,59.6529998779297,3500,1,1,3,20
12.0,19,56.8040008544922,12500,1,0,,0
18.0,71,58.4640007019043,12500,0,0,,0
10.0,49,63.1030006408691,20000,0,1,3,18
10.0,42,55.1679992675781,8500,0,0,,0
8.0,54,55.0069999694824,12500,0,1,2,10
13.5,24,55.1679992675781,20000,0,1,3,20
12.0,60,54.3219985961914,30000,0,0,,0
12.0,54,55.1679992675781,20000,0,0,,0
10.0,28,53.8790016174316,8500,0,1,3,20
8.0,67,64.9940032958984,12500,0,0,,0
12.0,56,65.5500030517578,20000,0,1,4,40
16.0,36,64.0479965209961,30000,0,0,,0
12.0,25,64.4380035400391,30000,0,0,,0
13.5,34,65.8280029296875,20000,0,0,,0
10.0,20,65.6050033569336,20000,0,1,1,5
13.5,21,64.4929962158203,30000,0,1,2,10
12.0,42,64.9380035400391,8500,0,0,,0
13.5,28,64.5490036010742,12500,0,1,3,20
18.0,29,65.4390029907227,20000,0,0,,0
8.0,70,64.9940032958984,5500,0,1,3,20
12.0,32,66.3280029296875,12500,0,1,4,30
13.5,42,65.7720031738281,30000,0,1,4,40
10.0,17,65.161003112793,30000,0,1,4,30
12.0,24,66.7839965820312,20000,0,0,,0
15.0,64,66.3280029296875,20000,0,0,,0
12.0,57,65.7170028686523,30000,0,1,5,60
16.0,51,64.1039962768555,30000,0,0,,0
13.5,29,65.7170028686523,12500,0,1,3,18
10.0,66,64.4380035400391,6500,0,1,3,20
13.5,62,64.3820037841797,30000,0,1,3,15
16.0,29,66.3280029296875,30000,0,1,4,40
6.0,58,65.6050033569336,8500,0,0,,0
15.0,53,65.161003112793,20000,0,0,,0
13.5,38,65.4390029907227,30000,0,0,,0
12.0,24,64.1039962768555,20000,0,0,,0
8.0,59,66.3840026855469,20000,0,0,,0
16.0,30,66.2170028686523,30000,0,0,,0
8.0,37,64.3820037841797,20000,0,0,,0
12.0,43,65.995002746582,20000,0,0,,0
12.0,60,66.1620025634766,20000,0,0,,0
10.0,24,64.9940032958984,12500,0,1,4,40
12.0,60,64.5490036010742,12500,0,0,,0
8.0,82,62.0400009155273,4500,0,0,,0
12.0,61,64.1920013427734,20000,0,0,,0
10.0,66,64.5070037841797,30000,0,0,,0
15.0,33,61.8499984741211,30000,0,0,,0
10.0,26,64.5640029907227,20000,0,1,3,19
8.0,85,64.1920013427734,20000,0,1,3,20
13.5,32,62.1040000915527,20000,0,0,,0
10.0,27,63.3689994812012,8500,0,0,,0
12.0,30,64.1289978027344,30000,0,1,3,20
12.0,30,62.6730003356934,5500,0,0,,0
13.5,47,63.1790008544922,30000,0,0,,0
12.0,18,61.8499984741211,6500,0,0,,0
12.0,20,62.4199981689453,6500,0,0,,0
18.0,32,62.5470008850098,30000,0,0,,0
18.0,30,61.9770011901855,20000,0,0,,0
10.0,17,63.6860008239746,20000,0,0,,0
12.0,22,62.6100006103516,12500,0,1,2,10
13.5,43,61.7869987487793,30000,0,0,,0
10.0,56,63.3059997558594,20000,0,1,4,40
6.0,64,61.9770011901855,6500,0,0,,0
6.0,76,62.9259986877441,12500,0,0,,0
12.0,28,64.0019989013672,12500,0,1,4,30
18.0,37,64.6510009765625,30000,0,0,,0
15.0,38,63.6220016479492,20000,0,0,,0
16.0,52,62.1040000915527,20000,0,1,3,20
8.0,68,63.1160011291504,12500,0,0,,0
12.0,75,62.9259986877441,12500,0,0,,0
13.5,54,61.8499984741211,30000,0,1,3,20
18.0,36,61.8499984741211,30000,0,1,4,40
6.0,37,62.3569984436035,4500,0,0,,0
13.5,23,62.4199981689453,12500,0,1,4,28
6.0,36,64.1920013427734,6500,0,1,1,5
10.0,44,63.1160011291504,30000,0,0,,0
18.0,56,64.1920013427734,20000,0,0,,0
10.0,64,64.3190002441406,12500,0,0,,0
13.5,45,62.9900016784668,30000,0,1,4,28
12.0,56,61.7869987487793,30000,0,1,4,30
8.0,62,63.1790008544922,30000,0,0,,0
15.0,62,62.7999992370605,12500,0,0,,0
16.0,52,64.5640029907227,30000,0,0,,0
10.0,18,63.1160011291504,30000,0,0,,0
12.0,47,64.0650024414062,500,0,0,,0
18.0,52,63.1790008544922,30000,0,0,,0
12.0,18,64.1289978027344,20000,0,0,,0
13.5,26,64.0650024414062,12500,0,1,3,20
15.0,22,64.6220016479492,30000,0,0,,0
6.0,65,63.1160011291504,6500,0,0,,0
12.0,38,63.8759994506836,20000,0,1,3,20
13.5,20,63.0530014038086,20000,0,0,,0
16.0,41,62.0400009155273,20000,0,1,5,60
16.0,28,63.3059997558594,20000,0,1,3,20
16.0,57,62.9259986877441,20000,0,0,,0
10.0,44,63.1790008544922,8500,0,1,2,7
13.5,32,64.4779968261719,20000,0,0,,0
13.5,22,64.1289978027344,8500,0,1,3,15
16.0,30,64.3820037841797,30000,0,0,,0
16.0,30,62.4199981689453,12500,0,0,,0
10.0,59,63.0530014038086,20000,0,1,4,40
6.0,42,64.0019989013672,8500,0,0,,0
10.0,31,63.4329986572266,12500,0,1,3,20
12.0,39,63.3689994812012,20000,0,0,,0
8.0,65,63.6860008239746,12500,0,0,,0
10.0,78,62.1040000915527,12500,0,1,2,10
10.0,17,63.6220016479492,4500,0,0,,0
18.0,34,63.5589981079102,30000,0,0,,0
16.0,39,64.6510009765625,30000,0,0,,0
10.0,49,62.7999992370605,12500,0,0,,0
12.0,51,64.1920013427734,30000,0,0,,0
12.0,19,61.8499984741211,20000,0,0,,0
12.0,26,63.5589981079102,20000,0,1,4,30
12.0,82,62.2929992675781,6500,0,0,,0
12.0,38,64.1289978027344,3500,0,1,2,10
12.0,32,62.7999992370605,20000,0,1,4,30
10.0,27,61.7239990234375,3500,0,1,4,30
12.0,35,64.5640029907227,20000,0,0,,0
10.0,54,63.7490005493164,20000,0,0,,0
12.0,37,61.9770011901855,30000,0,1,3,20
10.0,60,64.6510009765625,12500,0,1,2,10
10.0,17,63.4329986572266,30000,0,1,3,11
16.0,28,64.5640029907227,20000,0,1,4,40
8.0,35,62.1669998168945,12500,0,1,4,40
10.0,40,64.0019989013672,8500,0,1,3,20
6.0,24,64.1289978027344,3500,0,0,,0
18.0,41,63.7490005493164,30000,0,0,,0
8.0,47,61.7869987487793,20000,0,0,,0
13.5,22,46.3139991760254,6500,0,0,,0
18.0,29,44.726001739502,20000,0,0,,0
10.0,17,44.3810005187988,30000,0,1,4,30
13.5,40,47.6479988098145,30000,0,1,4,40
13.5,32,46.3139991760254,8500,0,1,2,10
13.5,47,47.0040016174316,30000,0,0,,0
10.0,58,46.6590003967285,20000,0,1,3,20
18.0,74,44.4500007629395,30000,0,0,,0
12.0,49,47.492000579834,30000,0,1,3,20
6.0,69,47.2109985351562,5500,0,0,,0
16.0,25,47.2109985351562,12500,0,0,,0
6.0,71,45.2779998779297,1500,0,0,,0
12.0,66,57.3520011901855,6500,0,1,1,1
10.0,25,57.4900016784668,12500,0,1,3,20
10.0,50,59.1510009765625,20000,0,0,,0
13.5,19,57.0299987792969,2500,0,0,,0
