name,height,mass,hair_color,skin_color,eye_color,birth_year,sex,gender,homeworld,species
Ratts Tyerel,79,15.0,none,"grey, blue",unknown,,male,masculine,Aleen Minor,Aleena
Dud Bolt,94,45.0,none,"blue, grey",yellow,,male,masculine,Vulpter,Vulptereen
Gasgano,122,,none,"white, blue",black,,male,masculine,Troiken,Xexto
Ben Quadinaros,163,65.0,none,"grey, green, yellow",orange,,male,masculine,Tund,Toong
Mace Windu,188,84.0,none,dark,brown,72.0,male,masculine,Haruun Kal,Human
Ki-Adi-Mundi,198,82.0,white,pale,yellow,92.0,male,masculine,Cerea,Cerean
Kit Fisto,196,87.0,none,green,black,,male,masculine,Glee Anselm,Nautolan
Eeth Koth,171,,black,brown,brown,,male,masculine,Iridonia,Zabrak
Adi Gallia,184,50.0,none,dark,blue,,female,feminine,Coruscant,Tholothian
Saesee Tiin,188,,none,pale,orange,,male,masculine,Iktotch,Iktotchi
Yarael Poof,264,,none,white,yellow,,male,masculine,Quermia,Quermian
Plo Koon,188,80.0,none,orange,black,22.0,male,masculine,Dorin,Kel Dor
Mas Amedda,196,,none,blue,blue,,male,masculine,Champala,Chagrian
Gregar Typho,185,85.0,black,dark,brown,,,,Naboo,
Cordé,157,,brown,light,brown,,,,Naboo,
Cliegg Lars,183,,brown,fair,blue,82.0,male,masculine,Tatooine,Human
Poggle the Lesser,183,80.0,none,green,yellow,,male,masculine,Geonosis,Geonosian
Luminara Unduli,170,56.2,black,yellow,blue,58.0,female,feminine,Mirial,Mirialan
Barriss Offee,166,50.0,black,yellow,blue,40.0,female,feminine,Mirial,Mirialan
Dormé,165,,brown,light,brown,,female,feminine,Naboo,Human
Dooku,193,80.0,white,fair,brown,102.0,male,masculine,Serenno,Human
Bail Prestor Organa,191,,black,tan,brown,67.0,male,masculine,Alderaan,Human
Jango Fett,183,79.0,black,tan,brown,66.0,male,masculine,Concord Dawn,Human
Zam Wesell,168,55.0,blonde,"fair, green, yellow",yellow,,female,feminine,Zolan,Clawdite
Dexter Jettster,198,102.0,none,brown,yellow,,male,masculine,Ojom,Besalisk
Lama Su,229,88.0,none,grey,black,,male,masculine,Kamino,Kaminoan
Taun We,213,,none,grey,black,,female,feminine,Kamino,Kaminoan
Jocasta Nu,167,,white,fair,blue,,female,feminine,Coruscant,Human
R4-P17,96,,none,"silver, red","red, blue",,none,feminine,,Droid
Wat Tambor,193,48.0,none,"green, grey",unknown,,male,masculine,Skako,Skakoan
San Hill,191,,none,grey,gold,,male,masculine,Muunilinst,Muun
Shaak Ti,178,57.0,none,"red, blue, white",black,,female,feminine,Shili,Togruta
Grievous,216,159.0,none,"brown, white","green, yellow",,male,masculine,Kalee,Kaleesh
Tarfful,234,136.0,brown,brown,blue,,male,masculine,Kashyyyk,Wookiee
Raymus Antilles,188,79.0,brown,light,brown,,male,masculine,Alderaan,Human
Sly Moore,178,48.0,none,pale,white,,,,Umbara,
Tion Medon,206,80.0,none,grey,black,,male,masculine,Utapau,Pau'an
Finn,,,black,dark,dark,,male,masculine,,Human
Rey,,,brown,light,hazel,,female,feminine,,Human
Poe Dameron,,,brown,light,brown,,male,masculine,,Human
BB8,,,none,none,black,,none,masculine,,Droid
Captain Phasma,,,none,none,unknown,,female,feminine,,Human
