wages,education,age,sex,language
10.5,13.5,24,Male,English
13.26,12.0,52,Female,English
17.75,18.0,34,Male,English
,8.0,91,Female,English
14.26,12.0,34,Female,English
18.05,15.0,34,Male,English
,20.0,58,Male,English
,12.0,73,Female,Other
,12.5,40,Male,English
,12.0,35,Female,English
18.39,9.0,40,Male,English
18.92,10.5,48,Male,English
20.64,19.0,39,Male,English
,10.0,69,Male,Other
15.49,14.0,33,Female,English
10.4,13.0,62,Female,English
,18.0,70,Female,English
15.39,15.0,28,Female,English
16.8,12.5,36,Male,English
,10.0,42,Male,English
15.36,20.0,47,Female,English
,12.5,19,Male,English
,10.0,16,Male,English
17.98,12.0,53,Female,English
,4.0,69,Female,Other
,7.0,77,Male,Other
,14.0,48,Female,English
6.7,14.0,20,Male,English
5.0,11.0,17,Male,Other
12.0,12.8,20,Male,English
6.66,15.5,31,Female,English
,9.3,46,Female,French
14.0,13.5,53,Female,Other
25.6,14.0,34,Male,English
18.43,17.0,28,Male,Other
11.5,12.0,48,Female,Other
14.0,8.0,27,Male,English
,8.0,84,Female,English
6.03,14.0,22,Male,Other
,18.0,47,Male,English
,12.5,51,Female,English
8.23,13.0,45,Female,English
,13.0,22,Female,English
,12.0,71,Male,English
15.36,11.0,51,Female,French
,13.0,60,Female,English
13.75,8.5,57,Male,English
,14.0,37,Female,English
7.44,9.0,34,Male,English
24.96,18.0,44,Female,English
33.18,20.0,54,Male,English
,13.0,19,Male,English
,11.0,81,Female,English
11.59,13.4,26,Male,English
,19.0,73,Male,English
14.09,14.0,33,Male,English
,13.0,62,Male,English
23.52,13.0,32,Male,English
15.84,12.0,48,Male,English
23.72,9.5,50,Male,English
8.37,12.5,65,Female,English
,8.0,32,Male,French
,9.5,47,Female,French
,12.0,24,Female,English
10.2,12.0,26,Female,English
7.61,14.0,23,Female,English
,7.0,57,Male,Other
,13.0,62,Female,Other
,10.5,63,Male,English
,13.0,37,Female,English
6.75,10.0,21,Male,English
25.91,14.0,35,Female,English
,8.0,66,Female,English
,15.0,35,Female,English
,14.0,33,Male,English
,12.0,19,Male,French
15.94,13.2,35,Female,English
6.71,13.0,28,Male,English
20.79,12.0,34,Female,English
,9.0,59,Female,English
8.75,12.0,49,Female,English
20.99,14.0,47,Male,English
,10.0,31,Male,English
40.32,14.0,42,Male,English
8.2,14.0,19,Male,English
11.0,13.0,27,Female,English
15.0,12.5,30,Male,English
,10.0,52,Female,English
40.8,20.0,60,Male,English
8.0,12.0,51,Female,English
14.5,10.5,45,Female,English
9.0,13.0,31,Female,English
14.4,8.5,51,Male,English
,5.0,79,Male,Other
,12.0,60,Female,Other
12.0,11.0,53,Female,French
,8.0,55,Female,English
,15.5,53,Female,English
7.0,14.3,18,Male,English
,6.0,73,Female,Other
25.92,18.0,48,Male,English
,13.0,60,Female,English
,9.0,69,Female,English
,12.0,18,Male,English
25.44,11.0,41,Male,English
10.0,12.1,34,Female,English
12.97,15.1,56,Male,English
7.0,14.0,19,Male,English
,14.0,33,Female,English
,11.0,43,Male,English
8.89,12.0,18,Female,English
21.57,9.0,41,Male,Other
,16.0,74,Female,English
10.4,,55,Female,English
,4.0,62,Male,Other
20.61,12.5,40,Male,French
11.11,11.0,41,Male,Other
,7.0,50,Female,English
,8.0,79,Female,English
,16.0,86,Male,English
,5.0,83,Male,Other
22.13,14.0,55,Male,English
,8.0,72,Female,English
13.5,17.0,30,Male,English
13.29,,29,Female,
,12.0,53,Female,English
,12.0,50,Female,Other
,8.0,64,Female,English
21.56,19.1,32,Male,English
,12.5,30,Female,English
6.75,10.0,16,Male,Other
,14.1,23,Female,English
,8.0,62,Female,French
9.0,14.0,68,Female,English
,14.6,35,Male,English
13.0,14.8,25,Female,Other
,12.0,45,Female,English
5.54,18.0,23,Male,English
6.48,11.0,17,Male,English
40.8,16.8,39,Male,English
,17.0,67,Male,English
13.01,10.5,39,Female,English
,11.0,51,Male,Other
19.17,17.0,49,Male,English
,13.0,32,Male,English
,11.5,83,Female,English
25.75,12.5,31,Male,English
30.0,20.0,39,Male,English
,12.5,42,Male,English
,7.0,60,Male,French
9.25,10.0,40,Female,English
5.76,10.0,17,Male,English
3.75,11.0,17,Male,English
40.96,10.5,54,Male,English
21.39,18.0,41,Female,English
,15.0,74,Female,English
,13.0,67,Female,
3.12,17.5,24,Male,Other
,11.0,42,Male,English
,10.5,37,Male,English
14.96,16.1,28,Female,English
,11.0,55,Female,English
12.55,13.0,37,Male,Other
6.75,15.5,21,Female,English
10.56,11.8,21,Male,English
10.75,12.1,18,Male,English
,10.0,72,Female,English
5.17,17.3,34,Female,English
,17.0,46,Male,English
,10.0,62,Female,English
19.15,13.0,50,Male,English
,11.0,32,Female,English
35.66,20.0,48,Male,Other
9.85,13.9,20,Male,English
27.8,12.0,34,Female,English
13.12,12.0,31,Male,English
41.38,11.1,44,Male,Other
31.5,15.0,42,Male,English
15.0,17.0,58,Female,English
14.85,13.0,38,Male,French
19.2,14.0,28,Male,French
7.31,11.0,63,Female,English
13.88,12.0,33,Female,Other
,13.5,70,Female,English
,10.0,16,Female,English
16.0,11.0,57,Female,English
7.52,11.6,19,Male,English
,0.0,80,Female,Other
12.84,12.5,26,Female,English
6.42,12.5,43,Female,English
17.58,12.0,31,Male,English
15.07,5.0,65,Male,Other
,11.0,35,Female,English
,8.0,64,Male,English
28.66,17.0,50,Male,English
6.06,12.5,20,Female,English
17.68,12.0,34,Male,English
28.78,16.3,40,Male,English
9.22,13.0,31,Female,English
7.6,11.0,27,Male,English
13.29,8.0,53,Male,English
,8.0,47,Male,English
7.2,14.6,19,Male,English
,11.0,17,Female,English
,12.0,36,Male,English
,8.0,70,Male,English
,15.0,47,Male,English
,10.0,64,Male,French
14.03,8.0,39,Male,Other
23.04,14.0,40,Male,English
12.3,20.0,40,Male,English
,13.1,41,Male,Other
,14.0,52,Female,English
21.5,13.6,24,Male,English
,5.0,84,Male,French
9.4,11.0,19,Female,English
11.5,8.0,59,Male,English
5.92,14.5,22,Female,English
,14.0,48,Male,English
,10.5,26,Female,English
,13.3,46,Female,English
,12.0,31,Female,English
,11.0,17,Female,English
,8.5,71,Female,English
27.79,13.5,57,Female,English
,,79,Male,Other
,8.5,61,Female,English
,8.0,68,Female,English
17.6,16.9,39,Female,English
12.0,6.0,65,Male,French
,14.5,25,Female,English
22.19,16.0,32,Male,English
,10.0,70,Female,French
,10.0,16,Male,English
9.0,14.0,20,Male,English
12.83,17.4,45,Female,English
5.9,10.0,16,Male,English
,10.0,20,Female,English
15.79,17.5,26,Male,English
,17.1,25,Female,English
7.15,11.0,17,Male,English
21.15,12.0,41,Male,English
,6.0,80,Male,French
,15.0,38,Male,English
17.14,12.5,30,Female,French
,12.0,71,Male,English
,8.0,70,Male,English
19.68,11.5,34,Male,English
10.0,16.0,31,Male,English
,6.0,72,Female,Other
7.66,16.0,20,Female,English
,6.0,62,Male,Other
,10.0,67,Male,English
,8.0,71,Female,English
7.0,8.0,35,Female,English
14.23,9.0,55,Male,French
6.5,16.3,20,Female,English
,13.0,48,Female,English
10.25,11.5,36,Female,English
,13.0,49,Female,English
10.5,14.0,25,Male,French
8.92,19.1,25,Male,English
,,56,Male,Other
26.88,13.0,37,Male,English
19.07,13.0,44,Male,English
,6.0,79,Male,English
12.0,14.1,36,Female,English
,13.0,86,Male,English
8.5,14.0,24,Female,English
,10.0,69,Male,English
19.67,12.0,36,Female,Other
,18.1,62,Male,English
,8.0,84,Male,English
,12.0,50,Female,French
,13.0,28,Female,English
,12.0,26,Female,English
23.04,20.0,38,Male,English
,10.0,48,Female,English
15.92,20.0,34,Female,English
,18.0,59,Male,English
8.83,10.0,64,Female,English
16.46,18.0,25,Female,English
,8.0,66,Female,French
18.24,10.0,56,Male,English
,12.5,42,Female,English
12.0,14.0,37,Female,English
28.8,10.1,58,Male,English
,12.0,72,Male,English
34.78,18.5,46,Male,English
12.8,12.5,27,Female,English
7.5,18.8,43,Female,English
18.19,10.0,57,Female,English
21.55,12.0,34,Male,English
7.0,16.0,52,Female,French
11.3,12.0,43,Female,English
9.58,18.0,38,Male,English
,12.5,36,Female,Other
,10.0,70,Female,English
,8.0,67,Male,French
15.43,17.8,38,Female,English
,12.0,68,Female,English
,12.0,80,Female,English
,9.5,70,Female,English
12.58,0.0,38,Female,English
,12.0,84,Female,English
16.22,15.0,46,Female,English
,5.0,72,Female,English
13.65,14.5,29,Female,English
,13.0,29,Female,English
,9.0,68,Male,English
16.8,17.0,30,Female,English
8.5,13.0,31,Female,English
,10.5,56,Female,English
20.29,20.0,39,Female,English
,16.0,24,Female,French
,12.0,60,Male,English
27.9,15.0,53,Male,English
7.0,12.0,30,Male,English
7.25,14.5,25,Female,English
14.75,16.0,49,Female,English
,13.5,35,Male,French
17.45,17.0,40,Female,English
,13.0,66,Male,English
16.0,16.5,46,Female,English
15.1,15.5,23,Female,English
,8.0,62,Female,Other
9.0,10.0,27,Male,English
11.6,12.3,28,Female,English
,14.0,46,Male,French
16.48,12.0,33,Male,English
,13.5,59,Male,English
,14.0,43,Female,English
,9.0,66,Male,English
26.88,17.0,52,Male,English
9.65,14.0,40,Female,English
,11.0,67,Female,English
23.35,20.0,44,Male,English
10.59,12.5,29,Female,English
,12.5,74,Female,English
7.79,12.0,20,Female,English
15.05,19.0,44,Male,Other
6.5,13.0,19,Female,English
4.8,10.0,34,Male,Other
,10.6,24,Female,English
,8.0,51,Male,Other
21.33,20.0,36,Female,English
22.99,12.5,51,Female,English
16.28,16.0,24,Male,English
7.0,12.0,18,Male,English
,18.0,69,Male,English
32.59,16.0,50,Female,English
9.25,9.0,25,Male,Other
7.0,13.0,19,Male,English
21.12,17.0,43,Female,English
,10.0,81,Male,English
25.6,,33,Female,French
18.0,13.0,44,Male,French
19.94,12.0,31,Female,Other
21.43,12.0,62,Female,English
5.8,14.0,33,Male,English
,10.0,72,Male,English
17.67,13.0,42,Female,English
16.0,13.0,43,Female,English
,12.0,52,Male,English
19.58,13.0,38,Male,English
,9.0,64,Male,English
15.65,14.0,49,Male,English
15.42,14.0,23,Male,English
7.0,13.0,47,Female,English
11.27,9.5,34,Female,English
29.87,,39,Female,
15.0,11.0,35,Male,English
27.5,10.0,49,Female,English
,8.0,61,Female,Other
,8.0,80,Male,English
7.0,8.0,50,Female,English
,9.0,41,Female,English
29.53,17.0,44,Female,English
11.97,5.5,29,Male,Other
9.0,9.0,30,Male,Other
,5.0,52,Female,Other
25.6,13.0,60,Male,English
15.6,13.0,37,Male,English
,8.0,73,Female,English
11.0,4.0,54,Male,Other
,8.0,52,Female,French
11.25,12.0,35,Male,English
32.91,18.0,43,Female,English
14.2,14.0,37,Male,English
,10.0,45,Male,English
6.85,13.0,20,Male,English
28.8,20.0,44,Male,English
6.7,12.0,30,Male,English
42.31,,60,Male,
6.62,10.0,17,Female,English
,12.5,41,Female,English
,14.5,51,Female,English
28.54,15.0,32,Female,English
22.27,19.0,50,Male,English
30.72,20.0,40,Male,French
,8.0,86,Female,English
26.39,18.0,33,Female,English
33.28,16.5,39,Male,English
6.36,14.5,23,Male,English
,18.0,42,Female,Other
,9.0,55,Female,French
12.86,13.0,30,Female,English
18.29,14.5,36,Male,English
13.6,16.0,28,Female,English
18.25,17.0,28,Female,English
16.62,9.0,32,Female,French
,18.0,24,Female,English
,7.0,58,Female,English
6.35,10.1,17,Female,English
,15.0,48,Male,Other
15.79,,42,Male,English
21.81,13.0,37,Male,Other
,13.0,22,Male,English
7.19,13.0,18,Female,English
,6.5,68,Male,Other
25.6,18.0,42,Female,English
19.0,11.0,41,Female,English
,12.0,84,Male,English
,8.0,18,Female,English
13.07,16.0,44,Male,English
7.0,12.0,48,Female,English
40.96,17.0,43,Female,English
34.67,17.0,35,Female,English
,12.0,22,Female,French
13.21,,24,Female,English
11.25,10.5,56,Female,Other
24.0,14.5,54,Male,English
,8.0,62,Female,English
7.0,14.0,45,Female,English
30.65,14.0,50,Male,
9.1,12.3,19,Male,English
,13.0,81,Female,English
23.04,13.5,50,Female,English
,8.0,55,Male,Other
,12.0,35,Male,Other
20.1,17.1,32,Female,English
13.91,18.0,31,Female,English
18.72,18.0,42,Male,English
24.38,20.0,30,Male,English
6.83,13.0,27,Female,English
20.91,16.2,26,Male,English
14.85,12.0,30,Female,English
,14.0,60,Female,English
14.29,12.5,52,Female,English
,13.0,86,Female,English
,10.5,32,Female,English
,7.0,60,Male,English
8.0,16.1,20,Female,English
14.0,18.0,37,Male,English
8.0,13.0,23,Male,English
12.0,12.0,53,Female,English
,13.5,25,Male,English
17.43,17.0,34,Male,English
,18.0,81,Male,Other
9.89,11.0,66,Female,English
,12.0,57,Female,English
9.56,17.0,24,Female,English
12.13,12.0,51,Female,English
,8.0,73,Female,Other
,10.0,65,Male,French
15.0,12.0,32,Male,Other
,9.5,66,Female,English
4.82,15.0,23,Male,English
17.9,13.0,45,Male,English
12.55,12.5,35,Female,Other
27.73,17.0,52,Female,English
10.0,14.0,26,Female,English
9.83,14.0,37,Female,English
,8.0,60,Female,English
,9.0,69,Female,English
,0.0,88,Female,Other
22.23,16.0,41,Female,Other
19.2,18.1,43,Male,English
7.25,12.0,41,Male,English
12.0,13.5,41,Female,English
32.16,18.0,62,Female,English
5.0,11.0,16,Male,English
,12.0,64,Male,English
,12.0,18,Female,Other
24.32,16.0,21,Male,English
9.76,14.0,29,Female,French
21.6,11.0,48,Male,English
,4.0,33,Male,Other
16.5,12.0,31,Female,English
,,67,Male,Other
15.0,17.0,28,Male,English
19.2,18.5,27,Male,English
15.84,16.3,34,Male,English
,10.2,19,Female,English
,12.5,49,Female,English
,12.0,34,Male,English
11.2,8.5,48,Male,French
,12.0,66,Female,English
9.0,15.5,23,Male,English
9.6,10.0,54,Female,Other
14.0,17.0,38,Female,English
,0.0,88,Male,Other
,13.0,56,Male,English
,13.3,37,Female,Other
20.0,13.0,33,Male,English
8.0,17.0,57,Female,English
7.49,12.0,36,Female,English
8.18,13.3,19,Female,Other
,9.0,17,Male,English
18.77,13.0,32,Male,English
20.76,18.0,44,Female,Other
26.38,8.0,60,Male,Other
,8.0,63,Female,English
10.0,16.0,38,Female,English
,12.0,46,Female,English
,10.0,32,Male,English
7.1,9.0,38,Female,Other
33.6,13.0,44,Male,English
30.24,17.0,52,Male,English
,13.0,80,Female,English
13.0,18.0,29,Female,Other
18.74,17.0,41,Female,English
3.15,11.5,26,Female,English
11.26,12.0,55,Female,English
,15.0,72,Female,English
,12.0,35,Female,Other
,13.0,82,Female,English
7.25,12.0,20,Female,English
12.5,11.0,35,Female,English
8.8,12.3,35,Female,French
,16.0,56,Male,English
,8.0,83,Female,Other
14.4,17.0,62,Female,English
,9.0,37,Male,English
,8.0,70,Female,English
,5.0,49,Female,Other
24.33,15.3,37,Male,English
,12.9,18,Female,English
9.0,17.0,44,Male,English
21.6,13.1,49,Female,English
12.79,12.0,47,Female,French
15.36,11.0,64,Male,English
,10.0,68,Male,English
14.49,16.0,53,Female,Other
14.05,15.0,33,Male,English
16.42,7.6,39,Male,French
8.97,13.1,22,Female,Other
8.0,11.2,60,Female,English
13.5,16.1,36,Female,English
,11.0,55,Female,English
,8.0,57,Female,Other
12.0,20.0,29,Male,English
10.25,12.2,23,Female,English
27.43,16.0,55,Male,English
,10.0,45,Female,English
,12.0,46,Female,Other
,10.0,63,Male,English
,15.0,55,Female,English
11.32,17.5,34,Male,English
15.77,12.5,33,Male,English
,,26,Female,
,,53,Male,
10.87,14.0,35,Male,English
,8.0,85,Female,English
11.29,10.0,38,Female,English
28.8,12.0,55,Male,English
,12.0,33,Female,English
7.41,13.0,20,Male,English
15.0,13.0,32,Male,English
10.05,12.0,23,Female,French
,15.0,23,Female,English
7.08,16.0,27,Male,English
18.28,16.1,37,Male,English
7.0,,16,Male,
,11.0,68,Female,Other
11.5,13.5,27,Male,English
16.0,15.0,46,Female,English
15.0,15.5,25,Female,English
12.0,13.0,47,Female,English
8.13,10.0,51,Female,English
19.0,8.0,53,Male,English
,8.0,54,Male,Other
7.0,18.5,26,Female,English
,13.0,53,Female,English
,8.0,20,Male,English
,13.0,70,Female,French
,8.0,74,Male,English
8.61,12.0,55,Female,English
23.46,18.0,49,Female,English
5.93,10.5,28,Female,French
,,71,Female,English
,11.0,37,Female,English
19.75,17.4,43,Male,English
7.2,17.0,23,Female,English
13.44,10.6,38,Female,English
15.5,12.0,50,Female,English
7.12,12.0,35,Female,English
9.14,17.0,41,Female,English
17.88,16.0,38,Female,Other
18.75,15.0,27,Male,English
,,18,Female,English
,11.0,69,Female,English
20.5,17.0,39,Female,English
,9.5,72,Male,English
,14.0,37,Female,Other
,13.0,55,Male,English
31.8,17.3,41,Male,English
6.75,12.6,19,Female,English
,7.0,77,Female,English
,15.0,74,Female,English
,10.0,49,Female,English
,12.0,34,Female,English
,10.0,16,Male,English
,12.0,24,Male,English
9.05,11.1,33,Female,English
7.0,11.0,17,Female,English
11.5,9.0,37,Female,English
,10.0,16,Male,English
11.0,10.0,34,Female,French
,11.0,86,Male,English
10.81,0.0,49,Male,Other
10.75,,20,Male,English
25.08,14.0,38,Male,English
,13.0,40,Male,Other
,13.0,20,Female,English
,11.5,42,Female,English
,12.0,79,Male,English
6.7,11.0,19,Male,English
,10.0,76,Male,English
,12.0,78,Female,English
10.2,12.0,61,Female,English
,14.0,21,Male,English
24.0,15.0,51,Male,Other
,12.0,46,Male,English
16.3,12.1,26,Male,English
18.39,12.0,51,Male,English
,10.0,34,Male,English
3.62,13.0,57,Male,French
,9.0,56,Female,English
24.0,11.0,58,Male,English
,14.0,35,Female,French
16.0,12.5,44,Female,English
14.5,12.6,36,Female,English
,9.0,88,Male,English
,8.0,24,Female,English
22.81,8.0,45,Male,Other
19.18,12.0,32,Male,English
,8.0,74,Male,English
8.0,11.0,39,Female,English
13.68,12.0,37,Male,English
,18.0,44,Female,English
,12.0,32,Male,Other
,14.0,31,Male,English
,15.0,24,Male,English
9.42,12.5,49,Female,Other
28.8,16.0,38,Female,English
,11.0,45,Female,Other
,8.0,69,Male,English
28.8,14.0,54,Female,English
,13.5,48,Female,English
21.23,15.0,37,Male,English
24.46,13.0,32,Female,English
,8.2,32,Female,English
,16.0,59,Female,English
,13.0,43,Female,English
16.0,12.5,41,Male,English
,13.5,34,Male,English
,10.0,54,Female,English
,13.0,47,Male,English
,14.6,20,Male,English
17.07,14.0,32,Female,English
,12.0,40,Female,French
38.0,17.0,46,Male,English
,11.0,17,Male,English
20.1,14.0,42,Male,French
18.19,12.0,50,Female,French
8.0,13.0,37,Female,English
,7.0,50,Female,English
7.0,13.0,23,Male,
,6.9,56,Female,French
,12.0,59,Female,English
,9.0,26,Female,English
,10.0,57,Male,English
27.84,17.3,41,Female,English
,13.0,40,Male,English
17.59,9.0,61,Male,English
,13.0,47,Female,English
,12.3,47,Male,English
7.0,14.1,19,Male,English
,17.0,56,Female,French
15.36,11.0,45,Male,English
,13.5,70,Female,English
,15.0,37,Male,English
14.0,8.0,64,Male,English
,11.0,55,Male,English
15.0,13.0,34,Male,English
13.59,14.1,29,Female,English
,16.5,29,Male,English
,8.0,70,Male,Other
,20.0,87,Female,English
,10.0,47,Male,Other
9.6,10.0,17,Female,English
,10.0,53,Female,English
17.0,11.5,34,Male,English
9.5,3.0,62,Female,Other
17.5,12.0,43,Female,French
17.81,13.0,34,Male,French
7.16,13.8,21,Male,English
5.75,12.0,17,Female,English
,15.0,21,Female,Other
,11.0,21,Female,English
15.0,13.0,64,Female,English
9.65,12.5,53,Female,English
18.04,15.0,30,Male,English
,17.0,74,Male,English
27.75,16.0,36,Male,English
,9.5,33,Male,English
,12.0,37,Male,English
,12.0,72,Female,English
15.36,12.0,41,Female,English
19.91,13.0,47,Female,English
12.0,7.0,38,Male,Other
,13.0,62,Female,Other
,15.0,50,Male,English
3.59,13.6,21,Female,English
7.2,11.0,18,Male,English
13.0,15.0,22,Male,English
7.0,9.5,27,Female,Other
,8.0,77,Female,English
12.56,15.0,24,Male,English
,14.0,26,Female,English
,8.5,71,Female,Other
,16.0,35,Male,Other
10.28,,28,Female,French
,14.0,23,Female,English
10.39,,44,Female,English
,15.0,45,Male,English
,11.0,37,Male,French
,12.0,71,Male,English
6.44,7.0,54,Female,French
,,75,Male,Other
,11.0,61,Female,English
10.0,16.5,38,Male,English
,8.0,68,Male,Other
,12.0,70,Male,French
13.49,10.5,37,Female,English
5.85,13.0,19,Male,English
22.7,12.7,43,Male,English
13.07,19.0,42,Male,English
,16.0,39,Male,English
6.7,6.0,57,Female,French
,12.5,45,Male,English
,10.9,22,Male,English
,16.0,47,Female,English
,16.0,69,Male,English
,19.2,47,Male,English
,8.0,69,Female,English
7.0,13.0,19,Female,English
,15.0,78,Female,English
,18.0,66,Female,French
20.48,11.0,38,Female,French
25.6,18.0,32,Female,English
7.75,13.0,54,Female,English
9.18,12.6,20,Male,English
7.92,13.0,20,Female,English
24.0,,37,Male,English
,10.0,17,Male,English
,18.0,41,Female,English
43.2,16.5,37,Male,English
24.0,,61,Male,English
,12.0,76,Female,English
,10.0,85,Female,English
18.74,16.0,29,Female,English
22.98,15.0,36,Female,Other
14.04,9.0,61,Female,English
14.88,13.0,40,Female,English
7.6,9.0,57,Female,English
7.68,15.0,24,Female,English
,10.5,53,Female,Other
,8.0,54,Female,Other
,11.0,69,Female,English
6.9,16.0,24,Female,French
,9.0,81,Male,English
,18.0,55,Female,Other
,18.0,55,Male,English
8.75,11.0,34,Female,English
10.96,12.5,32,Female,English
13.73,19.0,41,Female,English
27.0,15.0,48,Female,English
,9.0,32,Male,English
12.21,12.0,54,Female,French
30.1,13.0,47,Male,English
18.24,11.5,51,Male,French
,,55,Male,English
,16.0,63,Female,English
10.0,12.0,34,Female,Other
18.54,12.0,38,Male,French
,12.5,51,Female,English
,10.5,57,Male,Other
,10.0,44,Female,French
25.0,11.0,60,Male,English
,13.3,41,Male,French
14.34,12.0,23,Female,English
,8.0,70,Female,Other
6.73,10.0,16,Female,English
7.85,9.0,57,Female,English
,13.0,28,Male,English
6.94,14.0,19,Male,English
,5.0,64,Female,English
14.07,12.7,56,Female,English
,8.5,18,Female,English
,9.5,56,Male,English
7.0,,19,Female,English
,8.0,61,Male,English
,14.0,80,Female,English
12.0,12.0,36,Male,English
8.0,14.0,43,Female,English
28.36,15.0,39,Male,English
9.49,9.0,55,Female,English
15.04,13.0,56,Female,English
,11.5,85,Female,English
,8.0,68,Female,English
,9.0,46,Male,English
16.9,12.6,42,Female,English
,13.0,38,Male,English
27.34,14.8,37,Female,English
8.05,12.0,29,Female,English
,14.6,31,Female,English
13.76,,29,Male,English
,8.0,66,Male,English
10.0,15.0,29,Male,English
19.2,16.0,30,Female,Other
,8.0,89,Male,English
5.6,12.0,29,Female,English
,19.0,49,Male,Other
,10.0,49,Female,French
,12.0,34,Female,English
,12.0,18,Female,French
,12.0,39,Female,English
11.36,12.0,51,Male,English
16.48,,37,Male,English
,19.0,56,Female,English
18.94,16.0,32,Female,English
9.43,11.0,21,Male,English
18.21,12.0,45,Female,English
,12.8,45,Female,English
20.84,13.8,39,Female,Other
24.0,17.0,31,Male,English
,10.5,80,Male,English
,5.0,28,Male,Other
,10.0,50,Male,French
27.84,18.0,53,Male,English
34.56,12.0,46,Male,English
,8.0,65,Female,English
15.87,10.5,45,Female,Other
31.9,8.0,58,Male,Other
6.7,11.0,18,Female,English
,9.0,70,Male,English
12.0,8.0,29,Male,English
7.0,13.8,20,Female,English
,12.1,51,Male,Other
7.89,12.0,61,Female,English
,7.0,77,Male,English
,11.0,26,Female,Other
,16.0,58,Male,English
9.82,12.0,18,Male,English
6.7,20.0,43,Male,English
,15.5,41,Female,English
,10.0,80,Female,English
,10.0,22,Male,English
,6.0,58,Female,English
,17.0,43,Male,English
7.0,12.0,25,Male,English
18.0,15.0,26,Male,English
26.18,17.0,38,Female,Other
33.6,13.0,60,Male,English
20.0,12.0,36,Male,English
6.85,12.6,20,Female,English
15.85,11.0,33,Male,French
,8.0,65,Female,English
21.91,,36,Male,English
,5.0,73,Female,Other
,12.0,68,Female,English
,14.0,76,Male,English
7.48,12.7,38,Female,French
28.14,16.0,56,Female,English
,10.0,26,Male,English
,9.0,89,Female,English
,7.0,70,Female,English
,9.0,78,Female,English
,11.0,82,Female,English
,8.0,48,Female,English
7.67,5.0,62,Female,Other
13.88,10.0,57,Male,Other
17.44,5.0,58,Male,Other
14.05,10.5,58,Male,English
13.54,12.0,56,Female,English
19.86,12.5,63,Male,French
,10.3,23,Male,English
18.72,16.5,26,Male,English
,8.0,58,Male,French
,10.0,67,Male,English
,16.6,37,Male,Other
21.6,16.0,29,Male,English
18.35,12.5,27,Male,English
8.26,10.5,32,Female,English
20.85,12.0,40,Female,English
12.0,12.0,30,Male,English
14.36,10.0,53,Female,English
12.96,18.0,35,Male,English
17.0,14.0,40,Male,English
,9.5,73,Male,English
,16.0,56,Male,English
6.46,10.6,17,Female,English
9.34,12.0,18,Male,English
,15.0,64,Female,French
,9.0,46,Male,English
,13.0,18,Male,Other
,16.0,29,Male,English
15.51,12.8,37,Male,English
25.0,17.5,34,Female,English
19.0,12.0,35,Male,English
,9.0,69,Male,English
8.5,12.0,42,Female,English
,12.0,71,Female,English
8.0,13.0,46,Female,English
20.45,17.0,58,Male,English
18.87,14.0,46,Female,Other
,12.0,50,Female,English
10.0,12.0,26,Male,English
,12.0,52,Female,Other
12.29,13.7,31,Female,English
,17.0,45,Male,English
14.28,13.0,48,Female,English
9.0,12.5,42,Female,English
19.33,10.0,45,Male,English
10.56,13.4,42,Female,English
23.09,12.5,48,Female,English
21.44,13.0,49,Male,English
7.0,18.0,22,Male,English
16.5,12.0,51,Male,Other
,8.0,67,Female,English
,15.0,48,Female,Other
