hrsrelax,mntlhlth,hrs1,degree,grass
,,,LT HIGH SCHOOL,NOT LEGAL
0,0,40,HIGH SCHOOL,
7,1,40,HIGH SCHOOL,
,,,HIGH SCHOOL,
4,0,30,HIGH SCHOOL,LEGAL
2,14,25,BACHELOR,LEGAL
3,0,40,BACHELOR,
,,,BACHELOR,
,,,LT HIGH SCHOOL,NOT LEGAL
5,0,25,LT HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,
,,,LT HIGH SCHOOL,NOT LEGAL
5,0,37,GRADUATE,LEGAL
,,,HIGH SCHOOL,
,,,GRADUATE,NOT LEGAL
5,2,45,BACHELOR,NOT LEGAL
,,,HIGH SCHOOL,LEGAL
1,0,64,GRADUATE,
3,4,33,BACHELOR,
0,7,30,BACHELOR,LEGAL
,,,BACHELOR,
0,5,40,HIGH SCHOOL,
,,,HIGH SCHOOL,
,,,BACHELOR,
,,,BACHELOR,LEGAL
7,0,9,BACHELOR,LEGAL
3,0,72,GRADUATE,
4,0,16,BACHELOR,LEGAL
3,0,60,HIGH SCHOOL,
,,,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,NOT LEGAL
4,0,41,BACHELOR,NOT LEGAL
,,,BACHELOR,NOT LEGAL
,,,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,NOT LEGAL
1,0,37,HIGH SCHOOL,
,,,LT HIGH SCHOOL,NOT LEGAL
2,5,50,HIGH SCHOOL,LEGAL
3,25,42,HIGH SCHOOL,LEGAL
2,0,30,BACHELOR,LEGAL
,,,BACHELOR,LEGAL
0,15,40,JUNIOR COLLEGE,LEGAL
4,0,20,HIGH SCHOOL,
1,14,40,BACHELOR,NOT LEGAL
2,0,40,HIGH SCHOOL,NOT LEGAL
,,,BACHELOR,
,,,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,
1,3,40,BACHELOR,LEGAL
,,,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,
,,,BACHELOR,NOT LEGAL
,,,GRADUATE,NOT LEGAL
3,0,54,JUNIOR COLLEGE,NOT LEGAL
2,2,35,GRADUATE,LEGAL
8,10,10,HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,LEGAL
2,0,40,HIGH SCHOOL,LEGAL
1,2,38,HIGH SCHOOL,NOT LEGAL
3,0,60,HIGH SCHOOL,
6,0,8,GRADUATE,LEGAL
3,15,38,HIGH SCHOOL,NOT LEGAL
6,0,6,BACHELOR,
,,,BACHELOR,LEGAL
5,0,50,GRADUATE,LEGAL
5,0,45,GRADUATE,
5,5,48,BACHELOR,LEGAL
,,,BACHELOR,
4,0,46,BACHELOR,NOT LEGAL
3,3,45,BACHELOR,LEGAL
,,,HIGH SCHOOL,NOT LEGAL
3,0,40,LT HIGH SCHOOL,
7,9,16,HIGH SCHOOL,
8,0,40,BACHELOR,LEGAL
,,,BACHELOR,LEGAL
,,,BACHELOR,LEGAL
,,,BACHELOR,NOT LEGAL
6,0,32,BACHELOR,LEGAL
4,5,52,BACHELOR,
3,2,34,JUNIOR COLLEGE,NOT LEGAL
5,0,15,HIGH SCHOOL,
3,0,50,HIGH SCHOOL,NOT LEGAL
3,15,20,HIGH SCHOOL,
1,7,30,HIGH SCHOOL,
5,15,3,BACHELOR,LEGAL
,,,HIGH SCHOOL,LEGAL
,,,BACHELOR,
4,1,60,GRADUATE,LEGAL
3,0,40,BACHELOR,
,,,GRADUATE,LEGAL
,,,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,LEGAL
1,15,40,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,
2,15,22,HIGH SCHOOL,LEGAL
5,0,45,HIGH SCHOOL,
2,0,50,HIGH SCHOOL,
,,,GRADUATE,
5,0,32,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,LEGAL
4,5,40,HIGH SCHOOL,
2,0,25,LT HIGH SCHOOL,
2,25,30,HIGH SCHOOL,
,,,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,
,,,GRADUATE,LEGAL
3,2,40,BACHELOR,LEGAL
,,,JUNIOR COLLEGE,LEGAL
3,0,42,BACHELOR,
2,0,48,LT HIGH SCHOOL,NOT LEGAL
6,0,20,LT HIGH SCHOOL,LEGAL
,,,BACHELOR,
,,,GRADUATE,NOT LEGAL
,,,LT HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,NOT LEGAL
7,0,35,GRADUATE,
2,4,40,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,NOT LEGAL
,,,BACHELOR,NOT LEGAL
4,30,40,HIGH SCHOOL,LEGAL
5,3,40,BACHELOR,
4,0,37,HIGH SCHOOL,LEGAL
4,0,40,HIGH SCHOOL,
3,0,40,HIGH SCHOOL,NOT LEGAL
5,0,44,JUNIOR COLLEGE,LEGAL
,,,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,
4,1,9,LT HIGH SCHOOL,NOT LEGAL
1,0,40,HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,
,,,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,
2,0,40,HIGH SCHOOL,NOT LEGAL
8,1,51,HIGH SCHOOL,
8,0,20,HIGH SCHOOL,NOT LEGAL
,,,BACHELOR,NOT LEGAL
1,15,50,HIGH SCHOOL,
,,,HIGH SCHOOL,LEGAL
4,0,50,BACHELOR,NOT LEGAL
,,,HIGH SCHOOL,
12,2,40,GRADUATE,LEGAL
3,0,42,LT HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,
1,21,40,LT HIGH SCHOOL,
7,0,20,GRADUATE,LEGAL
8,30,11,HIGH SCHOOL,
,,48,BACHELOR,
2,6,60,HIGH SCHOOL,NOT LEGAL
,,,GRADUATE,LEGAL
2,15,50,JUNIOR COLLEGE,LEGAL
,,,HIGH SCHOOL,LEGAL
,,,GRADUATE,LEGAL
3,0,50,BACHELOR,
,,,LT HIGH SCHOOL,LEGAL
8,0,35,GRADUATE,
2,0,55,HIGH SCHOOL,LEGAL
,,,LT HIGH SCHOOL,NOT LEGAL
3,10,70,HIGH SCHOOL,
1,5,52,BACHELOR,LEGAL
,,,HIGH SCHOOL,
,,,HIGH SCHOOL,LEGAL
6,0,40,HIGH SCHOOL,NOT LEGAL
,,,BACHELOR,
,,,JUNIOR COLLEGE,
3,14,40,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,NOT LEGAL
,,,JUNIOR COLLEGE,NOT LEGAL
,,,HIGH SCHOOL,LEGAL
4,0,40,HIGH SCHOOL,
4,0,40,HIGH SCHOOL,NOT LEGAL
,,5,LT HIGH SCHOOL,NOT LEGAL
6,0,40,LT HIGH SCHOOL,NOT LEGAL
2,0,40,HIGH SCHOOL,
3,3,30,HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,
,,,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,LEGAL
1,30,60,HIGH SCHOOL,NOT LEGAL
4,0,40,BACHELOR,NOT LEGAL
0,30,40,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,
4,0,45,HIGH SCHOOL,NOT LEGAL
0,30,46,HIGH SCHOOL,
,,,GRADUATE,NOT LEGAL
5,0,38,HIGH SCHOOL,
3,10,9,LT HIGH SCHOOL,NOT LEGAL
2,5,40,HIGH SCHOOL,
,,,HIGH SCHOOL,
2,0,40,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,NOT LEGAL
2,0,45,BACHELOR,
3,2,42,HIGH SCHOOL,NOT LEGAL
3,6,27,JUNIOR COLLEGE,
2,30,40,HIGH SCHOOL,NOT LEGAL
3,0,20,JUNIOR COLLEGE,
,,,HIGH SCHOOL,
,,,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,
,,,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,
,,,HIGH SCHOOL,LEGAL
,,,LT HIGH SCHOOL,LEGAL
7,0,45,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,NOT LEGAL
,,,BACHELOR,NOT LEGAL
,,,JUNIOR COLLEGE,LEGAL
,,,HIGH SCHOOL,
3,0,65,BACHELOR,LEGAL
4,10,40,BACHELOR,
2,30,60,LT HIGH SCHOOL,LEGAL
4,30,30,LT HIGH SCHOOL,
8,20,38,HIGH SCHOOL,
1,0,40,HIGH SCHOOL,
5,7,67,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,LEGAL
,,,BACHELOR,LEGAL
2,2,32,LT HIGH SCHOOL,
,,,HIGH SCHOOL,LEGAL
4,0,39,HIGH SCHOOL,
4,0,8,HIGH SCHOOL,
,,,HIGH SCHOOL,NOT LEGAL
5,1,40,BACHELOR,NOT LEGAL
5,0,40,HIGH SCHOOL,
,,,HIGH SCHOOL,LEGAL
,,,BACHELOR,NOT LEGAL
5,0,40,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,LEGAL
,,,LT HIGH SCHOOL,NOT LEGAL
2,0,50,HIGH SCHOOL,
,,,HIGH SCHOOL,
4,,65,HIGH SCHOOL,NOT LEGAL
5,0,40,LT HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,
,,,HIGH SCHOOL,LEGAL
5,7,40,HIGH SCHOOL,
,,,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,NOT LEGAL
1,7,9,HIGH SCHOOL,LEGAL
,,,BACHELOR,LEGAL
3,7,36,HIGH SCHOOL,LEGAL
,,,BACHELOR,LEGAL
3,0,44,GRADUATE,
4,0,30,BACHELOR,LEGAL
8,0,9,LT HIGH SCHOOL,NOT LEGAL
1,0,40,HIGH SCHOOL,
2,0,40,HIGH SCHOOL,
5,0,21,BACHELOR,
1,0,58,LT HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,LEGAL
,,,LT HIGH SCHOOL,NOT LEGAL
2,0,30,LT HIGH SCHOOL,NOT LEGAL
3,5,40,BACHELOR,LEGAL
3,1,40,HIGH SCHOOL,
,,,BACHELOR,NOT LEGAL
6,3,38,GRADUATE,NOT LEGAL
3,1,40,BACHELOR,
2,0,50,GRADUATE,NOT LEGAL
1,0,40,GRADUATE,
1,3,40,GRADUATE,NOT LEGAL
2,1,10,BACHELOR,NOT LEGAL
10,30,9,HIGH SCHOOL,
,,,HIGH SCHOOL,LEGAL
4,1,50,HIGH SCHOOL,
5,2,55,GRADUATE,LEGAL
,,,BACHELOR,
6,0,40,HIGH SCHOOL,LEGAL
14,0,36,HIGH SCHOOL,
,,,HIGH SCHOOL,LEGAL
2,0,50,GRADUATE,NOT LEGAL
4,10,45,HIGH SCHOOL,LEGAL
,,,LT HIGH SCHOOL,LEGAL
0,20,22,HIGH SCHOOL,
5,3,40,GRADUATE,LEGAL
5,2,32,BACHELOR,
,,50,HIGH SCHOOL,LEGAL
2,,25,HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,
3,1,48,HIGH SCHOOL,
1,10,89,HIGH SCHOOL,LEGAL
5,0,25,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,
,,,LT HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,NOT LEGAL
2,0,55,JUNIOR COLLEGE,
1,3,43,HIGH SCHOOL,LEGAL
,,,LT HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,LEGAL
1,0,40,HIGH SCHOOL,
,,,HIGH SCHOOL,NOT LEGAL
5,0,60,HIGH SCHOOL,NOT LEGAL
2,2,40,BACHELOR,NOT LEGAL
,,,BACHELOR,NOT LEGAL
5,0,60,BACHELOR,LEGAL
,,,HIGH SCHOOL,LEGAL
3,5,55,GRADUATE,LEGAL
0,5,40,HIGH SCHOOL,LEGAL
,,,BACHELOR,
,,,JUNIOR COLLEGE,LEGAL
5,0,54,GRADUATE,NOT LEGAL
,,,LT HIGH SCHOOL,
5,30,20,LT HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,
4,0,50,HIGH SCHOOL,
,,,BACHELOR,NOT LEGAL
3,0,58,JUNIOR COLLEGE,
,,,HIGH SCHOOL,
,,,HIGH SCHOOL,
0,0,42,HIGH SCHOOL,LEGAL
,,,GRADUATE,LEGAL
5,0,40,BACHELOR,
3,0,50,BACHELOR,
,,,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,NOT LEGAL
,,,GRADUATE,NOT LEGAL
3,0,32,BACHELOR,
5,0,70,LT HIGH SCHOOL,NOT LEGAL
1,2,40,HIGH SCHOOL,LEGAL
6,5,15,HIGH SCHOOL,NOT LEGAL
1,0,40,GRADUATE,LEGAL
,,,HIGH SCHOOL,
,,,HIGH SCHOOL,
0,0,45,BACHELOR,NOT LEGAL
,,,GRADUATE,LEGAL
4,0,40,HIGH SCHOOL,LEGAL
,,,JUNIOR COLLEGE,NOT LEGAL
,,,BACHELOR,
3,2,9,HIGH SCHOOL,NOT LEGAL
2,3,30,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,LEGAL
2,2,40,GRADUATE,
5,2,40,BACHELOR,LEGAL
4,5,40,HIGH SCHOOL,LEGAL
2,4,9,JUNIOR COLLEGE,NOT LEGAL
4,3,48,HIGH SCHOOL,NOT LEGAL
,,,GRADUATE,
2,0,25,GRADUATE,
3,3,30,HIGH SCHOOL,
4,0,30,GRADUATE,NOT LEGAL
,,,BACHELOR,NOT LEGAL
,,,BACHELOR,
3,1,10,BACHELOR,
,,,HIGH SCHOOL,NOT LEGAL
1,0,40,BACHELOR,LEGAL
3,0,48,BACHELOR,
,,,LT HIGH SCHOOL,NOT LEGAL
,,,JUNIOR COLLEGE,
2,0,54,HIGH SCHOOL,LEGAL
2,5,50,GRADUATE,NOT LEGAL
5,0,45,HIGH SCHOOL,
5,0,40,BACHELOR,LEGAL
0,0,42,LT HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,
3,2,42,BACHELOR,NOT LEGAL
6,0,40,LT HIGH SCHOOL,
,,,LT HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,
5,0,40,LT HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,
3,0,40,HIGH SCHOOL,LEGAL
7,30,6,LT HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,NOT LEGAL
5,0,40,HIGH SCHOOL,
,,,HIGH SCHOOL,NOT LEGAL
,,,BACHELOR,
,,,LT HIGH SCHOOL,LEGAL
3,7,60,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,
14,15,4,HIGH SCHOOL,NOT LEGAL
4,0,30,GRADUATE,
,,,JUNIOR COLLEGE,NOT LEGAL
5,0,18,HIGH SCHOOL,
1,20,47,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,
,,,LT HIGH SCHOOL,LEGAL
1,0,40,HIGH SCHOOL,
,,,HIGH SCHOOL,NOT LEGAL
2,0,18,BACHELOR,NOT LEGAL
2,30,60,HIGH SCHOOL,LEGAL
4,5,45,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,
3,3,70,JUNIOR COLLEGE,
,,,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,LEGAL
1,10,30,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,
,,,HIGH SCHOOL,NOT LEGAL
7,0,38,HIGH SCHOOL,
6,4,42,BACHELOR,LEGAL
2,15,41,HIGH SCHOOL,
5,5,38,BACHELOR,NOT LEGAL
6,0,40,HIGH SCHOOL,
,,,BACHELOR,
8,0,24,HIGH SCHOOL,NOT LEGAL
5,3,45,BACHELOR,LEGAL
,,,HIGH SCHOOL,
,,,BACHELOR,
4,2,40,BACHELOR,NOT LEGAL
,,,GRADUATE,LEGAL
4,2,52,BACHELOR,LEGAL
5,12,45,LT HIGH SCHOOL,
8,0,72,HIGH SCHOOL,
4,7,40,HIGH SCHOOL,LEGAL
2,2,60,HIGH SCHOOL,
,,,GRADUATE,NOT LEGAL
,,,HIGH SCHOOL,
2,0,55,BACHELOR,LEGAL
,,,HIGH SCHOOL,LEGAL
2,5,85,HIGH SCHOOL,NOT LEGAL
4,0,50,HIGH SCHOOL,LEGAL
4,0,40,HIGH SCHOOL,
8,0,49,BACHELOR,NOT LEGAL
4,1,40,BACHELOR,
3,15,50,HIGH SCHOOL,LEGAL
6,0,52,JUNIOR COLLEGE,LEGAL
3,0,42,BACHELOR,
,,,HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,
,,,HIGH SCHOOL,
,,,HIGH SCHOOL,LEGAL
2,1,45,HIGH SCHOOL,LEGAL
4,15,55,GRADUATE,LEGAL
8,30,64,HIGH SCHOOL,
1,0,60,BACHELOR,LEGAL
2,0,24,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,NOT LEGAL
4,2,27,HIGH SCHOOL,NOT LEGAL
,,9,JUNIOR COLLEGE,
1,10,55,BACHELOR,LEGAL
,,,LT HIGH SCHOOL,
,,,BACHELOR,LEGAL
,,,LT HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,NOT LEGAL
2,30,64,HIGH SCHOOL,
,,,LT HIGH SCHOOL,
8,15,14,JUNIOR COLLEGE,NOT LEGAL
,,,HIGH SCHOOL,
,,,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,
2,30,40,HIGH SCHOOL,LEGAL
0,30,28,LT HIGH SCHOOL,
1,0,40,LT HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,
2,1,9,GRADUATE,
,,,LT HIGH SCHOOL,NOT LEGAL
3,30,37,BACHELOR,
6,0,15,HIGH SCHOOL,
3,0,45,HIGH SCHOOL,
4,0,50,HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,LEGAL
4,0,20,JUNIOR COLLEGE,
,,,BACHELOR,LEGAL
2,1,50,BACHELOR,
,,,BACHELOR,NOT LEGAL
,0,20,HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,
,,,LT HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,
4,20,50,HIGH SCHOOL,NOT LEGAL
5,0,40,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,LEGAL
2,0,36,BACHELOR,LEGAL
,,,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,
3,0,40,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,
,,,LT HIGH SCHOOL,
,,,LT HIGH SCHOOL,NOT LEGAL
4,1,40,HIGH SCHOOL,LEGAL
,,,BACHELOR,
3,2,55,BACHELOR,NOT LEGAL
,,,LT HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,LEGAL
3,0,44,HIGH SCHOOL,
5,2,35,HIGH SCHOOL,LEGAL
0,6,22,HIGH SCHOOL,
0,30,40,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,
4,0,40,HIGH SCHOOL,
,,,HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,LEGAL
,,,LT HIGH SCHOOL,
,,,BACHELOR,NOT LEGAL
0,0,89,JUNIOR COLLEGE,
2,10,40,LT HIGH SCHOOL,
3,1,50,GRADUATE,NOT LEGAL
4,5,40,BACHELOR,NOT LEGAL
3,10,40,BACHELOR,LEGAL
4,15,60,BACHELOR,LEGAL
2,0,25,BACHELOR,LEGAL
,,,JUNIOR COLLEGE,LEGAL
3,2,36,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,
