nuclide,z,n,element,radius,radius_uncert,abundance,abundance_uncert,is_stable,half_life,half_life_uncert,isospin,decay_1,decay_1_pct,decay_1_pct_uncert,decay_2,decay_2_pct,decay_2_pct_uncert,decay_3,decay_3_pct,decay_3_pct_uncert,magnetic_dipole,magnetic_dipole_uncert,electric_quadrupole,electric_quadrupole_uncert,atomic_mass,atomic_mass_uncert,mass_excess,mass_excess_uncert
^{15}_{4}Be11,4,11,Be,,,,,false,7.86616750123079e-22,2.71247155214855e-22,,N,1.0,,,,,,,,,,,,15053490.215,177.99,49825.821,165.797
^{16}_{4}Be12,4,12,Be,,,,,false,5.70297143839232e-22,1.42574285959808e-22,,N,1.0,,,,,,,,,,,,16061672.036,177.99,57447.139,165.797
^{7}_{5}B2,5,2,B,,,,,false,5.69585162386249e-22,1.4221851744975e-23,3/2,P,1.0,,,,,,,,,,,,7029712.0,27.0,27676.553,25.15
^{8}_{5}B3,5,3,B,,,,,false,0.77,0.003,1,EC+B+,1.0,,B+A,1.0,,,,,1.0355,0.0003,0.0643,0.0014,8024607.315,1.073,22921.569,1.0
^{9}_{5}B4,5,4,B,,,,,false,8.448846575396029e-19,3.2856625570984595e-19,1/2,P,1.0,,,,,,,,,,,,9013329.645,0.969,12416.486,0.903
^{10}_{5}B5,5,5,B,2.4277,0.0499,0.19649999999999998,0.0044,true,,,0,,,,,,,,,,1.8004636,8e-7,0.0846,0.0002,10012936.862,0.016,12050.611,0.015
^{11}_{5}B6,5,6,B,2.406,0.0294,0.8035,0.0044,true,,,1/2,,,,,,,,,,2.688378,1e-6,0.04059,0.0001,11009305.166,0.013,8667.708,0.012
^{12}_{5}B7,5,7,B,,,,,false,0.0202,0.00002,1,B-,1.0,,B-A,0.006,0.0002,,,,1.003,0.001,0.0132,0.0003,12014352.638,1.418,13369.398,1.321
^{13}_{5}B8,5,8,B,,,,,false,0.01733,0.00017,3/2,B-,1.0,,B-N,0.0028599999999999997,,,,,3.1778,0.0005,0.0365,0.0008,13017779.981,1.073,16561.948,1.0
^{14}_{5}B9,5,9,B,,,,,false,0.0125,0.0005,2,B-,1.0,,B-N,0.061,,,,,1.185,0.005,0.0297,0.0008,14025404.01,22.773,23663.686,21.213
^{15}_{5}B10,5,10,B,,,,,false,0.00993,0.00007,,B-,1.0,,B-N,0.9968,,,,,2.659,0.015,0.0379,0.0011,15031087.023,22.575,28957.379,21.029
^{16}_{5}B11,5,11,B,,,,,false,4.56237715071386e-21,0.0,,N,1.0,,,,,,,,,,,,16039841.045,26.373,37111.699,24.566
^{17}_{5}B12,5,12,B,,,,,false,0.00508,0.00005,,B-,1.0,,B-N,0.63,0.01,B-2N,0.11,0.07,2.55,0.02,0.0385,0.0015,17046931.399,219.114,43716.322,204.104
^{18}_{5}B13,5,13,B,,,,,false,,,,N,1.0,,,,,,,,,,,,18055601.683,219.18,51792.64,204.165
^{19}_{5}B14,5,14,B,,,,,false,0.00292,0.00013,,B-,1.0,,B-N,0.718,,B-2N,0.16,,,,,,19064166.0,564.0,59770.251,525.363
^{20}_{5}B15,5,15,B,,,,,false,9.12475430142772e-22,0.0,,N,1.0,,,,,,,,,,,,20074505.644,586.538,69401.569,546.357
^{21}_{5}B16,5,16,B,,,,,false,7.60396191785643e-22,0.0,,2N,1.0,,,,,,,,,,,,21084147.485,599.75,78382.887,558.664
^{8}_{6}C2,6,2,C,,,,,false,3.50952088516451e-21,1.34981572506327e-21,2,2P,1.0,,,,,,,,,,,,8037643.039,19.584,35064.269,18.243
^{9}_{6}C3,6,3,C,,,,,false,0.1265,0.001,3/2,EC+B+,1.0,,B+P,0.62,0.019,B+A,0.379,0.057999999999999996,1.3914,0.0005,,,9031037.202,2.293,28910.971,2.137
^{10}_{6}C4,6,4,C,,,,,false,19.29,0.012,1,EC+B+,1.0,,,,,,,,,,,,10016853.217,0.075,15698.673,0.07
^{11}_{6}C5,6,5,C,,,,,false,1221.84,0.84,1/2,EC+B+,1.0,,,,,,,,-0.964,0.001,0.0333,0.0002,11011432.597,0.064,10649.397,0.06
^{12}_{6}C6,6,6,C,2.4702,0.0022,0.9894,0.0006,true,,,0,,,,,,,,,,,,0.06,0.03,12000000.0,0.0,0.0,0.0
^{13}_{6}C7,6,7,C,2.4614,0.0034,0.0106,0.0006,true,,,1/2,,,,,,,,,,0.702369,4e-6,,,13003354.83534,0.00025,3125.00933,0.00023
^{14}_{6}C8,6,8,C,2.5025,0.0087,,,false,179874478055.174,946707779.23776,1,B-,1.0,,,,,,,,,,,,14003241.98862,0.00403,3019.89328,0.00375
^{15}_{6}C9,6,9,C,,,,,false,2.449,0.005,3/2,B-,1.0,,,,,,,,1.72,0.009,,,15010599.256,0.858,9873.145,0.8
^{16}_{6}C10,6,10,C,,,,,false,0.747,0.008,2,B-,1.0,,B-N,0.99,0.003,,,,,,,,16014701.255,3.84,13694.133,3.578
^{17}_{6}C11,6,11,C,,,,,false,0.193,0.006,,B-,1.0,,B-N,0.26,0.018000000000000002,,,,0.758,0.004,,,17022578.65,18.641,21031.88,17.365
^{18}_{6}C12,6,12,C,,,,,false,0.092,0.002,3,B-,1.0,,B-N,0.315,0.015,,,,,,,,18026751.93,32.206,24919.266,30.0
^{19}_{6}C13,6,13,C,,,,,false,0.0463,0.004,,B-,1.0,,B-N,0.47,0.03,B-2N,0.07,0.03,,,,,19034797.594,105.625,32413.754,98.389
^{20}_{6}C14,6,14,C,,,,,false,0.0163,0.00375,,B-,1.0,,B-N,0.65,0.18,B-2N,0.18600000000000003,,,,,,20040261.732,247.585,37503.567,230.625
^{22}_{6}C16,6,16,C,,,,,false,0.0061,0.0013,,B-,1.0,,B-N,0.61,,B-2N,0.37,,,,,,22057553.99,248.515,53611.203,231.49
^{10}_{7}N3,7,3,N,,,,,false,1.82495086028554e-22,1.27746560219988e-22,2,P,1.0,,,,,,,,,,,,10041653.54,429.417,38800.027,400.0
^{11}_{7}N4,7,4,N,,,,,false,5.49683994061911e-22,1.9868096170912398e-23,3/2,P,1.0,,,,,,,,,,,,11026157.593,5.368,24365.644,5.0
^{12}_{7}N5,7,5,N,,,,,false,0.011,0.000016,1,EC+B+,1.0,,B+A,0.019299999999999998,0.0004,,,,0.4571,0.0001,0.01,0.0009,12018613.18,1.073,17338.068,1.0
^{13}_{7}N6,7,6,N,,,,,false,597.9,0.24,1/2,EC+B+,1.0,,,,,,,,0.3219,0.0004,,,13005738.609,0.289,5345.481,0.27
^{14}_{7}N7,7,7,N,2.5582,0.007,0.9962050000000001,0.000247,true,,,0,,,,,,,,,,0.403573,2e-6,0.02044,0.00003,14003074.00425,0.00024,2863.41683,0.00022
^{15}_{7}N8,7,8,N,2.6058,0.008,0.003795,0.000247,true,,,1/2,,,,,,,,,,-0.2830569,1.4e-6,,,15000108.89827,0.00062,101.43809,0.00058
^{16}_{7}N9,7,9,N,,,,,false,7.13,0.02,1,B-,1.0,,B-A,0.000011999999999999999,5e-6,,,,1.9856,0.0011,-0.018,0.002,16006101.925,2.47,5683.907,2.301
^{17}_{7}N10,7,10,N,,,,,false,4.173,0.004,3/2,B-,1.0,,B-N,0.951,0.006999999999999999,B-A,0.000025,,0.3552,0.0004,,,17008448.876,16.103,7870.079,15.0
^{18}_{7}N11,7,11,N,,,,,false,0.619,0.002,2,B-,1.0,,B-A,0.122,0.006,B-N,0.12,0.013000000000000001,0.3274,0.0004,0.0123,0.0012,18014077.563,19.935,13113.167,18.57
^{19}_{7}N12,7,12,N,,,,,false,0.336,0.003,,B-,1.0,,B-N,0.418,0.009000000000000001,,,,0.305,0.015,,,19017022.389,17.61,15856.255,16.404
^{20}_{7}N13,7,13,N,,,,,false,0.1344,0.0037,,B-,1.0,,B-N,0.429,0.013999999999999999,,,,,,,,20023367.295,84.696,21766.498,78.894
^{21}_{7}N14,7,14,N,,,,,false,0.084,0.007,,B-,1.0,,B-N,0.86,0.04,,,,,,,,21027087.573,143.906,25231.915,134.048
^{22}_{7}N15,7,15,N,,,,,false,0.023,0.003,,B-,1.0,,B-N,0.34,0.03,B-2N,0.12,0.03,,,,,22034100.918,223.06,31764.805,207.779
^{23}_{7}N16,7,16,N,,,,,false,0.0141,0.00125,,B-,1.0,,B-N,0.42,0.06,B-2N,0.08,0.04,,,,,23039421.0,451.5,36720.429,420.57
^{24}_{7}N17,7,17,N,,,,,false,5.2e-8,,,N,,,,,,,,,,,,,24050390.0,430.0,46938.0,401.0
^{11}_{8}O3,8,3,O,,,,,false,3.50952088516451e-22,0.0,,2P,1.0,,,,,,,,,,,,11051249.828,64.453,47738.913,60.038
^{12}_{8}O4,8,4,O,,,,,false,6.33663493154702e-21,0.0,2,2P,1.0,,,,,,,,,,,,12034367.726,12.882,32013.335,12.0
^{13}_{8}O5,8,5,O,,,,,false,0.00858,0.00005,3/2,B+P,1.0,,EC+B+,1.0,,,,,1.3892,0.0003,0.0111,0.0008,13024815.435,10.226,23115.432,9.526
^{14}_{8}O6,8,6,O,,,,,false,70.606,0.018,1,EC+B+,1.0,,,,,,,,,,,,14008596.706,0.027,8007.781,0.025
^{15}_{8}O7,8,7,O,,,,,false,122.24,0.16,1/2,EC+B+,1.0,,,,,,,,0.71908,0.00012,,,15003065.636,0.526,2855.622,0.49
^{16}_{8}O8,8,8,O,2.6991,0.0052,0.9975700000000001,0.00010999999999999999,true,,,0,,,,,,,,,,1.668,0.012,,,15994914.61926,0.00032,-4737.00217,0.0003
^{17}_{8}O9,8,9,O,2.6932,0.0075,0.0003835,9.6e-6,true,,,1/2,,,,,,,,,,-1.893543,0.00001,-0.0256,0.0002,16999131.75595,0.00069,-808.76421,0.00064
^{18}_{8}O10,8,10,O,2.7726,0.0056,0.002045,0.00010200000000000001,true,,,1,,,,,,,,,,,,,,17999159.61214,0.00069,-782.81634,0.00064
^{19}_{8}O11,8,11,O,,,,,false,26.88,0.05,3/2,B-,1.0,,,,,,,,1.53238,0.00007,0.00362,0.00013,19003577.969,2.83,3332.858,2.637
^{20}_{8}O12,8,12,O,,,,,false,13.51,0.05,2,B-,1.0,,,,,,,,0.7,0.03,,,20004075.357,0.95,3796.172,0.885
^{21}_{8}O13,8,13,O,,,,,false,3.42,0.1,,B-,1.0,,,,,,,,,,,,21008654.948,12.882,8062.034,12.0
^{22}_{8}O14,8,14,O,,,,,false,2.25,0.09,,B-,1.0,,B-N,0.22,,,,,,,,,22009965.744,61.107,9283.032,56.921
^{23}_{8}O15,8,15,O,,,,,false,0.097,0.008,,B-,1.0,,B-N,0.07,0.02,,,,,,,,23015696.686,130.663,14621.371,121.712
^{24}_{8}O16,8,16,O,,,,,false,0.072,0.005,,B-,1.0,,B-N,0.42,0.05,,,,,,,,24019861.0,177.0,18500.404,164.874
^{25}_{8}O17,8,17,O,,,,,false,,,,N,1.0,,,,,,,,,,,,25029338.919,177.225,27329.03,165.084
^{26}_{8}O18,8,18,O,,,,,false,4.5e-12,3.3e-12,,2N,1.0,,,,,,,,,,,,26037210.155,177.081,34661.041,164.95
^{13}_{9}F4,9,4,F,,,,,false,4.5172050997166895e-22,1.2075696801222798e-22,,,,,,,,,,,,,,,13045121.0,537.0,42030.0,500.0
^{14}_{9}F5,9,5,F,,,,,false,5.01360126452072e-22,5.509451939033759e-23,,,,,,,,,,,,,,,14034315.196,44.142,31964.403,41.119
^{15}_{9}F6,9,6,F,,,,,false,6.91269265259675e-22,2.09475534927174e-23,,P,1.0,,,,,,,,,,,,15017785.139,15.029,16566.752,14.0
^{16}_{9}F7,9,7,F,,,,,false,1.1405942876784599e-20,5.7029714383923205e-21,1,P,1.0,,,,,,,,,,,,16011460.278,5.758,10675.182,5.364
^{17}_{9}F8,9,8,F,,,,,false,64.49,0.16,1/2,EC+B+,1.0,,,,,,,,4.7213,0.0003,0.076,0.004,17002095.237,0.266,1951.701,0.248
^{18}_{9}F9,9,9,F,,,,,false,6586.2,3.0,0,EC+B+,1.0,,,,,,,,2.68,0.03,0.071,0.006,18000937.324,0.497,873.112,0.463
^{19}_{9}F10,9,10,F,2.8976,0.0025,1.0,,true,,,1/2,,,,,,,,,,2.628321,4e-6,-0.0942,0.0009,18998403.16207,0.00088,-1487.44512,0.00082
^{20}_{9}F11,9,11,F,,,,,false,11.07,0.06,1,B-,1.0,,,,,,,,2.09335,0.00009,0.056,0.004,19999981.252,0.031,-17.463,0.03
^{21}_{9}F12,9,12,F,,,,,false,4.158,0.02,,B-,1.0,,,,,,,,3.9194,0.0012,0.011,0.002,20999948.893,1.932,-47.605,1.8
^{22}_{9}F13,9,13,F,,,,,false,4.23,0.04,,B-,1.0,,B-N,0.11,,,,,2.6944,0.0004,0.003,0.002,22002998.812,13.31,2793.376,12.399
^{23}_{9}F14,9,14,F,,,,,false,2.23,0.14,,B-,1.0,,B-N,0.14,,,,,,,,,23003526.875,35.77,3285.263,33.32
^{24}_{9}F15,9,15,F,,,,,false,0.382,0.016,,B-,1.0,,B-N,0.059000000000000004,,,,,,,,,24008099.37,104.853,7544.516,97.67
^{25}_{9}F16,9,16,F,,,,,false,0.08,0.009,,B-,1.0,,B-N,0.231,0.045,,,,,,,,25012167.727,103.535,11334.167,96.442
^{26}_{9}F17,9,17,F,,,,,false,0.0082,0.0009,,B-,1.0,,B-N,0.135,0.04,,,,,,,,26020048.065,114.898,18674.655,107.027
^{27}_{9}F18,9,18,F,,,,,false,0.005,0.0002,,B-,1.0,,B-N,0.77,0.21,,,,,,,,27026981.897,129.037,25133.478,120.198
^{28}_{9}F19,9,19,F,,,,,false,4.6e-20,,,N,1.0,,,,,,,,,,,,28035860.448,129.198,33403.796,120.347
^{29}_{9}F20,9,20,F,,,,,false,0.0025,0.0003,,B-,1.0,,B-N,1.0,0.8,,,,,,,,29043103.0,564.0,40150.19,525.363
^{30}_{9}F21,9,21,F,,,,,false,,,,N,,,,,,,,,,,,,30052561.0,537.0,48960.0,500.0
^{31}_{9}F22,9,22,F,,,,,false,,,,B-,1.0,,B-2N,,,B-7N,,,,,,,31061023.0,574.0,56843.0,535.0
^{15}_{10}Ne5,10,5,Ne,,,,,false,7.73284262832857e-22,0.0,,2P,1.0,,,,,,,,,,,,15043172.977,71.588,40215.374,66.684
^{16}_{10}Ne6,10,6,Ne,,,,,false,5.7029714383923205e-21,0.0,,2P,1.0,,,,,,,,,,,,16025750.86,21.986,23986.775,20.48
^{17}_{10}Ne7,10,7,Ne,3.0413,0.0088,,,false,0.1092,0.0006,3/2,EC+B+,1.0,,ECP,0.9520000000000001,0.046,ECA,0.0277,0.0019,0.7873,0.0014,,,17017713.962,0.38,16500.452,0.354
^{18}_{10}Ne8,10,8,Ne,2.9714,0.0076,,,false,1.672,0.008,1,EC+B+,1.0,,,,,,,,,,,,18005708.696,0.39,5317.617,0.363
^{19}_{10}Ne9,10,9,Ne,3.0082,0.004,,,false,17.22,0.02,1/2,EC+B+,1.0,,,,,,,,-1.88515,0.00007,,,19001880.906,0.171,1752.054,0.16
^{20}_{10}Ne10,10,10,Ne,3.0055,0.0021,0.9048,0.0003,true,,,0,,,,,,,,,,1.08,0.08,-0.23,0.03,19992440.17525,0.00165,-7041.93217,0.00154
^{21}_{10}Ne11,10,11,Ne,2.9695,0.0033,0.0027,0.0001,true,,,,,,,,,,,,,-0.6617,0.00003,0.1016,0.0008,20993846.685,0.041,-5731.776,0.038
^{22}_{10}Ne12,10,12,Ne,2.9525,0.004,0.0925,0.0003,true,,,,,,,,,,,,,0.65,0.02,-0.215,0.012,21991385.113,0.018,-8024.716,0.018
^{23}_{10}Ne13,10,13,Ne,2.9104,0.0071,,,false,37.25,0.1,,B-,1.0,,,,,,,,-1.0794,0.001,0.145,0.013,22994466.905,0.112,-5154.045,0.104
^{24}_{10}Ne14,10,14,Ne,2.9007,0.0078,,,false,202.8,1.2,2,B-,1.0,,,,,,,,,,,,23993610.649,0.55,-5951.642,0.513
^{25}_{10}Ne15,10,15,Ne,2.9316,0.0088,,,false,0.602,0.008,,B-,1.0,,,,,,,,-1.006,0.0005,,,24997814.797,31.181,-2035.503,29.045
^{26}_{10}Ne16,10,16,Ne,2.9251,0.01,,,false,0.197,0.002,,B-,1.0,,B-N,0.0013,0.0003,,,,,,,,26000516.496,19.784,481.114,18.429
^{27}_{10}Ne17,10,17,Ne,,,,,false,0.0315,0.0013,,B-,1.0,,B-N,0.02,0.005,,,,,,,,27007569.462,97.445,7050.91,90.77
^{28}_{10}Ne18,10,18,Ne,2.9642,0.0134,,,false,0.02,0.001,,B-,1.0,,B-N,0.12,0.01,B-2N,0.037000000000000005,0.005,,,,,28012130.767,135.339,11299.738,126.068
^{29}_{10}Ne19,10,19,Ne,,,,,false,0.015,0.003,,B-,1.0,,B-N,0.28,0.05,B-2N,0.04,0.01,,,,,29019753.0,160.5,18399.803,149.505
^{30}_{10}Ne20,10,20,Ne,,,,,false,0.0073,0.0003,,B-,1.0,,B-N,0.13,0.04,B-2N,0.08900000000000001,0.023,,,,,30024992.235,271.875,23280.12,253.25
^{31}_{10}Ne21,10,21,Ne,,,,,false,0.0034,0.0008,,B-,1.0,,B-2N,,,B-3N,,,,,,,31033474.816,285.772,31181.594,266.195
^{32}_{10}Ne22,10,22,Ne,,,,,false,0.0035,0.0009,,B-,1.0,,B-N,,,,,,,,,,32039720.0,540.0,36999.0,503.0
^{33}_{10}Ne23,10,23,Ne,,,,,false,1.8e-7,,,N,,,,,,,,,,,,,33049523.0,644.0,46130.0,600.0
^{34}_{10}Ne24,10,24,Ne,,,,,false,6e-8,,,B-,,,B-N,,,B-2N,,,,,,,34056728.0,551.0,52842.0,513.0
^{17}_{11}Na6,11,6,Na,,,,,false,,,3/2,,,,,,,,,,,,,,17037273.0,64.0,34719.58,59.616
^{18}_{11}Na7,11,7,Na,,,,,false,2.28118857535693e-21,0.0,,P,1.0,,,,,,,,,,,,18026879.388,100.785,25037.992,93.881
^{19}_{11}Na8,11,8,Na,,,,,false,1.1405942876784599e-20,0.0,,P,1.0,,,,,,,,,,,,19013880.264,11.309,12929.384,10.535
^{20}_{11}Na9,11,9,Na,2.9718,0.042,,,false,0.4479,0.0023,1,EC,1.0,,ECA,0.2005,0.002,,,,0.3694,0.0002,0.101,0.008,20007354.301,1.19,6850.489,1.109
^{21}_{11}Na10,11,10,Na,3.0136,0.0284,,,false,22.49,0.04,,EC+B+,1.0,,,,,,,,2.3861,0.00004,0.138,0.011,20997654.459,0.045,-2184.857,0.042
^{22}_{11}Na11,11,11,Na,2.9852,0.0169,,,false,82104810.0006935,69425.2371441024,,EC+B+,1.0,,,,,,,,1.746,0.003,0.18,0.011,21994437.547,0.141,-5181.391,0.132
^{23}_{11}Na12,11,12,Na,2.9936,0.0021,1.0,,true,,,,,,,,,,,,,2.2175,0.00003,0.104,0.001,22989769.28195,0.00194,-9529.85352,0.00181
^{24}_{11}Na13,11,13,Na,2.9735,0.0169,,,false,53841.6,10.8,,B-,1.0,,,,,,,,1.6903,0.0008,,,23990963.012,0.017,-8417.901,0.017
^{25}_{11}Na14,11,14,Na,2.9769,0.0252,,,false,59.1,0.6,,B-,1.0,,,,,,,,3.683,0.004,0.0015,0.0003,24989953.974,1.288,-9357.814,1.2
^{26}_{11}Na15,11,15,Na,2.9928,0.0331,,,false,1.07128,0.00025,,B-,1.0,,,,,,,,2.851,0.002,-0.0053,0.0002,25992634.649,3.759,-6860.78,3.502
^{27}_{11}Na16,11,16,Na,3.0136,0.0467,,,false,0.301,0.006,,B-,1.0,,B-N,0.0013,0.0004,,,,3.895,0.005,-0.0071,0.0003,26994076.408,4.0,-5517.791,3.726
^{28}_{11}Na17,11,17,Na,3.04,0.0581,,,false,0.0305,0.0004,,B-,1.0,,B-N,0.0058,0.0012,,,,2.426,0.003,0.389,0.011,27998939.0,11.0,-988.315,10.246
^{29}_{11}Na18,11,18,Na,3.0922,0.0723,,,false,0.0441,0.0009,,B-,1.0,,B-N,0.215,0.03,,,,2.449,0.008,0.085,0.003,29002877.091,7.876,2679.994,7.337
^{30}_{11}Na19,11,19,Na,3.118,0.0884,,,false,0.048,0.002,,B-,1.0,,B-N,0.3,0.04,B-2N,0.0115,0.0025,2.083,0.01,,,30009097.931,5.074,8474.67,4.727
^{31}_{11}Na20,11,20,Na,3.1704,0.0893,,,false,0.017,0.0004,,B-,1.0,,B-N,0.39,0.05,B-2N,0.006999999999999999,0.001,2.305,0.008,,,31013146.654,15.0,12246.031,13.972
^{32}_{11}Na21,11,21,Na,,,,,false,0.0132,0.0004,,B-,1.0,,B-N,0.24,0.07,B-2N,0.083,0.021,,,,,32020011.024,40.0,18640.152,37.26
^{33}_{11}Na22,11,22,Na,,,,,false,0.008,0.0004,,B-,1.0,,B-N,0.47,0.06,B-2N,0.13,0.03,,,,,33025529.0,483.0,23780.113,449.912
^{34}_{11}Na23,11,23,Na,,,,,false,0.0055,0.001,,B-,1.0,,B-2N,0.5,,B-N,0.15,,,,,,34034010.0,643.5,31680.114,599.416
^{35}_{11}Na24,11,24,Na,,,,,false,0.0018,0.0005,,B-,1.0,,B-N,0.0,,B-5N,,,,,,,35040614.0,720.0,37831.0,670.0
^{36}_{11}Na25,11,25,Na,,,,,false,1.8e-7,,,N,,,,,,,,,,,,,36049279.0,737.0,45903.0,687.0
^{37}_{11}Na26,11,26,Na,,,,,false,6e-8,,,B-,,,B-N,,,,,,,,,,37057042.0,737.0,53134.0,687.0
^{18}_{12}Mg6,12,6,Mg,,,,,false,3.80198095892821e-21,3.16831746577351e-21,,2P,1.0,,,,,,,,,,,,,,,
^{19}_{12}Mg7,12,7,Mg,,,,,false,4.00208e-12,0.0,,2P,1.0,,,,,,,,,,,,19034179.92,64.413,31838.394,60.001
^{20}_{12}Mg8,12,8,Mg,,,,,false,0.0904,0.0007,,B+,1.0,,B+P,0.303,0.012,,,,,,,,20018763.075,2.0,17477.694,1.863
