sex,height
Male,68.0
Female,77.0
Male,70.5
Female,63.0
Male,69.0
Male,69.0
Male,68.89
Male,66.5
Female,64.173
Female,63.0
Female,65.0
Female,64.0
Female,63.0
Female,63.0
Female,69.0
Male,69.0
Female,64.0
Female,62.0
Male,70.0
Male,70.0
Female,59.0
Female,65.0
Male,67.7
Male,72.0
Male,74.0
Male,71.7
Male,70.87
Female,66.0
Male,72.0
Male,74.0
Male,69.0
Male,71.0
Female,70.0
Male,70.0
Male,64.0
Male,68.11
Female,68.0
Female,66.0
Female,64.0
Male,67.0
Female,65.0
Male,72.0
Male,70.0
Female,64.57
Female,51.0
Female,63.0
Female,70.0
Male,68.0
Female,67.0
Male,71.0
Male,69.0
Female,63.0
Male,71.0
Male,70.0
Female,64.0
Male,70.0
Male,68.0
Male,66.0
Female,69.0
Male,67.0
Female,65.0
Male,72.0
Male,72.0
Male,70.0
Male,75.0
Female,64.0
Female,66.0
Male,68.0
Female,69.0
Male,73.0
Male,66.0
Male,71.0
Male,67.0
Male,70.0
Male,67.0
Female,61.0
Female,64.0
Female,64.0
Male,65.0
Male,72.0
Male,70.0
Male,65.0
Male,69.0
Male,68.0
Male,67.0
Male,59.0
Male,59.0
Female,72.0
Male,77.0
Male,72.0
Female,59.05511811023622
Male,70.0
Male,69.0
Male,72.0
Male,69.0
Male,68.11
Male,68.11
Male,68.0
Male,65.0
Female,67.0
Male,67.0
Male,68.0
Male,69.0
Male,80.0
Male,68.0
Male,68.0
Female,60.0
Male,70.0
Female,60.0
Female,60.0
Female,64.96
Female,66.0
Male,68.89763779527559
Male,69.68503937007874
Female,68.0
Male,70.0
Male,66.0
Male,66.0
Male,63.0
Male,72.0
Male,68.0
Male,72.0
Male,72.05
Male,71.0
Male,72.5
Male,70.0
Male,72.0
Male,72.0
Male,68.0
Male,70.0
Male,69.0
Male,80.0
Male,68.0
Male,66.0
Male,70.0
Male,65.0
Male,70.07874015748031
Male,75.0
Male,66.0
Male,69.0
Female,53.0
Male,71.0
Male,70.0
Male,72.0
Male,68.5
Female,68.0
Female,64.1732283464567
Female,68.0
Male,59.0551
Male,66.92
Male,72.0
Male,72.0
Male,74.0
Male,68.89763779527559
Female,68.0
Male,70.0
Male,69.0
Female,61.0
Male,74.0
Male,65.0
Male,72.0
Female,66.0
Male,68.0
Male,61.0
Male,70.0
Female,65.0
Male,68.0
Male,70.07874015748031
Male,70.0
Male,71.0
Male,74.0
Female,64.96062992125984
Male,71.0
Male,74.0
Male,64.0
Male,71.0
Female,66.0
Male,65.0
Female,64.96062992125984
Male,74.0
Male,75.0
Male,70.86614173228347
Male,68.0
Female,62.0
Male,74.8
Male,69.0
Male,68.4
Male,67.0
Male,65.0
Male,68.0
Female,67.0
Male,69.3
Male,66.53543307086615
Male,67.0
Male,67.0
Male,73.0
Male,75.0
Male,70.0
Male,71.0
Female,64.0
Male,72.0
Male,70.0
Male,72.0
Male,71.5
Male,72.0
Male,68.8976
Male,68.0
Male,64.0
Male,69.0
Male,70.0
Female,75.0
Male,67.0
Male,61.811023622047244
Male,73.0
Male,66.53543307086615
Female,63.0
Male,66.0
Male,72.04724409448819
Male,67.72
Female,65.0
Male,69.0
Male,71.0
Male,66.0
Male,72.0
Male,72.4
Male,69.0
Male,72.0
Male,79.05
Male,63.77952755905512
Male,70.07874015748031
Male,70.86614173228347
Male,66.4
Male,72.0
Male,70.0
Male,66.0
Male,69.29
Male,66.92913385826772
Female,63.0
Female,66.1416
Male,78.0
Male,75.0
Male,70.07874015748031
Male,70.0
Male,66.0
Female,65.0
Male,71.0
Male,68.5
Male,65.0
Male,69.0
Male,74.80314960629921
Male,70.0
Male,66.0
Male,66.0
Female,63.0
Male,71.0
Male,64.0
Male,70.0
Male,72.0
Male,72.44094488188976
Male,67.0
Male,68.5
Female,68.0
Male,69.0
Male,70.0
Male,68.5
Male,53.77
Male,66.92
Male,73.0
Male,68.0
Male,72.0
Male,70.0
Male,66.0
Male,71.5
Female,66.0
Male,72.44094488188976
Male,72.0
Male,67.0
Male,72.0
Male,65.74803149606299
Male,72.0
Male,74.0
Male,72.0
Male,72.0
Male,67.7165
Male,71.0
Male,65.0
Male,72.0
Male,68.0
Male,71.0
Male,69.0
Female,63.0
Male,71.0
Male,65.0
Female,62.0
Male,67.0
Male,70.86614173228347
Male,54.0
Male,65.0
Male,65.0
Male,77.0
Male,67.0
Male,68.1102
Male,69.0
Male,68.0
Female,62.0
Male,72.0
Male,70.0
Male,71.0
Male,64.961
Female,64.0
Male,67.0
Male,70.86614173228347
Male,66.0
Male,72.04724409448819
Male,66.92913385826772
Male,66.0
Male,66.0
Male,70.0
Male,66.0
Female,64.0
Male,72.0
Male,70.0
Male,67.71653543307086
Male,75.0
Male,72.0
Male,72.0
Male,68.5
Female,66.0
Male,71.0
Male,71.0
Male,66.14173228346456
Male,72.0
Female,64.0
Female,70.0
Male,67.0
Male,70.0
Male,70.0
Male,72.0
Male,63.0
Male,65.0
Male,63.0
Male,66.92913385826772
Male,70.0
Male,70.8
Male,67.71653543307086
Male,68.0
Female,66.0
Male,77.1654
Male,65.0
Male,69.29133858267717
Male,67.5
Male,67.5
Male,68.0
Male,66.0
Male,74.0
Male,72.0
Male,72.83
Male,77.0
Male,67.0
Male,70.0
Male,64.0
Male,65.0
Male,73.0
Female,62.0
Male,66.7
Female,69.0
Male,67.0
Male,68.11023622047244
Male,69.0
Male,68.50393700787401
Male,69.29133858267717
Male,68.89763779527559
Male,71.0
Male,64.0
Male,67.0
Male,70.0
Male,68.0
Female,67.78
Male,68.5
Male,68.0
Female,67.71
Male,66.5
Male,69.0
Male,79.0
Female,64.0
Male,60.0
Male,72.0
Female,61.0
Male,74.0
Female,66.0
Female,65.0
Male,67.0
Male,68.8
Male,69.0
Male,78.0
Male,70.0
Male,66.0
Male,66.0
Male,74.0
Male,71.0
Male,73.0
Male,67.0
Male,72.0
Male,70.0
Male,70.1
Male,62.0
Male,69.0
Female,65.0
Female,68.0
Male,72.0
Male,72.0
Male,72.0
Female,63.0
Male,66.0
Male,67.0
Male,73.2
Female,64.0
Male,74.0
Male,73.62
Male,72.0
Female,68.4
Male,69.0
Female,61.0
Male,67.0
Male,69.0
Male,66.0
Male,68.0
Male,65.0
Male,68.9
Male,67.71
Male,67.0
Male,67.0
Female,59.0
Female,59.0
Female,67.0
Male,72.04724409448819
Male,71.0
Male,67.71653543307086
Male,68.0
Male,66.9
Male,68.5
Male,74.0
Male,76.0
Male,60.0
Male,69.0
Male,72.0
Male,69.0
Male,67.0
Male,70.0
Male,68.5
Male,70.0
Male,67.0
Male,70.0
Male,69.0
Female,65.0
Male,68.9
Male,69.0
Male,66.14173228346456
Female,66.9291
Male,70.0
Male,77.0
Male,70.85
Male,66.92913385826772
Male,68.89763779527559
Female,64.0
Male,69.0
Male,67.0
Male,72.0
Male,72.0
Male,67.0
Male,72.0
Male,72.0
Male,72.83
Male,70.0
Female,63.0
Male,71.0
Male,72.0
Male,72.0
Male,72.44
Male,70.0
Male,68.0
Female,59.0
Male,71.0
Male,61.32
Male,72.0
Male,68.0
Male,73.0
Male,71.0
Male,69.0
Male,71.0
Male,66.93
Male,58.0
Female,55.0
Male,70.0
Male,66.0
Male,65.0
Male,72.0
Female,74.0
Male,71.0
Male,69.0
Male,63.77952755905512
Male,71.0
Male,72.0
Male,68.0
Male,69.0
Male,70.0
Male,73.0
Male,64.96062992125984
Male,72.44094488188976
Male,73.22
Female,64.0
Male,70.0
Male,75.0
Male,63.0
Male,72.05
Male,72.0
Male,68.0
Male,75.0
Male,68.0
Male,68.11023622047244
Male,70.0
Female,66.1417
Male,74.0
Male,62.99212598425197
Male,68.0
Male,68.0
Male,70.0
Male,71.0
Male,67.71653543307086
Male,66.92913385826772
Male,70.0
Male,70.08
Male,67.2
Male,69.0
Male,70.0
Male,69.0
Male,72.44
Male,69.0
Male,72.45
Male,69.0
Male,67.0
Male,75.98
Male,71.0
Male,67.0
Male,71.0
Male,67.0
Male,65.0
Male,62.0
Male,71.0
Male,74.0
Male,69.0
Male,72.0
Male,68.50393700787401
Male,66.92913385826772
Male,68.0
Male,66.9291
Male,63.0
Female,62.99212598425197
Male,70.0
Male,75.59055118110236
Male,68.0
Male,69.0
Male,71.0
Male,71.0
Male,69.3
Male,65.74803149606299
Male,70.866
Male,67.0
Male,67.72
Male,70.0
Male,67.0
Male,65.0
Male,67.0
Female,62.4
Male,71.0
Male,59.05511811023622
Male,72.0
Male,68.0
Male,75.0
Male,72.0
Male,66.0
Male,71.0
Male,76.0
Male,69.0
Male,69.0
Male,66.92913385826772
Male,66.0
Male,68.50393700787401
Male,69.29
Male,72.0
Male,68.0
Female,64.0
Male,66.0
Male,70.0
Male,67.0
Male,75.6
Male,71.5
Male,72.0
Female,63.0
Female,62.0
Male,69.0
Female,68.0
Male,71.65
Male,75.0
Male,68.8976
Male,74.0
Female,65.0
Female,64.0
Female,68.0
Female,65.0
Female,64.0
Female,67.0
Male,69.0
Male,68.0
Female,67.0
Female,68.8976
Female,62.6
Male,70.0
Female,69.0
Female,65.0
Female,63.0
Male,67.3
Female,64.2
Female,63.0
Male,61.0
Male,67.0
Male,71.0
Female,61.0
Female,61.0
Female,68.11
Female,66.14
Female,67.5
Female,60.0
Female,67.0
Female,67.72
Female,66.0
Male,67.0
Female,70.0
Female,66.0
Female,64.5
Female,68.0
Male,69.0
Male,68.0
Male,71.0
Male,76.0
Male,70.8661
Male,66.0
Female,67.0
Male,71.0
Female,62.5
Male,67.0
Male,67.0
Male,67.71653543307086
Female,60.0
Male,67.0
Female,68.0
Male,75.0
Male,65.0
Male,65.0
Female,64.0
Female,62.0
Male,70.86614173228347
Male,75.0
Male,71.0
Female,67.0
Male,72.0
Female,60.0
Male,68.0
Female,64.0
Male,70.86614173228347
Male,70.86614173228347
Male,73.0
Male,75.4
Female,68.0
Male,70.0
Male,69.0
Female,63.0
Female,62.0
Male,73.0
Male,72.0
Female,68.0
Female,61.0
Female,60.0
Male,65.0
Female,63.0
Male,67.0
Female,69.0
Male,74.0
Female,68.0
Male,70.0
Male,73.0
Male,70.0
Female,60.0
Female,66.0
Female,68.0
Male,67.0
Male,65.0
Male,71.0
Female,70.0
Male,65.0
Male,72.8346
Male,70.0
Male,70.0
Female,65.0
Male,70.0
Male,70.0
Female,67.7
Female,62.0
Male,69.0
Male,69.0
Female,62.0
Male,74.0
Male,71.0
Female,70.0
Male,64.0
Male,73.0
Male,70.0
Male,66.0
Male,66.0
Male,68.0
Female,62.0
Female,66.0
Female,64.0
Male,67.0
Male,71.0
Male,78.0
Male,69.0
Female,67.0
Male,70.0
Female,65.0
Male,70.0
Male,65.74803149606299
Male,71.0
Male,68.0
Female,67.0
Male,66.14173228346456
Female,64.0
Male,68.0
Female,60.0
Female,64.0
Male,73.2
Male,72.0
Male,73.0
Male,71.0
Male,72.44
Female,67.0
Male,71.0
Male,71.0
Male,68.89
Male,68.89
Male,70.07874015748031
Male,71.65354330708661
Female,69.0
Female,64.56692913385827
Female,66.0
Male,68.0
Male,70.0
Male,70.0
Male,68.0
Male,70.1
Female,72.83464566929133
Male,72.0
Male,72.0
Male,66.0
Male,66.0
Male,69.0
Male,66.0
Male,78.74
Male,67.0
Male,70.0
Male,67.0
Male,66.0
Male,70.0
Male,72.8346
Male,67.7
Male,72.0
Female,69.0
Male,65.0
Male,66.0
Male,70.0
Male,67.71653543307086
Male,67.0
Male,72.0
Female,68.0
Female,69.0
Male,64.9
Male,62.99212598425197
Male,75.0
Male,69.0
Female,64.96
Male,64.5
Male,64.0
Male,65.0
Male,70.0
Male,61.0
Male,67.0
Male,59.84251968503937
Male,67.5
Male,70.86614173228347
Male,70.86
Male,68.89763779527559
Male,70.0
Male,62.204724409448815
Male,68.11023622047244
Male,64.56692913385827
Male,76.0
Male,66.53543307086615
Male,70.0
Male,72.83464566929133
Male,66.14173228346456
Male,69.0
Male,66.53543307086615
Male,65.0
Male,68.0
Male,68.50393700787401
Male,68.0
Male,68.11024
Male,75.0
Male,69.0
Male,70.47244094488188
Male,66.0
Male,69.0
Male,67.0
Male,68.89
Male,73.22
Male,66.0
Male,65.0
Male,72.0
Male,75.0
Male,72.0
Male,66.92913385826772
Female,52.0
Female,52.0
Female,79.0
Male,70.0
Male,72.0
Male,67.71653543307086
Female,64.0
Male,68.11
Male,67.0
Male,62.204724409448815
Male,75.0
Male,75.0
Male,81.0
Male,69.0
Male,68.8976378
Male,62.59842519685039
Male,76.0
Female,74.80314960629921
Male,69.6
Male,67.0
Female,63.0
Male,70.0
Male,72.44
Female,66.0
Male,66.92913385826772
Male,62.204724409448815
Male,73.0
Male,72.0
Female,60.0
Male,76.0
Male,65.0
Male,66.0
Male,70.86614173228347
Male,68.9
Male,71.0
Female,64.0
Male,82.67716535433071
Male,72.0
Male,68.0
Male,67.0
Male,69.0
Female,64.2
Male,72.0
Male,63.0
Female,63.77952755905512
Male,66.0
Male,66.92913385826772
Male,74.0
Male,72.0
Male,67.0
Male,71.0
Male,50.0
Male,66.92913385826772
Male,61.811023622047244
Male,73.22834645669292
Male,65.0
Male,66.92913385826772
Male,63.0
Male,74.0
Male,67.7165
Male,60.0
Male,60.0
Male,69.0
Male,69.0
Male,50.0
Female,69.0
Male,69.0
Male,63.38582677165354
Male,66.0
Male,66.0
