year,uid,stateabb,therm_dem,therm_gop,therm_bmp,mpti,age,educat,urbanism,pid7,incomeperc,race4,unemployed,polint,distrust_govt,govt_crooked,govt_waste,govt_biginterests
1978,19780073,AR,,,,,20,2,3,,1,2,1,2,3,2,1,0
1978,19780074,AR,,,,,65,3,3,3,1,2,1,3,,3,2,1
1978,19780075,IN,85,70,78,58,75,5,3,1,1,1,0,3,3,1,3,1
1978,19780076,IA,50,50,50,50,82,2,2,6,1,1,0,1,3,3,2,1
1978,19780077,IA,50,70,60,40,62,5,2,5,2,1,0,4,3,2,3,1
1978,19780078,IA,70,70,70,50,29,3,2,3,4,1,0,2,1,2,2,0
1978,19780079,WY,40,75,58,33,56,5,3,5,4,1,0,2,3,3,3,1
1978,19780080,WY,50,70,60,40,31,5,3,7,,1,0,4,3,,3,1
1978,19780081,WY,50,70,60,40,33,6,3,6,4,1,0,4,2,2,2,1
1978,19780082,WY,50,70,60,40,56,4,3,7,2,1,0,2,,2,3,0
1978,19780083,IN,85,40,63,73,35,4,3,1,3,1,0,2,3,1,3,1
1978,19780084,IN,85,50,68,68,52,5,3,2,4,1,0,3,3,3,3,1
1978,19780085,CT,0,97,49,2,77,6,2,7,3,1,0,4,2,1,3,0
1978,19780086,IN,70,50,60,60,22,1,1,2,3,1,0,1,2,2,2,0
1978,19780087,ME,50,50,50,50,34,3,3,3,3,1,0,2,2,2,3,1
1978,19780088,TX,0,70,35,15,66,7,1,5,,1,0,4,3,3,3,1
1978,19780089,TX,85,40,63,73,55,4,1,1,4,1,0,4,3,3,3,1
1978,19780090,IN,30,70,50,30,27,5,1,7,3,1,0,4,3,,3,1
1978,19780091,FL,50,50,50,50,38,6,2,3,4,2,0,4,3,3,3,1
1978,19780092,FL,60,40,50,60,50,7,2,2,4,1,0,4,3,2,2,1
1978,19780093,VA,50,50,50,50,73,1,1,2,3,1,0,2,3,3,3,1
1978,19780094,VA,30,60,45,35,46,6,1,7,5,1,0,4,4,2,3,1
1978,19780095,FL,70,50,60,60,38,4,3,3,3,1,0,2,2,2,3,0
1978,19780096,FL,90,80,85,55,48,3,3,3,5,1,0,1,2,1,1,1
1978,19780097,FL,70,30,50,70,67,1,3,2,2,1,0,3,3,3,3,1
1978,19780098,FL,,,,,34,3,3,4,4,1,0,3,4,3,3,1
1978,19780099,FL,60,40,50,60,43,5,2,5,5,1,0,4,3,3,3,1
1978,19780100,FL,50,0,25,75,41,3,2,4,2,1,0,1,3,3,3,1
1978,19780101,CT,60,50,55,55,44,3,1,2,1,1,0,3,3,2,2,1
1978,19780104,AL,60,60,60,50,68,2,1,4,1,1,0,2,3,3,3,1
1978,19780105,MI,97,60,79,69,37,6,1,1,4,2,0,3,2,2,3,1
1978,19780106,MI,30,85,58,23,44,1,1,7,1,1,0,3,4,3,3,1
1978,19780107,FL,70,85,78,43,57,2,2,6,5,1,0,3,3,2,3,1
1978,19780108,FL,50,50,50,50,69,4,2,2,4,1,0,1,3,3,3,1
1978,19780109,WI,30,85,58,23,26,3,3,7,3,1,0,3,3,2,2,1
1978,19780110,WI,50,50,50,50,48,5,3,4,5,1,0,3,3,3,3,1
1978,19780111,AL,50,75,63,38,44,5,1,6,3,1,0,4,3,2,3,1
1978,19780112,OH,70,60,65,55,51,6,3,3,3,1,0,4,4,,3,
1978,19780113,CT,70,40,55,65,52,6,2,3,3,1,0,4,3,2,3,1
1978,19780114,NY,70,50,60,60,32,3,3,3,4,1,0,4,3,1,3,1
1978,19780115,NY,50,50,50,50,63,3,3,6,3,1,0,2,3,2,3,1
1978,19780116,FL,,,,,60,1,3,1,1,1,0,3,3,2,3,1
1978,19780117,FL,97,,,,79,4,2,2,3,1,0,3,2,2,3,1
1978,19780118,GA,97,85,91,56,60,7,1,1,4,2,0,3,3,2,2,1
1978,19780119,GA,50,97,74,27,75,5,1,7,1,1,0,4,3,3,3,1
1978,19780120,IL,40,60,50,40,39,6,1,5,5,1,0,3,2,1,2,0
1978,19780121,IL,85,70,78,58,60,2,1,3,1,1,0,2,3,2,3,0
1978,19780122,OH,60,0,30,80,28,4,1,1,3,2,0,2,3,3,3,1
1978,19780123,OH,60,60,60,50,20,5,1,2,4,2,0,2,3,1,3,0
1978,19780124,OH,50,50,50,50,23,4,1,2,3,1,0,3,2,2,3,1
1978,19780125,OH,97,70,84,64,57,2,1,1,2,2,0,4,3,2,2,0
1978,19780126,NY,,,,,21,4,3,4,2,1,0,3,2,2,3,0
1978,19780127,PA,70,50,60,60,37,4,2,3,4,1,0,3,3,1,3,1
1978,19780128,PA,40,70,55,35,51,4,2,7,3,1,0,4,3,3,3,1
1978,19780129,OH,,,,,53,7,1,4,3,1,0,3,2,2,2,0
1978,19780130,IL,97,85,91,56,23,5,1,2,4,1,1,1,2,1,2,0
1978,19780131,IL,70,40,55,65,19,5,1,2,3,3,0,4,2,2,2,1
1978,19780132,WV,50,50,50,50,31,4,1,2,2,1,0,1,3,3,3,1
1978,19780133,WV,90,,,,87,1,1,1,1,1,0,2,1,,,
1978,19780134,FL,50,97,74,27,63,4,3,7,,1,0,3,3,3,3,1
1978,19780135,FL,70,40,55,65,60,4,3,2,,1,0,2,3,3,3,1
1978,19780136,ME,85,85,85,50,41,3,3,4,4,1,0,3,2,2,2,1
1978,19780137,ME,75,8,42,84,66,5,3,1,,3,0,4,3,2,3,1
1978,19780138,ME,,70,,,63,2,3,6,2,1,0,3,3,,2,
1978,19780139,AL,,,,,19,3,1,2,3,1,0,1,3,3,3,1
1978,19780140,PA,65,25,45,70,68,2,2,1,2,1,0,3,3,3,3,1
1978,19780141,PA,50,,,,73,3,2,1,2,1,0,4,3,2,1,1
1978,19780142,PA,70,60,65,55,23,5,2,2,3,1,0,1,4,3,3,1
1978,19780143,PA,,,,,18,4,2,,,1,0,,,,,
1978,19780144,NC,,,,,63,1,3,2,1,1,0,1,3,,,0
1978,19780145,NC,50,50,50,50,72,3,3,2,,1,0,3,3,3,2,
1978,19780146,MI,75,75,75,50,57,2,2,2,2,1,0,3,2,2,3,0
1978,19780147,MI,50,50,50,50,38,5,2,3,4,1,0,3,3,2,3,1
1978,19780148,MN,50,50,50,50,27,5,2,3,4,1,0,3,2,1,2,1
1978,19780149,MN,50,50,50,50,22,3,2,6,1,1,0,1,3,3,3,1
1978,19780150,WV,97,0,49,99,73,1,1,1,3,1,0,4,1,3,3,1
1978,19780151,CT,70,60,65,55,26,5,1,3,1,2,1,4,3,3,3,1
1978,19780152,PA,97,50,74,74,18,4,2,4,,1,0,3,3,2,2,
1978,19780153,GA,50,50,50,50,18,2,1,3,3,1,0,1,2,2,3,0
1978,19780154,FL,,,,,55,1,2,1,2,2,0,3,1,2,2,0
1978,19780155,NY,50,50,50,50,26,3,3,4,3,1,0,2,3,3,3,1
1978,19780156,NY,60,60,60,50,59,3,3,5,2,1,0,4,3,3,3,1
1978,19780157,FL,70,50,60,60,58,1,2,1,4,1,0,2,2,2,3,0
1978,19780158,PA,,,,,64,1,3,6,1,1,0,3,,2,2,1
1978,19780159,PA,60,60,60,50,60,3,3,4,3,1,0,4,3,3,3,1
1978,19780160,FL,,,,,23,2,2,4,1,2,1,1,3,2,3,1
1978,19780161,PA,97,70,84,64,34,2,1,1,,2,0,4,2,2,2,0
1978,19780162,CT,70,70,70,50,26,2,1,3,1,1,1,1,3,3,3,1
1978,19780163,PA,85,70,78,58,58,3,2,2,3,1,0,4,3,2,3,1
1978,19780164,IN,85,50,68,68,53,1,3,1,3,1,0,3,3,2,3,1
1978,19780165,IN,50,70,60,40,76,3,2,6,2,1,0,4,3,3,3,1
1978,19780166,WV,50,70,60,40,70,1,2,6,1,1,0,2,3,2,3,1
1978,19780167,WV,40,50,45,45,34,2,2,4,1,1,0,3,2,3,3,0
1978,19780168,KY,,,,,25,2,1,2,,1,0,3,3,2,3,1
1978,19780169,KY,90,50,70,70,23,7,1,2,1,2,0,2,3,2,2,1
1978,19780170,IL,60,40,50,60,25,6,2,3,,1,0,3,3,2,3,1
1978,19780171,OH,20,40,30,40,36,5,2,6,4,1,0,3,3,2,3,1
1978,19780172,CT,60,97,79,32,54,2,2,6,4,1,0,3,3,2,3,1
1978,19780173,CT,50,50,50,50,39,6,2,7,5,1,0,1,3,2,3,1
1978,19780174,IL,50,50,50,50,36,5,2,5,5,1,0,3,3,3,3,1
1978,19780175,NY,10,90,50,10,63,4,3,7,,1,0,4,4,3,3,1
1978,19780176,NY,60,85,73,38,37,3,3,6,3,1,0,2,3,1,3,0
1978,19780177,NY,60,97,79,32,28,2,3,6,3,1,0,3,2,2,2,0
1978,19780178,OH,50,50,50,50,22,4,2,4,2,1,0,2,3,3,3,1
1978,19780179,OH,50,60,55,45,20,5,2,,2,1,1,4,3,3,3,1
1978,19780180,KY,50,50,50,50,25,4,1,6,3,1,0,2,3,3,3,1
1978,19780181,FL,,,,,21,4,3,3,2,1,0,3,3,3,3,1
1978,19780182,FL,15,15,15,50,59,5,3,6,4,1,0,4,3,,3,1
1978,19780183,OH,70,85,78,43,39,4,2,6,4,1,0,1,2,2,2,0
1978,19780184,OH,75,75,75,50,65,3,2,2,4,1,0,3,1,2,2,0
1978,19780185,IL,60,60,60,50,20,3,2,4,2,1,0,3,2,1,2,
1978,19780186,IL,,,,,78,1,1,2,2,1,0,4,3,1,3,1
1978,19780187,IL,,,,,33,3,2,2,4,1,0,2,3,1,3,0
1978,19780188,IL,70,60,65,55,68,5,2,3,2,1,0,4,3,3,3,1
1978,19780189,IN,,,,,35,3,1,5,3,1,0,3,2,1,3,1
1978,19780190,IN,40,60,50,40,33,6,1,5,3,1,0,4,3,2,3,1
1978,19780191,GA,85,40,63,73,58,6,1,3,4,2,0,4,2,2,3,1
1978,19780192,GA,85,85,85,50,88,1,1,1,1,1,0,1,3,2,3,0
1978,19780193,NC,80,30,55,75,69,1,3,1,1,1,0,2,3,,3,
1978,19780194,NC,85,45,65,70,58,3,3,1,2,1,0,3,3,3,3,1
1978,19780195,MA,60,50,55,55,0,4,1,2,2,1,0,1,3,1,3,1
1978,19780196,NC,,,,,49,1,3,4,,1,0,1,,,,
1978,19780197,NC,75,50,63,63,86,2,3,2,1,1,0,2,,,3,1
1978,19780198,AL,97,50,74,74,32,5,1,1,3,1,0,4,1,2,1,0
1978,19780199,AL,50,50,50,50,18,5,1,3,4,1,0,3,1,2,2,0
1978,19780200,GA,97,60,79,69,33,4,2,3,2,1,0,3,2,2,2,0
1978,19780201,GA,60,40,50,60,48,2,1,4,1,1,0,2,,3,3,1
1978,19780202,GA,,,,,70,3,2,4,1,1,0,1,3,,3,
1978,19780203,IL,25,75,50,25,61,2,2,6,5,1,0,3,3,3,3,1
1978,19780204,IN,,,,,58,3,2,4,,1,0,3,3,1,3,
1978,19780205,NC,,,,,44,2,3,1,2,1,0,1,3,3,3,1
1978,19780206,FL,50,50,50,50,27,5,2,2,3,3,1,2,3,3,3,1
1978,19780207,OH,85,30,58,78,20,5,2,2,4,1,0,2,3,3,3,1
1978,19780208,IL,50,50,50,50,55,2,2,4,5,1,0,1,3,2,3,0
1978,19780209,IL,50,50,50,50,54,5,1,5,3,1,0,2,2,2,2,1
1978,19780210,ME,85,70,78,58,59,1,3,1,2,1,0,2,3,3,3,0
1978,19780211,ME,97,70,84,64,57,3,3,1,2,1,0,4,3,2,3,1
1978,19780212,KY,,70,,,59,1,3,7,1,1,0,3,1,3,1,0
1978,19780213,KY,50,90,70,30,26,3,3,5,1,1,0,1,3,3,3,1
1978,19780214,IL,80,80,80,50,25,4,2,5,4,1,0,4,3,3,3,1
1978,19780215,AL,,,,,21,2,1,4,1,2,0,2,3,,2,
1978,19780216,AL,,,,,46,2,1,2,1,2,1,4,1,3,3,1
1978,19780217,NJ,50,50,50,50,24,6,2,3,4,1,0,3,3,2,3,1
1978,19780218,OK,50,50,50,50,19,5,1,1,3,1,0,4,2,2,2,0
1978,19780219,OK,75,60,68,58,47,2,1,2,4,1,0,2,4,1,3,1
1978,19780220,OK,60,70,65,45,30,3,1,6,2,1,1,2,3,2,2,0
1978,19780221,MS,,,,,18,1,3,4,1,2,0,2,3,3,3,1
1978,19780222,MS,70,85,78,43,87,5,3,2,1,1,0,2,3,,3,1
1978,19780223,AR,50,50,50,50,38,1,3,1,,2,0,1,,,,0
1978,19780224,CA,60,60,60,50,24,5,2,3,3,1,0,3,2,1,3,0
1978,19780225,CA,85,60,73,63,58,4,2,1,4,1,0,3,2,1,2,0
1978,19780226,MS,,,,,54,1,3,4,1,2,0,2,,2,3,0
1978,19780227,MS,,,,,47,3,3,4,3,1,0,4,3,2,3,1
1978,19780228,MS,85,85,85,50,61,1,3,1,1,2,0,3,3,3,3,1
1978,19780229,CA,,,,,50,5,2,1,5,1,0,4,3,3,3,1
1978,19780230,CT,60,50,55,55,0,,1,4,1,1,,3,,,3,1
1978,19780231,WA,40,60,50,40,34,5,2,6,4,1,0,3,2,2,3,0
1978,19780232,MS,85,70,78,58,64,2,3,2,2,1,0,2,2,1,3,1
1978,19780233,FL,90,0,45,95,66,2,3,1,1,1,0,3,3,3,3,1
1978,19780234,AR,75,80,78,48,63,1,3,7,3,2,0,,3,3,3,1
1978,19780235,FL,85,60,73,63,91,1,3,1,3,1,0,1,2,1,3,1
1978,19780236,FL,70,60,65,55,36,4,3,1,3,2,0,3,3,2,,0
1978,19780237,MO,97,85,91,56,67,1,3,1,1,1,0,4,3,2,3,1
1978,19780238,NC,40,50,45,45,45,6,3,2,3,1,0,2,2,1,2,1
1978,19780239,GA,70,50,60,60,53,3,2,1,4,1,0,3,3,2,3,1
1978,19780240,OR,40,50,45,45,25,5,2,5,3,1,0,2,3,2,3,1
1978,19780241,OK,85,40,63,73,36,2,1,2,4,1,0,3,3,,3,1
1978,19780242,WY,60,50,55,55,49,4,3,1,3,1,0,2,3,3,3,1
1978,19780243,OK,60,40,50,60,78,1,1,,1,1,0,2,2,2,3,1
1978,19780244,AL,97,0,49,99,61,1,1,1,1,2,0,,,3,3,1
1978,19780245,AL,,,,,42,6,1,2,4,2,0,4,1,1,3,
1978,19780246,IL,80,60,70,60,84,,1,2,1,1,0,4,3,2,2,0
1978,19780247,IL,70,60,65,55,26,4,2,2,3,3,0,3,2,1,3,0
1978,19780248,IL,60,60,60,50,18,3,2,4,3,1,0,1,3,3,3,1
1978,19780249,IL,60,60,60,50,42,6,2,7,4,1,0,3,2,2,2,0
1978,19780250,IL,50,50,50,50,24,5,1,3,3,1,0,3,2,1,3,1
1978,19780251,IL,50,50,50,50,20,5,3,6,3,1,1,2,3,2,3,1
1978,19780252,IL,50,50,50,50,76,1,2,2,2,1,0,1,3,3,3,1
1978,19780253,WI,50,50,50,50,85,1,3,4,1,1,0,3,3,3,3,
1978,19780254,WI,60,50,55,55,32,4,3,2,4,1,0,4,3,2,3,1
1978,19780255,IL,40,60,50,40,36,6,2,7,5,1,0,3,3,2,3,1
1978,19780256,IL,30,70,50,30,52,6,2,7,,1,0,4,3,3,3,
1978,19780257,AR,25,50,38,38,79,1,3,7,,1,0,2,3,3,3,1
1978,19780258,AR,97,97,97,50,30,2,3,,,1,1,1,1,1,2,0
1978,19780259,OH,50,50,50,50,24,3,3,5,3,1,0,2,3,3,2,1
1978,19780260,OH,50,70,60,40,48,1,3,5,1,1,1,3,3,3,3,1
1978,19780261,OK,50,50,50,50,27,5,2,3,3,1,0,3,3,3,3,1
1978,19780262,OK,70,30,50,70,53,5,2,2,3,1,0,1,3,2,3,1
1978,19780263,IL,50,50,50,50,34,4,1,4,4,1,0,1,3,1,2,
1978,19780264,IL,70,70,70,50,66,2,2,4,4,1,0,3,2,1,3,1
1978,19780265,IL,70,85,78,43,47,3,3,5,2,1,0,4,3,3,3,1
1978,19780266,SC,70,50,60,60,25,4,1,2,1,2,1,3,3,3,3,1
1978,19780267,SC,,,,,56,1,1,3,1,2,0,1,,,,
1978,19780268,SC,75,50,63,63,29,5,1,3,3,1,0,3,2,2,3,1
1978,19780269,SC,55,55,55,50,31,7,2,4,2,1,0,4,3,1,3,0
1978,19780270,FL,50,80,65,35,34,6,3,7,4,1,0,3,3,3,3,1
1978,19780271,TX,70,40,55,65,81,3,1,1,2,1,0,3,3,2,3,1
1978,19780272,WV,60,60,60,50,48,7,2,4,3,1,0,3,2,3,3,1
1978,19780273,MN,70,60,65,55,22,6,1,2,1,1,0,3,3,1,3,1
1978,19780274,MN,60,40,50,60,62,2,1,2,2,1,0,2,3,3,3,1
1978,19780275,MA,50,60,55,45,30,3,1,6,2,1,0,1,2,2,3,0
1978,19780276,MA,70,60,65,55,31,4,2,3,3,1,0,3,2,2,3,1
1978,19780277,FL,,,,,48,1,2,2,1,1,0,3,3,2,3,1
1978,19780278,FL,70,50,60,60,45,2,2,2,4,1,0,2,3,3,3,0
1978,19780279,FL,75,60,68,58,59,6,1,1,1,1,1,3,3,3,3,1
1978,19780280,WV,,,,,22,3,2,3,3,1,1,3,2,2,3,1
1978,19780281,TN,70,97,84,37,73,1,3,7,1,1,0,1,3,1,3,1
1978,19780282,TN,60,97,79,32,57,1,3,7,3,1,0,3,3,2,3,1
1978,19780283,TN,0,70,35,15,22,3,3,6,3,1,0,2,3,2,2,0
1978,19780284,PA,70,40,55,65,21,5,2,3,1,1,0,4,2,2,2,0
1978,19780285,PA,60,70,65,45,63,4,2,3,4,1,0,4,3,2,3,1
1978,19780286,IN,50,70,60,40,40,4,2,5,4,1,0,1,3,2,3,1
1978,19780287,IN,70,70,70,50,54,2,3,2,4,1,0,1,3,3,3,1
1978,19780288,TX,60,60,60,50,71,5,3,3,2,1,0,4,3,2,3,0
1978,19780289,OK,97,70,84,64,29,4,1,2,1,1,0,1,3,2,2,0
1978,19780290,KY,,,,,55,2,3,6,1,1,1,1,3,3,3,1
1978,19780291,KY,60,50,55,55,29,4,3,2,3,1,0,2,3,3,3,1
1978,19780292,MA,0,70,35,15,93,5,2,7,1,1,0,4,,3,3,1
1978,19780293,OH,60,0,30,80,75,5,3,3,2,1,0,4,3,3,3,1
1978,19780294,CT,50,60,55,45,34,4,2,5,4,1,0,2,3,2,2,1
1978,19780295,WY,50,85,68,33,64,6,3,7,4,1,0,4,3,2,3,1
1978,19780296,CT,40,50,45,45,44,3,1,6,4,1,0,3,3,2,2,0
1978,19780297,MN,50,50,50,50,54,1,1,5,3,1,0,2,2,2,2,0
1978,19780298,MN,60,40,50,60,18,4,1,6,1,1,0,2,2,2,3,0
1978,19780299,NC,45,90,68,28,19,5,3,7,1,1,0,3,3,2,2,1
1978,19780300,FL,97,70,84,64,49,1,2,2,1,1,0,2,3,2,3,0
1978,19780301,FL,90,60,75,65,60,5,2,2,3,1,0,4,2,3,3,1
1978,19780302,TX,70,50,60,60,30,2,1,2,3,1,0,2,3,2,3,1
1978,19780303,MI,80,60,70,60,66,2,2,3,,1,0,2,3,3,3,1
1978,19780304,MI,80,40,60,70,29,5,2,6,4,1,0,3,2,2,2,0
1978,19780305,NY,70,55,63,58,39,4,3,3,4,1,0,4,3,3,3,1
1978,19780306,NY,70,70,70,50,30,2,3,4,2,1,0,2,2,2,2,0
1978,19780307,NY,50,50,50,50,36,5,3,4,3,3,0,3,3,1,3,
1978,19780308,GA,85,40,63,73,28,4,1,1,3,2,0,3,3,2,2,1
1978,19780309,MI,50,50,50,50,57,3,2,3,5,1,0,1,3,3,3,1
1978,19780310,TX,70,70,70,50,47,3,1,2,2,1,0,4,2,3,3,1
1978,19780311,MD,60,60,60,50,72,2,2,1,3,1,0,4,3,3,3,1
1978,19780312,MD,5,6,6,50,77,3,2,5,1,1,0,4,3,3,3,1
1978,19780313,AL,97,85,91,56,34,1,1,2,2,1,0,4,3,3,3,0
1978,19780314,AL,65,65,65,50,54,5,1,2,,1,0,4,3,1,3,1
1978,19780315,CT,50,50,50,50,26,4,2,4,3,1,0,2,3,3,3,1
1978,19780316,MA,60,60,60,50,31,6,1,4,3,4,0,3,2,1,3,0
1978,19780317,CT,50,50,50,50,32,4,2,4,4,1,0,2,2,1,3,0
1978,19780318,IA,50,50,50,50,31,5,1,3,3,1,0,3,2,2,3,0
1978,19780319,AL,97,50,74,74,75,1,2,2,1,1,0,1,,,,0
1978,19780320,LA,80,60,70,60,43,5,2,2,4,1,0,3,2,1,3,1
1978,19780321,FL,,,,,54,2,3,7,1,2,0,2,1,,2,0
1978,19780322,AL,,,,,25,2,2,4,,1,0,1,2,,3,1
1978,19780323,AL,,,,,71,4,1,1,,2,0,1,,,2,1
1978,19780324,AL,,,,,22,6,1,4,4,1,0,4,2,2,2,
1978,19780325,CA,90,97,94,47,61,3,2,2,1,1,0,1,,1,2,0
1978,19780326,LA,50,50,50,50,32,5,2,6,3,1,0,4,3,3,3,1
1978,19780327,LA,50,70,60,40,37,6,2,2,5,1,0,4,2,2,3,1
1978,19780328,LA,50,50,50,50,51,4,2,2,3,1,0,3,2,1,3,1
1978,19780329,LA,,,,,39,2,2,2,3,3,0,1,,,,
1978,19780330,TX,85,40,63,73,49,6,1,2,4,1,0,4,3,3,3,1
1978,19780331,CT,,,,,28,5,1,6,4,1,0,1,3,2,2,
1978,19780332,OH,85,30,58,78,37,6,2,1,4,1,0,4,2,,3,0
1978,19780333,WI,97,0,49,99,51,2,1,1,3,1,0,3,3,2,3,1
1978,19780334,LA,50,50,50,50,52,6,2,5,5,1,0,1,4,1,3,
1978,19780335,LA,70,60,65,55,19,5,2,2,4,1,0,2,2,2,1,
1978,19780336,LA,60,50,55,55,43,7,2,2,5,1,0,3,2,2,2,
1978,19780337,MA,50,50,50,50,21,5,1,4,3,1,0,2,3,1,3,1
1978,19780338,MA,85,60,73,63,67,,1,2,1,1,0,2,3,3,3,1
1978,19780339,AR,50,50,50,50,24,3,3,6,2,1,0,1,3,2,3,1
1978,19780340,AR,85,70,78,58,20,3,3,3,1,2,0,2,3,2,2,0
1978,19780341,AR,85,85,85,50,71,1,3,2,1,1,0,3,2,3,3,1
