Species,Common,Page,Length,Nesttype,Location,No_eggs,Color,Incubate,Nestling,Totcare,Closed_
Protonotaria citrea,Prothonotary Warbler,500,14.0,cavity,snag,5.0,1,13.0,11.0,24.0,1
Vermivora pinus,Blue-winged Warbler,500,12.0,cup,ground,5.0,1,10.5,9.0,19.5,0
Dendroica virens,Black-throated Green Warbler,522,12.0,cup,conif,4.5,1,12.0,9.0,21.0,0
Dendroica striata,Blackpoll Warbler,530,13.0,cup,conif,4.5,1,12.0,11.5,23.5,0
Helmitheros vermivorus,Worm-eating Warbler,540,13.5,cup,ground,4.5,1,13.0,10.0,23.0,0
Icteria virens,Yellow-breasted Chat,548,18.0,cup,shrub,3.5,1,11.0,8.0,19.0,0
Myioborus pictus,Painted Redstart,550,14.0,cup,ground,3.5,1,13.5,11.0,24.5,0
Pheucticus ludovicianus,Rose-breasted Grosbeak,552,19.5,cup,decid,4.0,1,13.5,10.5,24.0,0
Cardinalis cardinalis,Northern Cardinal,554,21.0,cup,shrub,3.5,1,12.5,9.5,22.0,0
Pooecetes gramineus,Vesper Sparrow,572,15.0,cup,ground,3.5,1,12.0,9.0,21.0,0
Chondestes grammacus,Lark Sparrow,574,15.0,cup,ground,4.5,1,11.5,9.5,21.0,0
Melospiza melodia,Song Sparrow,576,14.5,cup,ground,3.5,1,13.0,10.5,23.5,0
Spizella arborea,American Tree Sparrow,584,15.5,cup,ground,12.5,1,12.5,9.0,21.5,0
Junco hyemalis,Dark-eyed Junco,590,15.5,cup,ground,4.0,1,12.5,11.0,23.5,0
Melospiza lincolnii,Lincoln's Sparrow,598,14.0,cup,ground,4.5,1,13.0,10.5,23.5,0
Melospiza georgiana,Swamp Sparrow,598,13.5,cup,shrub,4.5,1,13.5,12.0,25.5,0
Calarius ornatus,Chestnut-collared Longspur,600,15.0,cup,ground,4.0,1,11.5,11.5,23.0,0
Plectrophenax nivalis,Snow Bunting,604,17.0,crevice,ground,5.5,1,13.0,13.5,26.5,1
Calamospiza melanocorys,Lark Bunting,606,18.0,cup,ground,4.5,0,11.5,8.5,20.0,0
Dolichonyx oryzivorus,Bobolink,608,17.5,cup,ground,5.5,1,11.5,12.0,23.5,0
Agelaius phoeniceus,Red-winged Blackbird,612,21.0,cup,shrub,3.5,1,11.0,12.5,23.5,0
Piranga olivacea,Scarlet Tanager,628,18.0,saucer,decid,4.0,1,13.5,10.0,23.5,0
Passer domesticus,House Sparrow,632,15.0,cavity,building,5.0,1,11.5,15.5,27.0,1
Carduelis pinus,Pine Siskin,634,12.0,saucer,conif,3.5,1,13.0,14.5,27.5,0
Carduelis tristis,American Goldfinch,636,13.0,cup,shrub,5.0,0,11.0,14.0,25.0,0
Pinicola enucleator,Pine Grosbeak,640,22.5,cup,conif,4.0,1,14.0,15.5,29.5,0
Leucosticte arctoa,Rosy Finch,642,15.5,cup,ground,4.5,0,13.0,18.0,31.0,0
Carpodacus purpureus,Purple Finch,644,14.5,cup,conif,4.5,1,13.0,14.0,27.0,0
Carpodacus mexicanus,House Finch,646,13.5,cup,decid,4.5,1,13.0,15.0,28.0,0
