admit,gender,dept
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,B
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,C
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,D
admitted,male,E
admitted,male,E
admitted,male,E
admitted,male,E
admitted,male,E
admitted,male,E
admitted,male,E
admitted,male,E
admitted,male,E
admitted,male,E
admitted,male,E
admitted,male,E
admitted,male,E
admitted,male,E
admitted,male,E
admitted,male,E
admitted,male,E
admitted,male,E
admitted,male,E
admitted,male,E
admitted,male,E
admitted,male,E
admitted,male,E
admitted,male,E
admitted,male,E
admitted,male,E
admitted,male,E
admitted,male,E
admitted,male,E
admitted,male,E
admitted,male,E
admitted,male,E
admitted,male,E
admitted,male,E
admitted,male,E
admitted,male,E
admitted,male,E
admitted,male,E
admitted,male,E
admitted,male,E
admitted,male,E
admitted,male,E
admitted,male,E
admitted,male,E
admitted,male,E
admitted,male,E
admitted,male,E
admitted,male,E
admitted,male,E
admitted,male,E
admitted,male,E
admitted,male,E
admitted,male,E
admitted,male,F
admitted,male,F
admitted,male,F
admitted,male,F
admitted,male,F
admitted,male,F
admitted,male,F
admitted,male,F
admitted,male,F
admitted,male,F
admitted,male,F
admitted,male,F
admitted,male,F
admitted,male,F
admitted,male,F
admitted,male,F
admitted,male,F
admitted,male,F
admitted,male,F
admitted,male,F
admitted,male,F
admitted,male,F
admitted,female,A
admitted,female,A
admitted,female,A
admitted,female,A
admitted,female,A
admitted,female,A
admitted,female,A
admitted,female,A
admitted,female,A
admitted,female,A
admitted,female,A
admitted,female,A
admitted,female,A
admitted,female,A
admitted,female,A
admitted,female,A
admitted,female,A
admitted,female,A
admitted,female,A
admitted,female,A
admitted,female,A
admitted,female,A
admitted,female,A
admitted,female,A
admitted,female,A
admitted,female,A
admitted,female,A
admitted,female,A
admitted,female,A
admitted,female,A
admitted,female,A
admitted,female,A
admitted,female,A
admitted,female,A
admitted,female,A
admitted,female,A
admitted,female,A
admitted,female,A
admitted,female,A
admitted,female,A
admitted,female,A
admitted,female,A
admitted,female,A
admitted,female,A
admitted,female,A
admitted,female,A
admitted,female,A
admitted,female,A
admitted,female,A
admitted,female,A
admitted,female,A
admitted,female,A
admitted,female,A
admitted,female,A
admitted,female,A
admitted,female,A
admitted,female,A
admitted,female,A
admitted,female,A
admitted,female,A
admitted,female,A
admitted,female,A
admitted,female,A
admitted,female,A
admitted,female,A
admitted,female,A
admitted,female,A
admitted,female,A
admitted,female,A
admitted,female,A
admitted,female,A
admitted,female,A
admitted,female,A
admitted,female,A
admitted,female,A
admitted,female,A
admitted,female,A
admitted,female,A
admitted,female,A
admitted,female,A
admitted,female,A
admitted,female,A
admitted,female,A
admitted,female,A
admitted,female,A
admitted,female,A
admitted,female,A
admitted,female,A
admitted,female,A
admitted,female,B
admitted,female,B
admitted,female,B
admitted,female,B
admitted,female,B
admitted,female,B
admitted,female,B
admitted,female,B
admitted,female,B
admitted,female,B
admitted,female,B
admitted,female,B
admitted,female,B
admitted,female,B
admitted,female,B
admitted,female,B
admitted,female,B
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,C
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,D
admitted,female,E
admitted,female,E
admitted,female,E
admitted,female,E
admitted,female,E
admitted,female,E
admitted,female,E
admitted,female,E
admitted,female,E
admitted,female,E
admitted,female,E
admitted,female,E
admitted,female,E
admitted,female,E
admitted,female,E
admitted,female,E
admitted,female,E
admitted,female,E
admitted,female,E
admitted,female,E
admitted,female,E
admitted,female,E
admitted,female,E
admitted,female,E
admitted,female,E
admitted,female,E
admitted,female,E
admitted,female,E
admitted,female,E
admitted,female,E
admitted,female,E
admitted,female,E
admitted,female,E
admitted,female,E
admitted,female,E
admitted,female,E
admitted,female,E
admitted,female,E
admitted,female,E
admitted,female,E
admitted,female,E
admitted,female,E
admitted,female,E
admitted,female,E
admitted,female,E
admitted,female,E
admitted,female,E
admitted,female,E
admitted,female,E
admitted,female,E
admitted,female,E
admitted,female,E
admitted,female,E
admitted,female,E
admitted,female,E
admitted,female,E
admitted,female,E
admitted,female,E
admitted,female,E
admitted,female,E
admitted,female,E
admitted,female,E
admitted,female,E
admitted,female,E
admitted,female,E
admitted,female,E
admitted,female,E
admitted,female,E
admitted,female,E
admitted,female,E
admitted,female,E
admitted,female,E
admitted,female,E
admitted,female,E
admitted,female,E
admitted,female,E
admitted,female,E
admitted,female,E
admitted,female,E
admitted,female,E
admitted,female,E
admitted,female,E
admitted,female,E
admitted,female,E
admitted,female,E
admitted,female,E
admitted,female,E
admitted,female,E
admitted,female,E
admitted,female,E
admitted,female,E
admitted,female,E
admitted,female,E
admitted,female,E
admitted,female,F
admitted,female,F
admitted,female,F
admitted,female,F
admitted,female,F
admitted,female,F
admitted,female,F
admitted,female,F
admitted,female,F
admitted,female,F
admitted,female,F
admitted,female,F
admitted,female,F
admitted,female,F
admitted,female,F
admitted,female,F
