Country,Salary,YearsCodedJob,OpenSource,Hobby,CompanySizeNumber,Remote,CareerSatisfaction,Data_scientist,Database_administrator,Desktop_applications_developer,Developer_with_stats_math_background,DevOps,Embedded_developer,Graphic_designer,Graphics_programming,Machine_learning_specialist,Mobile_developer,Quality_assurance_engineer,Systems_administrator,Web_developer
India,9396.56438114814,4,0,1,10000,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,135000.0,7,0,1,500,Not remote,9,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,77000.0,7,0,1,20,Not remote,4,0,0,1,1,0,0,0,0,0,0,0,0,0
United States,105000.0,2,0,1,5000,Not remote,9,0,0,0,0,0,0,0,0,0,0,1,0,0
United States,62000.0,6,0,1,100,Not remote,8,0,0,1,0,0,0,0,0,0,0,0,0,0
United States,150000.0,18,1,1,5000,Not remote,9,0,0,1,0,0,0,0,0,0,0,0,0,1
United States,65000.0,5,0,0,1000,Not remote,9,0,1,0,0,0,0,0,0,0,0,0,0,1
United States,115000.0,20,1,1,100,Remote,9,0,0,1,0,0,0,0,0,0,1,0,0,1
Canada,40909.0909090909,5,0,1,100,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,125000.0,7,1,1,10,Remote,9,0,0,0,0,0,0,0,0,0,1,0,0,1
United States,95000.0,20,0,1,20,Not remote,9,0,0,0,0,0,1,0,0,0,0,0,0,0
United States,88000.0,8,1,1,20,Remote,8,0,0,0,0,0,0,1,0,0,0,0,0,1
United States,117250.0,20,1,1,20,Not remote,8,0,0,0,0,0,0,0,0,0,1,0,0,1
United States,155000.0,12,1,1,100,Not remote,7,0,0,0,0,0,0,0,0,0,1,0,0,0
Canada,63636.3636363636,5,0,0,10,Not remote,5,0,0,0,0,0,0,0,0,0,1,0,1,1
United States,95000.0,8,1,1,20,Not remote,5,0,0,1,1,1,1,0,0,1,0,0,1,0
United States,85000.0,12,1,1,10,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,62000.0,4,0,0,1,Not remote,8,0,0,1,0,0,0,0,0,0,0,0,0,1
United States,160000.0,19,0,1,20,Not remote,7,0,0,1,0,0,0,0,0,0,0,0,0,1
United States,93000.0,12,0,0,20,Not remote,8,0,0,1,0,0,0,0,0,0,0,0,0,0
United States,95000.0,3,1,0,100,Not remote,7,0,0,0,0,1,0,0,0,0,0,0,0,0
Canada,49242.4242424242,4,1,1,100,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,1,1
United States,100000.0,20,1,1,10000,Not remote,8,0,0,1,0,0,0,0,0,0,0,0,1,1
United States,107000.0,13,0,1,10000,Not remote,7,0,1,1,1,0,0,0,0,0,1,0,0,1
India,2114.22698575833,2,0,1,10,Not remote,9,0,0,0,0,0,0,0,0,0,0,0,0,1
Germany,35483.8709677419,3,0,1,1000,Not remote,9,0,0,0,0,1,0,0,0,0,0,0,1,1
India,11011.598884158,2,1,1,10000,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,116000.0,9,0,1,10000,Not remote,9,0,0,0,0,0,0,0,0,0,0,0,0,1
Germany,49677.4193548387,4,0,1,1000,Not remote,5,0,0,0,0,0,1,0,0,0,0,0,0,0
United States,72000.0,3,0,1,10000,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,178000.0,16,0,0,10000,Remote,7,0,1,0,0,0,0,0,0,0,0,0,0,0
United States,111000.0,8,0,1,10000,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,1
Germany,63440.8602150538,6,0,1,20,Remote,9,1,0,0,1,0,0,0,0,1,0,0,0,0
United States,90000.0,1,0,1,1000,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,90000.0,5,0,1,1000,Not remote,10,0,1,1,0,0,1,0,0,0,0,0,0,1
United States,100000.0,13,0,0,20,Not remote,8,0,0,1,0,0,1,0,1,0,1,0,0,0
Canada,90909.0909090909,20,0,1,100,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,0
United States,94000.0,5,1,0,10000,Not remote,9,1,0,1,0,0,0,0,0,0,0,0,0,0
United States,90000.0,19,1,1,100,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,0
United States,150000.0,9,1,1,500,Not remote,10,0,0,0,0,0,0,0,0,0,0,0,0,1
United Kingdom,60000.0,7,0,1,10,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
Canada,41893.9393939394,3,0,1,20,Not remote,8,0,1,1,0,0,0,0,0,0,1,0,1,1
United States,135000.0,9,1,1,100,Not remote,8,0,0,0,0,1,0,0,0,0,0,0,0,1
United States,143000.0,5,1,1,100,Not remote,5,0,0,1,1,0,1,0,0,0,0,0,1,1
United States,143000.0,7,1,1,100,Not remote,9,0,0,0,0,1,0,0,0,0,0,1,1,1
Canada,83333.3333333333,14,0,1,1000,Not remote,8,0,0,1,0,0,0,0,0,0,1,0,0,1
Germany,26881.7204301075,8,0,0,10,Not remote,5,0,0,1,0,0,0,0,0,0,0,0,0,0
United States,66000.0,4,0,1,5000,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,133000.0,5,0,1,10000,Not remote,10,1,0,0,0,0,0,0,0,1,0,0,0,0
Canada,63636.3636363636,4,1,1,100,Not remote,8,0,0,0,0,0,1,0,0,0,0,0,1,1
Germany,64516.1290322581,16,0,1,100,Not remote,8,0,1,1,0,0,0,0,0,0,0,0,1,0
United Kingdom,43350.0,4,0,0,20,Not remote,3,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,150000.0,6,0,1,100,Not remote,9,0,0,0,0,0,1,0,0,0,0,0,0,0
United States,90000.0,4,0,1,20,Not remote,8,1,0,1,1,0,0,0,1,1,0,0,0,0
United States,147000.0,20,0,1,10,Not remote,9,0,0,0,0,0,0,0,0,0,0,0,0,1
Canada,37878.7878787879,3,1,1,10,Not remote,7,0,0,1,0,0,1,0,0,1,0,0,0,1
Canada,31818.1818181818,1,0,1,10,Not remote,4,0,1,0,0,0,0,0,0,0,0,0,1,1
United States,160000.0,20,0,1,20,Not remote,6,0,0,0,1,1,0,0,0,0,0,0,1,1
United States,97000.0,17,0,1,100,Not remote,9,0,0,1,0,0,0,0,0,0,0,0,0,1
United States,95000.0,4,0,1,20,Not remote,10,0,0,1,0,0,0,0,0,0,0,0,0,0
United States,54000.0,1,0,1,5000,Not remote,10,0,0,0,0,0,0,0,0,0,1,0,0,1
United States,119000.0,8,0,1,10,Remote,10,1,0,0,1,0,0,0,0,1,0,0,0,1
United States,135000.0,5,0,1,10000,Not remote,7,0,0,0,0,1,0,0,0,0,0,0,0,1
United States,82000.0,3,0,1,100,Not remote,10,0,0,1,0,0,0,0,0,0,0,0,0,1
United States,47000.0,1,0,1,10000,Not remote,9,0,0,0,0,0,0,0,0,0,1,0,0,1
United States,133000.0,20,1,1,100,Remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,40000.0,1,0,0,500,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,84000.0,15,1,1,20,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
United Kingdom,87500.0,12,0,1,20,Not remote,6,0,0,0,0,0,0,0,0,0,0,0,0,0
United States,115000.0,4,1,0,10,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
Germany,69892.4731182796,15,0,0,10000,Not remote,10,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,85000.0,12,0,1,10000,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,170000.0,20,0,1,1000,Not remote,10,0,0,1,0,0,0,0,0,0,0,1,0,0
United States,150000.0,20,1,1,500,Not remote,9,0,0,0,0,1,0,0,0,0,0,0,0,0
United States,130000.0,4,0,1,100,Not remote,10,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,65000.0,3,0,1,10000,Not remote,4,0,0,1,0,0,0,0,0,0,0,0,0,1
Germany,77419.3548387097,20,1,0,100,Not remote,8,0,0,0,0,1,0,0,0,0,0,0,0,1
United States,135000.0,13,0,1,100,Not remote,9,0,1,1,1,1,1,0,0,1,0,0,1,1
Canada,58522.7272727273,6,1,1,100,Not remote,9,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,174000.0,8,0,1,100,Not remote,9,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,125000.0,9,0,1,20,Not remote,8,0,0,1,0,0,0,1,0,0,1,0,0,1
United States,139000.0,11,1,1,10,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,40000.0,1,0,1,20,Not remote,9,1,0,1,0,0,0,0,0,0,0,0,0,0
United States,78000.0,5,0,0,500,Not remote,7,0,0,1,0,0,0,0,0,0,0,0,0,1
United States,95000.0,3,1,1,20,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,80000.0,13,0,1,100,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,73736.0,16,0,1,20,Not remote,5,0,1,0,1,0,0,0,0,0,0,0,1,1
United Kingdom,59375.0,8,0,0,20,Not remote,8,0,1,1,1,1,0,0,0,0,0,0,0,1
United States,130000.0,7,1,0,10000,Not remote,8,0,0,1,0,0,0,0,0,0,1,0,0,1
United States,110000.0,14,0,1,100,Remote,10,0,0,0,0,0,0,0,0,0,0,0,0,1
India,16150.3450300984,3,0,0,1,Not remote,7,0,0,0,0,0,0,0,0,0,1,0,0,1
United States,145000.0,20,1,1,10000,Not remote,8,0,0,0,0,1,0,0,0,0,0,0,0,1
United Kingdom,51250.0,20,0,0,20,Not remote,6,0,1,1,0,1,0,0,0,0,0,0,1,1
United Kingdom,55000.0,1,1,1,100,Not remote,0,0,0,0,1,0,0,0,0,0,1,0,0,0
United States,62000.0,2,0,1,1,Not remote,10,0,0,1,0,0,1,0,0,0,0,0,0,0
United Kingdom,156250.0,20,0,1,10000,Not remote,6,0,0,0,1,0,0,0,0,0,0,0,0,0
United States,150000.0,12,1,1,20,Not remote,8,0,1,1,0,0,0,1,0,0,0,0,1,1
Canada,43939.3939393939,20,0,1,20,Not remote,8,0,1,1,1,1,0,0,0,0,0,1,1,1
United States,91000.0,11,0,1,500,Not remote,6,0,1,1,1,1,0,0,0,0,1,0,1,0
United States,59000.0,3,0,0,500,Not remote,6,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,75000.0,4,1,1,1000,Not remote,8,0,0,1,0,0,0,0,0,0,0,0,0,1
Canada,58333.3333333333,6,1,1,100,Not remote,7,0,0,1,0,0,0,0,0,0,1,0,0,1
Canada,75757.5757575758,2,0,1,20,Not remote,8,1,1,0,1,0,0,0,0,0,0,0,0,0
United States,130000.0,12,0,1,10,Not remote,8,0,1,1,0,1,0,0,0,0,0,0,1,1
United Kingdom,63750.0,8,1,0,100,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,75000.0,9,1,1,100,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
Germany,54838.7096774193,16,0,1,1,Not remote,6,0,0,1,0,0,1,0,0,0,0,0,0,0
United States,160000.0,18,1,0,20,Not remote,9,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,150000.0,10,1,1,10000,Not remote,8,0,0,1,0,0,0,0,0,0,0,0,0,1
United Kingdom,46875.0,3,0,1,100,Not remote,9,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,85000.0,9,1,1,1,Not remote,8,0,1,0,0,1,0,0,0,0,0,0,0,1
United States,95000.0,20,1,1,10000,Not remote,7,0,0,1,0,0,0,0,0,0,0,0,0,0
United Kingdom,52500.0,7,1,1,500,Not remote,7,0,0,1,0,0,0,0,0,0,0,0,0,1
United States,130000.0,20,0,1,20,Remote,9,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,130000.0,20,1,1,5000,Not remote,9,0,0,0,1,0,0,0,0,0,0,0,0,1
United States,64000.0,3,0,0,10,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,72500.0,1,1,0,20,Not remote,10,0,0,1,0,0,0,0,0,0,0,0,0,0
United States,125000.0,7,0,1,10000,Not remote,8,0,1,1,0,0,0,1,0,0,1,0,0,1
United Kingdom,54375.0,15,1,1,20,Remote,6,0,1,1,0,0,0,0,0,0,0,0,1,1
United States,30000.0,3,1,1,500,Not remote,10,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,45161.2903225806,2,0,1,10,Not remote,8,0,0,1,0,0,0,0,1,0,1,0,0,0
Canada,43181.8181818182,3,0,1,1000,Not remote,8,0,1,1,0,0,0,1,1,0,1,0,1,1
United States,104200.0,12,0,1,10000,Not remote,9,0,1,1,0,0,0,0,0,0,1,0,0,1
United Kingdom,51250.0,5,0,0,10000,Not remote,10,0,0,0,0,1,0,0,0,0,0,0,0,1
Canada,50000.0,10,0,1,20,Not remote,6,0,1,1,0,1,0,0,0,0,0,0,0,0
United States,150000.0,10,1,1,100,Not remote,9,0,0,1,0,1,0,0,0,0,0,0,1,1
United States,109000.0,1,0,1,10000,Not remote,10,0,0,1,0,1,0,0,0,0,0,0,0,0
United States,76000.0,7,0,1,10000,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,42000.0,13,1,1,5000,Not remote,8,0,1,0,0,0,0,1,0,0,0,1,1,1
Germany,64516.1290322581,16,0,1,10000,Not remote,8,0,0,0,0,1,0,0,0,0,0,0,0,1
United States,85000.0,2,0,1,10,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,160000.0,20,0,1,1000,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,0
United States,96000.0,9,1,1,10000,Not remote,8,0,0,0,0,1,0,0,0,0,0,0,0,1
United Kingdom,56250.0,7,0,1,100,Not remote,8,0,0,0,0,0,0,0,0,0,1,0,0,1
United States,80000.0,2,1,1,10000,Not remote,7,0,0,0,0,1,0,0,0,0,0,0,0,1
United States,82500.0,2,0,1,100,Not remote,9,0,0,0,0,0,0,0,0,0,0,0,0,1
United Kingdom,100000.0,20,1,1,1,Not remote,9,0,0,0,1,1,0,0,0,0,1,0,0,1
United States,115000.0,11,1,1,1,Remote,8,0,0,1,0,0,0,0,0,0,0,0,0,1
United States,65000.0,5,0,0,100,Not remote,4,1,1,0,0,0,0,0,0,0,0,0,0,1
United States,105000.0,9,0,1,1000,Not remote,10,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,52500.0,9,0,1,20,Not remote,8,0,0,1,0,0,0,0,0,0,0,0,0,0
United States,64000.0,6,0,1,1000,Not remote,8,0,1,0,0,0,1,0,0,0,0,0,0,1
United Kingdom,45000.0,11,1,1,100,Not remote,8,0,1,1,0,1,0,0,0,0,0,0,0,1
Canada,54545.4545454545,10,0,0,20,Not remote,9,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,131000.0,9,1,1,100,Remote,10,0,0,0,1,0,0,0,0,0,0,0,0,1
United Kingdom,76250.0,9,0,0,10000,Not remote,8,0,0,0,1,0,0,0,0,0,0,0,0,0
Germany,60215.0537634409,19,0,1,500,Remote,7,0,0,1,0,0,0,0,0,0,0,0,0,0
United States,122000.0,19,1,0,20,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
India,13213.9186609896,1,1,1,1,Not remote,9,0,0,0,0,0,0,0,0,0,1,0,0,1
United States,73500.0,1,0,1,10000,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,1
India,14682.131845544,3,1,0,20,Not remote,6,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,87000.0,5,0,1,10000,Remote,7,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,57000.0,1,0,0,20,Remote,9,0,0,0,0,0,0,0,0,0,0,0,0,1
United Kingdom,45500.0,4,0,1,10000,Not remote,6,0,0,0,0,0,0,0,0,0,0,0,0,1
United Kingdom,87500.0,10,1,0,10000,Not remote,7,0,0,0,0,1,1,0,0,0,0,0,0,0
United States,60000.0,3,0,0,10,Not remote,7,0,0,1,0,0,0,0,0,0,0,0,0,0
United Kingdom,80000.0,6,0,0,500,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,110000.0,9,1,1,1000,Not remote,7,0,1,0,0,0,0,0,0,0,1,0,1,1
United States,79000.0,10,0,0,10000,Remote,10,0,0,1,0,0,0,0,0,0,0,0,0,1
United States,173000.0,20,0,1,10000,Not remote,10,0,0,0,0,0,1,0,0,0,0,0,0,0
United States,45600.0,1,1,1,10,Not remote,4,0,0,0,0,0,0,0,0,0,0,0,0,1
United Kingdom,65312.5,14,0,1,10000,Not remote,6,0,0,0,0,0,0,0,0,0,0,0,0,1
Germany,43010.752688172,4,1,1,20,Not remote,8,0,1,0,0,1,0,0,0,0,0,0,0,1
United States,43500.0,2,0,1,10,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,1
India,8809.27910732638,1,1,1,100,Not remote,8,0,0,0,0,1,0,0,0,0,0,0,1,1
United States,72000.0,2,0,0,500,Not remote,7,0,1,1,0,0,0,0,0,0,0,0,0,1
United Kingdom,75000.0,8,0,1,100,Not remote,6,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,70000.0,2,0,1,5000,Not remote,10,0,0,1,0,0,0,0,0,0,0,1,0,0
United States,125000.0,3,1,1,10000,Not remote,9,0,0,0,0,1,0,0,0,1,1,0,1,1
United Kingdom,90000.0,9,0,0,500,Not remote,7,0,1,1,0,0,0,0,0,0,0,0,0,0
United States,101000.0,5,0,1,20,Not remote,5,0,0,1,1,0,0,0,0,1,0,0,0,0
United States,195000.0,20,1,1,10000,Remote,8,0,0,0,1,0,1,0,0,0,0,0,0,1
United States,110000.0,5,0,1,1000,Remote,6,0,0,0,0,0,0,0,0,0,0,0,0,1
United Kingdom,37500.0,6,0,0,1,Not remote,7,0,1,0,0,0,0,0,0,0,0,0,1,1
United Kingdom,41250.0,3,0,1,100,Not remote,7,0,0,1,0,0,0,0,0,0,0,0,0,0
United Kingdom,55000.0,5,1,1,1000,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,85000.0,4,1,1,10,Not remote,7,0,1,0,0,0,0,0,0,0,0,0,0,1
United States,78000.0,10,0,0,20,Not remote,10,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,80000.0,20,0,1,1000,Not remote,8,0,0,1,0,0,0,0,0,0,0,0,0,0
United Kingdom,31250.0,2,0,1,20,Not remote,7,0,1,0,0,0,0,0,0,0,0,0,0,1
United Kingdom,75000.0,8,1,1,5000,Not remote,10,0,0,1,0,1,0,0,0,0,0,0,0,1
Canada,45305.303030303,2,0,1,20,Not remote,10,0,1,1,1,0,0,0,0,0,0,0,0,1
United States,92500.0,7,0,1,500,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
United Kingdom,53750.0,20,0,1,20,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,57500.0,2,0,0,5000,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
