LateSept,LateApril,BillApril,AGE
true,false,-0.002,29
true,false,47.969,29
false,false,103.263,27
false,false,8.085,24
false,false,6.173,28
false,false,100.738,32
true,false,37.056,43
false,false,0.325,41
true,false,30.225,34
false,false,7.416,55
true,true,109.428,40
true,false,16.893,37
false,false,12.685,40
true,false,31.857,28
true,false,78.388,43
false,false,18.868,27
false,false,160.361,28
false,false,159.108,30
false,false,0.0,31
false,false,29.17,31
false,false,0.83,34
false,false,0.0,30
false,false,0.978,36
false,true,24.248,29
false,false,1.005,39
false,false,106.517,26
false,false,1.654,29
false,false,3.98,26
false,false,41.145,29
false,false,142.174,31
false,false,19.844,26
false,false,23.101,26
true,false,1.386,36
true,false,0.0,30
false,false,19.414,43
true,true,18.856,58
false,false,31.127,45
false,false,103.36,26
false,false,169.121,34
false,false,84.462,24
false,false,0.291,34
true,false,419.643,23
false,false,74.61,30
true,false,25.775,32
true,false,0.216,40
false,false,0.613,35
true,false,8.676,56
false,false,24.774,61
false,false,2.132,24
true,false,0.0,40
true,false,10.985,32
true,false,0.0,36
false,false,21.712,30
false,true,48.767,34
false,false,25.943,54
false,false,178.719,46
false,false,22.437,58
true,true,24.242,43
false,false,3.745,28
false,false,49.888,30
false,false,12.487,31
false,false,75.355,29
true,false,2.415,37
false,false,88.45,36
false,false,5.889,28
false,false,0.0,25
false,false,240.176,42
true,false,0.0,29
false,true,75.018,73
false,false,157.759,43
false,false,0.291,30
true,false,0.0,38
true,false,33.316,39
false,false,71.62,44
false,false,21.085,29
false,false,0.0,51
false,false,142.62,27
false,false,28.947,38
false,false,0.632,22
false,false,74.125,30
true,true,117.167,25
false,false,184.922,29
false,false,29.064,42
false,true,0.822,41
false,false,26.179,48
true,true,153.8,29
false,false,82.15,52
false,false,0.0,25
true,false,303.51,37
false,false,66.541,27
false,false,167.983,31
true,true,32.965,23
false,false,-0.15,38
true,false,3.404,32
true,false,5.068,27
false,false,22.593,41
false,false,0.0,35
false,false,0.16,31
false,true,18.99,30
false,false,19.548,48
true,false,0.0,36
true,true,29.371,24
false,false,151.936,29
false,false,0.0,38
true,false,105.253,38
false,false,190.306,30
false,false,0.0,32
true,false,16.414,49
false,false,0.199,31
false,false,29.795,27
false,false,66.167,33
false,false,77.648,25
false,false,281.826,27
false,false,53.206,29
false,false,167.964,36
false,false,0.0,55
true,true,221.413,32
false,false,0.15,27
false,false,60.145,37
false,false,20.859,25
false,false,47.11,23
false,false,12.584,23
false,true,89.522,32
true,false,2.995,26
false,false,124.793,27
false,false,198.857,44
false,false,15.602,34
false,false,83.988,28
false,false,1.599,53
false,false,0.0,42
false,false,58.88,30
true,false,0.0,51
true,false,434.715,53
false,false,131.074,37
false,false,0.871,26
false,false,48.443,42
false,false,5.315,39
true,true,75.82,39
false,false,0.0,32
false,false,9.13,41
false,false,6.4,48
false,false,126.219,38
false,false,7.868,36
false,false,1.448,26
false,false,96.116,28
true,false,0.15,56
false,false,191.671,59
false,false,165.3,38
false,false,19.831,32
false,false,51.481,38
false,false,0.67,41
false,false,263.018,35
false,false,155.182,41
false,false,1.382,34
true,true,35.002,38
false,false,5.93,32
false,false,23.159,29
false,false,29.638,44
false,false,50.809,37
false,false,0.45,38
false,false,0.0,31
false,true,0.919,40
false,true,130.271,26
false,true,4.162,28
true,true,59.378,48
false,false,2.562,43
false,false,117.465,31
false,false,6.992,42
false,false,95.323,39
false,false,0.396,36
false,false,2.514,34
false,false,0.0,32
true,false,19.633,43
false,false,69.174,30
false,false,0.0,28
false,false,10.49,28
false,false,0.32,41
false,false,198.717,47
false,false,19.664,23
false,false,1.639,49
false,false,19.933,38
false,true,24.576,38
true,true,30.548,35
false,false,193.351,46
false,false,0.0,33
false,false,0.0,53
false,false,1.22,35
false,false,0.2,43
false,true,34.661,28
false,true,5.515,30
false,false,0.0,26
false,true,0.39,31
false,false,0.24,35
false,false,50.537,28
true,true,33.081,23
false,false,13.246,23
false,false,80.335,56
false,false,71.284,32
false,false,19.439,47
true,false,9.984,22
false,false,115.297,34
false,false,19.818,31
true,false,61.42,27
false,false,125.557,28
false,false,66.735,42
false,false,74.827,32
false,false,2.891,27
true,true,20.241,27
true,false,170.894,45
true,false,2.6,26
false,false,0.0,21
false,false,19.575,23
false,false,18.302,30
false,false,6.785,46
true,true,62.524,50
false,false,0.0,26
false,false,6.2,25
false,false,179.221,35
false,false,46.775,44
false,false,0.0,52
true,true,101.213,40
false,false,0.27,38
true,false,0.318,28
true,false,28.805,36
false,false,29.427,24
false,false,2.142,34
false,false,51.941,31
true,false,-0.2,41
false,false,0.0,25
false,false,20.539,28
false,false,31.214,27
false,false,7.638,52
false,false,0.554,41
false,false,29.977,56
true,false,0.0,42
false,false,37.255,24
false,false,0.0,47
false,false,0.199,33
false,true,83.206,32
false,false,0.0,29
false,false,65.163,53
false,false,14.923,34
false,false,-0.003,52
false,false,3.64,42
false,false,66.078,38
true,true,2.698,45
false,false,11.082,35
false,false,23.387,24
false,false,6.22,28
false,false,19.567,26
false,false,0.0,40
true,false,0.0,29
false,false,19.013,23
false,false,4.532,33
false,false,1.009,60
false,false,7.601,49
true,false,238.266,53
false,false,48.888,28
false,false,4.085,31
false,false,6.98,36
false,false,0.0,35
true,false,0.0,28
false,false,38.449,33
false,false,9.528,26
false,false,54.022,53
false,false,0.0,42
false,true,17.618,25
true,false,0.0,43
false,false,1.99,25
false,false,47.455,29
false,false,18.659,31
false,false,51.522,30
false,false,87.526,34
false,false,9.011,35
false,false,38.052,32
false,false,62.213,46
false,false,134.309,43
false,false,250.244,29
true,false,0.0,31
true,false,57.264,24
false,false,65.373,36
false,false,25.514,43
false,false,1.32,59
false,false,12.93,53
true,true,29.93,28
true,false,0.0,31
true,true,24.549,34
false,false,0.0,36
false,false,33.189,24
false,false,3.0,36
false,false,0.39,34
false,false,33.15,43
false,false,2.65,29
false,false,44.573,37
true,false,29.551,23
true,true,125.478,37
false,false,3.323,33
true,false,0.0,37
false,false,101.151,56
false,false,39.14,25
false,false,70.718,39
false,false,31.561,39
false,false,0.61,28
false,false,0.0,27
true,false,0.541,37
false,false,0.0,24
false,false,15.829,24
false,false,49.946,46
false,false,0.66,39
false,false,29.693,48
false,false,9.921,45
false,false,0.0,49
false,true,33.138,23
false,false,0.0,25
false,false,0.0,47
false,false,23.468,56
false,false,0.0,44
false,false,4.756,49
false,false,18.805,41
false,false,173.599,40
false,false,51.461,31
false,false,147.911,42
false,false,0.0,28
false,false,65.576,32
false,false,51.434,28
false,false,21.251,31
true,false,0.0,39
true,false,0.0,31
false,false,58.39,24
true,true,195.874,44
true,true,18.148,46
false,false,-0.2,32
false,false,14.497,26
false,false,19.547,22
true,false,0.0,42
false,false,6.857,33
false,false,3.526,39
false,false,0.0,27
false,false,34.412,28
false,false,1.46,23
false,false,1.047,28
false,false,7.957,33
false,false,0.0,40
false,false,0.51,37
false,false,0.39,22
false,true,30.456,32
false,false,100.124,43
false,true,59.48,27
false,false,26.918,35
true,true,101.492,35
true,false,7.598,30
true,true,36.904,34
false,false,17.113,34
true,false,79.261,28
true,true,1.8,25
false,false,105.859,41
true,true,28.306,42
true,true,169.928,40
false,false,156.323,28
false,false,2.508,31
false,false,7.024,56
false,false,22.158,45
false,false,0.0,29
false,false,0.0,35
false,false,57.17,28
false,false,235.837,40
false,false,4.125,47
false,false,0.643,41
false,false,171.863,27
false,false,136.287,40
false,false,42.527,32
false,false,2.129,35
false,false,0.0,27
true,false,125.021,29
false,true,59.329,30
false,false,2.967,37
false,false,0.0,29
false,false,7.57,34
false,false,0.0,34
false,false,13.969,41
false,false,0.561,31
false,false,0.0,40
false,false,8.588,27
false,false,0.0,22
true,false,37.615,30
true,true,26.357,22
false,false,19.06,26
true,false,50.616,38
true,true,14.673,46
false,false,1.32,24
false,false,10.0,49
false,false,18.088,49
false,false,46.254,42
true,false,0.0,30
true,false,4.75,42
false,false,2.174,31
false,false,29.645,49
false,false,87.049,27
false,false,0.0,33
true,false,0.0,35
false,false,27.236,48
false,false,30.52,22
false,false,5.033,22
true,false,3.333,27
false,false,0.316,47
false,true,31.401,34
false,false,10.192,45
false,false,0.998,39
false,false,0.113,33
false,false,49.88,29
false,true,1.023,29
false,false,7.666,26
false,false,168.802,38
true,false,-0.018,34
false,false,0.0,37
false,false,30.9,57
false,false,18.659,50
false,false,96.704,28
false,false,105.965,31
false,false,84.011,25
true,false,23.718,25
false,false,84.237,33
false,false,0.0,30
false,false,55.744,51
false,false,40.15,51
false,false,12.532,46
false,false,34.434,38
false,false,16.826,34
false,false,191.069,34
true,false,0.78,31
true,true,34.365,25
true,false,5.176,26
true,false,73.568,25
false,false,20.041,26
false,false,11.59,43
false,false,2.1,36
false,false,51.083,58
false,false,20.047,26
true,false,12.663,30
false,false,64.507,31
false,false,30.528,24
true,true,18.711,52
false,false,0.0,24
false,false,85.962,35
false,false,0.0,29
false,false,233.71,33
false,false,1.116,35
false,false,40.434,35
false,false,8.114,28
false,false,0.612,40
false,false,0.0,35
false,false,8.123,53
false,false,0.466,44
false,false,10.101,33
false,false,117.949,32
false,false,0.0,33
true,false,37.993,26
false,false,3.393,26
false,false,1.32,26
true,false,2.312,32
true,true,32.851,31
false,false,34.672,29
false,false,1.085,27
true,true,87.096,28
true,false,0.0,42
false,false,76.645,32
true,false,0.0,26
false,false,0.0,38
false,false,32.519,35
false,false,4.129,29
false,false,0.0,29
true,false,27.249,51
true,false,1.096,27
false,false,-0.281,32
true,false,2.124,40
false,false,20.329,34
false,false,80.347,30
false,false,0.0,29
false,false,0.0,22
true,false,18.147,48
false,false,28.012,35
false,false,3.058,37
true,false,16.314,25
false,false,11.104,44
false,false,0.0,28
false,false,0.0,29
false,false,65.755,36
true,false,3.703,23
false,true,19.953,36
false,true,35.171,26
false,false,28.021,37
false,false,0.0,44
false,false,61.707,39
true,false,0.0,24
false,false,6.138,29
true,true,72.215,33
false,false,108.143,39
true,false,47.245,51
false,true,6.204,24
false,false,3.795,45
false,false,18.848,30
false,false,0.39,51
true,false,26.85,24
false,false,63.156,50
false,false,19.705,22
false,false,12.413,27
true,false,0.0,33
true,true,28.607,24
false,true,5.923,37
false,false,1.5,58
false,false,9.693,48
false,false,0.0,28
true,true,21.162,24
false,false,90.717,27
false,false,0.0,30
false,false,0.0,23
false,false,3.245,53
true,true,25.476,23
false,false,18.828,55
false,false,103.2,34
true,false,0.0,43
true,false,27.109,22
false,false,39.965,31
false,false,6.804,32
true,false,0.15,33
false,false,367.399,39
false,false,8.452,38
false,false,1.815,34
true,false,29.789,42
true,false,143.131,37
false,false,15.0,57
false,true,44.059,23
true,false,22.428,32
false,false,0.0,37
false,false,44.614,23
false,false,0.0,49
false,false,7.3,25
false,true,34.487,29
true,true,53.176,43
false,false,129.669,29
false,false,6.321,27
false,false,0.0,26
false,false,46.199,41
true,true,2.45,52
false,false,8.703,31
false,false,49.666,32
false,false,27.409,46
false,false,0.0,35
false,false,0.0,35
false,false,78.4,39
false,false,305.498,34
false,false,17.664,52
false,false,43.108,40
false,false,0.189,38
false,false,1.89,45
false,false,0.39,40
false,true,29.818,25
false,false,68.837,33
false,false,9.53,27
false,false,10.757,43
true,true,18.844,43
false,false,5.318,30
true,false,0.0,49
false,false,133.504,38
false,false,29.647,57
false,false,29.878,55
false,false,59.141,23
false,false,-0.304,30
false,false,2.549,30
false,true,14.422,24
false,false,38.555,28
false,false,0.377,34
true,false,12.284,37
false,false,0.0,32
false,false,96.073,27
false,false,0.0,37
false,false,0.1,31
true,true,101.577,55
true,true,145.012,28
false,false,14.184,51
false,false,0.0,36
false,false,0.0,30
false,false,0.0,36
false,false,34.608,25
false,false,0.0,50
true,true,63.293,40
false,true,29.086,27
true,true,2.699,30
false,false,0.0,26
false,false,0.0,27
false,false,46.153,27
true,false,88.813,25
false,false,253.671,32
false,false,77.169,46
false,false,0.0,45
false,false,23.404,30
false,false,3.983,39
false,false,33.827,48
true,false,0.0,32
false,false,352.257,46
false,false,43.744,23
true,false,2.5,33
false,false,32.555,24
false,false,31.352,40
false,false,0.716,24
false,false,0.0,24
false,false,13.08,27
false,false,8.49,46
false,false,20.303,22
false,false,17.795,36
false,false,1.143,34
false,false,56.728,24
false,false,4.317,60
true,false,0.0,29
true,true,12.566,32
false,false,10.776,36
false,false,0.0,30
false,false,57.398,29
true,false,1.711,34
true,false,23.389,32
false,false,11.193,32
false,true,19.63,25
false,false,1.261,44
false,false,1.013,37
true,true,0.3,24
false,false,1.1,23
false,false,3.508,29
false,false,191.816,37
false,false,19.791,59
false,false,164.377,33
false,false,2.125,51
false,false,0.0,27
false,false,79.069,32
false,false,90.193,42
false,false,2.628,39
false,false,107.94,46
false,true,19.939,41
false,false,105.573,30
false,false,0.488,34
false,false,2.261,35
false,false,2.367,41
true,false,-0.002,43
false,false,0.772,47
false,false,31.647,31
false,false,22.913,30
false,false,6.187,24
false,false,266.669,36
true,false,0.0,28
false,false,1.324,36
false,false,14.774,27
false,false,54.024,32
false,false,10.492,42
false,false,101.597,33
true,false,14.809,39
false,false,-0.001,30
false,false,72.267,30
false,false,18.233,22
true,false,0.0,25
false,false,0.39,28
false,false,5.487,26
false,false,145.738,54
false,false,60.883,24
true,true,30.558,29
false,false,27.911,36
false,false,40.656,49
false,false,18.273,23
true,false,1.212,43
false,false,40.805,33
false,false,0.0,53
true,true,279.503,25
true,false,53.143,54
false,false,31.276,39
false,false,0.431,44
false,false,63.655,27
false,false,0.0,25
true,false,0.0,29
false,false,0.0,39
false,true,46.383,45
true,false,0.0,38
false,false,0.5,23
true,false,88.802,25
false,false,101.299,29
false,false,3.632,28
false,false,0.78,40
true,false,0.0,36
false,false,0.0,30
false,false,1.744,29
false,false,0.98,36
false,false,135.242,37
false,false,51.224,34
false,false,0.0,27
false,true,132.964,31
false,false,-2.303,31
false,false,12.415,38
false,false,29.757,36
false,false,-0.016,46
false,false,92.394,36
false,false,11.855,26
true,false,92.425,57
true,false,1.744,40
false,false,0.0,45
false,false,62.495,57
false,false,57.663,25
false,false,41.15,37
false,false,14.527,35
false,false,5.104,33
false,true,129.87,38
false,false,0.765,31
false,false,1.99,41
true,false,4.577,33
true,true,26.855,67
false,false,0.13,40
false,false,0.6,33
false,false,0.326,31
false,false,71.887,35
true,false,0.0,39
true,true,49.764,27
false,false,78.321,23
false,false,84.598,54
false,false,17.936,23
false,false,18.804,24
false,false,0.0,26
true,false,2.553,52
false,false,49.47,42
false,false,67.588,36
true,true,19.994,22
false,false,13.47,23
false,false,174.107,30
true,false,47.297,24
false,false,2.165,42
false,false,17.023,49
true,false,0.179,31
false,false,110.059,33
false,false,0.0,42
false,false,50.729,41
true,false,0.47,53
false,false,17.532,23
true,false,49.727,33
false,false,16.666,29
false,false,2.408,67
true,false,0.78,33
false,false,13.338,34
false,false,5.034,49
false,false,213.604,56
false,false,23.688,42
true,false,31.098,55
false,false,139.976,25
false,false,40.388,30
false,false,0.291,43
false,false,0.326,40
false,false,38.25,35
false,false,7.411,61
false,false,0.78,44
false,false,3.249,33
false,false,1.451,66
true,false,-0.003,40
false,false,76.728,47
false,false,183.86,27
false,false,28.506,35
false,false,0.316,47
true,false,1.949,39
false,false,6.182,29
true,true,10.091,32
true,true,37.131,30
true,true,49.502,25
false,false,33.931,23
false,false,103.813,43
false,false,368.043,41
true,false,0.0,40
false,false,26.4,35
false,false,4.381,28
false,false,26.143,38
false,false,168.505,31
true,false,194.136,29
true,false,0.0,41
true,false,20.051,31
false,false,237.726,29
false,false,14.415,26
true,false,2.485,42
false,false,0.0,29
false,false,44.197,50
true,false,0.241,46
false,false,28.199,24
false,false,18.196,46
false,false,5.39,28
true,false,19.6,35
false,false,0.0,40
false,false,0.0,41
false,false,0.346,47
false,false,30.364,54
true,false,13.325,33
true,false,88.759,29
false,false,0.835,44
false,false,68.399,24
false,false,8.435,33
false,false,45.581,54
false,false,11.407,27
false,false,34.638,37
true,false,0.0,24
true,false,-0.15,54
true,false,0.0,34
true,false,152.361,40
true,true,1.735,30
false,false,49.98,26
false,false,5.584,41
false,false,95.63,29
false,false,0.0,38
false,false,11.241,35
false,false,7.399,52
true,false,0.0,29
false,true,48.789,23
false,false,150.514,34
true,false,8.722,34
true,true,278.436,44
true,true,34.42,36
true,false,19.554,28
false,false,29.201,31
false,false,16.526,31
false,false,19.289,41
false,true,81.977,44
false,false,95.849,47
false,false,3.314,25
false,true,19.239,25
false,false,3.388,39
false,false,5.53,24
true,false,95.951,35
true,false,141.618,32
true,true,2.4,31
true,false,8.32,33
true,false,120.586,30
false,false,0.0,52
false,false,0.396,36
true,false,130.377,30
true,true,55.176,42
false,false,0.249,30
true,true,9.537,47
false,false,6.532,29
false,false,3.94,23
true,false,0.0,39
false,false,2.36,48
true,false,79.715,26
false,false,0.0,33
false,false,3.273,44
false,false,37.353,36
false,false,13.021,39
false,false,0.0,24
true,false,91.136,25
false,false,96.495,52
false,false,10.751,59
false,false,0.0,23
false,false,10.949,48
false,false,16.275,28
false,false,3.932,62
false,false,8.561,38
false,false,0.666,32
false,false,29.707,29
true,false,12.892,25
false,false,18.089,35
false,false,70.678,27
false,false,9.554,38
false,false,18.633,24
false,false,-0.2,29
true,false,305.904,27
true,false,22.694,55
false,false,192.499,29
false,false,327.929,29
false,false,0.0,23
false,false,0.93,30
false,false,0.76,50
false,false,18.387,38
false,false,173.246,24
false,false,0.0,29
false,false,0.062,38
false,false,3.129,34
false,false,23.67,37
false,false,97.532,66
false,false,0.79,39
false,false,29.033,45
false,false,4.166,44
false,false,149.349,44
false,false,0.0,36
false,false,4.2,40
false,false,31.728,29
false,false,186.955,48
true,false,25.421,23
false,false,103.651,50
false,false,45.685,29
true,true,25.709,49
false,false,11.818,33
false,false,60.504,51
false,false,19.554,23
false,false,175.557,37
false,false,0.39,26
false,false,1.65,30
false,false,39.962,26
false,false,0.0,43
false,false,60.929,32
false,false,2.5,54
false,false,216.912,30
false,false,10.88,22
false,false,35.229,38
false,false,17.707,24
false,false,0.0,24
false,false,0.0,26
false,false,3.935,42
false,false,0.0,21
false,false,0.0,22
false,false,1.876,41
false,false,0.0,50
false,false,2.269,23
false,false,16.746,46
false,false,30.125,22
false,false,164.969,37
false,true,50.424,47
false,false,0.326,40
false,false,264.508,30
false,false,0.39,54
true,false,50.514,27
false,false,7.565,33
false,false,88.094,57
false,false,0.396,35
false,false,0.0,45
true,false,11.315,32
false,false,0.0,45
true,false,68.621,50
false,false,9.156,35
false,false,20.699,26
true,true,86.299,39
false,false,0.0,35
false,false,88.898,42
true,true,2.4,52
false,false,9.233,35
false,false,0.0,29
false,false,18.732,22
false,false,32.63,30
false,false,53.243,46
true,false,68.223,28
false,false,0.416,26
false,false,9.124,28
false,false,0.291,33
true,false,19.066,24
false,false,52.549,37
false,false,332.27,50
false,false,27.371,44
false,false,1.414,43
false,false,118.528,29
false,false,43.264,27
false,false,217.475,32
true,false,31.873,34
false,true,19.143,37
false,false,25.933,32
false,false,49.656,57
true,false,7.628,46
false,false,9.63,53
false,false,0.0,26
false,false,146.379,34
false,false,0.982,26
false,false,0.0,54
false,false,32.58,26
false,false,31.337,31
false,false,2.5,30
false,false,50.896,31
true,false,0.15,34
false,false,98.251,36
false,false,1.047,34
false,false,25.064,26
false,false,8.074,43
false,false,48.934,29
false,false,8.294,41
true,true,0.0,48
false,false,96.777,24
false,false,20.235,23
false,false,15.737,53
true,false,36.87,34
false,false,3.855,36
false,true,0.977,41
false,false,90.573,30
true,false,40.533,29
false,false,5.076,34
false,false,21.003,29
false,false,6.979,37
true,false,33.499,36
false,false,8.613,22
false,false,25.996,30
true,false,120.55,26
false,false,10.068,25
false,false,149.941,49
false,false,0.69,23
false,false,0.78,28
false,false,8.046,24
false,false,184.65,47
true,false,33.993,31
true,false,5.2,24
false,false,28.817,32
false,false,8.31,31
true,true,4.822,37
false,false,0.0,48
false,false,3.312,49
false,false,27.279,45
true,false,0.0,34
false,false,5.922,43
false,false,17.013,31
false,false,66.677,35
false,false,207.022,42
true,false,0.823,36
false,false,52.689,51
true,false,0.316,48
false,false,122.225,48
false,true,8.82,25
false,false,112.458,41
false,false,19.809,49
false,false,0.0,28
false,false,0.0,28
true,false,0.0,38
false,false,4.264,41
false,false,0.99,29
false,false,29.151,32
true,true,46.384,26
false,false,68.071,31
false,false,0.0,23
true,false,0.0,53
false,false,22.17,49
false,false,0.934,34
false,false,3.45,22
true,false,8.058,26
false,false,6.709,38
true,false,82.859,35
false,false,158.866,49
false,false,341.439,40
false,false,11.86,34
true,false,1.309,49
true,false,0.0,29
false,false,0.58,39
false,false,0.0,30
false,false,13.793,28
false,false,0.0,27
false,false,16.268,38
false,false,46.998,29
true,false,0.0,22
false,false,186.332,41
false,false,53.1,32
false,false,0.0,30
false,false,0.0,29
true,false,132.619,37
true,false,0.0,25
false,true,19.629,46
false,true,20.718,47
false,false,0.0,42
false,false,6.967,22
true,false,130.064,27
true,false,0.0,35
false,false,5.694,44
false,false,15.373,30
true,true,0.35,42
false,false,21.46,28
false,false,7.201,24
false,true,6.832,50
false,false,2.081,54
false,false,6.186,37
false,false,129.167,58
true,true,80.138,26
false,true,58.7,31
false,false,20.582,52
false,false,43.085,36
false,false,33.262,27
false,false,20.083,22
false,false,1.486,39
false,false,18.918,36
true,false,0.0,39
false,false,119.147,39
false,true,16.259,22
true,true,32.232,37
false,false,145.564,30
false,false,34.615,26
