site,totabund,density,meandepth,year,period,sweptarea
41,185,0.00400432897731662,1452,1982,1977-1989,46200.0
42,243,0.00563941383734345,1462,2001,2000-2002,43089.5859375
43,80,0.00134087598416954,1500,2001,2000-2002,59662.50390625
44,488,0.0133115109056234,1506,1979,1977-1989,36660.0
45,151,0.00253090308979154,1519,2001,2000-2002,59662.50390625
46,26,0.00087156897643581,1521,2001,2000-2002,29831.251953125
47,1003,0.0233039036393166,1524,1981,1977-1989,43040.0
48,680,0.0152363879606128,1527,1982,1977-1989,44630.0
49,225,0.00505845295265317,1533,1978,1977-1989,44480.0
50,537,0.0120903961360455,1541,2000,2000-2002,44415.41796875
51,639,0.016701515763998,1587,1981,1977-1989,38260.0
52,168,0.00458265095949173,1600,1979,1977-1989,36660.0
53,271,0.00454221619293094,1642,2001,2000-2002,59662.50390625
54,31,0.000563409994356334,1648,2001,2000-2002,55022.0859375
55,315,0.00706278020516038,1650,1980,1977-1989,44600.0
56,135,0.00338345905765891,1677,1979,1977-1989,39900.0
57,376,0.00843049306422472,1700,1982,1977-1989,44600.0
58,669,0.0149999996647239,1720,1983,1977-1989,44600.0
59,191,0.00413419911637902,1742,1982,1977-1989,46200.0
60,303,0.0070399628020823,1789,1979,1977-1989,43040.0
61,467,0.00915686320513487,1790,1981,1977-1989,51000.0
62,44,0.000890508003067225,1845,1980,1977-1989,49410.0
63,387,0.0110350726172328,1867,1981,1977-1989,35070.0
64,320,0.00371660897508264,1872,1979,1977-1989,86100.0
65,161,0.00420805020257831,1884,1980,1977-1989,38260.0
66,173,0.00325187994167209,1900,1979,1977-1989,53200.0
67,166,0.0041050580330193,1909,2000,2000-2002,40437.9140625
68,49,0.0010121880332008,1927,1981,1977-1989,48410.0
69,534,0.00957160815596581,1932,1979,1977-1989,55790.0
70,5,0.0000903999971342273,1944,1978,1977-1989,55330.0
71,105,0.000772639003116637,1946,2001,2000-2002,135897.921875
72,235,0.00526905804872513,1975,1982,1977-1989,44600.0
73,267,0.00837515667080879,1987,1981,1977-1989,31880.0
74,117,0.006525375880301,1993,1981,1977-1989,17930.0
75,147,0.00614805519580841,2015,1981,1977-1989,23910.0
76,136,0.00227948906831443,2016,2002,2000-2002,59662.50390625
77,107,0.00221106689423323,2058,2000,2000-2002,48392.91796875
78,228,0.00348890596069396,2078,1979,1977-1989,65350.0
79,108,0.0013576369965449,2114,2002,2000-2002,79550.0
80,469,0.00435347622260451,2122,1980,1977-1989,107730.0
81,211,0.00294158700853586,2172,1981,1977-1989,71730.0
82,39,0.000588309019804001,2204,2002,2000-2002,66291.671875
83,301,0.00359617709182203,2230,1982,1977-1989,83700.0
84,155,0.00248739589005709,2287,2001,2000-2002,62314.171875
85,136,0.00250187795609236,2292,2001,2000-2002,54359.16796875
86,341,0.00648288987576962,2397,1981,1977-1989,52600.0
87,240,0.00254955189302564,2410,2002,2000-2002,94134.171875
88,138,0.00211170595139265,2420,1979,1977-1989,65350.0
89,90,0.00150848494376987,2434,2001,2000-2002,59662.50390625
90,90,0.00150848494376987,2450,2001,2000-2002,59662.50390625
91,143,0.00353628490120173,2462,2000,2000-2002,40437.9140625
92,291,0.00459352787584066,2477,1982,1977-1989,63350.0
93,234,0.00319148902781308,2486,1982,1977-1989,73320.0
94,192,0.0034414769615978,2487,1983,1977-1989,55790.0
95,269,0.00450869416818023,2500,2002,2000-2002,59662.50390625
96,227,0.0042803268879652,2504,2001,2000-2002,53033.33203125
97,196,0.00332203391008079,2530,1981,1977-1989,59000.0
98,71,0.00089252000907436,2572,2002,2000-2002,79550.0
99,217,0.00261761201545596,2645,1980,1977-1989,82900.0
100,242,0.00237604300491512,2670,1982,1977-1989,101850.0
101,121,0.0025993559975177,2737,1979,1977-1989,46550.0
102,133,0.0017027270514518,2855,1982,1977-1989,78110.0
103,174,0.000778732995968312,2875,1980,1977-1989,223440.0
104,155,0.00180023198481649,2970,1980,1977-1989,86100.0
105,150,0.0026310789398849,3048,2000,2000-2002,57010.83203125
106,61,0.000933434988837689,3066,1979,1977-1989,65350.0
107,187,0.00249599595554173,3089,1983,1977-1989,74920.0
108,119,0.00199455302208662,3099,2002,2000-2002,59662.50390625
109,55,0.000691389024723321,3126,2002,2000-2002,79550.0
110,71,0.0010200230171904,3138,2001,2000-2002,69606.2578125
111,57,0.000574191974010319,3485,1982,1977-1989,99270.0
112,84,0.000959945027716458,3639,2001,2000-2002,87505.0078125
113,5,0.000061500002630055,3677,1980,1977-1989,81290.0
114,100,0.00104112399276346,3753,1977,1977-1989,96050.0
115,25,0.000490195991005749,3810,1981,1977-1989,51000.0
116,88,0.000935673015192151,3900,1981,1977-1989,94050.0
117,35,0.00056297198170796,3985,1981,1977-1989,62170.0
118,62,0.000505133008118719,3995,1983,1977-1989,122740.0
120,17,0.000221902999328449,4016,1978,1977-1989,76610.0
121,130,0.00108946103136986,4020,2001,2000-2002,119325.0078125
122,27,0.000332144001731649,4056,1979,1977-1989,81290.0
123,11,0.000106166997284163,4062,1980,1977-1989,103610.0
124,37,0.000772765022702515,4073,1977,1977-1989,47880.0
125,35,0.000643145991489291,4118,1978,1977-1989,54420.0
126,54,0.000452545995358378,4127,2001,2000-2002,119325.0
127,64,0.000647576991468668,4222,1982,1977-1989,98830.0
128,26,0.00023070999304764,4226,2002,2000-2002,112695.8359375
129,2,0.0000147999999171589,4242,1981,1977-1989,135490.0
130,56,0.00057595397811383,4245,1982,1977-1989,97230.0
131,47,0.000508382974658161,4292,1980,1977-1989,92450.0
132,31,0.000467629986815155,4298,2001,2000-2002,66291.671875
133,4,0.0000500999994983431,4320,1982,1977-1989,79920.0
134,23,0.00028858199948445,4375,1980,1977-1989,79700.0
135,12,0.000175080000190064,4510,1979,1977-1989,68540.0
136,26,0.000250965007580817,4565,1984,1977-1989,103600.0
137,10,0.000140375996124931,4765,2002,2000-2002,71237.03125
138,35,0.000381388003006577,4787,1979,1977-1989,91770.0
139,105,0.000998098985292017,4800,1984,1977-1989,105200.0
140,12,0.0000778000030550174,4810,2002,2000-2002,154323.03125
141,7,0.0000679000004311092,4811,2002,2000-2002,103096.8046875
142,4,0.0000264999998762505,4812,2002,2000-2002,150707.46875
143,10,0.0000862000015331432,4812,2002,2000-2002,115983.8984375
144,20,0.000155916000949219,4840,2000,2000-2002,128274.3828125
145,13,0.0000816000028862618,4842,1986,1977-1989,159400.0
146,24,0.000264025991782546,4846,1989,1977-1989,90900.0
147,38,0.000273973011644557,4846,1989,1977-1989,138700.0
148,29,0.000216579996049404,4865,1989,1977-1989,133900.0
