Ca,pH
344.6,7.0
344.6,7.0
333.3,7.0
347.6,7.0
366.3,7.0
322.5,7.0
374.3,7.0
495.3,7.0
312.6,7.0
318.9,7.0
341.1,7.0
365.3,7.0
344.0,7.0
285.6,7.0
271.7,7.0
287.9,7.0
349.7,7.0
285.6,7.0
302.0,7.0
291.2,7.0
349.2,7.0
257.1,7.0
327.9,7.0
312.1,7.0
270.0,7.0
753.3,7.0
687.3,7.0
988.4,7.0
118.4,7.0
290.1,7.0
324.6,7.0
300.1,7.0
276.6,7.0
302.0,7.0
299.4,7.0
298.8,7.0
371.1,7.0
278.2,7.0
293.8,7.0
272.6,7.0
329.4,7.0
369.9,7.0
319.3,7.0
334.9,7.0
454.6,7.0
721.3,7.0
290.1,7.0
379.9,7.0
356.5,7.0
312.5,7.0
263.0,7.0
340.4,7.0
427.9,7.0
330.0,7.1
518.0,7.1
364.0,7.1
379.0,7.1
366.0,7.1
318.0,7.1
326.0,7.1
407.0,7.1
314.0,7.1
324.0,7.1
327.0,7.1
436.0,7.1
391.0,7.1
206.0,7.1
277.0,7.1
667.0,7.1
492.0,7.1
371.0,7.1
282.0,7.1
416.0,7.1
368.0,7.1
346.0,7.1
493.0,7.1
486.0,7.1
216.0,7.1
266.0,7.1
229.0,7.1
282.0,7.1
369.0,7.1
403.0,7.1
423.0,7.1
465.0,7.1
365.0,7.1
539.0,7.1
427.0,7.1
327.0,7.1
412.0,7.1
282.0,7.1
317.0,7.1
228.0,7.1
229.0,7.1
241.0,7.1
244.0,7.1
342.0,7.1
353.0,7.1
340.0,7.1
275.0,7.1
726.0,7.1
473.0,7.1
496.0,7.1
462.0,7.1
498.0,7.1
551.0,7.1
483.0,7.1
457.0,7.1
407.0,7.1
405.0,7.1
425.0,7.1
437.0,7.1
480.0,7.1
487.0,7.1
494.0,7.1
503.0,7.1
351.0,7.1
493.0,7.1
393.4,7.1
444.6,7.1
443.8,7.1
430.0,7.1
580.1,7.1
546.2,7.1
320.0,7.1
302.8,7.1
310.4,7.1
431.6,7.1
581.4,7.1
350.6,7.1
365.9,7.1
339.2,7.1
397.2,7.1
407.7,7.1
321.9,7.1
368.6,7.1
349.1,7.1
292.8,7.1
500.8,7.1
361.6,7.1
824.0,7.1
119.3,7.1
522.7,7.1
438.0,7.1
311.0,7.1
320.5,7.1
296.5,7.1
395.1,7.1
301.0,7.1
300.1,7.1
520.0,7.1
386.9,7.1
299.3,7.1
2251.1,7.1
517.3,7.1
643.2,7.1
753.8,7.1
317.9,7.1
339.5,7.1
462.6,7.1
324.7,7.1
638.0,7.2
380.0,7.2
426.0,7.2
431.0,7.2
391.0,7.2
618.0,7.2
288.0,7.2
384.0,7.2
451.0,7.2
324.0,7.2
311.0,7.2
299.0,7.2
476.0,7.2
450.0,7.2
387.0,7.2
404.0,7.2
406.0,7.2
320.0,7.2
426.0,7.2
285.0,7.2
329.0,7.2
321.0,7.2
600.0,7.2
579.4,7.2
582.1,7.2
356.1,7.2
408.4,7.2
525.2,7.2
382.7,7.2
372.3,7.2
360.0,7.2
317.1,7.2
355.4,7.2
370.8,7.2
411.3,7.2
387.5,7.2
390.6,7.2
402.3,7.2
441.0,7.2
373.5,7.2
372.9,7.2
410.9,7.2
418.9,7.2
310.2,7.2
469.0,7.2
692.8,7.2
373.5,7.2
3045.1,7.2
2383.1,7.2
3880.1,7.2
519.2,7.2
546.4,7.2
673.0,7.2
494.0,7.2
394.9,7.2
355.1,7.2
571.0,7.3
557.0,7.3
1423.5,7.3
417.0,7.3
318.0,7.3
373.3,7.3
336.3,7.3
348.0,7.3
347.0,7.3
594.4,7.3
531.7,7.3
345.5,7.3
407.9,7.3
404.7,7.3
410.1,7.3
416.2,7.3
376.6,7.3
458.2,7.3
519.4,7.3
381.8,7.3
341.0,7.3
307.8,7.3
325.0,7.3
378.9,7.3
415.4,7.3
393.7,7.3
100.7,7.3
361.4,7.3
428.0,7.3
2851.1,7.3
599.4,7.3
711.2,7.3
969.5,7.3
543.5,7.3
531.6,7.3
375.6,7.3
340.8,7.3
510.7,7.3
650.7,7.3
528.6,7.3
372.1,7.3
571.5,7.4
437.9,7.4
566.3,7.4
349.2,7.4
354.4,7.4
503.2,7.4
530.5,7.4
359.1,7.4
360.5,7.4
396.0,7.4
387.0,7.4
859.9,7.4
543.3,7.4
468.0,7.4
448.8,7.5
370.0,7.5
502.1,7.5
920.9,7.5
